market_code,instrument_code,instrument_name,topic_key,topic_relation_type,structural_role,topic_weight,enabled,review_state,valid_from,valid_to,source_reference
TPE,1303,南亞,銅箔基板CCL,PRIMARY,CORE,1.5,TRUE,PENDING_REVIEW,2026-08-24,,2026_REVISED_MARKET_UPDATE
TPE,1303,南亞,化工原料／塑化報價,PRIMARY,CORE,1.3,TRUE,PENDING_REVIEW,2026-08-24,,2026_REVISED_MARKET_UPDATE
TPE,1303,南亞,玻纖布,PRIMARY,LEAD,1.5,TRUE,PENDING_REVIEW,2026-08-24,,2026_REVISED_MARKET_UPDATE
TPE,1304,台聚,化工原料／塑化報價,PRIMARY,CORE,1.0,TRUE,PENDING_REVIEW,2026-08-24,,fixtures/research/topic_universe_mapping.v1.csv
TPE,1304,台聚,太陽能,SECONDARY,CORE,1.2,TRUE,PENDING_REVIEW,2026-08-24,,2026_REVISED_MARKET_UPDATE
TPE,1314,中石化,化工原料／塑化報價,PRIMARY,CORE,1.1,TRUE,PENDING_REVIEW,2026-08-24,,fixtures/research/topic_universe_mapping.v1.csv
TPE,1314,中石化,商辦／都市更新,SECONDARY,CORE,1.1,TRUE,PENDING_REVIEW,2026-08-24,,2026_REVISED_MARKET_UPDATE
TPE,1314,中石化,住宅營建,SECONDARY,RELATED,0.8,TRUE,PENDING_REVIEW,2026-08-24,,2026_NEW_TOPIC_ADDITION
TPE,1319,東陽,其他車用電子,PRIMARY,LEAD,1.4,TRUE,PENDING_REVIEW,2026-08-24,,2026_REVISED_MARKET_UPDATE
TPE,1319,東陽,電動車／EV,SECONDARY,RELATED,1.1,TRUE,PENDING_REVIEW,2026-08-24,,2026_REVISED_MARKET_UPDATE
TPE,1319,東陽,ADAS,SECONDARY,RELATED,0.8,TRUE,PENDING_REVIEW,2026-08-24,,2026_NEW_TOPIC_ADDITION
TPE,1326,台化,化工原料／塑化報價,PRIMARY,CORE,1.3,TRUE,PENDING_REVIEW,2026-08-24,,fixtures/research/topic_universe_mapping.v1.csv
TPE,1342,八貫,其他國防,SECONDARY,CORE,1.2,TRUE,PENDING_REVIEW,2026-08-24,,2026_REVISED_MARKET_UPDATE
TPE,1342,八貫,紡織,PRIMARY,CORE,1.1,TRUE,PENDING_REVIEW,2026-08-24,,fixtures/research/topic_universe_mapping.v1.csv
TPE,1342,八貫,航太零組件,SECONDARY,CORE,1.2,TRUE,PENDING_REVIEW,2026-08-24,,2026_REVISED_MARKET_UPDATE
TPE,1438,三地開發,住宅營建,PRIMARY,CORE,1.3,TRUE,PENDING_REVIEW,2026-08-24,,2026_REVISED_MARKET_UPDATE
TPE,1438,三地開發,商辦／都市更新,SECONDARY,RELATED,0.8,TRUE,PENDING_REVIEW,2026-08-24,,fixtures/research/topic_universe_mapping.v1.csv
TPE,1438,三地開發,儲能,PRIMARY,RELATED,1.2,TRUE,PENDING_REVIEW,2026-08-24,,2026_NEW_TOPIC_ADDITION
TPE,1451,年興,紡織,SECONDARY,RELATED,0.5,TRUE,PENDING_REVIEW,2026-08-24,,fixtures/research/topic_universe_mapping.v1.csv
TPE,1474,弘裕,其他國防,SECONDARY,CORE,1.1,TRUE,PENDING_REVIEW,2026-08-24,,2026_REVISED_MARKET_UPDATE
TPE,1474,弘裕,其他車用電子,SECONDARY,RELATED,0.6,TRUE,PENDING_REVIEW,2026-08-24,,fixtures/research/topic_universe_mapping.v1.csv
TPE,1474,弘裕,紡織,PRIMARY,CORE,1.1,TRUE,PENDING_REVIEW,2026-08-24,,fixtures/research/topic_universe_mapping.v1.csv
