market_code	instrument_code	listing_effective_date	accepted_full_ohlcv_rows	first_trade_date	last_trade_date	ma60_ready
TPE	1101	1962-02-09	485	2024-08-13	2026-08-13	YES
TPE	1301	1964-07-27	486	2024-08-13	2026-08-13	YES
TPE	1303		486	2024-08-13	2026-08-13	YES
TPE	1304		486	2024-08-13	2026-08-13	YES
TPE	1314		485	2024-08-13	2026-08-13	YES
TPE	1319		486	2024-08-13	2026-08-13	YES
TPE	1326		486	2024-08-13	2026-08-13	YES
TPE	1342		486	2024-08-13	2026-08-13	YES
TPE	1402	1967-04-14	486	2024-08-13	2026-08-13	YES
TPE	1438		486	2024-08-13	2026-08-13	YES
TPE	1451		486	2024-08-13	2026-08-13	YES
TPE	1474		486	2024-08-13	2026-08-13	YES
TPE	1476		486	2024-08-13	2026-08-13	YES
TPE	1477	2003-01-21	486	2024-08-13	2026-08-13	YES
TPE	1503		486	2024-08-13	2026-08-13	YES
TPE	1504		485	2024-08-13	2026-08-13	YES
TPE	1513		486	2024-08-13	2026-08-13	YES
TPE	1514		486	2024-08-13	2026-08-13	YES
TPE	1515	1995-02-04	486	2024-08-13	2026-08-13	YES
TPE	1519		486	2024-08-13	2026-08-13	YES
TPE	1536		486	2024-08-13	2026-08-13	YES
TPE	1537		486	2024-08-13	2026-08-13	YES
TPE	1563		486	2024-08-13	2026-08-13	YES
TPE	1568		486	2024-08-13	2026-08-13	YES
TPE	1590		486	2024-08-13	2026-08-13	YES
TPE	1597		486	2024-08-13	2026-08-13	YES
TPE	1605		486	2024-08-13	2026-08-13	YES
TPE	1609		486	2024-08-13	2026-08-13	YES
TPE	1611		486	2024-08-13	2026-08-13	YES
TPE	1612		486	2024-08-13	2026-08-13	YES
TPE	1708		486	2024-08-13	2026-08-13	YES
TPE	1709	1986-07-03	486	2024-08-13	2026-08-13	YES
TPE	1711		486	2024-08-13	2026-08-13	YES
TPE	1714		486	2024-08-13	2026-08-13	YES
TPE	1717	1994-03-31	486	2024-08-13	2026-08-13	YES
TPE	1718	1963-12-02	486	2024-08-13	2026-08-13	YES
TPE	1723		486	2024-08-13	2026-08-13	YES
TPE	1725		486	2024-08-13	2026-08-13	YES
TPE	1727		486	2024-08-13	2026-08-13	YES
TPE	1736	2003-01-09	486	2024-08-13	2026-08-13	YES
TPE	1773		486	2024-08-13	2026-08-13	YES
TPE	1802		486	2024-08-13	2026-08-13	YES
TPE	1809	1996-04-30	486	2024-08-13	2026-08-13	YES
TPE	1810		486	2024-08-13	2026-08-13	YES
TPE	1909	1985-11-19	485	2024-08-13	2026-08-13	YES
TPE	2002		486	2024-08-13	2026-08-13	YES
TPE	2007		486	2024-08-13	2026-08-13	YES
TPE	2009		486	2024-08-13	2026-08-13	YES
TPE	2025		481	2024-08-13	2026-08-13	YES
TPE	2027		486	2024-08-13	2026-08-13	YES
TPE	2031		486	2024-08-13	2026-08-13	YES
TPE	2034		486	2024-08-13	2026-08-13	YES
TPE	2049		486	2024-08-13	2026-08-13	YES
TPE	2059		486	2024-08-13	2026-08-13	YES
TPE	2101	1963-11-01	479	2024-08-13	2026-08-13	YES
TPE	2103		486	2024-08-13	2026-08-13	YES
TPE	2104		486	2024-08-13	2026-08-13	YES
TPE	2108		486	2024-08-13	2026-08-13	YES
TPE	2208	2008-12-22	486	2024-08-13	2026-08-13	YES
TPE	2231	2010-11-19	486	2024-08-13	2026-08-13	YES
TPE	2241		486	2024-08-13	2026-08-13	YES
TPE	2243		486	2024-08-13	2026-08-13	YES
TPE	2301		486	2024-08-13	2026-08-13	YES
TPE	2302		486	2024-08-13	2026-08-13	YES
TPE	2303		486	2024-08-13	2026-08-13	YES
TPE	2305		486	2024-08-13	2026-08-13	YES
TPE	2308		486	2024-08-13	2026-08-13	YES
TPE	2312		486	2024-08-13	2026-08-13	YES
TPE	2313		486	2024-08-13	2026-08-13	YES
TPE	2314		479	2024-08-13	2026-08-13	YES
TPE	2316		486	2024-08-13	2026-08-13	YES
TPE	2317		485	2024-08-13	2026-08-13	YES
TPE	2324		486	2024-08-13	2026-08-13	YES
TPE	2327		479	2024-08-13	2026-08-13	YES
TPE	2328	1993-11-09	486	2024-08-13	2026-08-13	YES
TPE	2329	1994-04-20	486	2024-08-13	2026-08-13	YES
TPE	2330		486	2024-08-13	2026-08-13	YES
TPE	2331	1994-09-21	486	2024-08-13	2026-08-13	YES
TPE	2332		486	2024-08-13	2026-08-13	YES
TPE	2337		486	2024-08-13	2026-08-13	YES
TPE	2342		486	2024-08-13	2026-08-13	YES
TPE	2344		486	2024-08-13	2026-08-13	YES
TPE	2345		486	2024-08-13	2026-08-13	YES
TPE	2348		486	2024-08-13	2026-08-13	YES
TPE	2349	1996-04-23	486	2024-08-13	2026-08-13	YES
TPE	2351		486	2024-08-13	2026-08-13	YES
TPE	2352		480	2024-08-13	2026-08-13	YES
TPE	2353		486	2024-08-13	2026-08-13	YES
TPE	2354	1996-10-08	486	2024-08-13	2026-08-13	YES
TPE	2355		486	2024-08-13	2026-08-13	YES
TPE	2356		486	2024-08-13	2026-08-13	YES
TPE	2357		486	2024-08-13	2026-08-13	YES
TPE	2359		486	2024-08-13	2026-08-13	YES
TPE	2360		486	2024-08-13	2026-08-13	YES
TPE	2367		486	2024-08-13	2026-08-13	YES
TPE	2368		486	2024-08-13	2026-08-13	YES
TPE	2369		486	2024-08-13	2026-08-13	YES
TPE	2371	1962-02-09	479	2024-08-13	2026-08-13	YES
TPE	2375		486	2024-08-13	2026-08-13	YES
TPE	2376		486	2024-08-13	2026-08-13	YES
TPE	2377		486	2024-08-13	2026-08-13	YES
TPE	2379		486	2024-08-13	2026-08-13	YES
TPE	2382		486	2024-08-13	2026-08-13	YES
TPE	2383		486	2024-08-13	2026-08-13	YES
TPE	2388		486	2024-08-13	2026-08-13	YES
TPE	2395		486	2024-08-13	2026-08-13	YES
TPE	2399		486	2024-08-13	2026-08-13	YES
TPE	2401		486	2024-08-13	2026-08-13	YES
TPE	2406		486	2024-08-13	2026-08-13	YES
TPE	2408		486	2024-08-13	2026-08-13	YES
TPE	2409		486	2024-08-13	2026-08-13	YES
TPE	2413		486	2024-08-13	2026-08-13	YES
TPE	2414		486	2024-08-13	2026-08-13	YES
TPE	2421		486	2024-08-13	2026-08-13	YES
TPE	2424		479	2024-08-13	2026-08-13	YES
TPE	2425		486	2024-08-13	2026-08-13	YES
TPE	2426		486	2024-08-13	2026-08-13	YES
TPE	2428		486	2024-08-13	2026-08-13	YES
TPE	2434		486	2024-08-13	2026-08-13	YES
TPE	2436	2000-09-11	485	2024-08-13	2026-08-13	YES
TPE	2441		486	2024-08-13	2026-08-13	YES
TPE	2449		486	2024-08-13	2026-08-13	YES
TPE	2451		486	2024-08-13	2026-08-13	YES
TPE	2454		486	2024-08-13	2026-08-13	YES
TPE	2455		486	2024-08-13	2026-08-13	YES
TPE	2457		486	2024-08-13	2026-08-13	YES
TPE	2460		486	2024-08-13	2026-08-13	YES
TPE	2464		486	2024-08-13	2026-08-13	YES
TPE	2465		486	2024-08-13	2026-08-13	YES
TPE	2466		486	2024-08-13	2026-08-13	YES
TPE	2467		486	2024-08-13	2026-08-13	YES
TPE	2472		486	2024-08-13	2026-08-13	YES
TPE	2474		486	2024-08-13	2026-08-13	YES
TPE	2478		486	2024-08-13	2026-08-13	YES
TPE	2481		486	2024-08-13	2026-08-13	YES
TPE	2483		486	2024-08-13	2026-08-13	YES
TPE	2484		486	2024-08-13	2026-08-13	YES
TPE	2485		486	2024-08-13	2026-08-13	YES
TPE	2486		486	2024-08-13	2026-08-13	YES
TPE	2491		486	2024-08-13	2026-08-13	YES
TPE	2492		486	2024-08-13	2026-08-13	YES
TPE	2493		486	2024-08-13	2026-08-13	YES
TPE	2498		486	2024-08-13	2026-08-13	YES
TPE	2501		486	2024-08-13	2026-08-13	YES
TPE	2511		486	2024-08-13	2026-08-13	YES
TPE	2520		486	2024-08-13	2026-08-13	YES
TPE	2527		486	2024-08-13	2026-08-13	YES
TPE	2535		486	2024-08-13	2026-08-13	YES
TPE	2536		486	2024-08-13	2026-08-13	YES
TPE	2539		486	2024-08-13	2026-08-13	YES
TPE	2542		486	2024-08-13	2026-08-13	YES
TPE	2546		486	2024-08-13	2026-08-13	YES
TPE	2548		486	2024-08-13	2026-08-13	YES
TPE	2601	1965-11-04	485	2024-08-13	2026-08-13	YES
TPE	2603	1987-09-21	486	2024-08-13	2026-08-13	YES
TPE	2605	1989-12-08	486	2024-08-13	2026-08-13	YES
TPE	2606	1990-12-08	486	2024-08-13	2026-08-13	YES
TPE	2609	1992-04-20	486	2024-08-13	2026-08-13	YES
TPE	2610	1993-02-26	486	2024-08-13	2026-08-13	YES
TPE	2611	1993-10-28	486	2024-08-13	2026-08-13	YES
TPE	2613	1995-01-20	486	2024-08-13	2026-08-13	YES
TPE	2615	1996-05-16	486	2024-08-13	2026-08-13	YES
TPE	2617	1998-06-24	486	2024-08-13	2026-08-13	YES
TPE	2630		486	2024-08-13	2026-08-13	YES
TPE	2634		486	2024-08-13	2026-08-13	YES
TPE	2636	2016-12-22	486	2024-08-13	2026-08-13	YES
TPE	2645		486	2024-08-13	2026-08-13	YES
TPE	2646	2024-10-25	437	2024-10-25	2026-08-13	YES
TPE	2851	2000-07-06	486	2024-08-13	2026-08-13	YES
TPE	3003		486	2024-08-13	2026-08-13	YES
TPE	3004		486	2024-08-13	2026-08-13	YES
TPE	3005		486	2024-08-13	2026-08-13	YES
TPE	3006		486	2024-08-13	2026-08-13	YES
TPE	3008		486	2024-08-13	2026-08-13	YES
TPE	3013		486	2024-08-13	2026-08-13	YES
TPE	3015		486	2024-08-13	2026-08-13	YES
TPE	3016		486	2024-08-13	2026-08-13	YES
TPE	3017		486	2024-08-13	2026-08-13	YES
TPE	3021		486	2024-08-13	2026-08-13	YES
TPE	3022		486	2024-08-13	2026-08-13	YES
TPE	3023		486	2024-08-13	2026-08-13	YES
TPE	3026		486	2024-08-13	2026-08-13	YES
TPE	3029		486	2024-08-13	2026-08-13	YES
TPE	3034		486	2024-08-13	2026-08-13	YES
TPE	3035		486	2024-08-13	2026-08-13	YES
TPE	3036	2002-08-26	485	2024-08-13	2026-08-13	YES
TPE	3037		486	2024-08-13	2026-08-13	YES
TPE	3042		486	2024-08-13	2026-08-13	YES
TPE	3044		486	2024-08-13	2026-08-13	YES
TPE	3048		486	2024-08-13	2026-08-13	YES
TPE	3055		486	2024-08-13	2026-08-13	YES
TPE	3058		486	2024-08-13	2026-08-13	YES
TPE	3060		486	2024-08-13	2026-08-13	YES
TPE	3090		485	2024-08-13	2026-08-13	YES
TPE	3094		486	2024-08-13	2026-08-13	YES
TPE	3149		486	2024-08-13	2026-08-13	YES
TPE	3167		486	2024-08-13	2026-08-13	YES
TPE	3189		486	2024-08-13	2026-08-13	YES
TPE	3231		486	2024-08-13	2026-08-13	YES
TPE	3257		486	2024-08-13	2026-08-13	YES
TPE	3296		486	2024-08-13	2026-08-13	YES
TPE	3308		486	2024-08-13	2026-08-13	YES
TPE	3312	2010-12-29	486	2024-08-13	2026-08-13	YES
TPE	3321		481	2024-08-13	2026-08-13	YES
TPE	3338		486	2024-08-13	2026-08-13	YES
TPE	3346		486	2024-08-13	2026-08-13	YES
TPE	3406	2005-12-20	486	2024-08-13	2026-08-13	YES
TPE	3413		485	2024-08-13	2026-08-13	YES
TPE	3443		486	2024-08-13	2026-08-13	YES
TPE	3450		486	2024-08-13	2026-08-13	YES
TPE	3481		479	2024-08-13	2026-08-13	YES
TPE	3504		486	2024-08-13	2026-08-13	YES
TPE	3528		486	2024-08-13	2026-08-13	YES
TPE	3532		486	2024-08-13	2026-08-13	YES
TPE	3533	2007-12-10	486	2024-08-13	2026-08-13	YES
TPE	3535		486	2024-08-13	2026-08-13	YES
TPE	3543		486	2024-08-13	2026-08-13	YES
TPE	3550		486	2024-08-13	2026-08-13	YES
TPE	3576		486	2024-08-13	2026-08-13	YES
TPE	3583		486	2024-08-13	2026-08-13	YES
TPE	3588		486	2024-08-13	2026-08-13	YES
TPE	3596		486	2024-08-13	2026-08-13	YES
TPE	3605		486	2024-08-13	2026-08-13	YES
TPE	3617		486	2024-08-13	2026-08-13	YES
TPE	3622		486	2024-08-13	2026-08-13	YES
TPE	3652		486	2024-08-13	2026-08-13	YES
TPE	3653		486	2024-08-13	2026-08-13	YES
TPE	3661		486	2024-08-13	2026-08-13	YES
TPE	3665		485	2024-08-13	2026-08-13	YES
TPE	3694		486	2024-08-13	2026-08-13	YES
TPE	3702	2005-11-09	486	2024-08-13	2026-08-13	YES
TPE	3704	2010-08-16	486	2024-08-13	2026-08-13	YES
TPE	3706		486	2024-08-13	2026-08-13	YES
TPE	3708		486	2024-08-13	2026-08-13	YES
TPE	3711		486	2024-08-13	2026-08-13	YES
TPE	3715		486	2024-08-13	2026-08-13	YES
TPE	4540		486	2024-08-13	2026-08-13	YES
TPE	4551		486	2024-08-13	2026-08-13	YES
TPE	4562		486	2024-08-13	2026-08-13	YES
TPE	4564		486	2024-08-13	2026-08-13	YES
TPE	4566	2018-02-05	486	2024-08-13	2026-08-13	YES
TPE	4572		486	2024-08-13	2026-08-13	YES
TPE	4576		486	2024-08-13	2026-08-13	YES
TPE	4585		211	2025-09-26	2026-08-13	YES
TPE	4722		486	2024-08-13	2026-08-13	YES
TPE	4739	2017-09-08	486	2024-08-13	2026-08-13	YES
TPE	4764		481	2024-08-13	2026-08-13	YES
TPE	4807		484	2024-08-13	2026-08-13	YES
TPE	4906	2003-06-30	486	2024-08-13	2026-08-13	YES
TPE	4916		486	2024-08-13	2026-08-13	YES
TPE	4919		486	2024-08-13	2026-08-13	YES
TPE	4934		486	2024-08-13	2026-08-13	YES
TPE	4938		486	2024-08-13	2026-08-13	YES
TPE	4958		486	2024-08-13	2026-08-13	YES
TPE	4960	2011-10-24	486	2024-08-13	2026-08-13	YES
TPE	4967		486	2024-08-13	2026-08-13	YES
TPE	4968	2015-11-13	486	2024-08-13	2026-08-13	YES
TPE	4976		486	2024-08-13	2026-08-13	YES
TPE	4977		485	2024-08-13	2026-08-13	YES
TPE	5222		486	2024-08-13	2026-08-13	YES
TPE	5243		486	2024-08-13	2026-08-13	YES
TPE	5269		486	2024-08-13	2026-08-13	YES
TPE	5285		486	2024-08-13	2026-08-13	YES
TPE	5288		486	2024-08-13	2026-08-13	YES
TPE	5388		486	2024-08-13	2026-08-13	YES
TPE	5434		486	2024-08-13	2026-08-13	YES
TPE	5471		486	2024-08-13	2026-08-13	YES
TPE	5515	2003-10-06	480	2024-08-13	2026-08-13	YES
TPE	5519		486	2024-08-13	2026-08-13	YES
TPE	5534		486	2024-08-13	2026-08-13	YES
TPE	5607	2004-12-02	486	2024-08-13	2026-08-13	YES
TPE	5608	2003-08-25	486	2024-08-13	2026-08-13	YES
TPE	6108	2008-12-30	485	2024-08-13	2026-08-13	YES
TPE	6112		486	2024-08-13	2026-08-13	YES
TPE	6116		486	2024-08-13	2026-08-13	YES
TPE	6141		486	2024-08-13	2026-08-13	YES
TPE	6142		486	2024-08-13	2026-08-13	YES
TPE	6153		486	2024-08-13	2026-08-13	YES
TPE	6155		486	2024-08-13	2026-08-13	YES
TPE	6166		486	2024-08-13	2026-08-13	YES
TPE	6168		486	2024-08-13	2026-08-13	YES
TPE	6177		486	2024-08-13	2026-08-13	YES
TPE	6191		485	2024-08-13	2026-08-13	YES
TPE	6196		486	2024-08-13	2026-08-13	YES
TPE	6197		486	2024-08-13	2026-08-13	YES
TPE	6202		486	2024-08-13	2026-08-13	YES
TPE	6205		486	2024-08-13	2026-08-13	YES
TPE	6209		486	2024-08-13	2026-08-13	YES
TPE	6213		486	2024-08-13	2026-08-13	YES
TPE	6214		486	2024-08-13	2026-08-13	YES
TPE	6215		486	2024-08-13	2026-08-13	YES
TPE	6226		486	2024-08-13	2026-08-13	YES
TPE	6239		486	2024-08-13	2026-08-13	YES
TPE	6243		486	2024-08-13	2026-08-13	YES
TPE	6257		486	2024-08-13	2026-08-13	YES
TPE	6269		486	2024-08-13	2026-08-13	YES
TPE	6271		486	2024-08-13	2026-08-13	YES
TPE	6278	2010-08-24	486	2024-08-13	2026-08-13	YES
TPE	6282		486	2024-08-13	2026-08-13	YES
TPE	6285		486	2024-08-13	2026-08-13	YES
TPE	6405		486	2024-08-13	2026-08-13	YES
TPE	6409		486	2024-08-13	2026-08-13	YES
TPE	6414		486	2024-08-13	2026-08-13	YES
TPE	6415		486	2024-08-13	2026-08-13	YES
TPE	6416		486	2024-08-13	2026-08-13	YES
TPE	6426		486	2024-08-13	2026-08-13	YES
TPE	6442		486	2024-08-13	2026-08-13	YES
TPE	6443		486	2024-08-13	2026-08-13	YES
TPE	6449		486	2024-08-13	2026-08-13	YES
TPE	6451		486	2024-08-13	2026-08-13	YES
TPE	6477		486	2024-08-13	2026-08-13	YES
TPE	6505		486	2024-08-13	2026-08-13	YES
TPE	6515		486	2024-08-13	2026-08-13	YES
TPE	6525		486	2024-08-13	2026-08-13	YES
TPE	6526		486	2024-08-13	2026-08-13	YES
TPE	6531		486	2024-08-13	2026-08-13	YES
TPE	6573		485	2024-08-13	2026-08-13	YES
TPE	6585		486	2024-08-13	2026-08-13	YES
TPE	6591		486	2024-08-13	2026-08-13	YES
TPE	6605		486	2024-08-13	2026-08-13	YES
TPE	6668		486	2024-08-13	2026-08-13	YES
TPE	6669		486	2024-08-13	2026-08-13	YES
TPE	6672		486	2024-08-13	2026-08-13	YES
TPE	6691		486	2024-08-13	2026-08-13	YES
TPE	6695		486	2024-08-13	2026-08-13	YES
TPE	6715		486	2024-08-13	2026-08-13	YES
TPE	6719		486	2024-08-13	2026-08-13	YES
TPE	6742		486	2024-08-13	2026-08-13	YES
TPE	6753		486	2024-08-13	2026-08-13	YES
TPE	6756		486	2024-08-13	2026-08-13	YES
TPE	6770		486	2024-08-13	2026-08-13	YES
TPE	6781		486	2024-08-13	2026-08-13	YES
TPE	6789		486	2024-08-13	2026-08-13	YES
TPE	6799		486	2024-08-13	2026-08-13	YES
TPE	6805		486	2024-08-13	2026-08-13	YES
TPE	6806		446	2024-08-13	2026-06-22	YES
TPE	6830		486	2024-08-13	2026-08-13	YES
TPE	6831		173	2025-11-25	2026-08-13	YES
TPE	6834		486	2024-08-13	2026-08-13	YES
TPE	6861		486	2024-08-13	2026-08-13	YES
TPE	6906		486	2024-08-13	2026-08-13	YES
TPE	6909		302	2025-05-21	2026-08-13	YES
TPE	6937		486	2024-08-13	2026-08-13	YES
TPE	7610		224	2025-09-09	2026-08-13	YES
TPE	7750		218	2025-09-17	2026-08-13	YES
TPE	7769		171	2025-11-27	2026-08-13	YES
TPE	7786		178	2025-11-18	2026-08-13	YES
TPE	7788		200	2025-10-16	2026-08-13	YES
TPE	8016		486	2024-08-13	2026-08-13	YES
TPE	8021		486	2024-08-13	2026-08-13	YES
TPE	8028		486	2024-08-13	2026-08-13	YES
TPE	8033		486	2024-08-13	2026-08-13	YES
