stock_code	stock_name	market	listing_status	expansion_status	security_type_status	source	source_date
1101	台泥	TPE	active	OWNER_APPROVED_EXPANSION_CANDIDATE	PENDING_CANONICAL_VALIDATION	OWNER_EXPANSION_20260819	2026-08-19
1301	台塑	TPE	active	OWNER_APPROVED_EXPANSION_CANDIDATE	PENDING_CANONICAL_VALIDATION	OWNER_EXPANSION_20260819	2026-08-19
1402	遠東新	TPE	active	OWNER_APPROVED_EXPANSION_CANDIDATE	PENDING_CANONICAL_VALIDATION	OWNER_EXPANSION_20260819	2026-08-19
1477	聚陽	TPE	active	OWNER_APPROVED_EXPANSION_CANDIDATE	PENDING_CANONICAL_VALIDATION	OWNER_EXPANSION_20260819	2026-08-19
1515	力山	TPE	active	OWNER_APPROVED_EXPANSION_CANDIDATE	PENDING_CANONICAL_VALIDATION	OWNER_EXPANSION_20260819	2026-08-19
1569	濱川	TWO	active	OWNER_APPROVED_EXPANSION_CANDIDATE	PENDING_CANONICAL_VALIDATION	OWNER_EXPANSION_20260819	2026-08-19
1586	和勤	TWO	active	OWNER_APPROVED_EXPANSION_CANDIDATE	PENDING_CANONICAL_VALIDATION	OWNER_EXPANSION_20260819	2026-08-19
1709	和益	TPE	active	OWNER_APPROVED_EXPANSION_CANDIDATE	PENDING_CANONICAL_VALIDATION	OWNER_EXPANSION_20260819	2026-08-19
1717	長興	TPE	active	OWNER_APPROVED_EXPANSION_CANDIDATE	PENDING_CANONICAL_VALIDATION	OWNER_EXPANSION_20260819	2026-08-19
1718	中纖	TPE	active	OWNER_APPROVED_EXPANSION_CANDIDATE	PENDING_CANONICAL_VALIDATION	OWNER_EXPANSION_20260819	2026-08-19
1736	喬山	TPE	active	OWNER_APPROVED_EXPANSION_CANDIDATE	PENDING_CANONICAL_VALIDATION	OWNER_EXPANSION_20260819	2026-08-19
1809	中釉	TPE	active	OWNER_APPROVED_EXPANSION_CANDIDATE	PENDING_CANONICAL_VALIDATION	OWNER_EXPANSION_20260819	2026-08-19
1909	榮成	TPE	active	OWNER_APPROVED_EXPANSION_CANDIDATE	PENDING_CANONICAL_VALIDATION	OWNER_EXPANSION_20260819	2026-08-19
2070	精湛	TWO	active	OWNER_APPROVED_EXPANSION_CANDIDATE	PENDING_CANONICAL_VALIDATION	OWNER_EXPANSION_20260819	2026-08-19
2101	南港	TPE	active	OWNER_APPROVED_EXPANSION_CANDIDATE	PENDING_CANONICAL_VALIDATION	OWNER_EXPANSION_20260819	2026-08-19
2208	台船	TPE	active	OWNER_APPROVED_EXPANSION_CANDIDATE	PENDING_CANONICAL_VALIDATION	OWNER_EXPANSION_20260819	2026-08-19
2231	為升	TPE	active	OWNER_APPROVED_EXPANSION_CANDIDATE	PENDING_CANONICAL_VALIDATION	OWNER_EXPANSION_20260819	2026-08-19
2328	廣宇	TPE	active	OWNER_APPROVED_EXPANSION_CANDIDATE	PENDING_CANONICAL_VALIDATION	OWNER_EXPANSION_20260819	2026-08-19
2329	華泰	TPE	active	OWNER_APPROVED_EXPANSION_CANDIDATE	PENDING_CANONICAL_VALIDATION	OWNER_EXPANSION_20260819	2026-08-19
2331	精英	TPE	active	OWNER_APPROVED_EXPANSION_CANDIDATE	PENDING_CANONICAL_VALIDATION	OWNER_EXPANSION_20260819	2026-08-19
2349	錸德	TPE	active	OWNER_APPROVED_EXPANSION_CANDIDATE	PENDING_CANONICAL_VALIDATION	OWNER_EXPANSION_20260819	2026-08-19
2354	鴻準	TPE	active	OWNER_APPROVED_EXPANSION_CANDIDATE	PENDING_CANONICAL_VALIDATION	OWNER_EXPANSION_20260819	2026-08-19
2371	大同	TPE	active	OWNER_APPROVED_EXPANSION_CANDIDATE	PENDING_CANONICAL_VALIDATION	OWNER_EXPANSION_20260819	2026-08-19
2436	偉詮電	TPE	active	OWNER_APPROVED_EXPANSION_CANDIDATE	PENDING_CANONICAL_VALIDATION	OWNER_EXPANSION_20260819	2026-08-19
2601	益航	TPE	active	OWNER_APPROVED_EXPANSION_CANDIDATE	PENDING_CANONICAL_VALIDATION	OWNER_EXPANSION_20260819	2026-08-19
2603	長榮	TPE	active	OWNER_APPROVED_EXPANSION_CANDIDATE	PENDING_CANONICAL_VALIDATION	OWNER_EXPANSION_20260819	2026-08-19
2605	新興	TPE	active	OWNER_APPROVED_EXPANSION_CANDIDATE	PENDING_CANONICAL_VALIDATION	OWNER_EXPANSION_20260819	2026-08-19
2606	裕民	TPE	active	OWNER_APPROVED_EXPANSION_CANDIDATE	PENDING_CANONICAL_VALIDATION	OWNER_EXPANSION_20260819	2026-08-19
2609	陽明	TPE	active	OWNER_APPROVED_EXPANSION_CANDIDATE	PENDING_CANONICAL_VALIDATION	OWNER_EXPANSION_20260819	2026-08-19
2610	華航	TPE	active	OWNER_APPROVED_EXPANSION_CANDIDATE	PENDING_CANONICAL_VALIDATION	OWNER_EXPANSION_20260819	2026-08-19
