label_id,horizon,label,total_rows,available_rows,coverage,status,as_of_safe,target_arithmetic,note,source_class,research_authority
forward_return_t1,1,forward_return,2906,2893,0.995526496903,AVAILABLE,YES,TRADING_SESSION_OFFSET,A2 observable endpoint,HISTORICAL_RECONSTRUCTED_RESEARCH,EVIDENCE_ONLY
market_relative_return_t1,1,market_relative_return,2906,0,0,INSUFFICIENT,NO,TRADING_SESSION_OFFSET,No PIT-safe market benchmark,HISTORICAL_RECONSTRUCTED_RESEARCH,EVIDENCE_ONLY
topic_relative_return_t1,1,topic_relative_return,2906,2796,0.962147281487,AVAILABLE_WHERE_TOPIC_WINDOW_MATCHES,YES,TRADING_SESSION_OFFSET,Current-taxonomy reconstructed topic return,HISTORICAL_RECONSTRUCTED_RESEARCH,EVIDENCE_ONLY
mfe_t1,1,mfe,2906,2893,0.995526496903,AVAILABLE,YES,TRADING_SESSION_OFFSET,A2 path-aware MFE,HISTORICAL_RECONSTRUCTED_RESEARCH,EVIDENCE_ONLY
mae_t1,1,mae,2906,2893,0.995526496903,AVAILABLE,YES,TRADING_SESSION_OFFSET,A2 path-aware MAE,HISTORICAL_RECONSTRUCTED_RESEARCH,EVIDENCE_ONLY
forward_return_t3,3,forward_return,2906,2845,0.979008947006,AVAILABLE,YES,TRADING_SESSION_OFFSET,A2 observable endpoint,HISTORICAL_RECONSTRUCTED_RESEARCH,EVIDENCE_ONLY
market_relative_return_t3,3,market_relative_return,2906,0,0,INSUFFICIENT,NO,TRADING_SESSION_OFFSET,No PIT-safe market benchmark,HISTORICAL_RECONSTRUCTED_RESEARCH,EVIDENCE_ONLY
topic_relative_return_t3,3,topic_relative_return,2906,2748,0.94562973159,AVAILABLE_WHERE_TOPIC_WINDOW_MATCHES,YES,TRADING_SESSION_OFFSET,Current-taxonomy reconstructed topic return,HISTORICAL_RECONSTRUCTED_RESEARCH,EVIDENCE_ONLY
mfe_t3,3,mfe,2906,2845,0.979008947006,AVAILABLE,YES,TRADING_SESSION_OFFSET,A2 path-aware MFE,HISTORICAL_RECONSTRUCTED_RESEARCH,EVIDENCE_ONLY
mae_t3,3,mae,2906,2845,0.979008947006,AVAILABLE,YES,TRADING_SESSION_OFFSET,A2 path-aware MAE,HISTORICAL_RECONSTRUCTED_RESEARCH,EVIDENCE_ONLY
forward_return_t5,5,forward_return,2906,2804,0.964900206469,AVAILABLE,YES,TRADING_SESSION_OFFSET,A2 observable endpoint,HISTORICAL_RECONSTRUCTED_RESEARCH,EVIDENCE_ONLY
market_relative_return_t5,5,market_relative_return,2906,0,0,INSUFFICIENT,NO,TRADING_SESSION_OFFSET,No PIT-safe market benchmark,HISTORICAL_RECONSTRUCTED_RESEARCH,EVIDENCE_ONLY
topic_relative_return_t5,5,topic_relative_return,2906,2708,0.931865106676,AVAILABLE_WHERE_TOPIC_WINDOW_MATCHES,YES,TRADING_SESSION_OFFSET,Current-taxonomy reconstructed topic return,HISTORICAL_RECONSTRUCTED_RESEARCH,EVIDENCE_ONLY
mfe_t5,5,mfe,2906,2804,0.964900206469,AVAILABLE,YES,TRADING_SESSION_OFFSET,A2 path-aware MFE,HISTORICAL_RECONSTRUCTED_RESEARCH,EVIDENCE_ONLY
mae_t5,5,mae,2906,2804,0.964900206469,AVAILABLE,YES,TRADING_SESSION_OFFSET,A2 path-aware MAE,HISTORICAL_RECONSTRUCTED_RESEARCH,EVIDENCE_ONLY
forward_return_t10,10,forward_return,2906,2677,0.921197522368,AVAILABLE,YES,TRADING_SESSION_OFFSET,A2 observable endpoint,HISTORICAL_RECONSTRUCTED_RESEARCH,EVIDENCE_ONLY
market_relative_return_t10,10,market_relative_return,2906,0,0,INSUFFICIENT,NO,TRADING_SESSION_OFFSET,No PIT-safe market benchmark,HISTORICAL_RECONSTRUCTED_RESEARCH,EVIDENCE_ONLY
topic_relative_return_t10,10,topic_relative_return,2906,2583,0.88885065382,AVAILABLE_WHERE_TOPIC_WINDOW_MATCHES,YES,TRADING_SESSION_OFFSET,Current-taxonomy reconstructed topic return,HISTORICAL_RECONSTRUCTED_RESEARCH,EVIDENCE_ONLY
mfe_t10,10,mfe,2906,2677,0.921197522368,AVAILABLE,YES,TRADING_SESSION_OFFSET,A2 path-aware MFE,HISTORICAL_RECONSTRUCTED_RESEARCH,EVIDENCE_ONLY
mae_t10,10,mae,2906,2677,0.921197522368,AVAILABLE,YES,TRADING_SESSION_OFFSET,A2 path-aware MAE,HISTORICAL_RECONSTRUCTED_RESEARCH,EVIDENCE_ONLY
