source_row,source_stock_code,source_stock_name,source_market,source_listing_status,stock_code,stock_name,market,listing_status
2,1101,台泥,TPE,active,1101,台泥,TPE,active
3,1301,台塑,TPE,active,1301,台塑,TPE,active
4,1402,遠東新,TPE,active,1402,遠東新,TPE,active
5,1477,聚陽,TPE,active,1477,聚陽,TPE,active
6,1515,力山,TPE,active,1515,力山,TPE,active
7,1569,濱川,TWO,active,1569,濱川,TWO,active
8,1586,和勤,TWO,active,1586,和勤,TWO,active
9,1709,和益,TPE,active,1709,和益,TPE,active
10,1717,長興,TPE,active,1717,長興,TPE,active
11,1718,中纖,TPE,active,1718,中纖,TPE,active
12,1736,喬山,TPE,active,1736,喬山,TPE,active
13,1809,中釉,TPE,active,1809,中釉,TPE,active
14,1909,榮成,TPE,active,1909,榮成,TPE,active
15,2070,精湛,TWO,active,2070,精湛,TWO,active
16,2101,南港,TPE,active,2101,南港,TPE,active
17,2208,台船,TPE,active,2208,台船,TPE,active
18,2231,為升,TPE,active,2231,為升,TPE,active
19,2328,廣宇,TPE,active,2328,廣宇,TPE,active
20,2329,華泰,TPE,active,2329,華泰,TPE,active
21,2331,精英,TPE,active,2331,精英,TPE,active
22,2349,錸德,TPE,active,2349,錸德,TPE,active
23,2354,鴻準,TPE,active,2354,鴻準,TPE,active
24,2371,大同,TPE,active,2371,大同,TPE,active
25,2436,偉詮電,TPE,active,2436,偉詮電,TPE,active
26,2601,益航,TPE,active,2601,益航,TPE,active
27,2603,長榮,TPE,active,2603,長榮,TPE,active
28,2605,新興,TPE,active,2605,新興,TPE,active
29,2606,裕民,TPE,active,2606,裕民,TPE,active
30,2609,陽明,TPE,active,2609,陽明,TPE,active
31,2610,華航,TPE,active,2610,華航,TPE,active
32,2611,志信,TPE,active,2611,志信,TPE,active
33,2613,中櫃,TPE,active,2613,中櫃,TPE,active
34,2615,萬海,TPE,active,2615,萬海,TPE,active
35,2617,台航,TPE,active,2617,台航,TPE,active
36,2636,台驊控股,TPE,active,2636,台驊控股,TPE,active
37,2641,正德,TWO,active,2641,正德,TWO,active
38,2646,星宇航空,TPE,active,2646,星宇航空,TPE,active
39,2851,中再保,TPE,active,2851,中再保,TPE,active
40,3036,文曄,TPE,active,3036,文曄,TPE,active
41,3088,艾訊,TWO,active,3088,艾訊,TWO,active
42,3227,原相,TWO,active,3227,原相,TWO,active
43,3230,錦明,TWO,active,3230,錦明,TWO,active
44,3312,弘憶股,TPE,active,3312,弘憶股,TPE,active
45,3388,崇越電,TWO,active,3388,崇越電,TWO,active
46,3406,玉晶光,TPE,active,3406,玉晶光,TPE,active
47,3455,由田,TWO,active,3455,由田,TWO,active
48,3490,單井,TWO,active,3490,單井,TWO,active
49,3508,位速,TWO,active,3508,位速,TWO,active
50,3533,嘉澤,TPE,active,3533,嘉澤,TPE,active
51,3587,閎康,TWO,active,3587,閎康,TWO,active
52,3689,湧德,TWO,active,3689,湧德,TWO,active
53,3702,大聯大,TPE,active,3702,大聯大,TPE,active
54,3704,合勤控,TPE,active,3704,合勤控,TPE,active
55,4114,健喬,TWO,active,4114,健喬,TWO,active
56,4123,晟德,TWO,active,4123,晟德,TWO,active
57,4416,三圓,TWO,active,4416,三圓,TWO,active
58,4533,協易機,TWO,active,4533,協易機,TWO,active
59,4561,健椿,TWO,active,4561,健椿,TWO,active
60,4566,時碩工業,TPE,active,4566,時碩工業,TPE,active
61,4739,康普,TPE,active,4739,康普,TPE,active
62,4906,正文,TPE,active,4906,正文,TPE,active
63,4946,辣椒,TWO,active,4946,辣椒,TWO,active
64,4960,誠美材,TPE,active,4960,誠美材,TPE,active
65,4968,立積,TPE,active,4968,立積,TPE,active
66,5291,邑昇,TWO,active,5291,邑昇,TWO,active
67,5309,系統電,TWO,active,5309,系統電,TWO,active
68,5321,美而快,TWO,active,5321,美而快,TWO,active
69,5468,凱鈺,TWO,active,5468,凱鈺,TWO,active
70,5474,聰泰,TWO,active,5474,聰泰,TWO,active
71,5515,建國,TPE,active,5515,建國,TPE,active
72,5607,遠雄港,TPE,active,5607,遠雄港,TPE,active
73,5608,四維航,TPE,active,5608,四維航,TPE,active
74,6016,康和證,TWO,active,6016,康和證,TWO,active
75,6108,競國,TPE,active,6108,競國,TPE,active
76,6125,廣運,TWO,active,6125,廣運,TWO,active
77,6190,萬泰科,TWO,active,6190,萬泰科,TWO,active
78,6199,天品,TWO,active,6199,天品,TWO,active
79,6217,中探針,TWO,active,6217,中探針,TWO,active
80,6218,豪勉,TWO,active,6218,豪勉,TWO,active
81,6278,台表科,TPE,active,6278,台表科,TPE,active
82,6284,佳邦,TWO,active,6284,佳邦,TWO,active
83,6290,良維,TWO,active,6290,良維,TWO,active
84,6532,瑞耘,TWO,active,6532,瑞耘,TWO,active
85,6584,南俊國際,TWO,active,6584,南俊國際,TWO,active
86,7792,安葆,TWO,active,7792,安葆,TWO,active
87,8086,宏捷科,TWO,active,8086,宏捷科,TWO,active
88,8103,瀚荃,TPE,active,8103,瀚荃,TPE,active
89,8109,博大,TWO,active,8109,博大,TWO,active
90,8110,華東,TPE,active,8110,華東,TPE,active
91,8121,越峰,TWO,active,8121,越峰,TWO,active
92,8131,福懋科,TPE,active,8131,福懋科,TPE,active
93,8234,新漢,TWO,active,8234,新漢,TWO,active
94,8932,智通*,TWO,active,8932,智通*,TWO,active
95,9904,寶成,TPE,active,9904,寶成,TPE,active
96,9921,巨大,TPE,active,9921,巨大,TPE,active
97,9945,潤泰新,TPE,active,9945,潤泰新,TPE,active
