topic_id,topic_slug,d0_date,d0_previous_stage,d0_stage,d1_date,d1_stage,d1_candidate_stage,d1_evaluation_status,d1_transition_reason
390b351a-37b0-475a-9077-e19c0ec5760e,12 吋矽晶圓,2026-04-21,FERMENTING,MAIN_RISE,2026-04-20,FERMENTING,MAIN_RISE,EVALUATED,ORDINARY_SIGNAL_PENDING_CONFIRMATION
390b351a-37b0-475a-9077-e19c0ec5760e,12 吋矽晶圓,2026-05-22,MATURE,MAIN_RISE,2026-05-21,MATURE,MAIN_RISE,EVALUATED,ORDINARY_SIGNAL_PENDING_CONFIRMATION
390b351a-37b0-475a-9077-e19c0ec5760e,12 吋矽晶圓,2026-06-15,MATURE,MAIN_RISE,2026-06-12,MATURE,MAIN_RISE,EVALUATED,ORDINARY_SIGNAL_PENDING_CONFIRMATION
390b351a-37b0-475a-9077-e19c0ec5760e,12 吋矽晶圓,2026-08-13,MATURE,MAIN_RISE,2026-08-12,MATURE,MAIN_RISE,EVALUATED,ORDINARY_SIGNAL_PENDING_CONFIRMATION
4bf1ec34-ee86-41f4-b304-385f32ca4fe1,8 吋矽晶圓,2026-05-04,FERMENTING,MAIN_RISE,2026-04-30,FERMENTING,MAIN_RISE,EVALUATED,ORDINARY_SIGNAL_PENDING_CONFIRMATION
4bf1ec34-ee86-41f4-b304-385f32ca4fe1,8 吋矽晶圓,2026-05-22,MATURE,MAIN_RISE,2026-05-21,MATURE,MAIN_RISE,EVALUATED,ORDINARY_SIGNAL_PENDING_CONFIRMATION
4bf1ec34-ee86-41f4-b304-385f32ca4fe1,8 吋矽晶圓,2026-06-15,MATURE,MAIN_RISE,2026-06-12,MATURE,MAIN_RISE,EVALUATED,ORDINARY_SIGNAL_PENDING_CONFIRMATION
4bf1ec34-ee86-41f4-b304-385f32ca4fe1,8 吋矽晶圓,2026-07-03,FERMENTING,MAIN_RISE,2026-07-02,FERMENTING,MAIN_RISE,EVALUATED,ORDINARY_SIGNAL_PENDING_CONFIRMATION
c6c49201-b9a1-45dc-9ef2-f7f1f72eadca,ABF載板,2026-02-24,,MAIN_RISE,2026-02-23,PENDING,MAIN_RISE,PENDING,ORDINARY_SIGNAL_PENDING_CONFIRMATION
c6c49201-b9a1-45dc-9ef2-f7f1f72eadca,ABF載板,2026-03-16,FERMENTING,MAIN_RISE,2026-03-13,FERMENTING,MAIN_RISE,EVALUATED,ORDINARY_SIGNAL_PENDING_CONFIRMATION
