indicator_id,formal_status,status,calculable_observations,unavailable_observations,limited_observations,instrument_coverage_count,session_coverage_count,first_calculable_session,last_calculable_session,market_split,missing_reason_distribution
MA5,FORMAL_V0,NOT_RUN_SOURCE_CONTRACT_BLOCKED,,,,,,,,,SOURCE_CONTRACT_NOT_CANONICAL_FOR_603_UNIVERSE
MA10,FORMAL_V0,NOT_RUN_SOURCE_CONTRACT_BLOCKED,,,,,,,,,SOURCE_CONTRACT_NOT_CANONICAL_FOR_603_UNIVERSE
MA20,FORMAL_V0,NOT_RUN_SOURCE_CONTRACT_BLOCKED,,,,,,,,,SOURCE_CONTRACT_NOT_CANONICAL_FOR_603_UNIVERSE
MA60,FORMAL_V0,NOT_RUN_SOURCE_CONTRACT_BLOCKED,,,,,,,,,SOURCE_CONTRACT_NOT_CANONICAL_FOR_603_UNIVERSE
DISTANCE_TO_MA20,FORMAL_V0,NOT_RUN_SOURCE_CONTRACT_BLOCKED,,,,,,,,,SOURCE_CONTRACT_NOT_CANONICAL_FOR_603_UNIVERSE
RAW_CLOSE_RETURN_5D,FORMAL_V0,NOT_RUN_SOURCE_CONTRACT_BLOCKED,,,,,,,,,SOURCE_CONTRACT_NOT_CANONICAL_FOR_603_UNIVERSE
RAW_CLOSE_RETURN_20D,FORMAL_V0,NOT_RUN_SOURCE_CONTRACT_BLOCKED,,,,,,,,,SOURCE_CONTRACT_NOT_CANONICAL_FOR_603_UNIVERSE
VOLUME_MA5,FORMAL_V0,NOT_RUN_SOURCE_CONTRACT_BLOCKED,,,,,,,,,SOURCE_CONTRACT_NOT_CANONICAL_FOR_603_UNIVERSE
VOLUME_MA20,FORMAL_V0,NOT_RUN_SOURCE_CONTRACT_BLOCKED,,,,,,,,,SOURCE_CONTRACT_NOT_CANONICAL_FOR_603_UNIVERSE
VOLUME_RATIO_20,FORMAL_V0,NOT_RUN_SOURCE_CONTRACT_BLOCKED,,,,,,,,,SOURCE_CONTRACT_NOT_CANONICAL_FOR_603_UNIVERSE
RSI14,FORMAL_V0,NOT_RUN_SOURCE_CONTRACT_BLOCKED,,,,,,,,,SOURCE_CONTRACT_NOT_CANONICAL_FOR_603_UNIVERSE
MACD_12_26_9,FORMAL_V0,NOT_RUN_SOURCE_CONTRACT_BLOCKED,,,,,,,,,SOURCE_CONTRACT_NOT_CANONICAL_FOR_603_UNIVERSE
MACD_SIGNAL_12_26_9,FORMAL_V0,NOT_RUN_SOURCE_CONTRACT_BLOCKED,,,,,,,,,SOURCE_CONTRACT_NOT_CANONICAL_FOR_603_UNIVERSE
MACD_HISTOGRAM_12_26_9,FORMAL_V0,NOT_RUN_SOURCE_CONTRACT_BLOCKED,,,,,,,,,SOURCE_CONTRACT_NOT_CANONICAL_FOR_603_UNIVERSE
