indicator_id,formal_status,calculable_observation_count,limited_observation_count,unavailable_observation_count,instrument_coverage_count,session_coverage_count,first_calculable_session,last_calculable_session,TPE_calculable_observations,TWO_calculable_observations,missing_reason_distribution
DISTANCE_TO_MA20,FORMAL_V0,263515,118542,25366,603,467,2024-09-09,2026-08-13,162533,100982,"{""KNOWN_VERIFIED_EVENT_REQUIRES_EVENT_AWARE_HANDLING"": 6309, ""UNAVAILABLE_INSUFFICIENT_HISTORY"": 11457, ""UNAVAILABLE_INVALID_OBSERVATION"": 7600, ""VALUE_AVAILABLE"": 263515}"
MA10,FORMAL_V0,276490,122442,12391,603,477,2024-08-26,2026-08-13,170155,106335,"{""KNOWN_VERIFIED_EVENT_REQUIRES_EVENT_AWARE_HANDLING"": 3364, ""UNAVAILABLE_INSUFFICIENT_HISTORY"": 5427, ""UNAVAILABLE_INVALID_OBSERVATION"": 3600, ""VALUE_AVAILABLE"": 276490}"
MA20,FORMAL_V0,263515,118542,25366,603,467,2024-09-09,2026-08-13,162533,100982,"{""KNOWN_VERIFIED_EVENT_REQUIRES_EVENT_AWARE_HANDLING"": 6309, ""UNAVAILABLE_INSUFFICIENT_HISTORY"": 11457, ""UNAVAILABLE_INVALID_OBSERVATION"": 7600, ""VALUE_AVAILABLE"": 263515}"
MA5,FORMAL_V0,283164,124392,5717,603,482,2024-08-19,2026-08-13,174065,109099,"{""KNOWN_VERIFIED_EVENT_REQUIRES_EVENT_AWARE_HANDLING"": 1705, ""UNAVAILABLE_INSUFFICIENT_HISTORY"": 2412, ""UNAVAILABLE_INVALID_OBSERVATION"": 1600, ""VALUE_AVAILABLE"": 283164}"
MA60,FORMAL_V0,219685,102965,69196,602,427,2024-11-11,2026-08-13,136968,82717,"{""KNOWN_VERIFIED_EVENT_REQUIRES_EVENT_AWARE_HANDLING"": 10113, ""UNAVAILABLE_INSUFFICIENT_HISTORY"": 35570, ""UNAVAILABLE_INVALID_OBSERVATION"": 23513, ""VALUE_AVAILABLE"": 219685}"
MACD_12_26_9,FORMAL_V0,221011,103366,67870,602,461,2024-09-18,2026-08-13,139681,81330,"{""KNOWN_VERIFIED_EVENT_REQUIRES_EVENT_AWARE_HANDLING"": 2537, ""UNAVAILABLE_INSUFFICIENT_HISTORY"": 15075, ""UNAVAILABLE_INVALID_OBSERVATION"": 50258, ""VALUE_AVAILABLE"": 221011}"
MACD_HISTOGRAM_12_26_9,FORMAL_V0,216195,101270,72686,602,453,2024-09-30,2026-08-13,136721,79474,"{""KNOWN_VERIFIED_EVENT_REQUIRES_EVENT_AWARE_HANDLING"": 2537, ""UNAVAILABLE_INSUFFICIENT_HISTORY"": 19899, ""UNAVAILABLE_INVALID_OBSERVATION"": 50250, ""VALUE_AVAILABLE"": 216195}"
MACD_SIGNAL_12_26_9,FORMAL_V0,216195,101270,72686,602,453,2024-09-30,2026-08-13,136721,79474,"{""KNOWN_VERIFIED_EVENT_REQUIRES_EVENT_AWARE_HANDLING"": 2537, ""UNAVAILABLE_INSUFFICIENT_HISTORY"": 19899, ""UNAVAILABLE_INVALID_OBSERVATION"": 50250, ""VALUE_AVAILABLE"": 216195}"
RAW_CLOSE_RETURN_20D,FORMAL_V0,262246,118152,26635,603,466,2024-09-10,2026-08-13,161785,100461,"{""KNOWN_VERIFIED_EVENT_REQUIRES_EVENT_AWARE_HANDLING"": 6575, ""UNAVAILABLE_INSUFFICIENT_HISTORY"": 12060, ""UNAVAILABLE_INVALID_OBSERVATION"": 8000, ""VALUE_AVAILABLE"": 262246}"
RAW_CLOSE_RETURN_5D,FORMAL_V0,281823,124002,7058,603,481,2024-08-20,2026-08-13,173279,108544,"{""KNOWN_VERIFIED_EVENT_REQUIRES_EVENT_AWARE_HANDLING"": 2043, ""UNAVAILABLE_INSUFFICIENT_HISTORY"": 3015, ""UNAVAILABLE_INVALID_OBSERVATION"": 2000, ""VALUE_AVAILABLE"": 281823}"
RSI14,FORMAL_V0,227640,106248,61241,603,472,2024-09-02,2026-08-13,143751,83889,"{""KNOWN_VERIFIED_EVENT_REQUIRES_EVENT_AWARE_HANDLING"": 2537, ""UNAVAILABLE_INSUFFICIENT_HISTORY"": 8442, ""UNAVAILABLE_INVALID_OBSERVATION"": 50262, ""VALUE_AVAILABLE"": 227640}"
VOLUME_MA20,FORMAL_V0,263515,118542,25366,603,467,2024-09-09,2026-08-13,162533,100982,"{""KNOWN_VERIFIED_EVENT_REQUIRES_EVENT_AWARE_HANDLING"": 6309, ""UNAVAILABLE_INSUFFICIENT_HISTORY"": 11457, ""UNAVAILABLE_INVALID_OBSERVATION"": 7600, ""VALUE_AVAILABLE"": 263515}"
VOLUME_MA5,FORMAL_V0,283164,124392,5717,603,482,2024-08-19,2026-08-13,174065,109099,"{""KNOWN_VERIFIED_EVENT_REQUIRES_EVENT_AWARE_HANDLING"": 1705, ""UNAVAILABLE_INSUFFICIENT_HISTORY"": 2412, ""UNAVAILABLE_INVALID_OBSERVATION"": 1600, ""VALUE_AVAILABLE"": 283164}"
VOLUME_RATIO_20,FORMAL_V0,263515,118542,25366,603,467,2024-09-09,2026-08-13,162533,100982,"{""KNOWN_VERIFIED_EVENT_REQUIRES_EVENT_AWARE_HANDLING"": 6309, ""UNAVAILABLE_INSUFFICIENT_HISTORY"": 11457, ""UNAVAILABLE_INVALID_OBSERVATION"": 7600, ""VALUE_AVAILABLE"": 263515}"
