instrument_identity,instrument_code,market,instrument_id,as_of_date,indicator_id,indicator_family,indicator_version,value,technical_result_status,technical_eligibility,event_authority_status,event_lookup_state,continuity_state,publication_state,availability_class,availability_reason,limitation_reasons,required_observation_count,actual_observation_count,required_observation_window,actual_observation_window,algorithm_id,algorithm_version,parameter_set,price_basis,source_authority,source_lineage,continuity_evidence,publication_metadata,strategy_eligibility_is_separate
TPE:1303,1303,TPE,7508fdb6-8054-4410-814f-2f645d1c40e0,"""2026-08-13""",DISTANCE_TO_MA20,DISTANCE_TO_MA20,stock-technical-v0-policy.v4,"""0.05808257522743177046885934220""",UNAVAILABLE,UNAVAILABLE,NO_KNOWN_EVENT_EVIDENCE,NO_KNOWN_VERIFIED_BREAKING_EVENT_FOUND,CONTINUITY_UNKNOWN,FORMAL,TECHNICAL_EVIDENCE_AVAILABLE,,[],20,20,"{""end_session"": ""2026-08-13"", ""observation_count"": 20, ""start_session"": ""2026-07-17""}","{""end_session"": ""2026-08-13"", ""observation_count"": 20, ""start_session"": ""2026-07-17""}",DISTANCE_TO_MA20_V1,DISTANCE_TO_MA20_V1,"{""formula"": ""(close_t - MA20_t) / MA20_t"", ""ma_period"": 20}",RAW_OBSERVED,V2_CANONICAL_OBSERVATION_CHAIN,"{""adapter_versions"": [""twse-official-daily.v1""], ""authority"": ""V2_CANONICAL_OBSERVATION_CHAIN"", ""lineage_state"": ""VERSIONED"", ""mapping_policy_versions"": [""hist-002b-promotion-mapping.v1""], ""normalization_contract_versions"": [""normalization-contract-v1""], ""observation_semantics"": [""DAILY_BAR""], ""reference_data_versions"": [""tw-reference-v1""], ""series_semantics"": ""RAW_OBSERVED_DAILY_BAR"", ""source_codes"": [""TWSE_OFFICIAL_DAILY""]}","{""as_of_session"": ""2026-08-13"", ""authority"": null, ""canonical_identity"": ""7508fdb6-8054-4410-814f-2f645d1c40e0"", ""evidence_id"": null, ""indicator_id"": ""DISTANCE_TO_MA20"", ""method"": null, ""reason"": ""CONTINUITY_AUTHORITY_UNAVAILABLE"", ""required_observation_window"": {""end_session"": ""2026-08-13"", ""observation_count"": 20, ""start_session"": ""2026-07-17""}, ""state"": ""CONTINUITY_UNKNOWN""}","{""as_of"": ""2026-08-14T12:39:47.027280+00:00"", ""known_event_handling"": []}",True
TPE:1303,1303,TPE,7508fdb6-8054-4410-814f-2f645d1c40e0,"""2026-08-13""",MA10,MA,stock-technical-v0-policy.v4,"""179.150000000000000000""",UNAVAILABLE,UNAVAILABLE,NO_KNOWN_EVENT_EVIDENCE,NO_KNOWN_VERIFIED_BREAKING_EVENT_FOUND,CONTINUITY_UNKNOWN,FORMAL,TECHNICAL_EVIDENCE_AVAILABLE,,[],10,10,"{""end_session"": ""2026-08-13"", ""observation_count"": 10, ""start_session"": ""2026-07-31""}","{""end_session"": ""2026-08-13"", ""observation_count"": 10, ""start_session"": ""2026-07-31""}",SMA_CLOSE_V1,SMA_CLOSE_V1,"{""input"": ""accepted_raw_close"", ""period"": 10}",RAW_OBSERVED,V2_CANONICAL_OBSERVATION_CHAIN,"{""adapter_versions"": [""twse-official-daily.v1""], ""authority"": ""V2_CANONICAL_OBSERVATION_CHAIN"", ""lineage_state"": ""VERSIONED"", ""mapping_policy_versions"": [""hist-002b-promotion-mapping.v1""], ""normalization_contract_versions"": [""normalization-contract-v1""], ""observation_semantics"": [""DAILY_BAR""], ""reference_data_versions"": [""tw-reference-v1""], ""series_semantics"": ""RAW_OBSERVED_DAILY_BAR"", ""source_codes"": [""TWSE_OFFICIAL_DAILY""]}","{""as_of_session"": ""2026-08-13"", ""authority"": null, ""canonical_identity"": ""7508fdb6-8054-4410-814f-2f645d1c40e0"", ""evidence_id"": null, ""indicator_id"": ""MA10"", ""method"": null, ""reason"": ""CONTINUITY_AUTHORITY_UNAVAILABLE"", ""required_observation_window"": {""end_session"": ""2026-08-13"", ""observation_count"": 10, ""start_session"": ""2026-07-31""}, ""state"": ""CONTINUITY_UNKNOWN""}","{""as_of"": ""2026-08-14T12:39:47.027280+00:00"", ""known_event_handling"": []}",True
TPE:1303,1303,TPE,7508fdb6-8054-4410-814f-2f645d1c40e0,"""2026-08-13""",MA20,MA,stock-technical-v0-policy.v4,"""178.625000000000000000""",UNAVAILABLE,UNAVAILABLE,NO_KNOWN_EVENT_EVIDENCE,NO_KNOWN_VERIFIED_BREAKING_EVENT_FOUND,CONTINUITY_UNKNOWN,FORMAL,TECHNICAL_EVIDENCE_AVAILABLE,,[],20,20,"{""end_session"": ""2026-08-13"", ""observation_count"": 20, ""start_session"": ""2026-07-17""}","{""end_session"": ""2026-08-13"", ""observation_count"": 20, ""start_session"": ""2026-07-17""}",SMA_CLOSE_V1,SMA_CLOSE_V1,"{""input"": ""accepted_raw_close"", ""period"": 20}",RAW_OBSERVED,V2_CANONICAL_OBSERVATION_CHAIN,"{""adapter_versions"": [""twse-official-daily.v1""], ""authority"": ""V2_CANONICAL_OBSERVATION_CHAIN"", ""lineage_state"": ""VERSIONED"", ""mapping_policy_versions"": [""hist-002b-promotion-mapping.v1""], ""normalization_contract_versions"": [""normalization-contract-v1""], ""observation_semantics"": [""DAILY_BAR""], ""reference_data_versions"": [""tw-reference-v1""], ""series_semantics"": ""RAW_OBSERVED_DAILY_BAR"", ""source_codes"": [""TWSE_OFFICIAL_DAILY""]}","{""as_of_session"": ""2026-08-13"", ""authority"": null, ""canonical_identity"": ""7508fdb6-8054-4410-814f-2f645d1c40e0"", ""evidence_id"": null, ""indicator_id"": ""MA20"", ""method"": null, ""reason"": ""CONTINUITY_AUTHORITY_UNAVAILABLE"", ""required_observation_window"": {""end_session"": ""2026-08-13"", ""observation_count"": 20, ""start_session"": ""2026-07-17""}, ""state"": ""CONTINUITY_UNKNOWN""}","{""as_of"": ""2026-08-14T12:39:47.027280+00:00"", ""known_event_handling"": []}",True
TPE:1303,1303,TPE,7508fdb6-8054-4410-814f-2f645d1c40e0,"""2026-08-13""",MA5,MA,stock-technical-v0-policy.v4,"""188.200000000000000000""",UNAVAILABLE,UNAVAILABLE,NO_KNOWN_EVENT_EVIDENCE,NO_KNOWN_VERIFIED_BREAKING_EVENT_FOUND,CONTINUITY_UNKNOWN,FORMAL,TECHNICAL_EVIDENCE_AVAILABLE,,[],5,5,"{""end_session"": ""2026-08-13"", ""observation_count"": 5, ""start_session"": ""2026-08-07""}","{""end_session"": ""2026-08-13"", ""observation_count"": 5, ""start_session"": ""2026-08-07""}",SMA_CLOSE_V1,SMA_CLOSE_V1,"{""input"": ""accepted_raw_close"", ""period"": 5}",RAW_OBSERVED,V2_CANONICAL_OBSERVATION_CHAIN,"{""adapter_versions"": [""twse-official-daily.v1""], ""authority"": ""V2_CANONICAL_OBSERVATION_CHAIN"", ""lineage_state"": ""VERSIONED"", ""mapping_policy_versions"": [""hist-002b-promotion-mapping.v1""], ""normalization_contract_versions"": [""normalization-contract-v1""], ""observation_semantics"": [""DAILY_BAR""], ""reference_data_versions"": [""tw-reference-v1""], ""series_semantics"": ""RAW_OBSERVED_DAILY_BAR"", ""source_codes"": [""TWSE_OFFICIAL_DAILY""]}","{""as_of_session"": ""2026-08-13"", ""authority"": null, ""canonical_identity"": ""7508fdb6-8054-4410-814f-2f645d1c40e0"", ""evidence_id"": null, ""indicator_id"": ""MA5"", ""method"": null, ""reason"": ""CONTINUITY_AUTHORITY_UNAVAILABLE"", ""required_observation_window"": {""end_session"": ""2026-08-13"", ""observation_count"": 5, ""start_session"": ""2026-08-07""}, ""state"": ""CONTINUITY_UNKNOWN""}","{""as_of"": ""2026-08-14T12:39:47.027280+00:00"", ""known_event_handling"": []}",True
TPE:1303,1303,TPE,7508fdb6-8054-4410-814f-2f645d1c40e0,"""2026-08-13""",MA60,MA,stock-technical-v0-policy.v4,,UNAVAILABLE,UNAVAILABLE,KNOWN_EVENT,KNOWN_VERIFIED_BREAKING_EVENT_FOUND,CONTINUITY_UNKNOWN,UNAVAILABLE,TECHNICAL_UNAVAILABLE_CONTINUITY_BLOCKED,KNOWN_VERIFIED_EVENT_REQUIRES_EVENT_AWARE_HANDLING,[],60,60,"{""end_session"": ""2026-08-13"", ""observation_count"": 60, ""start_session"": ""2026-05-20""}","{""end_session"": ""2026-08-13"", ""observation_count"": 60, ""start_session"": ""2026-05-20""}",SMA_CLOSE_V1,SMA_CLOSE_V1,"{""input"": ""accepted_raw_close"", ""period"": 60}",RAW_OBSERVED,V2_CANONICAL_OBSERVATION_CHAIN,"{""adapter_versions"": [""twse-official-daily.v1""], ""authority"": ""V2_CANONICAL_OBSERVATION_CHAIN"", ""lineage_state"": ""VERSIONED"", ""mapping_policy_versions"": [""hist-002b-promotion-mapping.v1""], ""normalization_contract_versions"": [""normalization-contract-v1""], ""observation_semantics"": [""DAILY_BAR""], ""reference_data_versions"": [""tw-reference-v1""], ""series_semantics"": ""RAW_OBSERVED_DAILY_BAR"", ""source_codes"": [""TWSE_OFFICIAL_DAILY""]}","{""as_of_session"": ""2026-08-13"", ""authority"": null, ""canonical_identity"": ""7508fdb6-8054-4410-814f-2f645d1c40e0"", ""evidence_id"": null, ""indicator_id"": ""MA60"", ""method"": null, ""reason"": ""CONTINUITY_AUTHORITY_UNAVAILABLE"", ""required_observation_window"": {""end_session"": ""2026-08-13"", ""observation_count"": 60, ""start_session"": ""2026-05-20""}, ""state"": ""CONTINUITY_UNKNOWN""}","{""as_of"": ""2026-08-14T12:39:47.027280+00:00"", ""known_event_handling"": [{""canonical_identity"": ""TPE:1303"", ""effective_date"": ""2026-07-08"", ""event_type"": ""CASH_DIVIDEND_EX_DIVIDEND"", ""handling"": ""EXCLUDE"", ""verified"": true}]}",True
TPE:1303,1303,TPE,7508fdb6-8054-4410-814f-2f645d1c40e0,"""2026-08-13""",MACD_12_26_9,MACD,stock-technical-v0-policy.v4,,UNAVAILABLE,UNAVAILABLE,KNOWN_EVENT,KNOWN_VERIFIED_BREAKING_EVENT_FOUND,CONTINUITY_UNKNOWN,UNAVAILABLE,TECHNICAL_UNAVAILABLE_CONTINUITY_BLOCKED,KNOWN_VERIFIED_EVENT_REQUIRES_EVENT_AWARE_HANDLING,[],26,126,"{""end_session"": ""2026-08-13"", ""observation_count"": 126, ""start_session"": ""2026-02-02""}","{""end_session"": ""2026-08-13"", ""observation_count"": 126, ""start_session"": ""2026-02-02""}",MACD_12_26_9_SMA_SEEDED_EMA_V1,MACD_12_26_9_SMA_SEEDED_EMA_V1,"{""alpha"": ""2/(N+1)"", ""ema_seed"": ""SMA"", ""fast"": 12, ""signal"": 9, ""signal_seed"": ""first_9_valid_macd_values"", ""slow"": 26}",RAW_OBSERVED,V2_CANONICAL_OBSERVATION_CHAIN,"{""adapter_versions"": [""twse-official-daily.v1""], ""authority"": ""V2_CANONICAL_OBSERVATION_CHAIN"", ""lineage_state"": ""VERSIONED"", ""mapping_policy_versions"": [""hist-002b-promotion-mapping.v1""], ""normalization_contract_versions"": [""normalization-contract-v1""], ""observation_semantics"": [""DAILY_BAR""], ""reference_data_versions"": [""tw-reference-v1""], ""series_semantics"": ""RAW_OBSERVED_DAILY_BAR"", ""source_codes"": [""TWSE_OFFICIAL_DAILY""]}","{""as_of_session"": ""2026-08-13"", ""authority"": null, ""canonical_identity"": ""7508fdb6-8054-4410-814f-2f645d1c40e0"", ""evidence_id"": null, ""indicator_id"": ""MACD_12_26_9"", ""method"": null, ""reason"": ""CONTINUITY_AUTHORITY_UNAVAILABLE"", ""required_observation_window"": {""end_session"": ""2026-08-13"", ""observation_count"": 126, ""start_session"": ""2026-02-02""}, ""state"": ""CONTINUITY_UNKNOWN""}","{""as_of"": ""2026-08-14T12:39:47.027280+00:00"", ""known_event_handling"": [{""canonical_identity"": ""TPE:1303"", ""effective_date"": ""2026-07-08"", ""event_type"": ""CASH_DIVIDEND_EX_DIVIDEND"", ""handling"": ""EXCLUDE"", ""verified"": true}]}",True
TPE:1303,1303,TPE,7508fdb6-8054-4410-814f-2f645d1c40e0,"""2026-08-13""",MACD_HISTOGRAM_12_26_9,MACD,stock-technical-v0-policy.v4,,UNAVAILABLE,UNAVAILABLE,KNOWN_EVENT,KNOWN_VERIFIED_BREAKING_EVENT_FOUND,CONTINUITY_UNKNOWN,UNAVAILABLE,TECHNICAL_UNAVAILABLE_CONTINUITY_BLOCKED,KNOWN_VERIFIED_EVENT_REQUIRES_EVENT_AWARE_HANDLING,[],34,126,"{""end_session"": ""2026-08-13"", ""observation_count"": 126, ""start_session"": ""2026-02-02""}","{""end_session"": ""2026-08-13"", ""observation_count"": 126, ""start_session"": ""2026-02-02""}",MACD_12_26_9_SMA_SEEDED_EMA_V1,MACD_12_26_9_SMA_SEEDED_EMA_V1,"{""alpha"": ""2/(N+1)"", ""ema_seed"": ""SMA"", ""fast"": 12, ""signal"": 9, ""signal_seed"": ""first_9_valid_macd_values"", ""slow"": 26}",RAW_OBSERVED,V2_CANONICAL_OBSERVATION_CHAIN,"{""adapter_versions"": [""twse-official-daily.v1""], ""authority"": ""V2_CANONICAL_OBSERVATION_CHAIN"", ""lineage_state"": ""VERSIONED"", ""mapping_policy_versions"": [""hist-002b-promotion-mapping.v1""], ""normalization_contract_versions"": [""normalization-contract-v1""], ""observation_semantics"": [""DAILY_BAR""], ""reference_data_versions"": [""tw-reference-v1""], ""series_semantics"": ""RAW_OBSERVED_DAILY_BAR"", ""source_codes"": [""TWSE_OFFICIAL_DAILY""]}","{""as_of_session"": ""2026-08-13"", ""authority"": null, ""canonical_identity"": ""7508fdb6-8054-4410-814f-2f645d1c40e0"", ""evidence_id"": null, ""indicator_id"": ""MACD_HISTOGRAM_12_26_9"", ""method"": null, ""reason"": ""CONTINUITY_AUTHORITY_UNAVAILABLE"", ""required_observation_window"": {""end_session"": ""2026-08-13"", ""observation_count"": 126, ""start_session"": ""2026-02-02""}, ""state"": ""CONTINUITY_UNKNOWN""}","{""as_of"": ""2026-08-14T12:39:47.027280+00:00"", ""known_event_handling"": [{""canonical_identity"": ""TPE:1303"", ""effective_date"": ""2026-07-08"", ""event_type"": ""CASH_DIVIDEND_EX_DIVIDEND"", ""handling"": ""EXCLUDE"", ""verified"": true}]}",True
TPE:1303,1303,TPE,7508fdb6-8054-4410-814f-2f645d1c40e0,"""2026-08-13""",MACD_SIGNAL_12_26_9,MACD,stock-technical-v0-policy.v4,,UNAVAILABLE,UNAVAILABLE,KNOWN_EVENT,KNOWN_VERIFIED_BREAKING_EVENT_FOUND,CONTINUITY_UNKNOWN,UNAVAILABLE,TECHNICAL_UNAVAILABLE_CONTINUITY_BLOCKED,KNOWN_VERIFIED_EVENT_REQUIRES_EVENT_AWARE_HANDLING,[],34,126,"{""end_session"": ""2026-08-13"", ""observation_count"": 126, ""start_session"": ""2026-02-02""}","{""end_session"": ""2026-08-13"", ""observation_count"": 126, ""start_session"": ""2026-02-02""}",MACD_12_26_9_SMA_SEEDED_EMA_V1,MACD_12_26_9_SMA_SEEDED_EMA_V1,"{""alpha"": ""2/(N+1)"", ""ema_seed"": ""SMA"", ""fast"": 12, ""signal"": 9, ""signal_seed"": ""first_9_valid_macd_values"", ""slow"": 26}",RAW_OBSERVED,V2_CANONICAL_OBSERVATION_CHAIN,"{""adapter_versions"": [""twse-official-daily.v1""], ""authority"": ""V2_CANONICAL_OBSERVATION_CHAIN"", ""lineage_state"": ""VERSIONED"", ""mapping_policy_versions"": [""hist-002b-promotion-mapping.v1""], ""normalization_contract_versions"": [""normalization-contract-v1""], ""observation_semantics"": [""DAILY_BAR""], ""reference_data_versions"": [""tw-reference-v1""], ""series_semantics"": ""RAW_OBSERVED_DAILY_BAR"", ""source_codes"": [""TWSE_OFFICIAL_DAILY""]}","{""as_of_session"": ""2026-08-13"", ""authority"": null, ""canonical_identity"": ""7508fdb6-8054-4410-814f-2f645d1c40e0"", ""evidence_id"": null, ""indicator_id"": ""MACD_SIGNAL_12_26_9"", ""method"": null, ""reason"": ""CONTINUITY_AUTHORITY_UNAVAILABLE"", ""required_observation_window"": {""end_session"": ""2026-08-13"", ""observation_count"": 126, ""start_session"": ""2026-02-02""}, ""state"": ""CONTINUITY_UNKNOWN""}","{""as_of"": ""2026-08-14T12:39:47.027280+00:00"", ""known_event_handling"": [{""canonical_identity"": ""TPE:1303"", ""effective_date"": ""2026-07-08"", ""event_type"": ""CASH_DIVIDEND_EX_DIVIDEND"", ""handling"": ""EXCLUDE"", ""verified"": true}]}",True
TPE:1303,1303,TPE,7508fdb6-8054-4410-814f-2f645d1c40e0,"""2026-08-13""",RAW_CLOSE_RETURN_20D,RAW_CLOSE_RETURN,stock-technical-v0-policy.v4,"""-0.14479638009049773755656108597285067873303167420814""",UNAVAILABLE,UNAVAILABLE,NO_KNOWN_EVENT_EVIDENCE,NO_KNOWN_VERIFIED_BREAKING_EVENT_FOUND,CONTINUITY_UNKNOWN,FORMAL,TECHNICAL_EVIDENCE_AVAILABLE,,[],21,21,"{""end_session"": ""2026-08-13"", ""observation_count"": 21, ""start_session"": ""2026-07-16""}","{""end_session"": ""2026-08-13"", ""observation_count"": 21, ""start_session"": ""2026-07-16""}",RAW_OBSERVED_CLOSE_RETURN_V1,RAW_OBSERVED_CLOSE_RETURN_V1,"{""formula"": ""close_t / close_(t-N) - 1"", ""period"": 20}",RAW_OBSERVED,V2_CANONICAL_OBSERVATION_CHAIN,"{""adapter_versions"": [""twse-official-daily.v1""], ""authority"": ""V2_CANONICAL_OBSERVATION_CHAIN"", ""lineage_state"": ""VERSIONED"", ""mapping_policy_versions"": [""hist-002b-promotion-mapping.v1""], ""normalization_contract_versions"": [""normalization-contract-v1""], ""observation_semantics"": [""DAILY_BAR""], ""reference_data_versions"": [""tw-reference-v1""], ""series_semantics"": ""RAW_OBSERVED_DAILY_BAR"", ""source_codes"": [""TWSE_OFFICIAL_DAILY""]}","{""as_of_session"": ""2026-08-13"", ""authority"": null, ""canonical_identity"": ""7508fdb6-8054-4410-814f-2f645d1c40e0"", ""evidence_id"": null, ""indicator_id"": ""RAW_CLOSE_RETURN_20D"", ""method"": null, ""reason"": ""CONTINUITY_AUTHORITY_UNAVAILABLE"", ""required_observation_window"": {""end_session"": ""2026-08-13"", ""observation_count"": 21, ""start_session"": ""2026-07-16""}, ""state"": ""CONTINUITY_UNKNOWN""}","{""as_of"": ""2026-08-14T12:39:47.027280+00:00"", ""known_event_handling"": []}",True
TPE:1303,1303,TPE,7508fdb6-8054-4410-814f-2f645d1c40e0,"""2026-08-13""",RAW_CLOSE_RETURN_5D,RAW_CLOSE_RETURN,stock-technical-v0-policy.v4,"""0.0588235294117647058823529411764705882352941176471""",UNAVAILABLE,UNAVAILABLE,NO_KNOWN_EVENT_EVIDENCE,NO_KNOWN_VERIFIED_BREAKING_EVENT_FOUND,CONTINUITY_UNKNOWN,FORMAL,TECHNICAL_EVIDENCE_AVAILABLE,,[],6,6,"{""end_session"": ""2026-08-13"", ""observation_count"": 6, ""start_session"": ""2026-08-06""}","{""end_session"": ""2026-08-13"", ""observation_count"": 6, ""start_session"": ""2026-08-06""}",RAW_OBSERVED_CLOSE_RETURN_V1,RAW_OBSERVED_CLOSE_RETURN_V1,"{""formula"": ""close_t / close_(t-N) - 1"", ""period"": 5}",RAW_OBSERVED,V2_CANONICAL_OBSERVATION_CHAIN,"{""adapter_versions"": [""twse-official-daily.v1""], ""authority"": ""V2_CANONICAL_OBSERVATION_CHAIN"", ""lineage_state"": ""VERSIONED"", ""mapping_policy_versions"": [""hist-002b-promotion-mapping.v1""], ""normalization_contract_versions"": [""normalization-contract-v1""], ""observation_semantics"": [""DAILY_BAR""], ""reference_data_versions"": [""tw-reference-v1""], ""series_semantics"": ""RAW_OBSERVED_DAILY_BAR"", ""source_codes"": [""TWSE_OFFICIAL_DAILY""]}","{""as_of_session"": ""2026-08-13"", ""authority"": null, ""canonical_identity"": ""7508fdb6-8054-4410-814f-2f645d1c40e0"", ""evidence_id"": null, ""indicator_id"": ""RAW_CLOSE_RETURN_5D"", ""method"": null, ""reason"": ""CONTINUITY_AUTHORITY_UNAVAILABLE"", ""required_observation_window"": {""end_session"": ""2026-08-13"", ""observation_count"": 6, ""start_session"": ""2026-08-06""}, ""state"": ""CONTINUITY_UNKNOWN""}","{""as_of"": ""2026-08-14T12:39:47.027280+00:00"", ""known_event_handling"": []}",True
