instrument_code,market,instrument_identity,instrument_id,as_of,observation_count,real_data_available,latest_close,ma60_value,ma60_calculable,above_ma60,technical_result_status,technical_eligibility,technical_v0_eligible,event_authority_status,event_lookup_state,publication_disposition,publication_status,publication_state,published_indicator_count,reason_code,reason_codes,limitation_reasons,ma60_publication_state,ma60_availability_reason,ma60_continuity_state,source_authority,publication_error
1303,TPE,TPE:1303,7508fdb6-8054-4410-814f-2f645d1c40e0,2026-08-13,126,True,189.000000000000000000,,False,False,UNAVAILABLE,UNAVAILABLE,False,KNOWN_EVENT,KNOWN_VERIFIED_BREAKING_EVENT_FOUND,PUBLICATION_BLOCKED,BLOCKED,UNAVAILABLE,14,KNOWN_CONTINUITY_EVENT,"[""KNOWN_CONTINUITY_EVENT"", ""KNOWN_VERIFIED_EVENT_REQUIRES_EVENT_AWARE_HANDLING""]",[],UNAVAILABLE,KNOWN_VERIFIED_EVENT_REQUIRES_EVENT_AWARE_HANDLING,CONTINUITY_UNKNOWN,"[""TWSE_OFFICIAL_DAILY""]",False
1304,TPE,TPE:1304,89d4d7dc-8bf5-4d64-b4d9-911242a810a0,2026-08-13,126,True,12.200000000000000000,,False,False,UNAVAILABLE,UNAVAILABLE,False,KNOWN_EVENT,KNOWN_VERIFIED_BREAKING_EVENT_FOUND,PUBLICATION_BLOCKED,BLOCKED,UNAVAILABLE,14,KNOWN_CONTINUITY_EVENT,"[""KNOWN_CONTINUITY_EVENT"", ""KNOWN_VERIFIED_EVENT_REQUIRES_EVENT_AWARE_HANDLING""]",[],UNAVAILABLE,KNOWN_VERIFIED_EVENT_REQUIRES_EVENT_AWARE_HANDLING,CONTINUITY_UNKNOWN,"[""TWSE_OFFICIAL_DAILY""]",False
1314,TPE,TPE:1314,bc17866c-7ae0-4e7f-a460-3ffd5a07be16,2026-08-13,125,True,7.660000000000000000,8.0278333333333333333333333333333333333333333333333,True,False,INELIGIBLE,INELIGIBLE,False,LOOKUP_UNAVAILABLE,EVENT_LOOKUP_UNAVAILABLE,PUBLICATION_BLOCKED,BLOCKED,UNAVAILABLE,14,BELOW_MA60,"[""BELOW_MA60"", ""TECHNICAL_V0_INELIGIBLE""]","[""EVENT_LOOKUP_UNAVAILABLE""]",FORMAL_WITH_LIMITATION,,CONTINUITY_UNKNOWN,"[""TWSE_OFFICIAL_DAILY""]",False
1319,TPE,TPE:1319,1ef13579-9403-4ea9-9ba1-bd5973d5fe97,2026-08-13,126,True,79.200000000000000000,,False,False,UNAVAILABLE,UNAVAILABLE,False,KNOWN_EVENT,KNOWN_VERIFIED_BREAKING_EVENT_FOUND,PUBLICATION_BLOCKED,BLOCKED,UNAVAILABLE,14,KNOWN_CONTINUITY_EVENT,"[""KNOWN_CONTINUITY_EVENT"", ""KNOWN_VERIFIED_EVENT_REQUIRES_EVENT_AWARE_HANDLING""]",[],UNAVAILABLE,KNOWN_VERIFIED_EVENT_REQUIRES_EVENT_AWARE_HANDLING,CONTINUITY_UNKNOWN,"[""TWSE_OFFICIAL_DAILY""]",False
1326,TPE,TPE:1326,d7dbc5fa-267f-4ac4-9a65-cd9d8373376b,2026-08-13,126,True,59.500000000000000000,,False,False,UNAVAILABLE,UNAVAILABLE,False,KNOWN_EVENT,KNOWN_VERIFIED_BREAKING_EVENT_FOUND,PUBLICATION_BLOCKED,BLOCKED,UNAVAILABLE,14,KNOWN_CONTINUITY_EVENT,"[""KNOWN_CONTINUITY_EVENT"", ""KNOWN_VERIFIED_EVENT_REQUIRES_EVENT_AWARE_HANDLING""]",[],UNAVAILABLE,KNOWN_VERIFIED_EVENT_REQUIRES_EVENT_AWARE_HANDLING,CONTINUITY_UNKNOWN,"[""TWSE_OFFICIAL_DAILY""]",False
1342,TPE,TPE:1342,893418f1-4f80-4665-9799-a4d123b1022e,2026-08-13,126,True,104.000000000000000000,106.84333333333333333333333333333333333333333333333,True,False,INELIGIBLE,INELIGIBLE,False,KNOWN_EVENT,NO_KNOWN_VERIFIED_BREAKING_EVENT_FOUND,PUBLICATION_BLOCKED,BLOCKED,UNAVAILABLE,11,BELOW_MA60,"[""BELOW_MA60"", ""TECHNICAL_V0_INELIGIBLE""]",[],FORMAL,,CONTINUITY_UNKNOWN,"[""TWSE_OFFICIAL_DAILY""]",False
1438,TPE,TPE:1438,455f5813-265f-42bf-ac2b-11bb255c32fc,2026-08-13,126,True,22.400000000000000000,21.820000000000000000,True,True,VALID,ELIGIBLE,True,LOOKUP_UNAVAILABLE,EVENT_LOOKUP_UNAVAILABLE,PUBLICATION_AVAILABLE_WITH_LIMITATION,AVAILABLE_WITH_LIMITATION,FORMAL_WITH_LIMITATION,14,EVENT_LOOKUP_UNAVAILABLE,"[""EVENT_LOOKUP_UNAVAILABLE""]","[""EVENT_LOOKUP_UNAVAILABLE""]",FORMAL_WITH_LIMITATION,,CONTINUITY_UNKNOWN,"[""TWSE_OFFICIAL_DAILY""]",False
1451,TPE,TPE:1451,83af1068-0909-4a49-b47b-43b4030c15c3,2026-08-13,126,True,17.400000000000000000,17.062500000000000000,True,True,VALID,ELIGIBLE,True,KNOWN_EVENT,NO_KNOWN_VERIFIED_BREAKING_EVENT_FOUND,PUBLICATION_AVAILABLE_WITH_LIMITATION,AVAILABLE_WITH_LIMITATION,FORMAL_WITH_LIMITATION,14,KNOWN_EVENT_HANDLED,"[""KNOWN_EVENT_HANDLED""]","[""KNOWN_EVENT_HANDLED""]",FORMAL,,CONTINUITY_UNKNOWN,"[""TWSE_OFFICIAL_DAILY""]",False
1474,TPE,TPE:1474,bd7e54f8-b3bd-4db8-834e-02a8a1c0ca23,2026-08-13,126,True,10.100000000000000000,,False,False,UNAVAILABLE,UNAVAILABLE,False,KNOWN_EVENT,KNOWN_VERIFIED_BREAKING_EVENT_FOUND,PUBLICATION_BLOCKED,BLOCKED,UNAVAILABLE,14,KNOWN_CONTINUITY_EVENT,"[""KNOWN_CONTINUITY_EVENT"", ""KNOWN_VERIFIED_EVENT_REQUIRES_EVENT_AWARE_HANDLING""]",[],UNAVAILABLE,KNOWN_VERIFIED_EVENT_REQUIRES_EVENT_AWARE_HANDLING,CONTINUITY_UNKNOWN,"[""TWSE_OFFICIAL_DAILY""]",False
1476,TPE,TPE:1476,88c391ed-eba4-475b-b5bc-41bdfd9bd2f9,2026-08-13,126,True,326.500000000000000000,,False,False,UNAVAILABLE,UNAVAILABLE,False,KNOWN_EVENT,KNOWN_VERIFIED_BREAKING_EVENT_FOUND,PUBLICATION_BLOCKED,BLOCKED,UNAVAILABLE,14,KNOWN_CONTINUITY_EVENT,"[""KNOWN_CONTINUITY_EVENT"", ""KNOWN_VERIFIED_EVENT_REQUIRES_EVENT_AWARE_HANDLING""]",[],UNAVAILABLE,KNOWN_VERIFIED_EVENT_REQUIRES_EVENT_AWARE_HANDLING,CONTINUITY_UNKNOWN,"[""TWSE_OFFICIAL_DAILY""]",False
