feature_id,relative_day,feature_family,classification,comparison_group,n,observed_n,boolean_true_rate,numeric_median,future_outcome_used,interpretation
ma_alignment_bearish,-1,TREND_STRUCTURE,PROMISING_DISCOVERY_SIGNAL,M4_BREAKOUT_EVIDENCE,3029,3029,0.0,,NO,Descriptive post-structure evidence; not a production gate or optimized discriminator.
ma_alignment_bearish,-1,TREND_STRUCTURE,PROMISING_DISCOVERY_SIGNAL,LEGITIMATE_SETUP_FAILURE,2772,2772,0.0,,NO,Descriptive post-structure evidence; not a production gate or optimized discriminator.
ma_alignment_bearish,-1,TREND_STRUCTURE,PROMISING_DISCOVERY_SIGNAL,STRUCTURAL_FALSE_POSITIVE,7133,7133,0.2524884340389738,,NO,Descriptive post-structure evidence; not a production gate or optimized discriminator.
ma_alignment_bearish,-1,TREND_STRUCTURE,PROMISING_DISCOVERY_SIGNAL,AMBIGUOUS,2845,2845,0.287170474516696,,NO,Descriptive post-structure evidence; not a production gate or optimized discriminator.
ma_alignment_bearish,-3,TREND_STRUCTURE,PROMISING_DISCOVERY_SIGNAL,M4_BREAKOUT_EVIDENCE,3029,3029,0.0029712776493892373,,NO,Descriptive post-structure evidence; not a production gate or optimized discriminator.
ma_alignment_bearish,-3,TREND_STRUCTURE,PROMISING_DISCOVERY_SIGNAL,LEGITIMATE_SETUP_FAILURE,2772,2772,0.003246753246753247,,NO,Descriptive post-structure evidence; not a production gate or optimized discriminator.
ma_alignment_bearish,-3,TREND_STRUCTURE,PROMISING_DISCOVERY_SIGNAL,STRUCTURAL_FALSE_POSITIVE,7133,7133,0.231459413991308,,NO,Descriptive post-structure evidence; not a production gate or optimized discriminator.
ma_alignment_bearish,-3,TREND_STRUCTURE,PROMISING_DISCOVERY_SIGNAL,AMBIGUOUS,2845,2845,0.2671353251318102,,NO,Descriptive post-structure evidence; not a production gate or optimized discriminator.
ma_alignment_bearish,0,TREND_STRUCTURE,PROMISING_DISCOVERY_SIGNAL,M4_BREAKOUT_EVIDENCE,3029,3029,0.0,,NO,Descriptive post-structure evidence; not a production gate or optimized discriminator.
ma_alignment_bearish,0,TREND_STRUCTURE,PROMISING_DISCOVERY_SIGNAL,LEGITIMATE_SETUP_FAILURE,2772,2772,0.0,,NO,Descriptive post-structure evidence; not a production gate or optimized discriminator.
ma_alignment_bearish,0,TREND_STRUCTURE,PROMISING_DISCOVERY_SIGNAL,STRUCTURAL_FALSE_POSITIVE,7133,7133,0.27786345156315717,,NO,Descriptive post-structure evidence; not a production gate or optimized discriminator.
ma_alignment_bearish,0,TREND_STRUCTURE,PROMISING_DISCOVERY_SIGNAL,AMBIGUOUS,2845,2845,0.29806678383128293,,NO,Descriptive post-structure evidence; not a production gate or optimized discriminator.
realized_vol_20,-10,VOLATILITY_COMPRESSION,PROMISING_DISCOVERY_SIGNAL,M4_BREAKOUT_EVIDENCE,3029,3029,,0.029363585703415684,NO,Descriptive post-structure evidence; not a production gate or optimized discriminator.
realized_vol_20,-10,VOLATILITY_COMPRESSION,PROMISING_DISCOVERY_SIGNAL,LEGITIMATE_SETUP_FAILURE,2772,2772,,0.029965165757628268,NO,Descriptive post-structure evidence; not a production gate or optimized discriminator.
realized_vol_20,-10,VOLATILITY_COMPRESSION,PROMISING_DISCOVERY_SIGNAL,STRUCTURAL_FALSE_POSITIVE,7133,7133,,0.023684747970977554,NO,Descriptive post-structure evidence; not a production gate or optimized discriminator.
realized_vol_20,-10,VOLATILITY_COMPRESSION,PROMISING_DISCOVERY_SIGNAL,AMBIGUOUS,2845,2845,,0.01981216011622956,NO,Descriptive post-structure evidence; not a production gate or optimized discriminator.
realized_vol_20,-20,VOLATILITY_COMPRESSION,PROMISING_DISCOVERY_SIGNAL,M4_BREAKOUT_EVIDENCE,3029,3029,,0.02430159321393641,NO,Descriptive post-structure evidence; not a production gate or optimized discriminator.
realized_vol_20,-20,VOLATILITY_COMPRESSION,PROMISING_DISCOVERY_SIGNAL,LEGITIMATE_SETUP_FAILURE,2772,2772,,0.024475336163449823,NO,Descriptive post-structure evidence; not a production gate or optimized discriminator.
realized_vol_20,-20,VOLATILITY_COMPRESSION,PROMISING_DISCOVERY_SIGNAL,STRUCTURAL_FALSE_POSITIVE,7133,7133,,0.024038571470634925,NO,Descriptive post-structure evidence; not a production gate or optimized discriminator.
realized_vol_20,-20,VOLATILITY_COMPRESSION,PROMISING_DISCOVERY_SIGNAL,AMBIGUOUS,2845,2845,,0.02147595138163354,NO,Descriptive post-structure evidence; not a production gate or optimized discriminator.
rolling_range_pct_20,-10,VOLATILITY_COMPRESSION,PROMISING_DISCOVERY_SIGNAL,M4_BREAKOUT_EVIDENCE,3029,3029,,0.2015503875968992,NO,Descriptive post-structure evidence; not a production gate or optimized discriminator.
rolling_range_pct_20,-10,VOLATILITY_COMPRESSION,PROMISING_DISCOVERY_SIGNAL,LEGITIMATE_SETUP_FAILURE,2772,2772,,0.20547196646455573,NO,Descriptive post-structure evidence; not a production gate or optimized discriminator.
rolling_range_pct_20,-10,VOLATILITY_COMPRESSION,PROMISING_DISCOVERY_SIGNAL,STRUCTURAL_FALSE_POSITIVE,7133,7133,,0.16619718309859152,NO,Descriptive post-structure evidence; not a production gate or optimized discriminator.
rolling_range_pct_20,-10,VOLATILITY_COMPRESSION,PROMISING_DISCOVERY_SIGNAL,AMBIGUOUS,2845,2845,,0.14347826086956522,NO,Descriptive post-structure evidence; not a production gate or optimized discriminator.
rolling_range_pct_20,-20,VOLATILITY_COMPRESSION,PROMISING_DISCOVERY_SIGNAL,M4_BREAKOUT_EVIDENCE,3029,3029,,0.1652892561983471,NO,Descriptive post-structure evidence; not a production gate or optimized discriminator.
rolling_range_pct_20,-20,VOLATILITY_COMPRESSION,PROMISING_DISCOVERY_SIGNAL,LEGITIMATE_SETUP_FAILURE,2772,2772,,0.16666666666666663,NO,Descriptive post-structure evidence; not a production gate or optimized discriminator.
rolling_range_pct_20,-20,VOLATILITY_COMPRESSION,PROMISING_DISCOVERY_SIGNAL,STRUCTURAL_FALSE_POSITIVE,7133,7133,,0.17101827676240203,NO,Descriptive post-structure evidence; not a production gate or optimized discriminator.
rolling_range_pct_20,-20,VOLATILITY_COMPRESSION,PROMISING_DISCOVERY_SIGNAL,AMBIGUOUS,2845,2845,,0.15939849624060143,NO,Descriptive post-structure evidence; not a production gate or optimized discriminator.
rolling_range_pct_20,-5,VOLATILITY_COMPRESSION,PROMISING_DISCOVERY_SIGNAL,M4_BREAKOUT_EVIDENCE,3029,3029,,0.22010869565217392,NO,Descriptive post-structure evidence; not a production gate or optimized discriminator.
rolling_range_pct_20,-5,VOLATILITY_COMPRESSION,PROMISING_DISCOVERY_SIGNAL,LEGITIMATE_SETUP_FAILURE,2772,2772,,0.22123898132374717,NO,Descriptive post-structure evidence; not a production gate or optimized discriminator.
rolling_range_pct_20,-5,VOLATILITY_COMPRESSION,PROMISING_DISCOVERY_SIGNAL,STRUCTURAL_FALSE_POSITIVE,7133,7133,,0.16587677725118483,NO,Descriptive post-structure evidence; not a production gate or optimized discriminator.
rolling_range_pct_20,-5,VOLATILITY_COMPRESSION,PROMISING_DISCOVERY_SIGNAL,AMBIGUOUS,2845,2845,,0.1366906474820144,NO,Descriptive post-structure evidence; not a production gate or optimized discriminator.
rolling_range_pct_20,0,VOLATILITY_COMPRESSION,PROMISING_DISCOVERY_SIGNAL,M4_BREAKOUT_EVIDENCE,3029,3029,,0.22784810126582278,NO,Descriptive post-structure evidence; not a production gate or optimized discriminator.
rolling_range_pct_20,0,VOLATILITY_COMPRESSION,PROMISING_DISCOVERY_SIGNAL,LEGITIMATE_SETUP_FAILURE,2772,2772,,0.2297860528097494,NO,Descriptive post-structure evidence; not a production gate or optimized discriminator.
rolling_range_pct_20,0,VOLATILITY_COMPRESSION,PROMISING_DISCOVERY_SIGNAL,STRUCTURAL_FALSE_POSITIVE,7133,7133,,0.17511520737327194,NO,Descriptive post-structure evidence; not a production gate or optimized discriminator.
rolling_range_pct_20,0,VOLATILITY_COMPRESSION,PROMISING_DISCOVERY_SIGNAL,AMBIGUOUS,2845,2845,,0.14429530201342272,NO,Descriptive post-structure evidence; not a production gate or optimized discriminator.
rolling_range_pct_5,-10,VOLATILITY_COMPRESSION,PROMISING_DISCOVERY_SIGNAL,M4_BREAKOUT_EVIDENCE,3029,3029,,0.1029900332225914,NO,Descriptive post-structure evidence; not a production gate or optimized discriminator.
rolling_range_pct_5,-10,VOLATILITY_COMPRESSION,PROMISING_DISCOVERY_SIGNAL,LEGITIMATE_SETUP_FAILURE,2772,2772,,0.10526315789473688,NO,Descriptive post-structure evidence; not a production gate or optimized discriminator.
rolling_range_pct_5,-10,VOLATILITY_COMPRESSION,PROMISING_DISCOVERY_SIGNAL,STRUCTURAL_FALSE_POSITIVE,7133,7133,,0.07704654895666131,NO,Descriptive post-structure evidence; not a production gate or optimized discriminator.
rolling_range_pct_5,-10,VOLATILITY_COMPRESSION,PROMISING_DISCOVERY_SIGNAL,AMBIGUOUS,2845,2845,,0.06282722513089001,NO,Descriptive post-structure evidence; not a production gate or optimized discriminator.
true_range_pct,-10,VOLATILITY_COMPRESSION,PROMISING_DISCOVERY_SIGNAL,M4_BREAKOUT_EVIDENCE,3029,0,,,NO,Descriptive post-structure evidence; not a production gate or optimized discriminator.
true_range_pct,-10,VOLATILITY_COMPRESSION,PROMISING_DISCOVERY_SIGNAL,LEGITIMATE_SETUP_FAILURE,2772,0,,,NO,Descriptive post-structure evidence; not a production gate or optimized discriminator.
true_range_pct,-10,VOLATILITY_COMPRESSION,PROMISING_DISCOVERY_SIGNAL,STRUCTURAL_FALSE_POSITIVE,7133,0,,,NO,Descriptive post-structure evidence; not a production gate or optimized discriminator.
true_range_pct,-10,VOLATILITY_COMPRESSION,PROMISING_DISCOVERY_SIGNAL,AMBIGUOUS,2845,0,,,NO,Descriptive post-structure evidence; not a production gate or optimized discriminator.
volume_contraction_state,-1,VOLUME_PARTICIPATION,ROBUST_DISCOVERY_SIGNAL,M4_BREAKOUT_EVIDENCE,3029,3029,0.6229778804886101,,NO,Descriptive post-structure evidence; not a production gate or optimized discriminator.
volume_contraction_state,-1,VOLUME_PARTICIPATION,ROBUST_DISCOVERY_SIGNAL,LEGITIMATE_SETUP_FAILURE,2772,2772,0.6544011544011544,,NO,Descriptive post-structure evidence; not a production gate or optimized discriminator.
volume_contraction_state,-1,VOLUME_PARTICIPATION,ROBUST_DISCOVERY_SIGNAL,STRUCTURAL_FALSE_POSITIVE,7133,7133,0.7636338146642366,,NO,Descriptive post-structure evidence; not a production gate or optimized discriminator.
volume_contraction_state,-1,VOLUME_PARTICIPATION,ROBUST_DISCOVERY_SIGNAL,AMBIGUOUS,2845,2845,0.4678383128295255,,NO,Descriptive post-structure evidence; not a production gate or optimized discriminator.
volume_contraction_state,-3,VOLUME_PARTICIPATION,PROMISING_DISCOVERY_SIGNAL,M4_BREAKOUT_EVIDENCE,3029,3029,0.6186860349950478,,NO,Descriptive post-structure evidence; not a production gate or optimized discriminator.
volume_contraction_state,-3,VOLUME_PARTICIPATION,PROMISING_DISCOVERY_SIGNAL,LEGITIMATE_SETUP_FAILURE,2772,2772,0.6302308802308803,,NO,Descriptive post-structure evidence; not a production gate or optimized discriminator.
volume_contraction_state,-3,VOLUME_PARTICIPATION,PROMISING_DISCOVERY_SIGNAL,STRUCTURAL_FALSE_POSITIVE,7133,7133,0.6884901163605776,,NO,Descriptive post-structure evidence; not a production gate or optimized discriminator.
volume_contraction_state,-3,VOLUME_PARTICIPATION,PROMISING_DISCOVERY_SIGNAL,AMBIGUOUS,2845,2845,0.5834797891036907,,NO,Descriptive post-structure evidence; not a production gate or optimized discriminator.
volume_contraction_state,-5,VOLUME_PARTICIPATION,PROMISING_DISCOVERY_SIGNAL,M4_BREAKOUT_EVIDENCE,3029,3029,0.5744470122152525,,NO,Descriptive post-structure evidence; not a production gate or optimized discriminator.
volume_contraction_state,-5,VOLUME_PARTICIPATION,PROMISING_DISCOVERY_SIGNAL,LEGITIMATE_SETUP_FAILURE,2772,2772,0.5945165945165946,,NO,Descriptive post-structure evidence; not a production gate or optimized discriminator.
volume_contraction_state,-5,VOLUME_PARTICIPATION,PROMISING_DISCOVERY_SIGNAL,STRUCTURAL_FALSE_POSITIVE,7133,7133,0.6865274078227954,,NO,Descriptive post-structure evidence; not a production gate or optimized discriminator.
volume_contraction_state,-5,VOLUME_PARTICIPATION,PROMISING_DISCOVERY_SIGNAL,AMBIGUOUS,2845,2845,0.632688927943761,,NO,Descriptive post-structure evidence; not a production gate or optimized discriminator.
