feature,source_status,analysis_group,group_value,event_count,valid_h10_count,endpoint_t10_mean,mfe10_median,mae10_median,mfe10_ge_5_count,mfe10_ge_10_count,positive_5_before_negative_5_count,positive_10_before_negative_5_count,descriptive_only,notes
close_vs_ma20,NOT_AVAILABLE_FROM_EXISTING_ARTIFACTS,ALL_EVENTS,,,,,,,,,,,YES,"Existing extension-feature-comparison.csv has aggregate-only feature rows (close_vs_ma20, close_vs_ma60_recomputed, distance_from_consolidation_base, entry_extension_band, extension_pct_from_frozen_reference, pre_trigger_acceleration_proxy, prior_10d_return, prior_20d_return, prior_40d_return, trigger_acceleration_full_definition), not event-level path joins. No raw feature recomputation or threshold search permitted."
close_vs_ma60,NOT_AVAILABLE_FROM_EXISTING_ARTIFACTS,ALL_EVENTS,,,,,,,,,,,YES,"Existing extension-feature-comparison.csv has aggregate-only feature rows (close_vs_ma20, close_vs_ma60_recomputed, distance_from_consolidation_base, entry_extension_band, extension_pct_from_frozen_reference, pre_trigger_acceleration_proxy, prior_10d_return, prior_20d_return, prior_40d_return, trigger_acceleration_full_definition), not event-level path joins. No raw feature recomputation or threshold search permitted."
prior_10d_return,NOT_AVAILABLE_FROM_EXISTING_ARTIFACTS,ALL_EVENTS,,,,,,,,,,,YES,"Existing extension-feature-comparison.csv has aggregate-only feature rows (close_vs_ma20, close_vs_ma60_recomputed, distance_from_consolidation_base, entry_extension_band, extension_pct_from_frozen_reference, pre_trigger_acceleration_proxy, prior_10d_return, prior_20d_return, prior_40d_return, trigger_acceleration_full_definition), not event-level path joins. No raw feature recomputation or threshold search permitted."
prior_20d_return,NOT_AVAILABLE_FROM_EXISTING_ARTIFACTS,ALL_EVENTS,,,,,,,,,,,YES,"Existing extension-feature-comparison.csv has aggregate-only feature rows (close_vs_ma20, close_vs_ma60_recomputed, distance_from_consolidation_base, entry_extension_band, extension_pct_from_frozen_reference, pre_trigger_acceleration_proxy, prior_10d_return, prior_20d_return, prior_40d_return, trigger_acceleration_full_definition), not event-level path joins. No raw feature recomputation or threshold search permitted."
prior_40d_return,NOT_AVAILABLE_FROM_EXISTING_ARTIFACTS,ALL_EVENTS,,,,,,,,,,,YES,"Existing extension-feature-comparison.csv has aggregate-only feature rows (close_vs_ma20, close_vs_ma60_recomputed, distance_from_consolidation_base, entry_extension_band, extension_pct_from_frozen_reference, pre_trigger_acceleration_proxy, prior_10d_return, prior_20d_return, prior_40d_return, trigger_acceleration_full_definition), not event-level path joins. No raw feature recomputation or threshold search permitted."
distance_from_consolidation_base,NOT_AVAILABLE_FROM_EXISTING_ARTIFACTS,ALL_EVENTS,,,,,,,,,,,YES,"Existing extension-feature-comparison.csv has aggregate-only feature rows (close_vs_ma20, close_vs_ma60_recomputed, distance_from_consolidation_base, entry_extension_band, extension_pct_from_frozen_reference, pre_trigger_acceleration_proxy, prior_10d_return, prior_20d_return, prior_40d_return, trigger_acceleration_full_definition), not event-level path joins. No raw feature recomputation or threshold search permitted."
pre_trigger_acceleration_proxy,NOT_AVAILABLE_FROM_EXISTING_ARTIFACTS,ALL_EVENTS,,,,,,,,,,,YES,"Existing extension-feature-comparison.csv has aggregate-only feature rows (close_vs_ma20, close_vs_ma60_recomputed, distance_from_consolidation_base, entry_extension_band, extension_pct_from_frozen_reference, pre_trigger_acceleration_proxy, prior_10d_return, prior_20d_return, prior_40d_return, trigger_acceleration_full_definition), not event-level path joins. No raw feature recomputation or threshold search permitted."
trigger_acceleration_full_definition,NOT_AVAILABLE_FROM_EXISTING_ARTIFACTS,ALL_EVENTS,,,,,,,,,,,YES,"Existing extension-feature-comparison.csv has aggregate-only feature rows (close_vs_ma20, close_vs_ma60_recomputed, distance_from_consolidation_base, entry_extension_band, extension_pct_from_frozen_reference, pre_trigger_acceleration_proxy, prior_10d_return, prior_20d_return, prior_40d_return, trigger_acceleration_full_definition), not event-level path joins. No raw feature recomputation or threshold search permitted."
entry_extension_band,AVAILABLE_FROM_PATH_ARTIFACT,ENTRY_EXTENSION_BAND,GT_0_TO_1PCT,1455,1428,0.017344812975714153,0.053922268386689676,-0.045257047571104936,741,456,615,366,YES,Existing entry_extension_band carried by path artifact; no threshold was selected.
entry_extension_band,AVAILABLE_FROM_PATH_ARTIFACT,ENTRY_EXTENSION_BAND,GT_1_TO_2PCT,1119,1098,0.022989345657757336,0.06666666666666665,-0.04923089510718376,651,417,545,348,YES,Existing entry_extension_band carried by path artifact; no threshold was selected.
entry_extension_band,AVAILABLE_FROM_PATH_ARTIFACT,ENTRY_EXTENSION_BAND,GT_2_TO_3PCT,712,696,0.040951350169672045,0.08878220056608499,-0.05203436022869573,462,305,371,243,YES,Existing entry_extension_band carried by path artifact; no threshold was selected.
entry_extension_band,AVAILABLE_FROM_PATH_ARTIFACT,ENTRY_EXTENSION_BAND,GT_3_TO_5PCT,978,949,0.039714802312074804,0.09881422924901195,-0.06149732620320858,687,463,568,368,YES,Existing entry_extension_band carried by path artifact; no threshold was selected.
entry_extension_band,AVAILABLE_FROM_PATH_ARTIFACT,ENTRY_EXTENSION_BAND,GT_5PCT,1013,975,0.05173170815842831,0.11846689895470397,-0.06814580031695727,762,536,610,411,YES,Existing entry_extension_band carried by path artifact; no threshold was selected.
extension_pct_from_frozen_reference,AVAILABLE_AS_CARRIED_EXTENSION_FIELD,ALL_EVENTS,,5277,5146,0.032382548975564654,0.08172141574378922,-0.05286106002499652,3303,2177,2709,1736,YES,Existing extension_pct field carried by path artifact; no threshold was selected.
