section,metric,condition,count,denominator,percentage,previous_expected,reconciliation
SUMMARY,T10_ENDPOINT_PROXY,ENDPOINT_RETURN_GT_0,2587,5277,0.4902406670456699,2587,MATCH
SUMMARY,T10_ENDPOINT_PROXY,ENDPOINT_RETURN_LE_0,2559,5277,0.48493462194428655,2559,MATCH
SUMMARY,T10_ENDPOINT_PROXY,UNKNOWN_OR_FAIL_CLOSED,131,5277,0.024824711010043587,131,MATCH
T10_NONPOSITIVE,MFE10,MFE10_LT_3PCT,1146,2559,0.447831184056272,,DESCRIPTIVE
T10_NONPOSITIVE,MFE10,MFE10_GE_3PCT,1413,2559,0.552168815943728,,DESCRIPTIVE
T10_NONPOSITIVE,MFE10,MFE10_GE_5PCT,967,2559,0.3778819851504494,,DESCRIPTIVE
T10_NONPOSITIVE,MFE10,MFE10_GE_10PCT,328,2559,0.1281750683860883,,DESCRIPTIVE
T10_NONPOSITIVE,MFE10,MFE10_GE_15PCT,156,2559,0.06096131301289566,,DESCRIPTIVE
T10_NONPOSITIVE,MFE10_MAE10_CROSS,MFE10_GE_5PCT_AND_MAE10_GT_NEG3PCT,67,2559,0.02618210238374365,,DESCRIPTIVE
T10_NONPOSITIVE,MFE10_MAE10_CROSS,MFE10_GE_5PCT_AND_MAE10_GT_NEG5PCT,187,2559,0.07307542008597108,,DESCRIPTIVE
T10_NONPOSITIVE,MFE10_MAE10_CROSS,MFE10_GE_10PCT_AND_MAE10_GT_NEG5PCT,68,2559,0.02657288003126221,,DESCRIPTIVE
T10_NONPOSITIVE,MFE10_MAE10_CROSS,MFE10_GE_10PCT_AND_MAE10_GT_NEG8PCT,158,2559,0.06174286830793278,,DESCRIPTIVE
