instrument,anchor_date,old_proxy_label,endpoint_T5,endpoint_T10,MFE5,MAE5,MFE10,MAE10,first_+5_day,first_-5_day,barrier_+5_vs_-5,corporate_action_status,regime_status,owner_label,owner_failure_subtype,owner_notes,owner_authority_status,source_owner_artifact
6727,2025-08-04,REVIEW_SUCCESS_PROXY,0.597051597051597,1.2604422604422605,0.597051597051597,-0.0012285012285013774,1.2727272727272725,-0.0012285012285013774,1,,POSITIVE_BARRIER_FIRST,NOT_FLAGGED_IN_EXISTING_AUDIT,NOT_A_FOCUS_CASE_IN_EXISTING_AUDIT,,,,OWNER_INPUT_REQUIRED; fields intentionally blank,C:/Users/acer/.codex/worktrees/A2-MFE-MAE-Barrier-Race/reports/TASK-WS3-A2-OUTCOME-RECONSTRUCTION-FAILURE-ATTRIBUTION-20260821/owner-label-reconciliation-30-case.csv
5321,2026-05-18,REVIEW_SUCCESS_PROXY,0.604127579737336,1.1538461538461537,0.604127579737336,0.018761726078799335,1.1538461538461537,0.018761726078799335,1,,POSITIVE_BARRIER_FIRST,NOT_FLAGGED_IN_EXISTING_AUDIT,NOT_A_FOCUS_CASE_IN_EXISTING_AUDIT,,,,OWNER_INPUT_REQUIRED; fields intentionally blank,C:/Users/acer/.codex/worktrees/A2-MFE-MAE-Barrier-Race/reports/TASK-WS3-A2-OUTCOME-RECONSTRUCTION-FAILURE-ATTRIBUTION-20260821/owner-label-reconciliation-30-case.csv
5386,2026-02-02,REVIEW_SUCCESS_PROXY,0.29326923076923084,1.0336538461538463,0.29326923076923084,0.0,1.0336538461538463,0.0,1,,POSITIVE_BARRIER_FIRST,NOT_FLAGGED_IN_EXISTING_AUDIT,NOT_A_FOCUS_CASE_IN_EXISTING_AUDIT,,,,OWNER_INPUT_REQUIRED; fields intentionally blank,C:/Users/acer/.codex/worktrees/A2-MFE-MAE-Barrier-Race/reports/TASK-WS3-A2-OUTCOME-RECONSTRUCTION-FAILURE-ATTRIBUTION-20260821/owner-label-reconciliation-30-case.csv
6861,2026-04-21,REVIEW_SUCCESS_PROXY,0.3999999999999999,0.9282051282051282,0.49743589743589745,0.10000000000000009,1.2307692307692308,0.10000000000000009,1,,POSITIVE_BARRIER_FIRST,NOT_FLAGGED_IN_EXISTING_AUDIT,NOT_A_FOCUS_CASE_IN_EXISTING_AUDIT,,,,OWNER_INPUT_REQUIRED; fields intentionally blank,C:/Users/acer/.codex/worktrees/A2-MFE-MAE-Barrier-Race/reports/TASK-WS3-A2-OUTCOME-RECONSTRUCTION-FAILURE-ATTRIBUTION-20260821/owner-label-reconciliation-30-case.csv
2434,2026-07-01,REVIEW_SUCCESS_PROXY,0.18324607329842935,0.9015706806282722,0.2251308900523561,0.008376963350785305,0.9015706806282722,0.008376963350785305,1,,POSITIVE_BARRIER_FIRST,NOT_FLAGGED_IN_EXISTING_AUDIT,NOT_A_FOCUS_CASE_IN_EXISTING_AUDIT,,,,OWNER_INPUT_REQUIRED; fields intentionally blank,C:/Users/acer/.codex/worktrees/A2-MFE-MAE-Barrier-Race/reports/TASK-WS3-A2-OUTCOME-RECONSTRUCTION-FAILURE-ATTRIBUTION-20260821/owner-label-reconciliation-30-case.csv
2483,2025-08-08,REVIEW_SUCCESS_PROXY,0.08991825613079008,0.08174386920980936,0.10081743869209792,0.04087193460490468,0.12534059945504072,0.04087193460490468,1,,POSITIVE_BARRIER_FIRST,NOT_FLAGGED_IN_EXISTING_AUDIT,NOT_A_FOCUS_CASE_IN_EXISTING_AUDIT,,,,OWNER_INPUT_REQUIRED; fields intentionally blank,C:/Users/acer/.codex/worktrees/A2-MFE-MAE-Barrier-Race/reports/TASK-WS3-A2-OUTCOME-RECONSTRUCTION-FAILURE-ATTRIBUTION-20260821/owner-label-reconciliation-30-case.csv
1563,2025-12-22,REVIEW_SUCCESS_PROXY,0.08734602463605823,0.08174692049272103,0.0963045912653977,-0.013437849944008984,0.1007838745800671,-0.013437849944008984,2,,POSITIVE_BARRIER_FIRST,NOT_FLAGGED_IN_EXISTING_AUDIT,NOT_A_FOCUS_CASE_IN_EXISTING_AUDIT,,,,OWNER_INPUT_REQUIRED; fields intentionally blank,C:/Users/acer/.codex/worktrees/A2-MFE-MAE-Barrier-Race/reports/TASK-WS3-A2-OUTCOME-RECONSTRUCTION-FAILURE-ATTRIBUTION-20260821/owner-label-reconciliation-30-case.csv
2312,2026-01-12,REVIEW_SUCCESS_PROXY,0.4131736526946106,0.08183632734530932,0.4750499001996009,0.03992015968063867,0.4750499001996009,0.03992015968063867,1,,POSITIVE_BARRIER_FIRST,NOT_FLAGGED_IN_EXISTING_AUDIT,NOT_A_FOCUS_CASE_IN_EXISTING_AUDIT,,,,OWNER_INPUT_REQUIRED; fields intentionally blank,C:/Users/acer/.codex/worktrees/A2-MFE-MAE-Barrier-Race/reports/TASK-WS3-A2-OUTCOME-RECONSTRUCTION-FAILURE-ATTRIBUTION-20260821/owner-label-reconciliation-30-case.csv
2243,2026-03-25,REVIEW_SUCCESS_PROXY,0.06265060240963849,0.08192771084337336,0.10361445783132517,-0.03614457831325302,0.18554216867469897,-0.10602409638554211,3,7,POSITIVE_BARRIER_FIRST,NOT_FLAGGED_IN_EXISTING_AUDIT,NOT_A_FOCUS_CASE_IN_EXISTING_AUDIT,,,,OWNER_INPUT_REQUIRED; fields intentionally blank,C:/Users/acer/.codex/worktrees/A2-MFE-MAE-Barrier-Race/reports/TASK-WS3-A2-OUTCOME-RECONSTRUCTION-FAILURE-ATTRIBUTION-20260821/owner-label-reconciliation-30-case.csv
4576,2026-01-14,REVIEW_SUCCESS_PROXY,0.06008583690987135,0.0815450643776825,0.10729613733905574,-0.030042918454935674,0.10729613733905574,-0.030042918454935674,2,,POSITIVE_BARRIER_FIRST,NOT_FLAGGED_IN_EXISTING_AUDIT,NOT_A_FOCUS_CASE_IN_EXISTING_AUDIT,,,,OWNER_INPUT_REQUIRED; fields intentionally blank,C:/Users/acer/.codex/worktrees/A2-MFE-MAE-Barrier-Race/reports/TASK-WS3-A2-OUTCOME-RECONSTRUCTION-FAILURE-ATTRIBUTION-20260821/owner-label-reconciliation-30-case.csv
2414,2026-04-16,REVIEW_SUCCESS_PROXY,0.00766703176341732,0.0010952902519167917,0.020810514786418377,-0.026286966046002114,0.020810514786418377,-0.026286966046002114,,,NEITHER,NOT_FLAGGED_IN_EXISTING_AUDIT,NOT_A_FOCUS_CASE_IN_EXISTING_AUDIT,,,,OWNER_INPUT_REQUIRED; fields intentionally blank,C:/Users/acer/.codex/worktrees/A2-MFE-MAE-Barrier-Race/reports/TASK-WS3-A2-OUTCOME-RECONSTRUCTION-FAILURE-ATTRIBUTION-20260821/owner-label-reconciliation-30-case.csv
