analysis_window,opportunity_threshold,first_reached_day,count,denominator_valid_h10_events,percentage,disposition
H10,+3%,1,2509,5146,0.4875631558492033,DESCRIPTIVE_PATH_TIMING_ONLY; not an exit rule
H10,+3%,2,438,5146,0.08511465215701516,DESCRIPTIVE_PATH_TIMING_ONLY; not an exit rule
H10,+3%,3,267,5146,0.05188495919160513,DESCRIPTIVE_PATH_TIMING_ONLY; not an exit rule
H10,+3%,4,152,5146,0.029537504858142247,DESCRIPTIVE_PATH_TIMING_ONLY; not an exit rule
H10,+3%,5,140,5146,0.027205596579867857,DESCRIPTIVE_PATH_TIMING_ONLY; not an exit rule
H10,+3%,6,115,5146,0.022347454333462885,DESCRIPTIVE_PATH_TIMING_ONLY; not an exit rule
H10,+3%,7,82,5146,0.015934706568208317,DESCRIPTIVE_PATH_TIMING_ONLY; not an exit rule
H10,+3%,8,78,5146,0.015157403808783521,DESCRIPTIVE_PATH_TIMING_ONLY; not an exit rule
H10,+3%,9,83,5146,0.016129032258064516,DESCRIPTIVE_PATH_TIMING_ONLY; not an exit rule
H10,+3%,10,54,5146,0.010493587252234746,DESCRIPTIVE_PATH_TIMING_ONLY; not an exit rule
H10,+3%,NOT_REACHED,1228,5146,0.23863194714341235,DESCRIPTIVE_PATH_TIMING_ONLY; not an exit rule
H10,+5%,1,1747,5146,0.33948698017877965,DESCRIPTIVE_PATH_TIMING_ONLY; not an exit rule
H10,+5%,2,432,5146,0.08394869801787797,DESCRIPTIVE_PATH_TIMING_ONLY; not an exit rule
H10,+5%,3,259,5146,0.05033035367275554,DESCRIPTIVE_PATH_TIMING_ONLY; not an exit rule
H10,+5%,4,201,5146,0.039059463661096,DESCRIPTIVE_PATH_TIMING_ONLY; not an exit rule
H10,+5%,5,160,5146,0.03109211037699184,DESCRIPTIVE_PATH_TIMING_ONLY; not an exit rule
H10,+5%,6,128,5146,0.02487368830159347,DESCRIPTIVE_PATH_TIMING_ONLY; not an exit rule
H10,+5%,7,109,5146,0.02118150019432569,DESCRIPTIVE_PATH_TIMING_ONLY; not an exit rule
H10,+5%,8,87,5146,0.016906335017489314,DESCRIPTIVE_PATH_TIMING_ONLY; not an exit rule
H10,+5%,9,109,5146,0.02118150019432569,DESCRIPTIVE_PATH_TIMING_ONLY; not an exit rule
H10,+5%,10,71,5146,0.013797123979790129,DESCRIPTIVE_PATH_TIMING_ONLY; not an exit rule
H10,+5%,NOT_REACHED,1843,5146,0.3581422464049747,DESCRIPTIVE_PATH_TIMING_ONLY; not an exit rule
H10,+10%,1,61,5146,0.011853867081228138,DESCRIPTIVE_PATH_TIMING_ONLY; not an exit rule
H10,+10%,2,820,5146,0.15934706568208318,DESCRIPTIVE_PATH_TIMING_ONLY; not an exit rule
H10,+10%,3,273,5146,0.05305091333074233,DESCRIPTIVE_PATH_TIMING_ONLY; not an exit rule
H10,+10%,4,229,5146,0.04450058297706957,DESCRIPTIVE_PATH_TIMING_ONLY; not an exit rule
H10,+10%,5,176,5146,0.034201321414691024,DESCRIPTIVE_PATH_TIMING_ONLY; not an exit rule
H10,+10%,6,146,5146,0.028371550719005052,DESCRIPTIVE_PATH_TIMING_ONLY; not an exit rule
H10,+10%,7,143,5146,0.027788573649436456,DESCRIPTIVE_PATH_TIMING_ONLY; not an exit rule
H10,+10%,8,136,5146,0.026428293820443063,DESCRIPTIVE_PATH_TIMING_ONLY; not an exit rule
H10,+10%,9,102,5146,0.019821220365332296,DESCRIPTIVE_PATH_TIMING_ONLY; not an exit rule
H10,+10%,10,91,5146,0.017683637776914108,DESCRIPTIVE_PATH_TIMING_ONLY; not an exit rule
H10,+10%,NOT_REACHED,2969,5146,0.5769529731830548,DESCRIPTIVE_PATH_TIMING_ONLY; not an exit rule
