feature,feature_status,group,n,missing_count,mean,median,p25,p75,positive_rate,t10_positive_proxy_count,t10_nonpositive_proxy_count,t10_endpoint_return_mean,t10_mfe_mean,t10_mae_mean
close_vs_ma20,PIT_SAFE_DESCRIPTIVE_NO_THRESHOLD_FIT,ALL_EVENTS,5277,0,0.12516305297680133,0.1089390438955038,0.07101007733770803,0.16042690157547002,1.0,,,,,
close_vs_ma20,PIT_SAFE_DESCRIPTIVE_NO_THRESHOLD_FIT,RAW_T10_POSITIVE_PROXY,2587,0,0.12630358972033287,0.11172522700355314,0.07313442094162914,0.16357358653431153,1.0,,,,,
close_vs_ma20,PIT_SAFE_DESCRIPTIVE_NO_THRESHOLD_FIT,RAW_T10_NONPOSITIVE_PROXY,2559,0,0.12085397773880006,0.10353378797272161,0.06799250984696847,0.15409774787403063,1.0,,,,,
close_vs_ma60_recomputed,PIT_SAFE_DESCRIPTIVE_NO_THRESHOLD_FIT,ALL_EVENTS,5277,0,0.17366593473158717,0.12011201120112025,0.05844309488129973,0.23047386333886033,1.0,,,,,
close_vs_ma60_recomputed,PIT_SAFE_DESCRIPTIVE_NO_THRESHOLD_FIT,RAW_T10_POSITIVE_PROXY,2587,0,0.17851007473174746,0.12835765405706834,0.06265220278946204,0.23875366985510005,1.0,,,,,
close_vs_ma60_recomputed,PIT_SAFE_DESCRIPTIVE_NO_THRESHOLD_FIT,RAW_T10_NONPOSITIVE_PROXY,2559,0,0.16341114277101476,0.1107994389901823,0.05366953091984783,0.21293800539083563,1.0,,,,,
prior_10d_return,PIT_SAFE_DESCRIPTIVE_NO_THRESHOLD_FIT,ALL_EVENTS,5277,0,0.13992521003839406,0.11590909090909096,0.07109004739336489,0.17991631799163188,1.0,,,,,
prior_10d_return,PIT_SAFE_DESCRIPTIVE_NO_THRESHOLD_FIT,RAW_T10_POSITIVE_PROXY,2587,0,0.14014696269402233,0.11770943796394495,0.0725552050473186,0.18154761904761907,1.0,,,,,
prior_10d_return,PIT_SAFE_DESCRIPTIVE_NO_THRESHOLD_FIT,RAW_T10_NONPOSITIVE_PROXY,2559,0,0.13569459666667177,0.11111111111111116,0.0691823899371069,0.17407407407407405,1.0,,,,,
prior_20d_return,PIT_SAFE_DESCRIPTIVE_NO_THRESHOLD_FIT,ALL_EVENTS,5277,0,0.18348331307253266,0.13025210084033612,0.07570621468926553,0.2338308457711442,1.0,,,,,
