candidate_id,setup_hypothesis,selection_rank,instrument_id,stock_code,stock_name,market,anchor_date,source_match_stratum,source_episode_id,source_successful_anchor_id,component_count,available_component_count,component_checklist,failure_labels,FAIL_T5_NEGATIVE,FAIL_T10_NEGATIVE,FAIL_NO_EXPANSION,FAIL_LARGE_MAE,FAIL_BREAKOUT_REVERSAL,T5_forward_return,T10_forward_return,T5_MFE,T5_MAE,T10_MFE,T10_MAE,a_state_bucket,pit_status,source_lineage,comparator_anchor_id,comparator_stock_code,comparator_date,comparator_component_count,selection_note
A|5c4bdf3475f1ed2b75af7cc01126adcd323f73699c374288cc0db3d132b86ec9|T5_GE_3,A_LIKE,1,050ea7a6-771f-49f1-bf1f-14d617d37f84,4807,NOT_AVAILABLE_FROM_EXISTING_ARTIFACTS,TPE,2024-11-12,T5_GE_3,T5_GE_3:ce3057b84e43c690fc1b0b3186477c2046f946492340ef589d197f154aad698b,ce3057b84e43c690fc1b0b3186477c2046f946492340ef589d197f154aad698b,5,5,"{""base_compression"": true, ""breakout_context_proxy"": null, ""improving_trend"": true, ""ma_convergence_proxy"": null, ""participation_transition"": true, ""trend_background"": true, ""volume_contraction"": true}","FAIL_T5_NEGATIVE,FAIL_T10_NEGATIVE,FAIL_NO_EXPANSION",True,True,True,NOT_AVAILABLE_FROM_EXISTING_ARTIFACTS,NOT_AVAILABLE_FROM_EXISTING_ARTIFACTS,-0.2898975109809663,-0.3616398243045388,0.03367496339677878,-0.2898975109809663,0.03367496339677878,-0.3806734992679356,NEITHER,PIT_SAFE,instrument:050ea7a6-771f-49f1-bf1f-14d617d37f84|source:TWSE_OFFICIAL_DAILY|adapter:twse-official-daily.v2|observation:359950b3-7865-42a1-927b-5e44e37d9e83|normalization:normalization-contract-v1|mapping:historical-daily-mapping-v1|reference:sdf-reference-603-v1,ce3057b84e43c690fc1b0b3186477c2046f946492340ef589d197f154aad698b,4919,2024-11-12,4,Deterministic component-count descending order with market/date/instrument spread; no future-outcome optimization or rematching.
A|54f4f887a3f86ecb65a9e6bed1a54c64ae59a8c3772cb12c5c09a503e93fd4d0|T5_GE_3,A_LIKE,2,06833556-8e76-4893-b49f-1cec4e82756f,4566,NOT_AVAILABLE_FROM_EXISTING_ARTIFACTS,TPE,2025-11-24,T5_GE_3,T5_GE_3:a3c9a9e09b4c5c0db25ba6b8ff12b53735b90ba763056960c5d9dea3d9d8b88d,a3c9a9e09b4c5c0db25ba6b8ff12b53735b90ba763056960c5d9dea3d9d8b88d,5,5,"{""base_compression"": true, ""breakout_context_proxy"": null, ""improving_trend"": true, ""ma_convergence_proxy"": null, ""participation_transition"": true, ""trend_background"": true, ""volume_contraction"": true}",FAIL_T5_NEGATIVE,True,False,False,NOT_AVAILABLE_FROM_EXISTING_ARTIFACTS,NOT_AVAILABLE_FROM_EXISTING_ARTIFACTS,-0.003816793893129722,0.01526717557251911,0.06297709923664141,-0.007633587786259555,0.06297709923664141,-0.007633587786259555,NEITHER,PIT_SAFE,instrument:06833556-8e76-4893-b49f-1cec4e82756f|source:TWSE_OFFICIAL_DAILY|adapter:twse-official-daily.v2|observation:3c934df5-d998-43a1-94ec-4a8a26a6f1e9|normalization:normalization-contract-v1|mapping:historical-daily-mapping-v1|reference:sdf-reference-603-v1,a3c9a9e09b4c5c0db25ba6b8ff12b53735b90ba763056960c5d9dea3d9d8b88d,1563,2025-11-24,4,Deterministic component-count descending order with market/date/instrument spread; no future-outcome optimization or rematching.
A|ba007d8d68876e5af5142c8858e2c987fcb8b2b1c2d1bef81870a35dd41140df|T10_GE_3,A_LIKE,3,26fd9f8c-73bb-4aa3-abeb-1a9f0e6f5951,3533,NOT_AVAILABLE_FROM_EXISTING_ARTIFACTS,TPE,2024-12-13,T10_GE_3,T10_GE_3:34392fab84f26c176c0530a83454c80dfc118ca554f14de46c4d59e38a5d78d3,34392fab84f26c176c0530a83454c80dfc118ca554f14de46c4d59e38a5d78d3,4,5,"{""base_compression"": true, ""breakout_context_proxy"": null, ""improving_trend"": true, ""ma_convergence_proxy"": null, ""participation_transition"": false, ""trend_background"": true, ""volume_contraction"": true}","FAIL_T5_NEGATIVE,FAIL_NO_EXPANSION",True,False,True,NOT_AVAILABLE_FROM_EXISTING_ARTIFACTS,NOT_AVAILABLE_FROM_EXISTING_ARTIFACTS,-0.031088082901554404,0.0,0.023316062176165886,-0.05699481865284972,0.023316062176165886,-0.05699481865284972,A1_TO_A2,PIT_SAFE,instrument:26fd9f8c-73bb-4aa3-abeb-1a9f0e6f5951|source:TWSE_OFFICIAL_DAILY|adapter:twse-official-daily.v2|observation:666a0465-56d2-40c8-93d4-5f148cde25c0|normalization:normalization-contract-v1|mapping:historical-daily-mapping-v1|reference:sdf-reference-603-v1,34392fab84f26c176c0530a83454c80dfc118ca554f14de46c4d59e38a5d78d3,6409,2024-12-13,3,Deterministic component-count descending order with market/date/instrument spread; no future-outcome optimization or rematching.
A|1c0a75c2779ac40cebc4fedc4fba9433f3a1cbac113c4d11a203856c69deedd9|T5_GE_5,A_LIKE,4,35d31c37-7336-4a9d-8e5e-1ea4ebcc24b9,1597,NOT_AVAILABLE_FROM_EXISTING_ARTIFACTS,TPE,2025-06-23,T5_GE_5,T5_GE_5:5ea272b00319221c67415910febe31e198ec0bec6c18f087a987286ab11c8a19,5ea272b00319221c67415910febe31e198ec0bec6c18f087a987286ab11c8a19,4,5,"{""base_compression"": true, ""breakout_context_proxy"": null, ""improving_trend"": true, ""ma_convergence_proxy"": null, ""participation_transition"": false, ""trend_background"": true, ""volume_contraction"": true}",FAIL_T10_NEGATIVE,False,True,False,NOT_AVAILABLE_FROM_EXISTING_ARTIFACTS,NOT_AVAILABLE_FROM_EXISTING_ARTIFACTS,0.0121212121212122,-0.030303030303030276,0.08606060606060595,0.01090909090909098,0.08606060606060595,-0.033939393939393936,NEITHER,PIT_SAFE,instrument:35d31c37-7336-4a9d-8e5e-1ea4ebcc24b9|source:TWSE_OFFICIAL_DAILY|adapter:twse-official-daily.v1|observation:91187cb9-3e61-4f74-a99a-87d5f9f4be3c|normalization:normalization-contract-v1|mapping:historical-daily-mapping-v1|reference:sdf-reference-603-v1,5ea272b00319221c67415910febe31e198ec0bec6c18f087a987286ab11c8a19,3588,2025-06-23,5,Deterministic component-count descending order with market/date/instrument spread; no future-outcome optimization or rematching.
A|6e71aba147e0c39c747d6a10200bfc8a231bfdaee3059f8c58b82419ee06cb98|T10_GE_3,A_LIKE,5,872f5630-9648-4f3a-8319-7958017e3e3f,9904,NOT_AVAILABLE_FROM_EXISTING_ARTIFACTS,TPE,2025-12-09,T10_GE_3,T10_GE_3:470871cadbcdf62f5991e2845490817d8697257bcacd9cb18f4025382e6faac8,470871cadbcdf62f5991e2845490817d8697257bcacd9cb18f4025382e6faac8,4,5,"{""base_compression"": true, ""breakout_context_proxy"": null, ""improving_trend"": true, ""ma_convergence_proxy"": null, ""participation_transition"": false, ""trend_background"": true, ""volume_contraction"": true}",FAIL_T10_NEGATIVE,False,True,False,NOT_AVAILABLE_FROM_EXISTING_ARTIFACTS,NOT_AVAILABLE_FROM_EXISTING_ARTIFACTS,0.014610389610389518,-0.009740259740259716,0.02759740259740262,-0.004870129870129913,0.02759740259740262,-0.016233766233766267,A1_TO_A2,PIT_SAFE,instrument:872f5630-9648-4f3a-8319-7958017e3e3f|source:TWSE_OFFICIAL_DAILY|adapter:twse-official-daily.v2|observation:872b778e-75ab-4fdf-934c-e6efed890bca|normalization:normalization-contract-v1|mapping:historical-daily-mapping-v1|reference:sdf-reference-603-v1,470871cadbcdf62f5991e2845490817d8697257bcacd9cb18f4025382e6faac8,2034,2025-12-09,3,Deterministic component-count descending order with market/date/instrument spread; no future-outcome optimization or rematching.
A|312379cab80d4b60392411d0f30845427c84527007eaca1a3214eba1fe9356be|T10_GE_3,A_LIKE,6,090ffa57-3150-4239-ab4c-9679da611924,3346,NOT_AVAILABLE_FROM_EXISTING_ARTIFACTS,TPE,2026-04-22,T10_GE_3,T10_GE_3:8e5848400f1f4c7a52349424678c94b06f6ca4aecdefa7383ee20c7625582187,8e5848400f1f4c7a52349424678c94b06f6ca4aecdefa7383ee20c7625582187,4,5,"{""base_compression"": true, ""breakout_context_proxy"": null, ""improving_trend"": true, ""ma_convergence_proxy"": null, ""participation_transition"": true, ""trend_background"": false, ""volume_contraction"": true}","FAIL_T5_NEGATIVE,FAIL_T10_NEGATIVE,FAIL_NO_EXPANSION",True,True,True,NOT_AVAILABLE_FROM_EXISTING_ARTIFACTS,NOT_AVAILABLE_FROM_EXISTING_ARTIFACTS,-0.05449591280653954,-0.06267029972752058,0.008174386920980936,-0.0653950953678476,0.008174386920980936,-0.08719346049046328,NEITHER,PIT_SAFE,instrument:090ffa57-3150-4239-ab4c-9679da611924|source:TWSE_OFFICIAL_DAILY|adapter:twse-official-daily.v1|observation:79687c86-441f-5841-aa25-17aa1558824d|normalization:normalization-contract-v1|mapping:hist-002b-promotion-mapping.v1|reference:tw-reference-v1,8e5848400f1f4c7a52349424678c94b06f6ca4aecdefa7383ee20c7625582187,3296,2026-04-22,3,Deterministic component-count descending order with market/date/instrument spread; no future-outcome optimization or rematching.
A|2b56e81202bef583d115600d4da2a6f52faab2f1807bfa29770f28b94db535e2|T10_GE_5,A_LIKE,7,1a19b207-ea85-48e1-b655-c8229410e4cb,6243,NOT_AVAILABLE_FROM_EXISTING_ARTIFACTS,TPE,2025-01-14,T10_GE_5,T10_GE_5:b892fafd4fa8d70e44a6ac09ec80f89750373ff3e9375d785761d760598cfee8,b892fafd4fa8d70e44a6ac09ec80f89750373ff3e9375d785761d760598cfee8,3,5,"{""base_compression"": true, ""breakout_context_proxy"": null, ""improving_trend"": true, ""ma_convergence_proxy"": null, ""participation_transition"": false, ""trend_background"": false, ""volume_contraction"": true}",FAIL_T5_NEGATIVE,True,False,False,NOT_AVAILABLE_FROM_EXISTING_ARTIFACTS,NOT_AVAILABLE_FROM_EXISTING_ARTIFACTS,-0.04632768361581918,0.031638418079096065,0.005649717514124353,-0.05084745762711862,0.0485875706214689,-0.06327683615819202,NEITHER,PIT_SAFE,instrument:1a19b207-ea85-48e1-b655-c8229410e4cb|source:TWSE_OFFICIAL_DAILY|adapter:twse-official-daily.v2|observation:99aa822c-3ccc-4e7b-8000-05f6c8be2bbd|normalization:normalization-contract-v1|mapping:historical-daily-mapping-v1|reference:sdf-reference-603-v1,b892fafd4fa8d70e44a6ac09ec80f89750373ff3e9375d785761d760598cfee8,2546,2025-01-14,3,Deterministic component-count descending order with market/date/instrument spread; no future-outcome optimization or rematching.
A|9bde4b0d2d82e167fece0747a3ef31248dad95cd3ad6d81b577425152716fdc0|T5_GE_5,A_LIKE,8,250cb664-8122-4165-ad6c-726c488c0e2c,1402,NOT_AVAILABLE_FROM_EXISTING_ARTIFACTS,TPE,2026-03-10,T5_GE_5,T5_GE_5:756bef50ac730ddb4ab1dba5f12187e85e5a896060f22d1651702f5216a5f210,756bef50ac730ddb4ab1dba5f12187e85e5a896060f22d1651702f5216a5f210,3,5,"{""base_compression"": true, ""breakout_context_proxy"": null, ""improving_trend"": true, ""ma_convergence_proxy"": null, ""participation_transition"": false, ""trend_background"": false, ""volume_contraction"": true}","FAIL_T5_NEGATIVE,FAIL_T10_NEGATIVE,FAIL_NO_EXPANSION",True,True,True,NOT_AVAILABLE_FROM_EXISTING_ARTIFACTS,NOT_AVAILABLE_FROM_EXISTING_ARTIFACTS,-0.054195804195804165,-0.0874125874125874,0.00874125874125875,-0.05594405594405594,0.00874125874125875,-0.10139860139860146,A1_ONLY,PIT_SAFE,instrument:250cb664-8122-4165-ad6c-726c488c0e2c|source:TWSE_OFFICIAL_DAILY|adapter:twse-official-daily.v1|observation:28d1f0de-8e9b-48bf-b9f7-9bb9f59d9f26|normalization:normalization-contract-v1|mapping:historical-daily-mapping-v1|reference:sdf-reference-603-v1,756bef50ac730ddb4ab1dba5f12187e85e5a896060f22d1651702f5216a5f210,2501,2026-03-10,4,Deterministic component-count descending order with market/date/instrument spread; no future-outcome optimization or rematching.
A|cfec4afb7ae6bc76a914d670050e3dee5c0e6c70c45c8dbdc4d64fc31ed0145c|T5_GE_3,A_LIKE,9,74a3d5e9-22da-468a-97e3-58f744b5b73e,5608,NOT_AVAILABLE_FROM_EXISTING_ARTIFACTS,TPE,2026-07-28,T5_GE_3,T5_GE_3:8a84b0b25b7f4a6767b704dbafcec3cc5fb5c923d08be8f7d1b70543b907250d,8a84b0b25b7f4a6767b704dbafcec3cc5fb5c923d08be8f7d1b70543b907250d,2,5,"{""base_compression"": true, ""breakout_context_proxy"": null, ""improving_trend"": false, ""ma_convergence_proxy"": null, ""participation_transition"": false, ""trend_background"": false, ""volume_contraction"": true}",FAIL_T5_NEGATIVE,True,False,False,NOT_AVAILABLE_FROM_EXISTING_ARTIFACTS,NOT_AVAILABLE_FROM_EXISTING_ARTIFACTS,-0.0074906367041198685,0.04494382022471899,0.0037453183520599342,-0.041198501872659055,0.05992509363295895,-0.041198501872659055,NEITHER,PIT_SAFE,instrument:74a3d5e9-22da-468a-97e3-58f744b5b73e|source:TWSE_OFFICIAL_DAILY|adapter:twse-official-daily.v2|observation:195cb1f0-7c43-47f8-b4bf-d3f8843230d9|normalization:normalization-contract-v1|mapping:historical-daily-mapping-v1|reference:sdf-reference-603-v1,8a84b0b25b7f4a6767b704dbafcec3cc5fb5c923d08be8f7d1b70543b907250d,6168,2026-07-28,4,Deterministic component-count descending order with market/date/instrument spread; no future-outcome optimization or rematching.
A|3ff9507dd20702aeb149a94d19b7a3cc8d031c9938f41bc25bba4345885359d2|T5_GE_3,A_LIKE,10,1ec4ef18-d868-486d-b151-cd3cbbcc55f9,6173,NOT_AVAILABLE_FROM_EXISTING_ARTIFACTS,TWO,2024-11-12,T5_GE_3,T5_GE_3:37adc6ecfe59ce38112fe384f24fa3e883a695dc892502eb3f48eda48be70fd4,37adc6ecfe59ce38112fe384f24fa3e883a695dc892502eb3f48eda48be70fd4,5,5,"{""base_compression"": true, ""breakout_context_proxy"": null, ""improving_trend"": true, ""ma_convergence_proxy"": null, ""participation_transition"": true, ""trend_background"": true, ""volume_contraction"": true}","FAIL_T5_NEGATIVE,FAIL_NO_EXPANSION",True,False,True,NOT_AVAILABLE_FROM_EXISTING_ARTIFACTS,NOT_AVAILABLE_FROM_EXISTING_ARTIFACTS,-0.020594965675057364,0.0,0.00686498855835227,-0.034324942791762014,0.011441647597254079,-0.035469107551487467,NEITHER,PIT_SAFE,instrument:1ec4ef18-d868-486d-b151-cd3cbbcc55f9|source:TPEX_OFFICIAL_DAILY|adapter:tpex-official-daily.v2|observation:00fc1a2b-b92a-4dee-b0f4-a26e28f94083|normalization:normalization-contract-v1|mapping:historical-daily-mapping-v1|reference:sdf-reference-603-v1,37adc6ecfe59ce38112fe384f24fa3e883a695dc892502eb3f48eda48be70fd4,6175,2024-11-12,3,Deterministic component-count descending order with market/date/instrument spread; no future-outcome optimization or rematching.
