candidate_id,setup_hypothesis,selection_rank,instrument_id,stock_code,stock_name,market,anchor_date,source_match_stratum,source_episode_id,source_successful_anchor_id,component_count,available_component_count,component_checklist,failure_labels,FAIL_T5_NEGATIVE,FAIL_T10_NEGATIVE,FAIL_NO_EXPANSION,FAIL_LARGE_MAE,FAIL_BREAKOUT_REVERSAL,T5_forward_return,T10_forward_return,T5_MFE,T5_MAE,T10_MFE,T10_MAE,a_state_bucket,pit_status,source_lineage,comparator_anchor_id,comparator_stock_code,comparator_date,comparator_component_count,selection_note
B|514ba0b466dab688f328123c054b186896841ca3f1973197fed80a2b905518bf|T5_GE_3,B_LIKE,1,050ea7a6-771f-49f1-bf1f-14d617d37f84,4807,NOT_AVAILABLE_FROM_EXISTING_ARTIFACTS,TPE,2024-11-14,T5_GE_3,T5_GE_3:cd599f7db97b5a582f6d6230ef114d16da91372f97e7e459bb0eb19a1c015131,cd599f7db97b5a582f6d6230ef114d16da91372f97e7e459bb0eb19a1c015131,5,5,"{""prior_expansion"": true, ""pullback"": true, ""reclaim_turn"": true, ""stabilization"": true, ""trend_preservation"": true}","FAIL_T5_NEGATIVE,FAIL_T10_NEGATIVE,FAIL_NO_EXPANSION",True,True,True,NOT_AVAILABLE_FROM_EXISTING_ARTIFACTS,NOT_AVAILABLE_FROM_EXISTING_ARTIFACTS,-0.3544494720965309,-0.3921568627450981,-0.09954751131221706,-0.3619909502262444,-0.09954751131221706,-0.396681749622926,NEITHER,PIT_SAFE,instrument:050ea7a6-771f-49f1-bf1f-14d617d37f84|source:TWSE_OFFICIAL_DAILY|adapter:twse-official-daily.v2|observation:05352943-091b-4852-bf71-2dbdb7211596|normalization:normalization-contract-v1|mapping:historical-daily-mapping-v1|reference:sdf-reference-603-v1,cd599f7db97b5a582f6d6230ef114d16da91372f97e7e459bb0eb19a1c015131,2465,2024-11-14,4,Deterministic component-count descending order with market/date/instrument spread; no future-outcome optimization or rematching.
B|330cddc8e96d3559db248e680e8b0a17a4db8f695fcbdc4be40ee818b6b22aa3|T5_GE_3,B_LIKE,2,4c8d8f5f-269d-4e4d-85ec-c3d1b66d5bda,2031,NOT_AVAILABLE_FROM_EXISTING_ARTIFACTS,TPE,2025-09-26,T5_GE_3,T5_GE_3:3c0bff3605ccf99b0485712345a0c6f023aed2bc76a62ab01c86ced5832e515d,3c0bff3605ccf99b0485712345a0c6f023aed2bc76a62ab01c86ced5832e515d,5,5,"{""prior_expansion"": true, ""pullback"": true, ""reclaim_turn"": true, ""stabilization"": true, ""trend_preservation"": true}","FAIL_T5_NEGATIVE,FAIL_T10_NEGATIVE,FAIL_NO_EXPANSION",True,True,True,NOT_AVAILABLE_FROM_EXISTING_ARTIFACTS,NOT_AVAILABLE_FROM_EXISTING_ARTIFACTS,-0.029585798816568087,-0.04852071005917158,0.0011834319526626835,-0.035502958579881616,0.0011834319526626835,-0.08284023668639051,A1_ONLY,PIT_SAFE,instrument:4c8d8f5f-269d-4e4d-85ec-c3d1b66d5bda|source:TWSE_OFFICIAL_DAILY|adapter:twse-official-daily.v1|observation:ee141e94-a1cc-45db-b871-c1b48f5c3d41|normalization:normalization-contract-v1|mapping:historical-daily-mapping-v1|reference:sdf-reference-603-v1,3c0bff3605ccf99b0485712345a0c6f023aed2bc76a62ab01c86ced5832e515d,6426,2025-09-26,5,Deterministic component-count descending order with market/date/instrument spread; no future-outcome optimization or rematching.
B|89232205bea60e33dfce29a442c7c169ad63227a3f6dc4324517f0d80eeb84c2|T5_GE_10,B_LIKE,3,4062fc71-02d5-44c2-b089-924f040f31c0,3535,NOT_AVAILABLE_FROM_EXISTING_ARTIFACTS,TPE,2026-05-19,T5_GE_10,T5_GE_10:4a24a987f5ecb85b549bfcfbc5dc64c23202bc23c9f63fe2f883132dc92aea40,4a24a987f5ecb85b549bfcfbc5dc64c23202bc23c9f63fe2f883132dc92aea40,5,5,"{""prior_expansion"": true, ""pullback"": true, ""reclaim_turn"": true, ""stabilization"": true, ""trend_preservation"": true}",FAIL_T5_NEGATIVE,True,False,False,NOT_AVAILABLE_FROM_EXISTING_ARTIFACTS,NOT_AVAILABLE_FROM_EXISTING_ARTIFACTS,-0.02651515151515149,0.04166666666666674,0.011363636363636465,-0.07954545454545459,0.06060606060606055,-0.09090909090909094,A2_WITHOUT_PRIOR_A1,PIT_SAFE,instrument:4062fc71-02d5-44c2-b089-924f040f31c0|source:TWSE_OFFICIAL_DAILY|adapter:twse-official-daily.v1|observation:b2a89440-d0cc-560d-96e0-8847c830f0a7|normalization:normalization-contract-v1|mapping:hist-002b-promotion-mapping.v1|reference:tw-reference-v1,4a24a987f5ecb85b549bfcfbc5dc64c23202bc23c9f63fe2f883132dc92aea40,2449,2026-05-19,4,Deterministic component-count descending order with market/date/instrument spread; no future-outcome optimization or rematching.
B|4fe5da46892891e3ddff32fcacb6fbff898ed6b796d89e35b87c51dca1c5f623|T10_GE_3,B_LIKE,4,090ffa57-3150-4239-ab4c-9679da611924,3346,NOT_AVAILABLE_FROM_EXISTING_ARTIFACTS,TPE,2025-02-25,T10_GE_3,T10_GE_3:6aa971599283b2a5a4237aae06c2cd5b2c08c1055cc04b607759565e28ac9bd4,6aa971599283b2a5a4237aae06c2cd5b2c08c1055cc04b607759565e28ac9bd4,4,5,"{""prior_expansion"": true, ""pullback"": false, ""reclaim_turn"": true, ""stabilization"": true, ""trend_preservation"": true}","FAIL_T5_NEGATIVE,FAIL_T10_NEGATIVE,FAIL_NO_EXPANSION",True,True,True,NOT_AVAILABLE_FROM_EXISTING_ARTIFACTS,NOT_AVAILABLE_FROM_EXISTING_ARTIFACTS,-0.005730659025787843,-0.024355300859598916,0.014326647564469885,-0.03008595988538676,0.014326647564469885,-0.07163323782234954,NEITHER,PIT_SAFE,instrument:090ffa57-3150-4239-ab4c-9679da611924|source:TWSE_OFFICIAL_DAILY|adapter:twse-official-daily.v2|observation:85f328cb-faa2-44f8-a6fb-e433d41f67bc|normalization:normalization-contract-v1|mapping:historical-daily-mapping-v1|reference:sdf-reference-603-v1,6aa971599283b2a5a4237aae06c2cd5b2c08c1055cc04b607759565e28ac9bd4,4566,2025-02-25,4,Deterministic component-count descending order with market/date/instrument spread; no future-outcome optimization or rematching.
B|6b21694acab1d6e3d89444e2a9e43308cdd2a15581ae389829c1ffb8e057cbb8|T10_GE_3,B_LIKE,5,283240c0-a7d7-4f61-90fb-32caf79772b8,4576,NOT_AVAILABLE_FROM_EXISTING_ARTIFACTS,TPE,2025-08-15,T10_GE_3,T10_GE_3:8a6baa0e8f066de21f1f1cf84d2b716fa93f8642f7e762fdd34cdabce4472137,8a6baa0e8f066de21f1f1cf84d2b716fa93f8642f7e762fdd34cdabce4472137,4,5,"{""prior_expansion"": true, ""pullback"": false, ""reclaim_turn"": true, ""stabilization"": true, ""trend_preservation"": true}","FAIL_T5_NEGATIVE,FAIL_T10_NEGATIVE,FAIL_NO_EXPANSION",True,True,True,NOT_AVAILABLE_FROM_EXISTING_ARTIFACTS,NOT_AVAILABLE_FROM_EXISTING_ARTIFACTS,-0.07874015748031493,-0.019685039370078705,0.027559055118110187,-0.08661417322834641,0.04724409448818889,-0.08661417322834641,A1_TO_A2,PIT_SAFE,instrument:283240c0-a7d7-4f61-90fb-32caf79772b8|source:TWSE_OFFICIAL_DAILY|adapter:twse-official-daily.v2|observation:b635d2dc-846c-483f-be77-62ac821e7fcb|normalization:normalization-contract-v1|mapping:historical-daily-mapping-v1|reference:sdf-reference-603-v1,8a6baa0e8f066de21f1f1cf84d2b716fa93f8642f7e762fdd34cdabce4472137,6531,2025-08-15,4,Deterministic component-count descending order with market/date/instrument spread; no future-outcome optimization or rematching.
B|5691984cac28afa6b13fbd114db4cb1ac03b4684fc824e4ae83fab501a58eb2f|T5_GE_5,B_LIKE,6,2bfefa5f-1b7e-41e3-ae8e-986204c4c7e8,2634,NOT_AVAILABLE_FROM_EXISTING_ARTIFACTS,TPE,2026-01-21,T5_GE_5,T5_GE_5:183c619c94f7b7619e86caa570030cde976a25b17006aea54a54fae4e35e3a07,183c619c94f7b7619e86caa570030cde976a25b17006aea54a54fae4e35e3a07,4,5,"{""prior_expansion"": true, ""pullback"": false, ""reclaim_turn"": true, ""stabilization"": true, ""trend_preservation"": true}","FAIL_T5_NEGATIVE,FAIL_T10_NEGATIVE,FAIL_NO_EXPANSION",True,True,True,NOT_AVAILABLE_FROM_EXISTING_ARTIFACTS,NOT_AVAILABLE_FROM_EXISTING_ARTIFACTS,-0.05052264808362372,-0.057491289198606244,0.013937282229965264,-0.059233449477351874,0.013937282229965264,-0.09407665505226481,A1_TO_A2,PIT_SAFE,instrument:2bfefa5f-1b7e-41e3-ae8e-986204c4c7e8|source:TWSE_OFFICIAL_DAILY|adapter:twse-official-daily.v2|observation:027ca230-1a13-4e53-8858-d3adddc9d607|normalization:normalization-contract-v1|mapping:historical-daily-mapping-v1|reference:sdf-reference-603-v1,183c619c94f7b7619e86caa570030cde976a25b17006aea54a54fae4e35e3a07,8112,2026-01-21,5,Deterministic component-count descending order with market/date/instrument spread; no future-outcome optimization or rematching.
B|042830e2458f3e39a83d6e27d2a5b13d93ec520767460ef3dcf59101b8b1c57f|T10_GE_10,B_LIKE,7,5fc47ff1-b8c4-40f7-837f-e7cde3a7f607,2535,NOT_AVAILABLE_FROM_EXISTING_ARTIFACTS,TPE,2026-06-15,T10_GE_10,T10_GE_10:09050234f2819460b10901cfb1c17a80e6229088a653751717ea49593fcbbf40,09050234f2819460b10901cfb1c17a80e6229088a653751717ea49593fcbbf40,4,5,"{""prior_expansion"": true, ""pullback"": false, ""reclaim_turn"": true, ""stabilization"": true, ""trend_preservation"": true}","FAIL_T5_NEGATIVE,FAIL_T10_NEGATIVE,FAIL_NO_EXPANSION",True,True,True,NOT_AVAILABLE_FROM_EXISTING_ARTIFACTS,NOT_AVAILABLE_FROM_EXISTING_ARTIFACTS,-0.001052631578947305,-0.03578947368421059,0.0378947368421052,-0.032631578947368345,0.0378947368421052,-0.04421052631578948,NEITHER,PIT_SAFE,instrument:5fc47ff1-b8c4-40f7-837f-e7cde3a7f607|source:TWSE_OFFICIAL_DAILY|adapter:twse-official-daily.v1|observation:38416ff1-d47e-588f-a54b-49ce4dc06db3|normalization:normalization-contract-v1|mapping:hist-002b-promotion-mapping.v1|reference:tw-reference-v1,09050234f2819460b10901cfb1c17a80e6229088a653751717ea49593fcbbf40,5222,2026-06-15,2,Deterministic component-count descending order with market/date/instrument spread; no future-outcome optimization or rematching.
B|9d91beb75f54f6354cb2f470cc1c659e7e6473142e65bc35b4577f2ab19cb512|T5_GE_5,B_LIKE,8,250cb664-8122-4165-ad6c-726c488c0e2c,1402,NOT_AVAILABLE_FROM_EXISTING_ARTIFACTS,TPE,2025-08-04,T5_GE_5,T5_GE_5:f7ca23f2415a56ebac6a6b25adbed84aeb1011dad4a325bb67b1c6cadb8fe6c9,f7ca23f2415a56ebac6a6b25adbed84aeb1011dad4a325bb67b1c6cadb8fe6c9,3,5,"{""prior_expansion"": true, ""pullback"": true, ""reclaim_turn"": false, ""stabilization"": true, ""trend_preservation"": false}","FAIL_T5_NEGATIVE,FAIL_T10_NEGATIVE,FAIL_NO_EXPANSION",True,True,True,NOT_AVAILABLE_FROM_EXISTING_ARTIFACTS,NOT_AVAILABLE_FROM_EXISTING_ARTIFACTS,-0.0431034482758621,-0.04137931034482756,0.005172413793103292,-0.051724137931034475,0.005172413793103292,-0.05689655172413788,A1_ONLY,PIT_SAFE,instrument:250cb664-8122-4165-ad6c-726c488c0e2c|source:TWSE_OFFICIAL_DAILY|adapter:twse-official-daily.v1|observation:51bc554e-2e05-44fe-a259-19dd7b0a1f1f|normalization:normalization-contract-v1|mapping:historical-daily-mapping-v1|reference:sdf-reference-603-v1,f7ca23f2415a56ebac6a6b25adbed84aeb1011dad4a325bb67b1c6cadb8fe6c9,2605,2025-08-04,4,Deterministic component-count descending order with market/date/instrument spread; no future-outcome optimization or rematching.
B|7484c7d687127622d443dbbe734279ac1ceb610ca97851622e3d9190c94fac68|T10_GE_3,B_LIKE,9,7907028c-9dd8-47fc-baa2-c1ec6a84eafe,2613,NOT_AVAILABLE_FROM_EXISTING_ARTIFACTS,TPE,2026-07-27,T10_GE_3,T10_GE_3:c779fc44d8868fd7c57e17a44e3238dc230fee74cd32696f3320333a30e835a1,c779fc44d8868fd7c57e17a44e3238dc230fee74cd32696f3320333a30e835a1,2,5,"{""prior_expansion"": false, ""pullback"": true, ""reclaim_turn"": false, ""stabilization"": true, ""trend_preservation"": false}","FAIL_T5_NEGATIVE,FAIL_T10_NEGATIVE,FAIL_NO_EXPANSION",True,True,True,NOT_AVAILABLE_FROM_EXISTING_ARTIFACTS,NOT_AVAILABLE_FROM_EXISTING_ARTIFACTS,-0.04534606205250591,-0.021479713603818618,-0.0023866348448687846,-0.054892601431980825,-0.0023866348448687846,-0.054892601431980825,A1_ONLY,PIT_SAFE,instrument:7907028c-9dd8-47fc-baa2-c1ec6a84eafe|source:TWSE_OFFICIAL_DAILY|adapter:twse-official-daily.v2|observation:55265890-857a-419e-a965-946805695846|normalization:normalization-contract-v1|mapping:historical-daily-mapping-v1|reference:sdf-reference-603-v1,c779fc44d8868fd7c57e17a44e3238dc230fee74cd32696f3320333a30e835a1,1612,2026-07-27,4,Deterministic component-count descending order with market/date/instrument spread; no future-outcome optimization or rematching.
B|d38dd14487abe33a46b1b0a5521ffca7b6b87bcdae44fb8600e24fb5e8acad8c|T5_GE_3,B_LIKE,10,08d6f8cf-caba-4c57-a23a-7cf3f46bed85,5457,NOT_AVAILABLE_FROM_EXISTING_ARTIFACTS,TWO,2024-11-14,T5_GE_3,T5_GE_3:bcade4a0f220d8f4efef0bd371ebcaa31791eeec29714151c9d2a9d74bb35477,bcade4a0f220d8f4efef0bd371ebcaa31791eeec29714151c9d2a9d74bb35477,5,5,"{""prior_expansion"": true, ""pullback"": true, ""reclaim_turn"": true, ""stabilization"": true, ""trend_preservation"": true}","FAIL_T5_NEGATIVE,FAIL_T10_NEGATIVE,FAIL_NO_EXPANSION",True,True,True,NOT_AVAILABLE_FROM_EXISTING_ARTIFACTS,NOT_AVAILABLE_FROM_EXISTING_ARTIFACTS,-0.0036900369003690647,-0.027675276752767486,0.06088560885608851,-0.04981549815498165,0.06088560885608851,-0.04981549815498165,NEITHER,PIT_SAFE,instrument:08d6f8cf-caba-4c57-a23a-7cf3f46bed85|source:TPEX_OFFICIAL_DAILY|adapter:tpex-official-daily.v2|observation:d3c3da81-f964-4e62-9a77-408369b854e7|normalization:normalization-contract-v1|mapping:historical-daily-mapping-v1|reference:sdf-reference-603-v1,bcade4a0f220d8f4efef0bd371ebcaa31791eeec29714151c9d2a9d74bb35477,8086,2024-11-14,4,Deterministic component-count descending order with market/date/instrument spread; no future-outcome optimization or rematching.
