feature_name,category,raw_direction,raw_standardized_effect,date_centered_direction,date_centered_standardized_effect,FEATURE_STOCK_LEVEL_SIGNAL,FEATURE_DATE_REGIME_CONFOUNDED,date_centering_definition,task_id,source_canonical_head,source_baseline_head,frozen_spec_hash,dataset_authority
reference_gap_pct,BREAKOUT_PROXIMITY,HIGHER_IN_SUCCESS,0.16350584253341685,HIGHER_IN_SUCCESS,0.14542356114556976,INCONCLUSIVE,PARTIAL,value minus same-day median across all A1 feature rows; no labels used,TASK-WS3-CORE-V0-A1-EX-ANTE-SUCCESS-VS-FAILED-BREAKOUT-DISCRIMINATION-RESEARCH-20260818,3ab70b612cbb30335b43a5650d145488f9e8b2c1,9ca9ba4f15359aa5ea96ba4c3d6bed9439d0346e,6e4cc504f969098e263cfa8e7c43240e9575a3f72f0641ba39da22794ea9870d,canonical Postgres historical read model via read_historical_bars; REC-A1 event dataset preserved
recent_20_high_proximity,BREAKOUT_PROXIMITY,HIGHER_IN_SUCCESS,0.4176730398758115,HIGHER_IN_SUCCESS,0.382194776284097,YES,NO,value minus same-day median across all A1 feature rows; no labels used,TASK-WS3-CORE-V0-A1-EX-ANTE-SUCCESS-VS-FAILED-BREAKOUT-DISCRIMINATION-RESEARCH-20260818,3ab70b612cbb30335b43a5650d145488f9e8b2c1,9ca9ba4f15359aa5ea96ba4c3d6bed9439d0346e,6e4cc504f969098e263cfa8e7c43240e9575a3f72f0641ba39da22794ea9870d,canonical Postgres historical read model via read_historical_bars; REC-A1 event dataset preserved
recent_20_close_range_location,BREAKOUT_PROXIMITY,LOWER_IN_SUCCESS,-0.42526128532649604,LOWER_IN_SUCCESS,-0.3511032891281241,YES,NO,value minus same-day median across all A1 feature rows; no labels used,TASK-WS3-CORE-V0-A1-EX-ANTE-SUCCESS-VS-FAILED-BREAKOUT-DISCRIMINATION-RESEARCH-20260818,3ab70b612cbb30335b43a5650d145488f9e8b2c1,9ca9ba4f15359aa5ea96ba4c3d6bed9439d0346e,6e4cc504f969098e263cfa8e7c43240e9575a3f72f0641ba39da22794ea9870d,canonical Postgres historical read model via read_historical_bars; REC-A1 event dataset preserved
reference_touch_count_20,BREAKOUT_PROXIMITY,LOWER_IN_SUCCESS,-0.3121685890298381,LOWER_IN_SUCCESS,-0.20038615078268673,YES,NO,value minus same-day median across all A1 feature rows; no labels used,TASK-WS3-CORE-V0-A1-EX-ANTE-SUCCESS-VS-FAILED-BREAKOUT-DISCRIMINATION-RESEARCH-20260818,3ab70b612cbb30335b43a5650d145488f9e8b2c1,9ca9ba4f15359aa5ea96ba4c3d6bed9439d0346e,6e4cc504f969098e263cfa8e7c43240e9575a3f72f0641ba39da22794ea9870d,canonical Postgres historical read model via read_historical_bars; REC-A1 event dataset preserved
recent_20_high_age_sessions,CONSOLIDATION_STRUCTURE,HIGHER_IN_SUCCESS,0.5020920293309611,HIGHER_IN_SUCCESS,0.37495435786428877,YES,NO,value minus same-day median across all A1 feature rows; no labels used,TASK-WS3-CORE-V0-A1-EX-ANTE-SUCCESS-VS-FAILED-BREAKOUT-DISCRIMINATION-RESEARCH-20260818,3ab70b612cbb30335b43a5650d145488f9e8b2c1,9ca9ba4f15359aa5ea96ba4c3d6bed9439d0346e,6e4cc504f969098e263cfa8e7c43240e9575a3f72f0641ba39da22794ea9870d,canonical Postgres historical read model via read_historical_bars; REC-A1 event dataset preserved
reference_below_high_streak,CONSOLIDATION_STRUCTURE,HIGHER_IN_SUCCESS,0.4124057761549246,HIGHER_IN_SUCCESS,0.2952187783109436,YES,NO,value minus same-day median across all A1 feature rows; no labels used,TASK-WS3-CORE-V0-A1-EX-ANTE-SUCCESS-VS-FAILED-BREAKOUT-DISCRIMINATION-RESEARCH-20260818,3ab70b612cbb30335b43a5650d145488f9e8b2c1,9ca9ba4f15359aa5ea96ba4c3d6bed9439d0346e,6e4cc504f969098e263cfa8e7c43240e9575a3f72f0641ba39da22794ea9870d,canonical Postgres historical read model via read_historical_bars; REC-A1 event dataset preserved
return_1d,MOMENTUM,LOWER_IN_SUCCESS,-0.12373059185689826,LOWER_IN_SUCCESS,-0.07372000984233944,NO,YES,value minus same-day median across all A1 feature rows; no labels used,TASK-WS3-CORE-V0-A1-EX-ANTE-SUCCESS-VS-FAILED-BREAKOUT-DISCRIMINATION-RESEARCH-20260818,3ab70b612cbb30335b43a5650d145488f9e8b2c1,9ca9ba4f15359aa5ea96ba4c3d6bed9439d0346e,6e4cc504f969098e263cfa8e7c43240e9575a3f72f0641ba39da22794ea9870d,canonical Postgres historical read model via read_historical_bars; REC-A1 event dataset preserved
return_3d,MOMENTUM,LOWER_IN_SUCCESS,-0.3223610467292734,LOWER_IN_SUCCESS,-0.3119887649876767,YES,NO,value minus same-day median across all A1 feature rows; no labels used,TASK-WS3-CORE-V0-A1-EX-ANTE-SUCCESS-VS-FAILED-BREAKOUT-DISCRIMINATION-RESEARCH-20260818,3ab70b612cbb30335b43a5650d145488f9e8b2c1,9ca9ba4f15359aa5ea96ba4c3d6bed9439d0346e,6e4cc504f969098e263cfa8e7c43240e9575a3f72f0641ba39da22794ea9870d,canonical Postgres historical read model via read_historical_bars; REC-A1 event dataset preserved
return_5d,MOMENTUM,LOWER_IN_SUCCESS,-0.40980491472298386,LOWER_IN_SUCCESS,-0.2820211806092901,YES,NO,value minus same-day median across all A1 feature rows; no labels used,TASK-WS3-CORE-V0-A1-EX-ANTE-SUCCESS-VS-FAILED-BREAKOUT-DISCRIMINATION-RESEARCH-20260818,3ab70b612cbb30335b43a5650d145488f9e8b2c1,9ca9ba4f15359aa5ea96ba4c3d6bed9439d0346e,6e4cc504f969098e263cfa8e7c43240e9575a3f72f0641ba39da22794ea9870d,canonical Postgres historical read model via read_historical_bars; REC-A1 event dataset preserved
return_10d,MOMENTUM,LOWER_IN_SUCCESS,-0.2704648348211452,LOWER_IN_SUCCESS,-0.30854171513301687,YES,NO,value minus same-day median across all A1 feature rows; no labels used,TASK-WS3-CORE-V0-A1-EX-ANTE-SUCCESS-VS-FAILED-BREAKOUT-DISCRIMINATION-RESEARCH-20260818,3ab70b612cbb30335b43a5650d145488f9e8b2c1,9ca9ba4f15359aa5ea96ba4c3d6bed9439d0346e,6e4cc504f969098e263cfa8e7c43240e9575a3f72f0641ba39da22794ea9870d,canonical Postgres historical read model via read_historical_bars; REC-A1 event dataset preserved
return_20d,MOMENTUM,LOWER_IN_SUCCESS,-0.16453972677364812,LOWER_IN_SUCCESS,-0.18752027428055018,INCONCLUSIVE,PARTIAL,value minus same-day median across all A1 feature rows; no labels used,TASK-WS3-CORE-V0-A1-EX-ANTE-SUCCESS-VS-FAILED-BREAKOUT-DISCRIMINATION-RESEARCH-20260818,3ab70b612cbb30335b43a5650d145488f9e8b2c1,9ca9ba4f15359aa5ea96ba4c3d6bed9439d0346e,6e4cc504f969098e263cfa8e7c43240e9575a3f72f0641ba39da22794ea9870d,canonical Postgres historical read model via read_historical_bars; REC-A1 event dataset preserved
