feature_name,category,status,bin_definition,train_q1,train_q2,train_q3,bin,total_A1_n,success_n,failed_breakout_n,success_rate,failed_breakout_rate,task_id,source_canonical_head,source_baseline_head,frozen_spec_hash,dataset_authority
reference_gap_pct,BREAKOUT_PROXIMITY,AVAILABLE,fixed DEVELOPMENT_AVAILABLE quartiles Q1-Q4; no cutoff search,0.009603846153846154,0.01804939344109708,0.023992010652463383,Q1,166,87,66,0.5686274509803921,0.43137254901960786,TASK-WS3-CORE-V0-A1-EX-ANTE-SUCCESS-VS-FAILED-BREAKOUT-DISCRIMINATION-RESEARCH-20260818,3ab70b612cbb30335b43a5650d145488f9e8b2c1,9ca9ba4f15359aa5ea96ba4c3d6bed9439d0346e,6e4cc504f969098e263cfa8e7c43240e9575a3f72f0641ba39da22794ea9870d,canonical Postgres historical read model via read_historical_bars; REC-A1 event dataset preserved
reference_gap_pct,BREAKOUT_PROXIMITY,AVAILABLE,fixed DEVELOPMENT_AVAILABLE quartiles Q1-Q4; no cutoff search,0.009603846153846154,0.01804939344109708,0.023992010652463383,Q2,178,106,58,0.6463414634146342,0.35365853658536583,TASK-WS3-CORE-V0-A1-EX-ANTE-SUCCESS-VS-FAILED-BREAKOUT-DISCRIMINATION-RESEARCH-20260818,3ab70b612cbb30335b43a5650d145488f9e8b2c1,9ca9ba4f15359aa5ea96ba4c3d6bed9439d0346e,6e4cc504f969098e263cfa8e7c43240e9575a3f72f0641ba39da22794ea9870d,canonical Postgres historical read model via read_historical_bars; REC-A1 event dataset preserved
reference_gap_pct,BREAKOUT_PROXIMITY,AVAILABLE,fixed DEVELOPMENT_AVAILABLE quartiles Q1-Q4; no cutoff search,0.009603846153846154,0.01804939344109708,0.023992010652463383,Q3,175,98,37,0.725925925925926,0.2740740740740741,TASK-WS3-CORE-V0-A1-EX-ANTE-SUCCESS-VS-FAILED-BREAKOUT-DISCRIMINATION-RESEARCH-20260818,3ab70b612cbb30335b43a5650d145488f9e8b2c1,9ca9ba4f15359aa5ea96ba4c3d6bed9439d0346e,6e4cc504f969098e263cfa8e7c43240e9575a3f72f0641ba39da22794ea9870d,canonical Postgres historical read model via read_historical_bars; REC-A1 event dataset preserved
reference_gap_pct,BREAKOUT_PROXIMITY,AVAILABLE,fixed DEVELOPMENT_AVAILABLE quartiles Q1-Q4; no cutoff search,0.009603846153846154,0.01804939344109708,0.023992010652463383,Q4,181,95,53,0.6418918918918919,0.3581081081081081,TASK-WS3-CORE-V0-A1-EX-ANTE-SUCCESS-VS-FAILED-BREAKOUT-DISCRIMINATION-RESEARCH-20260818,3ab70b612cbb30335b43a5650d145488f9e8b2c1,9ca9ba4f15359aa5ea96ba4c3d6bed9439d0346e,6e4cc504f969098e263cfa8e7c43240e9575a3f72f0641ba39da22794ea9870d,canonical Postgres historical read model via read_historical_bars; REC-A1 event dataset preserved
recent_20_high_proximity,BREAKOUT_PROXIMITY,AVAILABLE,fixed DEVELOPMENT_AVAILABLE quartiles Q1-Q4; no cutoff search,-0.02788659488440291,-0.02147248243559719,-0.013943687105975648,Q1,164,67,74,0.475177304964539,0.524822695035461,TASK-WS3-CORE-V0-A1-EX-ANTE-SUCCESS-VS-FAILED-BREAKOUT-DISCRIMINATION-RESEARCH-20260818,3ab70b612cbb30335b43a5650d145488f9e8b2c1,9ca9ba4f15359aa5ea96ba4c3d6bed9439d0346e,6e4cc504f969098e263cfa8e7c43240e9575a3f72f0641ba39da22794ea9870d,canonical Postgres historical read model via read_historical_bars; REC-A1 event dataset preserved
recent_20_high_proximity,BREAKOUT_PROXIMITY,AVAILABLE,fixed DEVELOPMENT_AVAILABLE quartiles Q1-Q4; no cutoff search,-0.02788659488440291,-0.02147248243559719,-0.013943687105975648,Q2,183,95,48,0.6643356643356644,0.3356643356643357,TASK-WS3-CORE-V0-A1-EX-ANTE-SUCCESS-VS-FAILED-BREAKOUT-DISCRIMINATION-RESEARCH-20260818,3ab70b612cbb30335b43a5650d145488f9e8b2c1,9ca9ba4f15359aa5ea96ba4c3d6bed9439d0346e,6e4cc504f969098e263cfa8e7c43240e9575a3f72f0641ba39da22794ea9870d,canonical Postgres historical read model via read_historical_bars; REC-A1 event dataset preserved
recent_20_high_proximity,BREAKOUT_PROXIMITY,AVAILABLE,fixed DEVELOPMENT_AVAILABLE quartiles Q1-Q4; no cutoff search,-0.02788659488440291,-0.02147248243559719,-0.013943687105975648,Q3,170,103,41,0.7152777777777778,0.2847222222222222,TASK-WS3-CORE-V0-A1-EX-ANTE-SUCCESS-VS-FAILED-BREAKOUT-DISCRIMINATION-RESEARCH-20260818,3ab70b612cbb30335b43a5650d145488f9e8b2c1,9ca9ba4f15359aa5ea96ba4c3d6bed9439d0346e,6e4cc504f969098e263cfa8e7c43240e9575a3f72f0641ba39da22794ea9870d,canonical Postgres historical read model via read_historical_bars; REC-A1 event dataset preserved
recent_20_high_proximity,BREAKOUT_PROXIMITY,AVAILABLE,fixed DEVELOPMENT_AVAILABLE quartiles Q1-Q4; no cutoff search,-0.02788659488440291,-0.02147248243559719,-0.013943687105975648,Q4,183,121,51,0.7034883720930233,0.29651162790697677,TASK-WS3-CORE-V0-A1-EX-ANTE-SUCCESS-VS-FAILED-BREAKOUT-DISCRIMINATION-RESEARCH-20260818,3ab70b612cbb30335b43a5650d145488f9e8b2c1,9ca9ba4f15359aa5ea96ba4c3d6bed9439d0346e,6e4cc504f969098e263cfa8e7c43240e9575a3f72f0641ba39da22794ea9870d,canonical Postgres historical read model via read_historical_bars; REC-A1 event dataset preserved
recent_20_close_range_location,BREAKOUT_PROXIMITY,AVAILABLE,fixed DEVELOPMENT_AVAILABLE quartiles Q1-Q4; no cutoff search,0.9377403846153847,1.0,1.0,Q1,211,131,41,0.7616279069767442,0.23837209302325582,TASK-WS3-CORE-V0-A1-EX-ANTE-SUCCESS-VS-FAILED-BREAKOUT-DISCRIMINATION-RESEARCH-20260818,3ab70b612cbb30335b43a5650d145488f9e8b2c1,9ca9ba4f15359aa5ea96ba4c3d6bed9439d0346e,6e4cc504f969098e263cfa8e7c43240e9575a3f72f0641ba39da22794ea9870d,canonical Postgres historical read model via read_historical_bars; REC-A1 event dataset preserved
recent_20_close_range_location,BREAKOUT_PROXIMITY,AVAILABLE,fixed DEVELOPMENT_AVAILABLE quartiles Q1-Q4; no cutoff search,0.9377403846153847,1.0,1.0,Q2,489,255,173,0.5957943925233645,0.40420560747663553,TASK-WS3-CORE-V0-A1-EX-ANTE-SUCCESS-VS-FAILED-BREAKOUT-DISCRIMINATION-RESEARCH-20260818,3ab70b612cbb30335b43a5650d145488f9e8b2c1,9ca9ba4f15359aa5ea96ba4c3d6bed9439d0346e,6e4cc504f969098e263cfa8e7c43240e9575a3f72f0641ba39da22794ea9870d,canonical Postgres historical read model via read_historical_bars; REC-A1 event dataset preserved
recent_20_close_range_location,BREAKOUT_PROXIMITY,AVAILABLE,fixed DEVELOPMENT_AVAILABLE quartiles Q1-Q4; no cutoff search,0.9377403846153847,1.0,1.0,Q3,0,0,0,,,TASK-WS3-CORE-V0-A1-EX-ANTE-SUCCESS-VS-FAILED-BREAKOUT-DISCRIMINATION-RESEARCH-20260818,3ab70b612cbb30335b43a5650d145488f9e8b2c1,9ca9ba4f15359aa5ea96ba4c3d6bed9439d0346e,6e4cc504f969098e263cfa8e7c43240e9575a3f72f0641ba39da22794ea9870d,canonical Postgres historical read model via read_historical_bars; REC-A1 event dataset preserved
recent_20_close_range_location,BREAKOUT_PROXIMITY,AVAILABLE,fixed DEVELOPMENT_AVAILABLE quartiles Q1-Q4; no cutoff search,0.9377403846153847,1.0,1.0,Q4,0,0,0,,,TASK-WS3-CORE-V0-A1-EX-ANTE-SUCCESS-VS-FAILED-BREAKOUT-DISCRIMINATION-RESEARCH-20260818,3ab70b612cbb30335b43a5650d145488f9e8b2c1,9ca9ba4f15359aa5ea96ba4c3d6bed9439d0346e,6e4cc504f969098e263cfa8e7c43240e9575a3f72f0641ba39da22794ea9870d,canonical Postgres historical read model via read_historical_bars; REC-A1 event dataset preserved
