feature_name,category,TRAIN_DIRECTION,VALIDATION_DIRECTION,HOLDOUT_DIRECTION,TRAIN_EFFECT,VALIDATION_EFFECT,HOLDOUT_EFFECT,TRAIN_STANDARDIZED_EFFECT,VALIDATION_STANDARDIZED_EFFECT,HOLDOUT_STANDARDIZED_EFFECT,TRAIN_SUCCESS_N,TRAIN_FAILED_N,VALIDATION_SUCCESS_N,VALIDATION_FAILED_N,HOLDOUT_SUCCESS_N,HOLDOUT_FAILED_N,DIRECTION_CONSISTENT,VALIDATION_SAMPLE_STATUS,task_id,source_canonical_head,source_baseline_head,frozen_spec_hash,dataset_authority
reference_gap_pct,BREAKOUT_PROXIMITY,HIGHER_IN_SUCCESS,HIGHER_IN_SUCCESS,HIGHER_IN_SUCCESS,0.0008449558627091659,0.0024152954449730424,0.003026926987527316,0.10362163407015144,0.303016582665035,0.3789461238355603,289,153,75,46,22,15,YES,ADEQUATE,TASK-WS3-CORE-V0-A1-EX-ANTE-SUCCESS-VS-FAILED-BREAKOUT-DISCRIMINATION-RESEARCH-20260818,3ab70b612cbb30335b43a5650d145488f9e8b2c1,9ca9ba4f15359aa5ea96ba4c3d6bed9439d0346e,6e4cc504f969098e263cfa8e7c43240e9575a3f72f0641ba39da22794ea9870d,canonical Postgres historical read model via read_historical_bars; REC-A1 event dataset preserved
recent_20_high_proximity,BREAKOUT_PROXIMITY,HIGHER_IN_SUCCESS,HIGHER_IN_SUCCESS,HIGHER_IN_SUCCESS,0.00485805203308684,0.01025629960143765,0.0016693187320930732,0.3651480126880271,0.6965509617796241,0.15145084093633665,289,153,75,46,22,15,YES,ADEQUATE,TASK-WS3-CORE-V0-A1-EX-ANTE-SUCCESS-VS-FAILED-BREAKOUT-DISCRIMINATION-RESEARCH-20260818,3ab70b612cbb30335b43a5650d145488f9e8b2c1,9ca9ba4f15359aa5ea96ba4c3d6bed9439d0346e,6e4cc504f969098e263cfa8e7c43240e9575a3f72f0641ba39da22794ea9870d,canonical Postgres historical read model via read_historical_bars; REC-A1 event dataset preserved
recent_20_close_range_location,BREAKOUT_PROXIMITY,LOWER_IN_SUCCESS,LOWER_IN_SUCCESS,LOWER_IN_SUCCESS,-0.028090663567610585,-0.1407589074836879,-0.11683863767017277,-0.25527178476122137,-0.8720115379446127,-0.7964839006053436,289,153,75,46,22,15,YES,ADEQUATE,TASK-WS3-CORE-V0-A1-EX-ANTE-SUCCESS-VS-FAILED-BREAKOUT-DISCRIMINATION-RESEARCH-20260818,3ab70b612cbb30335b43a5650d145488f9e8b2c1,9ca9ba4f15359aa5ea96ba4c3d6bed9439d0346e,6e4cc504f969098e263cfa8e7c43240e9575a3f72f0641ba39da22794ea9870d,canonical Postgres historical read model via read_historical_bars; REC-A1 event dataset preserved
reference_touch_count_20,BREAKOUT_PROXIMITY,LOWER_IN_SUCCESS,LOWER_IN_SUCCESS,LOWER_IN_SUCCESS,-0.011822376009227226,-0.012579710144927536,-0.005454545454545455,-0.3393650411307677,-0.33897503252790057,-0.1480872194397731,289,153,75,46,22,15,YES,ADEQUATE,TASK-WS3-CORE-V0-A1-EX-ANTE-SUCCESS-VS-FAILED-BREAKOUT-DISCRIMINATION-RESEARCH-20260818,3ab70b612cbb30335b43a5650d145488f9e8b2c1,9ca9ba4f15359aa5ea96ba4c3d6bed9439d0346e,6e4cc504f969098e263cfa8e7c43240e9575a3f72f0641ba39da22794ea9870d,canonical Postgres historical read model via read_historical_bars; REC-A1 event dataset preserved
recent_20_high_age_sessions,CONSOLIDATION_STRUCTURE,HIGHER_IN_SUCCESS,HIGHER_IN_SUCCESS,HIGHER_IN_SUCCESS,1.9158016147635522,6.546956521739132,4.7757575757575745,0.340082653375017,1.1126202073389464,0.768094161207694,289,153,75,46,22,15,YES,ADEQUATE,TASK-WS3-CORE-V0-A1-EX-ANTE-SUCCESS-VS-FAILED-BREAKOUT-DISCRIMINATION-RESEARCH-20260818,3ab70b612cbb30335b43a5650d145488f9e8b2c1,9ca9ba4f15359aa5ea96ba4c3d6bed9439d0346e,6e4cc504f969098e263cfa8e7c43240e9575a3f72f0641ba39da22794ea9870d,canonical Postgres historical read model via read_historical_bars; REC-A1 event dataset preserved
reference_below_high_streak,CONSOLIDATION_STRUCTURE,HIGHER_IN_SUCCESS,HIGHER_IN_SUCCESS,HIGHER_IN_SUCCESS,1.8242983467896963,6.055942028985507,3.1848484848484855,0.3021486453911304,0.9278050080801113,0.446182677936499,289,153,75,46,22,15,YES,ADEQUATE,TASK-WS3-CORE-V0-A1-EX-ANTE-SUCCESS-VS-FAILED-BREAKOUT-DISCRIMINATION-RESEARCH-20260818,3ab70b612cbb30335b43a5650d145488f9e8b2c1,9ca9ba4f15359aa5ea96ba4c3d6bed9439d0346e,6e4cc504f969098e263cfa8e7c43240e9575a3f72f0641ba39da22794ea9870d,canonical Postgres historical read model via read_historical_bars; REC-A1 event dataset preserved
return_1d,MOMENTUM,LOWER_IN_SUCCESS,LOWER_IN_SUCCESS,LOWER_IN_SUCCESS,-0.000634417563477388,-0.01768303371684115,-0.006816206837583834,-0.018379079823572394,-0.5738814131432696,-0.1944600263569866,289,153,75,46,22,15,YES,ADEQUATE,TASK-WS3-CORE-V0-A1-EX-ANTE-SUCCESS-VS-FAILED-BREAKOUT-DISCRIMINATION-RESEARCH-20260818,3ab70b612cbb30335b43a5650d145488f9e8b2c1,9ca9ba4f15359aa5ea96ba4c3d6bed9439d0346e,6e4cc504f969098e263cfa8e7c43240e9575a3f72f0641ba39da22794ea9870d,canonical Postgres historical read model via read_historical_bars; REC-A1 event dataset preserved
return_3d,MOMENTUM,LOWER_IN_SUCCESS,LOWER_IN_SUCCESS,LOWER_IN_SUCCESS,-0.016454997792373034,-0.035501780357306834,-0.014087957479366323,-0.27141195875758284,-0.602036490611356,-0.19625659591532651,289,153,75,46,22,15,YES,ADEQUATE,TASK-WS3-CORE-V0-A1-EX-ANTE-SUCCESS-VS-FAILED-BREAKOUT-DISCRIMINATION-RESEARCH-20260818,3ab70b612cbb30335b43a5650d145488f9e8b2c1,9ca9ba4f15359aa5ea96ba4c3d6bed9439d0346e,6e4cc504f969098e263cfa8e7c43240e9575a3f72f0641ba39da22794ea9870d,canonical Postgres historical read model via read_historical_bars; REC-A1 event dataset preserved
return_5d,MOMENTUM,LOWER_IN_SUCCESS,LOWER_IN_SUCCESS,LOWER_IN_SUCCESS,-0.015112204957214215,-0.05868337612994523,-0.05514367790116358,-0.24632141665892918,-0.9221837662902311,-0.6470128532148035,289,153,75,46,22,15,YES,ADEQUATE,TASK-WS3-CORE-V0-A1-EX-ANTE-SUCCESS-VS-FAILED-BREAKOUT-DISCRIMINATION-RESEARCH-20260818,3ab70b612cbb30335b43a5650d145488f9e8b2c1,9ca9ba4f15359aa5ea96ba4c3d6bed9439d0346e,6e4cc504f969098e263cfa8e7c43240e9575a3f72f0641ba39da22794ea9870d,canonical Postgres historical read model via read_historical_bars; REC-A1 event dataset preserved
return_10d,MOMENTUM,LOWER_IN_SUCCESS,LOWER_IN_SUCCESS,LOWER_IN_SUCCESS,-0.01803196477634847,-0.0475708130271,-0.01812934656850556,-0.21505685913121078,-0.5298439861073034,-0.22657549112198516,289,153,75,46,22,15,YES,ADEQUATE,TASK-WS3-CORE-V0-A1-EX-ANTE-SUCCESS-VS-FAILED-BREAKOUT-DISCRIMINATION-RESEARCH-20260818,3ab70b612cbb30335b43a5650d145488f9e8b2c1,9ca9ba4f15359aa5ea96ba4c3d6bed9439d0346e,6e4cc504f969098e263cfa8e7c43240e9575a3f72f0641ba39da22794ea9870d,canonical Postgres historical read model via read_historical_bars; REC-A1 event dataset preserved
return_20d,MOMENTUM,LOWER_IN_SUCCESS,LOWER_IN_SUCCESS,LOWER_IN_SUCCESS,-0.026255963137103544,-0.04496577587319224,-0.015412055346516254,-0.15296594162805116,-0.40915141320509085,-0.2649178257485856,289,153,75,46,22,15,YES,ADEQUATE,TASK-WS3-CORE-V0-A1-EX-ANTE-SUCCESS-VS-FAILED-BREAKOUT-DISCRIMINATION-RESEARCH-20260818,3ab70b612cbb30335b43a5650d145488f9e8b2c1,9ca9ba4f15359aa5ea96ba4c3d6bed9439d0346e,6e4cc504f969098e263cfa8e7c43240e9575a3f72f0641ba39da22794ea9870d,canonical Postgres historical read model via read_historical_bars; REC-A1 event dataset preserved
close_ma20_distance,MA_STRUCTURE,LOWER_IN_SUCCESS,LOWER_IN_SUCCESS,LOWER_IN_SUCCESS,-0.015116732600292282,-0.0536563280007518,-0.02679063570036936,-0.24752448018117995,-0.8434531093281056,-0.5898171427960177,289,153,75,46,22,15,YES,ADEQUATE,TASK-WS3-CORE-V0-A1-EX-ANTE-SUCCESS-VS-FAILED-BREAKOUT-DISCRIMINATION-RESEARCH-20260818,3ab70b612cbb30335b43a5650d145488f9e8b2c1,9ca9ba4f15359aa5ea96ba4c3d6bed9439d0346e,6e4cc504f969098e263cfa8e7c43240e9575a3f72f0641ba39da22794ea9870d,canonical Postgres historical read model via read_historical_bars; REC-A1 event dataset preserved
close_ma60_distance,MA_STRUCTURE,LOWER_IN_SUCCESS,LOWER_IN_SUCCESS,LOWER_IN_SUCCESS,-0.050043163205187424,-0.0530962795901776,-0.004157984867294365,-0.26902503941834055,-0.36093982089628085,-0.07308302599521894,289,153,75,46,22,15,YES,ADEQUATE,TASK-WS3-CORE-V0-A1-EX-ANTE-SUCCESS-VS-FAILED-BREAKOUT-DISCRIMINATION-RESEARCH-20260818,3ab70b612cbb30335b43a5650d145488f9e8b2c1,9ca9ba4f15359aa5ea96ba4c3d6bed9439d0346e,6e4cc504f969098e263cfa8e7c43240e9575a3f72f0641ba39da22794ea9870d,canonical Postgres historical read model via read_historical_bars; REC-A1 event dataset preserved
ma20_ma60_spread,MA_STRUCTURE,LOWER_IN_SUCCESS,HIGHER_IN_SUCCESS,HIGHER_IN_SUCCESS,-0.02978326514324184,0.000992819242282679,0.02025155840383741,-0.25194276828657675,0.011236339796266849,0.40350506984320583,289,153,75,46,22,15,NO,ADEQUATE,TASK-WS3-CORE-V0-A1-EX-ANTE-SUCCESS-VS-FAILED-BREAKOUT-DISCRIMINATION-RESEARCH-20260818,3ab70b612cbb30335b43a5650d145488f9e8b2c1,9ca9ba4f15359aa5ea96ba4c3d6bed9439d0346e,6e4cc504f969098e263cfa8e7c43240e9575a3f72f0641ba39da22794ea9870d,canonical Postgres historical read model via read_historical_bars; REC-A1 event dataset preserved
ma20_slope_5d,MA_STRUCTURE,LOWER_IN_SUCCESS,HIGHER_IN_SUCCESS,HIGHER_IN_SUCCESS,-0.003915813766838916,0.00012417502746169505,0.0019067385152637725,-0.11859966984252933,0.005468122159698401,0.12873488507265757,289,153,75,46,22,15,NO,ADEQUATE,TASK-WS3-CORE-V0-A1-EX-ANTE-SUCCESS-VS-FAILED-BREAKOUT-DISCRIMINATION-RESEARCH-20260818,3ab70b612cbb30335b43a5650d145488f9e8b2c1,9ca9ba4f15359aa5ea96ba4c3d6bed9439d0346e,6e4cc504f969098e263cfa8e7c43240e9575a3f72f0641ba39da22794ea9870d,canonical Postgres historical read model via read_historical_bars; REC-A1 event dataset preserved
ma60_slope_5d,MA_STRUCTURE,LOWER_IN_SUCCESS,LOWER_IN_SUCCESS,HIGHER_IN_SUCCESS,-0.003778161064318896,-0.004623923733902406,0.004099796718482305,-0.15396211009444186,-0.22434211039812915,0.33023613757940806,250,145,75,46,22,15,YES,ADEQUATE,TASK-WS3-CORE-V0-A1-EX-ANTE-SUCCESS-VS-FAILED-BREAKOUT-DISCRIMINATION-RESEARCH-20260818,3ab70b612cbb30335b43a5650d145488f9e8b2c1,9ca9ba4f15359aa5ea96ba4c3d6bed9439d0346e,6e4cc504f969098e263cfa8e7c43240e9575a3f72f0641ba39da22794ea9870d,canonical Postgres historical read model via read_historical_bars; REC-A1 event dataset preserved
