feature_name,category,allowed_for_primary_analysis,missing_count_all_A1,missing_rate_all_A1,N_success,N_failed,mean_success,mean_failed,median_success,median_failed,std_success,std_failed,p25_success,p25_failed,p75_success,p75_failed,difference_in_means,difference_in_medians,standardized_effect_size,rank_biserial_effect,direction,effect_size_band,task_id,source_canonical_head,source_baseline_head,frozen_spec_hash,dataset_authority
reference_gap_pct,BREAKOUT_PROXIMITY,True,0,0.0,386,214,0.017148663409266643,0.015821310531801865,0.0180729450190528,0.01559947161678312,0.007955591319955132,0.00840380193267911,0.011363636363636364,0.008330083788269643,0.023612761848165208,0.023918306999834965,0.0013273528774647783,0.0024734734022696814,0.16350584253341685,0.09126676674253065,HIGHER_IN_SUCCESS,NEGLIGIBLE_OR_UNAVAILABLE,TASK-WS3-CORE-V0-A1-EX-ANTE-SUCCESS-VS-FAILED-BREAKOUT-DISCRIMINATION-RESEARCH-20260818,3ab70b612cbb30335b43a5650d145488f9e8b2c1,9ca9ba4f15359aa5ea96ba4c3d6bed9439d0346e,6e4cc504f969098e263cfa8e7c43240e9575a3f72f0641ba39da22794ea9870d,canonical Postgres historical read model via read_historical_bars; REC-A1 event dataset preserved
recent_20_high_proximity,BREAKOUT_PROXIMITY,True,0,0.0,386,214,-0.020222463174551234,-0.02590025825415786,-0.01979878002654508,-0.0241835029621753,0.01140307656065573,0.016845732709934617,-0.025987535341428343,-0.02960371753725103,-0.011907363420427553,-0.01460442988774992,0.005677795079606626,0.00438472293563022,0.4176730398758115,0.20006295094668536,HIGHER_IN_SUCCESS,SMALL,TASK-WS3-CORE-V0-A1-EX-ANTE-SUCCESS-VS-FAILED-BREAKOUT-DISCRIMINATION-RESEARCH-20260818,3ab70b612cbb30335b43a5650d145488f9e8b2c1,9ca9ba4f15359aa5ea96ba4c3d6bed9439d0346e,6e4cc504f969098e263cfa8e7c43240e9575a3f72f0641ba39da22794ea9870d,canonical Postgres historical read model via read_historical_bars; REC-A1 event dataset preserved
recent_20_close_range_location,BREAKOUT_PROXIMITY,True,0,0.0,386,214,0.9105972974265995,0.9657003323112779,1.0,1.0,0.15345329274286332,0.06762958363096823,0.8856837606837606,0.9616935483870968,1.0,1.0,-0.05510303488467849,0.0,-0.42526128532649604,-0.1965522250738463,LOWER_IN_SUCCESS,SMALL,TASK-WS3-CORE-V0-A1-EX-ANTE-SUCCESS-VS-FAILED-BREAKOUT-DISCRIMINATION-RESEARCH-20260818,3ab70b612cbb30335b43a5650d145488f9e8b2c1,9ca9ba4f15359aa5ea96ba4c3d6bed9439d0346e,6e4cc504f969098e263cfa8e7c43240e9575a3f72f0641ba39da22794ea9870d,canonical Postgres historical read model via read_historical_bars; REC-A1 event dataset preserved
reference_touch_count_20,BREAKOUT_PROXIMITY,True,0,0.0,386,214,0.06709844559585493,0.07827102803738319,0.05,0.1,0.034974093264248704,0.03722000017412454,0.05,0.05,0.1,0.1,-0.011172582441528259,-0.05,-0.3121685890298381,-0.19086242796958985,LOWER_IN_SUCCESS,SMALL,TASK-WS3-CORE-V0-A1-EX-ANTE-SUCCESS-VS-FAILED-BREAKOUT-DISCRIMINATION-RESEARCH-20260818,3ab70b612cbb30335b43a5650d145488f9e8b2c1,9ca9ba4f15359aa5ea96ba4c3d6bed9439d0346e,6e4cc504f969098e263cfa8e7c43240e9575a3f72f0641ba39da22794ea9870d,canonical Postgres historical read model via read_historical_bars; REC-A1 event dataset preserved
recent_20_high_age_sessions,CONSOLIDATION_STRUCTURE,True,0,0.0,386,214,7.103626943005182,4.135514018691588,7.0,0.0,5.965326175404258,5.81292070870499,0.25,0.0,12.0,7.0,2.9681129243135933,7.0,0.5020920293309611,0.31320517166238915,HIGHER_IN_SUCCESS,MODERATE,TASK-WS3-CORE-V0-A1-EX-ANTE-SUCCESS-VS-FAILED-BREAKOUT-DISCRIMINATION-RESEARCH-20260818,3ab70b612cbb30335b43a5650d145488f9e8b2c1,9ca9ba4f15359aa5ea96ba4c3d6bed9439d0346e,6e4cc504f969098e263cfa8e7c43240e9575a3f72f0641ba39da22794ea9870d,canonical Postgres historical read model via read_historical_bars; REC-A1 event dataset preserved
reference_below_high_streak,CONSOLIDATION_STRUCTURE,True,0,0.0,386,214,7.650259067357513,4.985981308411215,7.0,0.0,6.342509141710152,6.668014719443565,1.0,0.0,13.0,8.0,2.664277758946298,7.0,0.4124057761549246,0.27773473439542884,HIGHER_IN_SUCCESS,SMALL,TASK-WS3-CORE-V0-A1-EX-ANTE-SUCCESS-VS-FAILED-BREAKOUT-DISCRIMINATION-RESEARCH-20260818,3ab70b612cbb30335b43a5650d145488f9e8b2c1,9ca9ba4f15359aa5ea96ba4c3d6bed9439d0346e,6e4cc504f969098e263cfa8e7c43240e9575a3f72f0641ba39da22794ea9870d,canonical Postgres historical read model via read_historical_bars; REC-A1 event dataset preserved
return_1d,MOMENTUM,True,0,0.0,386,214,0.02945897445699181,0.033704493636117404,0.01773280625308836,0.024794023181119958,0.034492558046810645,0.03398492595446704,0.0028591895210806385,0.008988900838017167,0.045915821418387716,0.05242877390060498,-0.0042455191791255925,-0.007061216928031598,-0.12373059185689826,-0.10650815941116654,LOWER_IN_SUCCESS,NEGLIGIBLE_OR_UNAVAILABLE,TASK-WS3-CORE-V0-A1-EX-ANTE-SUCCESS-VS-FAILED-BREAKOUT-DISCRIMINATION-RESEARCH-20260818,3ab70b612cbb30335b43a5650d145488f9e8b2c1,9ca9ba4f15359aa5ea96ba4c3d6bed9439d0346e,6e4cc504f969098e263cfa8e7c43240e9575a3f72f0641ba39da22794ea9870d,canonical Postgres historical read model via read_historical_bars; REC-A1 event dataset preserved
return_3d,MOMENTUM,True,0,0.0,386,214,0.05702645101455444,0.07684066848196774,0.03812091439307942,0.060076605603385555,0.05950469480464085,0.0648605557796498,0.01139756260632981,0.028200083348026095,0.08643535539215685,0.10972520395019322,-0.019814217467413305,-0.021955691210306133,-0.3223610467292734,-0.2135489806789017,LOWER_IN_SUCCESS,SMALL,TASK-WS3-CORE-V0-A1-EX-ANTE-SUCCESS-VS-FAILED-BREAKOUT-DISCRIMINATION-RESEARCH-20260818,3ab70b612cbb30335b43a5650d145488f9e8b2c1,9ca9ba4f15359aa5ea96ba4c3d6bed9439d0346e,6e4cc504f969098e263cfa8e7c43240e9575a3f72f0641ba39da22794ea9870d,canonical Postgres historical read model via read_historical_bars; REC-A1 event dataset preserved
return_5d,MOMENTUM,True,0,0.0,386,214,0.059199872509191086,0.08561996666510703,0.044929043308049914,0.06623547056617923,0.0572338253162175,0.07581673407081296,0.014353703407454807,0.029113956775016374,0.09234398716957357,0.12227162227162228,-0.026420094155915945,-0.02130642725812932,-0.40980491472298386,-0.2134400271173309,LOWER_IN_SUCCESS,SMALL,TASK-WS3-CORE-V0-A1-EX-ANTE-SUCCESS-VS-FAILED-BREAKOUT-DISCRIMINATION-RESEARCH-20260818,3ab70b612cbb30335b43a5650d145488f9e8b2c1,9ca9ba4f15359aa5ea96ba4c3d6bed9439d0346e,6e4cc504f969098e263cfa8e7c43240e9575a3f72f0641ba39da22794ea9870d,canonical Postgres historical read model via read_historical_bars; REC-A1 event dataset preserved
return_10d,MOMENTUM,True,0,0.0,386,214,0.07888820061709094,0.10211657524302875,0.055192921380910934,0.07468779442340387,0.08232070403703713,0.09197288833661055,0.019568467211480964,0.040651067574806764,0.11384230957503728,0.13014464939250697,-0.02322837462593781,-0.019494873042492936,-0.2704648348211452,-0.18756960921989252,LOWER_IN_SUCCESS,SMALL,TASK-WS3-CORE-V0-A1-EX-ANTE-SUCCESS-VS-FAILED-BREAKOUT-DISCRIMINATION-RESEARCH-20260818,3ab70b612cbb30335b43a5650d145488f9e8b2c1,9ca9ba4f15359aa5ea96ba4c3d6bed9439d0346e,6e4cc504f969098e263cfa8e7c43240e9575a3f72f0641ba39da22794ea9870d,canonical Postgres historical read model via read_historical_bars; REC-A1 event dataset preserved
return_20d,MOMENTUM,True,0,0.0,386,214,0.12697034837361576,0.1533917579002609,0.07579377359658351,0.09097291688671566,0.15303108548788055,0.17338685219236893,0.0258964860832433,0.046401098901098906,0.17522691782158892,0.1888228002755392,-0.02642140952664515,-0.015179143290132147,-0.16453972677364812,-0.12363808048036418,LOWER_IN_SUCCESS,NEGLIGIBLE_OR_UNAVAILABLE,TASK-WS3-CORE-V0-A1-EX-ANTE-SUCCESS-VS-FAILED-BREAKOUT-DISCRIMINATION-RESEARCH-20260818,3ab70b612cbb30335b43a5650d145488f9e8b2c1,9ca9ba4f15359aa5ea96ba4c3d6bed9439d0346e,6e4cc504f969098e263cfa8e7c43240e9575a3f72f0641ba39da22794ea9870d,canonical Postgres historical read model via read_historical_bars; REC-A1 event dataset preserved
