feature_name,region_id,threshold_quantile,threshold_value,quality_improvement_success_rate_delta,quality_improvement_failed_breakout_rate_reduction,retention_rate,resolved_primary_count,threshold_classification,july_validation_improvement,date_concentration_risk,instrument_concentration_risk
recent_20_high_proximity,recent_20_high_proximity__UPPER_GE_Q20,Q20,-0.028985507246376812,0.04365853658536589,0.04365853658536589,0.8157142857142857,492,NO_DEFENSIBLE_THRESHOLD_REGION,YES,LOW,MEDIUM
recent_20_high_proximity,recent_20_high_proximity__UPPER_GE_Q30,Q30,-0.02684279376635195,0.05111111111111111,0.05111111111111111,0.7185714285714285,432,ROBUST_THRESHOLD_REGION,YES,LOW,MEDIUM
recent_20_high_proximity,recent_20_high_proximity__UPPER_GE_Q40,Q40,-0.02413793103448276,0.06825696316262353,0.06825696316262359,0.6071428571428571,371,ROBUST_THRESHOLD_REGION,YES,LOW,MEDIUM
recent_20_high_proximity,recent_20_high_proximity__UPPER_GE_Q50,Q50,-0.02147248243559719,0.06552742616033758,0.06552742616033758,0.5042857142857143,316,ROBUST_THRESHOLD_REGION,YES,LOW,MEDIUM
recent_20_high_proximity,recent_20_high_proximity__UPPER_GE_Q60,Q60,-0.01928330686088405,0.0472327044025157,0.04723270440251576,0.41,265,NO_DEFENSIBLE_THRESHOLD_REGION,INCONCLUSIVE,LOW,MEDIUM
recent_20_high_proximity,recent_20_high_proximity__UPPER_GE_Q70,Q70,-0.01608368959709807,0.0625490196078432,0.06254901960784315,0.3157142857142857,204,NO_DEFENSIBLE_THRESHOLD_REGION,INCONCLUSIVE,LOW,MEDIUM
recent_20_high_proximity,recent_20_high_proximity__UPPER_GE_Q80,Q80,-0.011869436201780416,0.04731414868105521,0.04731414868105516,0.21142857142857144,139,NO_DEFENSIBLE_THRESHOLD_REGION,INCONCLUSIVE,LOW,HIGH
recent_20_high_age_sessions,recent_20_high_age_sessions__UPPER_GE_Q20,Q20,0.0,0.0,-0.0,1.0,600,NO_DEFENSIBLE_THRESHOLD_REGION,PARTIAL,LOW,LOW
recent_20_high_age_sessions,recent_20_high_age_sessions__UPPER_GE_Q30,Q30,0.0,0.0,-0.0,1.0,600,NO_DEFENSIBLE_THRESHOLD_REGION,PARTIAL,LOW,LOW
recent_20_high_age_sessions,recent_20_high_age_sessions__UPPER_GE_Q40,Q40,1.0,0.0995972579263068,0.0995972579263068,0.6457142857142857,389,NO_DEFENSIBLE_THRESHOLD_REGION,INCONCLUSIVE,LOW,MEDIUM
recent_20_high_age_sessions,recent_20_high_age_sessions__UPPER_GE_Q50,Q50,5.0,0.11886178861788621,0.11886178861788621,0.5428571428571428,328,NO_DEFENSIBLE_THRESHOLD_REGION,INCONCLUSIVE,LOW,MEDIUM
recent_20_high_age_sessions,recent_20_high_age_sessions__UPPER_GE_Q60,Q60,6.0,0.12321718931475034,0.12321718931475031,0.4757142857142857,287,NO_DEFENSIBLE_THRESHOLD_REGION,INCONCLUSIVE,LOW,MEDIUM
recent_20_high_age_sessions,recent_20_high_age_sessions__UPPER_GE_Q70,Q70,8.0,0.13494720965309204,0.13494720965309204,0.37285714285714283,221,NO_DEFENSIBLE_THRESHOLD_REGION,INCONCLUSIVE,LOW,MEDIUM
recent_20_high_age_sessions,recent_20_high_age_sessions__UPPER_GE_Q80,Q80,11.0,0.13150110375275936,0.1315011037527594,0.2571428571428571,151,NO_DEFENSIBLE_THRESHOLD_REGION,INCONCLUSIVE,LOW,MEDIUM
return_5d,return_5d__LOWER_LE_Q20,Q20,0.019902698894906,0.11307692307692307,0.1130769230769231,0.26857142857142857,156,NO_DEFENSIBLE_THRESHOLD_REGION,INCONCLUSIVE,LOW,HIGH
return_5d,return_5d__LOWER_LE_Q30,Q30,0.03054021071472154,0.09620155038759692,0.09620155038759692,0.36428571428571427,215,NO_DEFENSIBLE_THRESHOLD_REGION,INCONCLUSIVE,LOW,HIGH
return_5d,return_5d__LOWER_LE_Q40,Q40,0.04425202184866833,0.07202247191011235,0.0720224719101124,0.45571428571428574,267,NO_DEFENSIBLE_THRESHOLD_REGION,INCONCLUSIVE,LOW,HIGH
return_5d,return_5d__LOWER_LE_Q50,Q50,0.05866786035680821,0.048255451713395625,0.04825545171339568,0.5385714285714286,321,NO_DEFENSIBLE_THRESHOLD_REGION,INCONCLUSIVE,LOW,MEDIUM
return_5d,return_5d__LOWER_LE_Q60,Q60,0.07389330024813896,0.05103663985701523,0.05103663985701523,0.6185714285714285,373,ROBUST_THRESHOLD_REGION,YES,LOW,MEDIUM
return_5d,return_5d__LOWER_LE_Q70,Q70,0.09335578341972832,0.03816549570647931,0.03816549570647931,0.7085714285714285,427,NO_DEFENSIBLE_THRESHOLD_REGION,YES,LOW,MEDIUM
return_5d,return_5d__LOWER_LE_Q80,Q80,0.11606097846441948,0.03094052558782856,0.030940525587828505,0.7971428571428572,482,NO_DEFENSIBLE_THRESHOLD_REGION,YES,LOW,MEDIUM
close_ma20_distance,close_ma20_distance__LOWER_LE_Q20,Q20,0.03643385214259722,0.13642857142857145,0.13642857142857145,0.29285714285714287,168,NO_DEFENSIBLE_THRESHOLD_REGION,INCONCLUSIVE,LOW,HIGH
close_ma20_distance,close_ma20_distance__LOWER_LE_Q30,Q30,0.05316369600340743,0.09773809523809529,0.09773809523809524,0.3871428571428571,224,NO_DEFENSIBLE_THRESHOLD_REGION,INCONCLUSIVE,LOW,HIGH
close_ma20_distance,close_ma20_distance__LOWER_LE_Q40,Q40,0.06239435455359357,0.09121212121212119,0.09121212121212124,0.46714285714285714,275,NO_DEFENSIBLE_THRESHOLD_REGION,INCONCLUSIVE,LOW,HIGH
close_ma20_distance,close_ma20_distance__LOWER_LE_Q50,Q50,0.0746091777994212,0.060934959349593476,0.06093495934959353,0.5485714285714286,328,NO_DEFENSIBLE_THRESHOLD_REGION,INCONCLUSIVE,LOW,MEDIUM
close_ma20_distance,close_ma20_distance__LOWER_LE_Q60,Q60,0.08984670960434056,0.03383202099737537,0.03383202099737537,0.6371428571428571,381,NO_DEFENSIBLE_THRESHOLD_REGION,YES,LOW,MEDIUM
close_ma20_distance,close_ma20_distance__LOWER_LE_Q70,Q70,0.10850238570106463,0.01951070336391436,0.019510703363914417,0.7285714285714285,436,NO_DEFENSIBLE_THRESHOLD_REGION,PARTIAL,LOW,MEDIUM
close_ma20_distance,close_ma20_distance__LOWER_LE_Q80,Q80,0.12842692759885702,0.02883161512027499,0.028831615120274934,0.8042857142857143,485,NO_DEFENSIBLE_THRESHOLD_REGION,YES,LOW,MEDIUM
volume_ratio_5,volume_ratio_5__LOWER_LE_Q20,Q20,0.9185207743683912,0.10854636591478695,0.108546365914787,0.2357142857142857,133,NO_DEFENSIBLE_THRESHOLD_REGION,INCONCLUSIVE,LOW,HIGH
volume_ratio_5,volume_ratio_5__LOWER_LE_Q30,Q30,1.062703760585552,0.1202134646962233,0.12021346469622335,0.35285714285714287,203,NO_DEFENSIBLE_THRESHOLD_REGION,INCONCLUSIVE,LOW,HIGH
volume_ratio_5,volume_ratio_5__LOWER_LE_Q40,Q40,1.1568821258296675,0.09784313725490201,0.09784313725490196,0.44,255,NO_DEFENSIBLE_THRESHOLD_REGION,INCONCLUSIVE,LOW,MEDIUM
volume_ratio_5,volume_ratio_5__LOWER_LE_Q50,Q50,1.2994995787128378,0.060488322717622056,0.06048832271762211,0.5385714285714286,314,NO_DEFENSIBLE_THRESHOLD_REGION,INCONCLUSIVE,LOW,MEDIUM
