feature_name,category,expected_direction,region_id,threshold_quantile,threshold_fraction,threshold_value,OBSERVATION_COUNT,RETAINED_A1_COUNT,RETENTION_RATE,RESOLVED_PRIMARY_COUNT,SUCCESS_COUNT,FAILED_BREAKOUT_COUNT,SUCCESS_RATE,FAILED_BREAKOUT_RATE,UNFILTERED_A1_SUCCESS_RATE,UNFILTERED_A1_FAILED_BREAKOUT_RATE,SUCCESS_RATE_DELTA,FAILED_BREAKOUT_RATE_DELTA,LOW_SAMPLE_REGION,TRAIN_DIRECTIONALLY_IMPROVES,VALIDATION_DIRECTIONALLY_IMPROVES,HOLDOUT_DIRECTIONALLY_IMPROVES,TEMPORAL_DIRECTIONALLY_CONSISTENT,JULY_VALIDATION_IMPROVEMENT,THRESHOLD_PLATEAU_PRESENT,THRESHOLD_CLIFF_RISK,DATE_CONCENTRATION_RISK,INSTRUMENT_CONCENTRATION_RISK,TPE_TWO_DIRECTIONALLY_CONSISTENT,THRESHOLD_CLASSIFICATION,VALIDATION_SUCCESS_RATE,VALIDATION_FAILED_BREAKOUT_RATE,VALIDATION_SUCCESS_RATE_DELTA,VALIDATION_FAILED_BREAKOUT_RATE_DELTA,FORWARD_OUTCOMES_USED_FOR_SELECTION
recent_20_high_proximity,BREAKOUT_PROXIMITY,HIGHER_IN_SUCCESS,recent_20_high_proximity__UPPER_GE_Q20,Q20,0.2,-0.028985507246376812,571,571,0.8157142857142857,492,338,154,0.6869918699186992,0.3130081300813008,0.6433333333333333,0.3566666666666667,0.04365853658536589,-0.04365853658536589,False,True,True,True,YES,YES,PARTIAL,LOW,LOW,MEDIUM,YES,NO_DEFENSIBLE_THRESHOLD_REGION,0.6990291262135923,0.30097087378640774,0.07919441546979056,-0.07919441546979061,NO
recent_20_high_proximity,BREAKOUT_PROXIMITY,HIGHER_IN_SUCCESS,recent_20_high_proximity__UPPER_GE_Q30,Q30,0.3,-0.02684279376635195,503,503,0.7185714285714285,432,300,132,0.6944444444444444,0.3055555555555556,0.6433333333333333,0.3566666666666667,0.05111111111111111,-0.05111111111111111,False,True,True,False,YES,YES,YES,LOW,LOW,MEDIUM,YES,ROBUST_THRESHOLD_REGION,0.6923076923076923,0.3076923076923077,0.07247298156389059,-0.07247298156389065,NO
recent_20_high_proximity,BREAKOUT_PROXIMITY,HIGHER_IN_SUCCESS,recent_20_high_proximity__UPPER_GE_Q40,Q40,0.4,-0.02413793103448276,425,425,0.6071428571428571,371,264,107,0.7115902964959568,0.2884097035040431,0.6433333333333333,0.3566666666666667,0.06825696316262353,-0.06825696316262359,False,True,True,False,YES,YES,YES,LOW,LOW,MEDIUM,YES,ROBUST_THRESHOLD_REGION,0.7236842105263158,0.27631578947368424,0.10384949978251412,-0.10384949978251412,NO
recent_20_high_proximity,BREAKOUT_PROXIMITY,HIGHER_IN_SUCCESS,recent_20_high_proximity__UPPER_GE_Q50,Q50,0.5,-0.02147248243559719,353,353,0.5042857142857143,316,224,92,0.7088607594936709,0.2911392405063291,0.6433333333333333,0.3566666666666667,0.06552742616033758,-0.06552742616033758,False,True,True,True,YES,YES,YES,LOW,LOW,MEDIUM,YES,ROBUST_THRESHOLD_REGION,0.7101449275362319,0.2898550724637681,0.09031021679243023,-0.09031021679243023,NO
recent_20_high_proximity,BREAKOUT_PROXIMITY,HIGHER_IN_SUCCESS,recent_20_high_proximity__UPPER_GE_Q60,Q60,0.6,-0.01928330686088405,287,287,0.41,265,183,82,0.690566037735849,0.30943396226415093,0.6433333333333333,0.3566666666666667,0.0472327044025157,-0.04723270440251576,False,True,True,False,YES,INCONCLUSIVE,YES,LOW,LOW,MEDIUM,YES,NO_DEFENSIBLE_THRESHOLD_REGION,0.7,0.3,0.08016528925619826,-0.08016528925619837,NO
recent_20_high_proximity,BREAKOUT_PROXIMITY,HIGHER_IN_SUCCESS,recent_20_high_proximity__UPPER_GE_Q70,Q70,0.7,-0.01608368959709807,221,221,0.3157142857142857,204,144,60,0.7058823529411765,0.29411764705882354,0.6433333333333333,0.3566666666666667,0.0625490196078432,-0.06254901960784315,False,True,True,False,YES,INCONCLUSIVE,YES,LOW,LOW,MEDIUM,YES,NO_DEFENSIBLE_THRESHOLD_REGION,0.7,0.3,0.08016528925619826,-0.08016528925619837,NO
recent_20_high_proximity,BREAKOUT_PROXIMITY,HIGHER_IN_SUCCESS,recent_20_high_proximity__UPPER_GE_Q80,Q80,0.8,-0.011869436201780416,148,148,0.21142857142857144,139,96,43,0.6906474820143885,0.30935251798561153,0.6433333333333333,0.3566666666666667,0.04731414868105521,-0.04731414868105516,False,True,True,False,YES,INCONCLUSIVE,PARTIAL,LOW,LOW,HIGH,NO,NO_DEFENSIBLE_THRESHOLD_REGION,0.7428571428571429,0.2571428571428571,0.12302243211334118,-0.12302243211334124,NO
recent_20_high_age_sessions,CONSOLIDATION_STRUCTURE,HIGHER_IN_SUCCESS,recent_20_high_age_sessions__UPPER_GE_Q20,Q20,0.2,0.0,700,700,1.0,600,386,214,0.6433333333333333,0.3566666666666667,0.6433333333333333,0.3566666666666667,0.0,0.0,False,True,True,True,YES,PARTIAL,PARTIAL,LOW,LOW,LOW,YES,NO_DEFENSIBLE_THRESHOLD_REGION,0.6198347107438017,0.38016528925619836,0.0,0.0,NO
recent_20_high_age_sessions,CONSOLIDATION_STRUCTURE,HIGHER_IN_SUCCESS,recent_20_high_age_sessions__UPPER_GE_Q30,Q30,0.3,0.0,700,700,1.0,600,386,214,0.6433333333333333,0.3566666666666667,0.6433333333333333,0.3566666666666667,0.0,0.0,False,True,True,True,YES,PARTIAL,PARTIAL,LOW,LOW,LOW,YES,NO_DEFENSIBLE_THRESHOLD_REGION,0.6198347107438017,0.38016528925619836,0.0,0.0,NO
recent_20_high_age_sessions,CONSOLIDATION_STRUCTURE,HIGHER_IN_SUCCESS,recent_20_high_age_sessions__UPPER_GE_Q40,Q40,0.4,1.0,452,452,0.6457142857142857,389,289,100,0.7429305912596401,0.2570694087403599,0.6433333333333333,0.3566666666666667,0.0995972579263068,-0.0995972579263068,False,True,True,True,YES,INCONCLUSIVE,PARTIAL,LOW,LOW,MEDIUM,YES,NO_DEFENSIBLE_THRESHOLD_REGION,0.7764705882352941,0.2235294117647059,0.15663587749149244,-0.15663587749149246,NO
