feature_name,region_id,threshold_quantile,segment,OBSERVATION_COUNT,RETAINED_A1_COUNT,RETENTION_RATE,RESOLVED_PRIMARY_COUNT,SUCCESS_COUNT,FAILED_BREAKOUT_COUNT,SUCCESS_RATE,FAILED_BREAKOUT_RATE,UNFILTERED_A1_SUCCESS_RATE,UNFILTERED_A1_FAILED_BREAKOUT_RATE,SUCCESS_RATE_DELTA,FAILED_BREAKOUT_RATE_DELTA,LOW_SAMPLE_REGION,DIRECTIONALLY_IMPROVES,JULY_VALIDATION_IMPROVEMENT
recent_20_high_proximity,recent_20_high_proximity__UPPER_GE_Q20,Q20,TRAIN,370,370,0.8008658008658008,355,245,110,0.6901408450704225,0.30985915492957744,0.6538461538461539,0.34615384615384615,0.03629469122426865,-0.036294691224268705,False,True,
recent_20_high_proximity,recent_20_high_proximity__UPPER_GE_Q20,Q20,VALIDATION,125,125,0.8278145695364238,103,72,31,0.6990291262135923,0.30097087378640774,0.6198347107438017,0.38016528925619836,0.07919441546979056,-0.07919441546979061,False,True,YES
recent_20_high_proximity,recent_20_high_proximity__UPPER_GE_Q20,Q20,HOLDOUT,76,76,0.8735632183908046,34,21,13,0.6176470588235294,0.38235294117647056,0.5945945945945946,0.40540540540540543,0.02305246422893481,-0.023052464228934866,True,True,
recent_20_high_proximity,recent_20_high_proximity__UPPER_GE_Q20,Q20,FULL_SAMPLE,571,571,0.8157142857142857,492,338,154,0.6869918699186992,0.3130081300813008,0.6433333333333333,0.3566666666666667,0.04365853658536589,-0.04365853658536589,False,True,
recent_20_high_proximity,recent_20_high_proximity__UPPER_GE_Q30,Q30,TRAIN,323,323,0.6991341991341992,309,218,91,0.7055016181229773,0.29449838187702265,0.6538461538461539,0.34615384615384615,0.05165546427682344,-0.05165546427682349,False,True,
recent_20_high_proximity,recent_20_high_proximity__UPPER_GE_Q30,Q30,VALIDATION,110,110,0.7284768211920529,91,63,28,0.6923076923076923,0.3076923076923077,0.6198347107438017,0.38016528925619836,0.07247298156389059,-0.07247298156389065,False,True,YES
recent_20_high_proximity,recent_20_high_proximity__UPPER_GE_Q30,Q30,HOLDOUT,70,70,0.8045977011494253,32,19,13,0.59375,0.40625,0.5945945945945946,0.40540540540540543,-0.0008445945945946276,0.0008445945945945721,True,False,
recent_20_high_proximity,recent_20_high_proximity__UPPER_GE_Q30,Q30,FULL_SAMPLE,503,503,0.7185714285714285,432,300,132,0.6944444444444444,0.3055555555555556,0.6433333333333333,0.3566666666666667,0.05111111111111111,-0.05111111111111111,False,True,
recent_20_high_proximity,recent_20_high_proximity__UPPER_GE_Q40,Q40,TRAIN,278,278,0.6017316017316018,268,193,75,0.7201492537313433,0.2798507462686567,0.6538461538461539,0.34615384615384615,0.06630309988518945,-0.06630309988518945,False,True,
recent_20_high_proximity,recent_20_high_proximity__UPPER_GE_Q40,Q40,VALIDATION,89,89,0.5894039735099338,76,55,21,0.7236842105263158,0.27631578947368424,0.6198347107438017,0.38016528925619836,0.10384949978251412,-0.10384949978251412,False,True,YES
recent_20_high_proximity,recent_20_high_proximity__UPPER_GE_Q40,Q40,HOLDOUT,58,58,0.6666666666666666,27,16,11,0.5925925925925926,0.4074074074074074,0.5945945945945946,0.40540540540540543,-0.002002002002002068,0.002002002002001957,True,False,
recent_20_high_proximity,recent_20_high_proximity__UPPER_GE_Q40,Q40,FULL_SAMPLE,425,425,0.6071428571428571,371,264,107,0.7115902964959568,0.2884097035040431,0.6433333333333333,0.3566666666666667,0.06825696316262353,-0.06825696316262359,False,True,
recent_20_high_proximity,recent_20_high_proximity__UPPER_GE_Q50,Q50,TRAIN,231,231,0.5,222,160,62,0.7207207207207207,0.27927927927927926,0.6538461538461539,0.34615384615384615,0.06687456687456683,-0.06687456687456689,False,True,
recent_20_high_proximity,recent_20_high_proximity__UPPER_GE_Q50,Q50,VALIDATION,73,73,0.48344370860927155,69,49,20,0.7101449275362319,0.2898550724637681,0.6198347107438017,0.38016528925619836,0.09031021679243023,-0.09031021679243023,False,True,YES
recent_20_high_proximity,recent_20_high_proximity__UPPER_GE_Q50,Q50,HOLDOUT,49,49,0.5632183908045977,25,15,10,0.6,0.4,0.5945945945945946,0.40540540540540543,0.00540540540540535,-0.005405405405405406,True,True,
recent_20_high_proximity,recent_20_high_proximity__UPPER_GE_Q50,Q50,FULL_SAMPLE,353,353,0.5042857142857143,316,224,92,0.7088607594936709,0.2911392405063291,0.6433333333333333,0.3566666666666667,0.06552742616033758,-0.06552742616033758,False,True,
recent_20_high_proximity,recent_20_high_proximity__UPPER_GE_Q60,Q60,TRAIN,185,185,0.4004329004329004,181,127,54,0.7016574585635359,0.2983425414364641,0.6538461538461539,0.34615384615384615,0.04781130471738204,-0.04781130471738204,False,True,
recent_20_high_proximity,recent_20_high_proximity__UPPER_GE_Q60,Q60,VALIDATION,62,62,0.4105960264900662,60,42,18,0.7,0.3,0.6198347107438017,0.38016528925619836,0.08016528925619826,-0.08016528925619837,True,True,INCONCLUSIVE
recent_20_high_proximity,recent_20_high_proximity__UPPER_GE_Q60,Q60,HOLDOUT,40,40,0.45977011494252873,24,14,10,0.5833333333333334,0.4166666666666667,0.5945945945945946,0.40540540540540543,-0.011261261261261257,0.011261261261261257,True,False,
recent_20_high_proximity,recent_20_high_proximity__UPPER_GE_Q60,Q60,FULL_SAMPLE,287,287,0.41,265,183,82,0.690566037735849,0.30943396226415093,0.6433333333333333,0.3566666666666667,0.0472327044025157,-0.04723270440251576,False,True,
recent_20_high_proximity,recent_20_high_proximity__UPPER_GE_Q70,Q70,TRAIN,139,139,0.3008658008658009,137,100,37,0.7299270072992701,0.27007299270072993,0.6538461538461539,0.34615384615384615,0.07608085345311622,-0.07608085345311622,False,True,
recent_20_high_proximity,recent_20_high_proximity__UPPER_GE_Q70,Q70,VALIDATION,51,51,0.33774834437086093,50,35,15,0.7,0.3,0.6198347107438017,0.38016528925619836,0.08016528925619826,-0.08016528925619837,True,True,INCONCLUSIVE
recent_20_high_proximity,recent_20_high_proximity__UPPER_GE_Q70,Q70,HOLDOUT,31,31,0.3563218390804598,17,9,8,0.5294117647058824,0.47058823529411764,0.5945945945945946,0.40540540540540543,-0.06518282988871227,0.06518282988871221,True,False,
recent_20_high_proximity,recent_20_high_proximity__UPPER_GE_Q70,Q70,FULL_SAMPLE,221,221,0.3157142857142857,204,144,60,0.7058823529411765,0.29411764705882354,0.6433333333333333,0.3566666666666667,0.0625490196078432,-0.06254901960784315,False,True,
recent_20_high_proximity,recent_20_high_proximity__UPPER_GE_Q80,Q80,TRAIN,94,94,0.20346320346320346,93,65,28,0.6989247311827957,0.3010752688172043,0.6538461538461539,0.34615384615384615,0.04507857733664189,-0.045078577336641834,False,True,
recent_20_high_proximity,recent_20_high_proximity__UPPER_GE_Q80,Q80,VALIDATION,36,36,0.23841059602649006,35,26,9,0.7428571428571429,0.2571428571428571,0.6198347107438017,0.38016528925619836,0.12302243211334118,-0.12302243211334124,True,True,INCONCLUSIVE
recent_20_high_proximity,recent_20_high_proximity__UPPER_GE_Q80,Q80,HOLDOUT,18,18,0.20689655172413793,11,5,6,0.45454545454545453,0.5454545454545454,0.5945945945945946,0.40540540540540543,-0.1400491400491401,0.14004914004914,True,False,
recent_20_high_proximity,recent_20_high_proximity__UPPER_GE_Q80,Q80,FULL_SAMPLE,148,148,0.21142857142857144,139,96,43,0.6906474820143885,0.30935251798561153,0.6433333333333333,0.3566666666666667,0.04731414868105521,-0.04731414868105516,False,True,
recent_20_high_age_sessions,recent_20_high_age_sessions__UPPER_GE_Q20,Q20,TRAIN,462,462,1.0,442,289,153,0.6538461538461539,0.34615384615384615,0.6538461538461539,0.34615384615384615,0.0,0.0,False,True,
recent_20_high_age_sessions,recent_20_high_age_sessions__UPPER_GE_Q20,Q20,VALIDATION,151,151,1.0,121,75,46,0.6198347107438017,0.38016528925619836,0.6198347107438017,0.38016528925619836,0.0,0.0,False,True,PARTIAL
recent_20_high_age_sessions,recent_20_high_age_sessions__UPPER_GE_Q20,Q20,HOLDOUT,87,87,1.0,37,22,15,0.5945945945945946,0.40540540540540543,0.5945945945945946,0.40540540540540543,0.0,0.0,True,True,
recent_20_high_age_sessions,recent_20_high_age_sessions__UPPER_GE_Q20,Q20,FULL_SAMPLE,700,700,1.0,600,386,214,0.6433333333333333,0.3566666666666667,0.6433333333333333,0.3566666666666667,0.0,0.0,False,True,
recent_20_high_age_sessions,recent_20_high_age_sessions__UPPER_GE_Q30,Q30,TRAIN,462,462,1.0,442,289,153,0.6538461538461539,0.34615384615384615,0.6538461538461539,0.34615384615384615,0.0,0.0,False,True,
recent_20_high_age_sessions,recent_20_high_age_sessions__UPPER_GE_Q30,Q30,VALIDATION,151,151,1.0,121,75,46,0.6198347107438017,0.38016528925619836,0.6198347107438017,0.38016528925619836,0.0,0.0,False,True,PARTIAL
recent_20_high_age_sessions,recent_20_high_age_sessions__UPPER_GE_Q30,Q30,HOLDOUT,87,87,1.0,37,22,15,0.5945945945945946,0.40540540540540543,0.5945945945945946,0.40540540540540543,0.0,0.0,True,True,
recent_20_high_age_sessions,recent_20_high_age_sessions__UPPER_GE_Q30,Q30,FULL_SAMPLE,700,700,1.0,600,386,214,0.6433333333333333,0.3566666666666667,0.6433333333333333,0.3566666666666667,0.0,0.0,False,True,
recent_20_high_age_sessions,recent_20_high_age_sessions__UPPER_GE_Q40,Q40,TRAIN,287,287,0.6212121212121212,275,203,72,0.7381818181818182,0.26181818181818184,0.6538461538461539,0.34615384615384615,0.0843356643356643,-0.0843356643356643,False,True,
recent_20_high_age_sessions,recent_20_high_age_sessions__UPPER_GE_Q40,Q40,VALIDATION,107,107,0.7086092715231788,85,66,19,0.7764705882352941,0.2235294117647059,0.6198347107438017,0.38016528925619836,0.15663587749149244,-0.15663587749149246,True,True,INCONCLUSIVE
recent_20_high_age_sessions,recent_20_high_age_sessions__UPPER_GE_Q40,Q40,HOLDOUT,58,58,0.6666666666666666,29,20,9,0.6896551724137931,0.3103448275862069,0.5945945945945946,0.40540540540540543,0.09506057781919852,-0.09506057781919852,True,True,
recent_20_high_age_sessions,recent_20_high_age_sessions__UPPER_GE_Q40,Q40,FULL_SAMPLE,452,452,0.6457142857142857,389,289,100,0.7429305912596401,0.2570694087403599,0.6433333333333333,0.3566666666666667,0.0995972579263068,-0.0995972579263068,False,True,
