entry_proxy,extension_band,horizon,event_count,unique_instruments,unique_dates,extension_mean,extension_median,forward_mean,forward_median,forward_trimmed_mean_10pct,forward_win_rate,forward_p05,forward_p25,forward_p75,forward_p95,mfe_mean,mfe_median,mfe_p25,mfe_p75,mae_mean,mae_median,mae_p25,mae_p75,outlier_driven
THEORETICAL_REFERENCE_FILL,LE_0PCT,1,483,315,61,0.0,0.0,0.04768353690902168,0.03481894150417819,0.04523682004878787,0.7204968944099379,-0.05541049152361653,-0.003425019060465606,0.1051125900983848,0.17339284798111956,0.08776622423708247,0.08714285714285697,0.043065010934324466,0.12544102280410596,0.016045976636801313,0.00421940928270037,-0.01923451381282698,0.043218698137562295,False
THEORETICAL_REFERENCE_FILL,LE_0PCT,3,466,309,59,0.0,0.0,0.05129517486076078,0.031143927705532204,0.04187649685654019,0.628755364806867,-0.10621504474272928,-0.026192737108655578,0.11679314661242379,0.2616404932123062,0.13337302379041277,0.11869925199438558,0.05221346214350492,0.18481270790572585,-0.013799087460978925,-0.011044838017174097,-0.05388252124003423,0.02441119691119681,False
THEORETICAL_REFERENCE_FILL,LE_0PCT,5,448,303,57,0.0,0.0,0.06011067621155075,0.04057536966046005,0.045700042354424125,0.6205357142857143,-0.14575445027343487,-0.03959314659667035,0.13220267118931522,0.3730572755417955,0.16373187102346826,0.14055678875323707,0.06662404092071611,0.2202156122127794,-0.03140645726155778,-0.022868650910158606,-0.08134706643658324,0.014647459841695631,False
THEORETICAL_REFERENCE_FILL,LE_0PCT,10,409,281,51,0.0,0.0,0.07579163737656791,0.03669724770642202,0.05465200945166588,0.60880195599022,-0.2079166791637923,-0.05418138987043586,0.17706821480406387,0.4894514853906027,0.22327738114038234,0.1796759941089836,0.09342560553633228,0.29459459459459447,-0.06037219458551746,-0.042065009560229405,-0.1149068322981367,0.0027855153203342198,False
THEORETICAL_REFERENCE_FILL,GT_0_TO_1PCT,1,0,0,0,,,,,,,,,,,,,,,,,,,False
THEORETICAL_REFERENCE_FILL,GT_0_TO_1PCT,3,0,0,0,,,,,,,,,,,,,,,,,,,False
THEORETICAL_REFERENCE_FILL,GT_0_TO_1PCT,5,0,0,0,,,,,,,,,,,,,,,,,,,False
THEORETICAL_REFERENCE_FILL,GT_0_TO_1PCT,10,0,0,0,,,,,,,,,,,,,,,,,,,False
THEORETICAL_REFERENCE_FILL,GT_1_TO_2PCT,1,0,0,0,,,,,,,,,,,,,,,,,,,False
THEORETICAL_REFERENCE_FILL,GT_1_TO_2PCT,3,0,0,0,,,,,,,,,,,,,,,,,,,False
THEORETICAL_REFERENCE_FILL,GT_1_TO_2PCT,5,0,0,0,,,,,,,,,,,,,,,,,,,False
THEORETICAL_REFERENCE_FILL,GT_1_TO_2PCT,10,0,0,0,,,,,,,,,,,,,,,,,,,False
THEORETICAL_REFERENCE_FILL,GT_2_TO_3PCT,1,0,0,0,,,,,,,,,,,,,,,,,,,False
THEORETICAL_REFERENCE_FILL,GT_2_TO_3PCT,3,0,0,0,,,,,,,,,,,,,,,,,,,False
THEORETICAL_REFERENCE_FILL,GT_2_TO_3PCT,5,0,0,0,,,,,,,,,,,,,,,,,,,False
THEORETICAL_REFERENCE_FILL,GT_2_TO_3PCT,10,0,0,0,,,,,,,,,,,,,,,,,,,False
THEORETICAL_REFERENCE_FILL,GT_3_TO_5PCT,1,0,0,0,,,,,,,,,,,,,,,,,,,False
THEORETICAL_REFERENCE_FILL,GT_3_TO_5PCT,3,0,0,0,,,,,,,,,,,,,,,,,,,False
THEORETICAL_REFERENCE_FILL,GT_3_TO_5PCT,5,0,0,0,,,,,,,,,,,,,,,,,,,False
THEORETICAL_REFERENCE_FILL,GT_3_TO_5PCT,10,0,0,0,,,,,,,,,,,,,,,,,,,False
THEORETICAL_REFERENCE_FILL,GT_5PCT,1,0,0,0,,,,,,,,,,,,,,,,,,,False
THEORETICAL_REFERENCE_FILL,GT_5PCT,3,0,0,0,,,,,,,,,,,,,,,,,,,False
THEORETICAL_REFERENCE_FILL,GT_5PCT,5,0,0,0,,,,,,,,,,,,,,,,,,,False
THEORETICAL_REFERENCE_FILL,GT_5PCT,10,0,0,0,,,,,,,,,,,,,,,,,,,False
OBSERVABLE_A2_CLOSE,LE_0PCT,1,0,0,0,,,,,,,,,,,,,,,,,,,False
OBSERVABLE_A2_CLOSE,LE_0PCT,3,0,0,0,,,,,,,,,,,,,,,,,,,False
OBSERVABLE_A2_CLOSE,LE_0PCT,5,0,0,0,,,,,,,,,,,,,,,,,,,False
OBSERVABLE_A2_CLOSE,LE_0PCT,10,0,0,0,,,,,,,,,,,,,,,,,,,False
OBSERVABLE_A2_CLOSE,GT_0_TO_1PCT,1,99,88,43,0.005368735869138138,0.0050890585241729624,0.005584612503163808,0.0,0.004469395434875859,0.494949494949495,-0.07219006721433892,-0.023188547417794525,0.03023276079084447,0.09930747850481855,0.04037499950832559,0.030927835051546282,0.009720238500079414,0.06756947715496942,-0.017069271657968763,-0.015490533562822706,-0.04165130152614949,-0.0022193132370943447,False
OBSERVABLE_A2_CLOSE,GT_0_TO_1PCT,3,96,87,41,0.005400087902329348,0.0051761082094549105,0.015142725245011689,-0.0063933069594703795,0.0065435360631162336,0.46875,-0.11735925094717542,-0.0487688534924125,0.06687494618762374,0.19662228796844183,0.0786910041782916,0.0428884225891798,0.019557111330949062,0.12016163660900508,-0.044304997778814845,-0.0425970909303755,-0.08194976108725469,-0.0072258148685150625,False
OBSERVABLE_A2_CLOSE,GT_0_TO_1PCT,5,91,84,37,0.0054558209088924475,0.0052631578947368585,0.020863854921916086,0.0018518518518517713,0.00845860840736759,0.5164835164835165,-0.15200109649122806,-0.07151854761734705,0.08837604116929276,0.2710952909270218,0.10802735253565539,0.07058823529411762,0.028823629626474778,0.17510859103918142,-0.05590697863593105,-0.0431034482758621,-0.09882858936514083,-0.010705596107055959,False
OBSERVABLE_A2_CLOSE,GT_0_TO_1PCT,10,86,79,34,0.005413136115284809,0.0051761082094549105,0.017553641550693572,-0.0014727828003262555,0.002132469853214049,0.47674418604651164,-0.21099243310270965,-0.08054695092322636,0.08106285547005687,0.3405062028137161,0.1512140088642968,0.10163043478260869,0.0383992327929189,0.20382750801470012,-0.08728262677722186,-0.07104682402609863,-0.1474789915966387,-0.019142467113427625,False
OBSERVABLE_A2_CLOSE,GT_1_TO_2PCT,1,95,87,45,0.014781469541555415,0.014705882352941124,0.011397401585506057,0.003968253968253954,0.012815620048453581,0.5157894736842106,-0.08769880956221573,-0.024367528329460264,0.05938243968304724,0.09949132775861638,0.04727761827394754,0.040100250626566414,0.015830175639284016,0.09704641350210963,-0.019140162343614316,-0.01980198019801993,-0.043188834576794344,0.0,False
