comparison,proxy,baseline_proxy,horizon,proxy_event_count,baseline_event_count,proxy_availability_rate,proxy_entry_extension_median,baseline_entry_extension_median,proxy_forward_median,baseline_forward_median,proxy_mfe_median,baseline_mfe_median,proxy_mae_median,baseline_mae_median,proxy_failed_breakout_path_rate,baseline_failed_breakout_path_rate,descriptive_only
THEORETICAL_REFERENCE_FILL_VS_OBSERVABLE_A2_CLOSE,THEORETICAL_REFERENCE_FILL,OBSERVABLE_A2_CLOSE,1,483,483,1.0,0.0,0.028262788510238113,0.03481894150417819,0.005284015852047519,0.08714285714285697,0.04893617021276597,0.00421940928270037,-0.020050125313283096,0.2028985507246377,0.2028985507246377,True
THEORETICAL_REFERENCE_FILL_VS_OBSERVABLE_A2_CLOSE,THEORETICAL_REFERENCE_FILL,OBSERVABLE_A2_CLOSE,3,466,466,1.0,0.0,0.028262788510238113,0.031143927705532204,0.0026801608755850914,0.11869925199438558,0.07697224573282546,-0.011044838017174097,-0.042785141650341085,0.19742489270386265,0.19742489270386265,True
THEORETICAL_REFERENCE_FILL_VS_OBSERVABLE_A2_CLOSE,THEORETICAL_REFERENCE_FILL,OBSERVABLE_A2_CLOSE,5,448,448,1.0,0.0,0.028262788510238113,0.04057536966046005,0.011245195892847004,0.14055678875323707,0.09873370357241329,-0.022868650910158606,-0.05200974693731564,0.19196428571428573,0.19196428571428573,True
THEORETICAL_REFERENCE_FILL_VS_OBSERVABLE_A2_CLOSE,THEORETICAL_REFERENCE_FILL,OBSERVABLE_A2_CLOSE,10,409,409,1.0,0.0,0.028262788510238113,0.03669724770642202,-0.0014662756598241566,0.1796759941089836,0.1317157712305026,-0.042065009560229405,-0.07657657657657657,0.18581907090464547,0.18581907090464547,True
NEXT_SESSION_OPEN_VS_OBSERVABLE_A2_CLOSE,NEXT_SESSION_OPEN,OBSERVABLE_A2_CLOSE,1,483,483,0.9938775510204082,0.04306220095693769,0.028262788510238113,-0.006369426751592355,0.005284015852047519,0.021671826625387025,0.04893617021276597,-0.031876138433515444,-0.020050125313283096,0.2028985507246377,0.2028985507246377,True
NEXT_SESSION_OPEN_VS_OBSERVABLE_A2_CLOSE,NEXT_SESSION_OPEN,OBSERVABLE_A2_CLOSE,3,466,466,0.9938775510204082,0.04306220095693769,0.028262788510238113,-0.012591829184504022,0.0026801608755850914,0.05512625714492436,0.07697224573282546,-0.057928827844545006,-0.042785141650341085,0.19742489270386265,0.19742489270386265,True
NEXT_SESSION_OPEN_VS_OBSERVABLE_A2_CLOSE,NEXT_SESSION_OPEN,OBSERVABLE_A2_CLOSE,5,448,448,0.9938775510204082,0.04306220095693769,0.028262788510238113,-0.008709876250533377,0.011245195892847004,0.073480290100437,0.09873370357241329,-0.07142236516645295,-0.05200974693731564,0.19196428571428573,0.19196428571428573,True
NEXT_SESSION_OPEN_VS_OBSERVABLE_A2_CLOSE,NEXT_SESSION_OPEN,OBSERVABLE_A2_CLOSE,10,409,409,0.9938775510204082,0.04306220095693769,0.028262788510238113,-0.018045112781954975,-0.0014662756598241566,0.10392609699769051,0.1317157712305026,-0.09706546275395034,-0.07657657657657657,0.18581907090464547,0.18581907090464547,True
NEXT_SESSION_CLOSE_VS_OBSERVABLE_A2_CLOSE,NEXT_SESSION_CLOSE,OBSERVABLE_A2_CLOSE,1,480,483,0.9938775510204082,0.03467406380027738,0.028262788510238113,-0.0033252319929297225,0.005284015852047519,0.03296593162174366,0.04893617021276597,-0.02744970798183005,-0.020050125313283096,0.20208333333333334,0.2028985507246377,True
NEXT_SESSION_CLOSE_VS_OBSERVABLE_A2_CLOSE,NEXT_SESSION_CLOSE,OBSERVABLE_A2_CLOSE,3,464,466,0.9938775510204082,0.03467406380027738,0.028262788510238113,-0.012568111821843142,0.0026801608755850914,0.056364502806311556,0.07697224573282546,-0.05142336751214244,-0.042785141650341085,0.1961206896551724,0.19742489270386265,True
NEXT_SESSION_CLOSE_VS_OBSERVABLE_A2_CLOSE,NEXT_SESSION_CLOSE,OBSERVABLE_A2_CLOSE,5,443,448,0.9938775510204082,0.03467406380027738,0.028262788510238113,-0.006993006993006978,0.011245195892847004,0.07441860465116279,0.09873370357241329,-0.06786427145708585,-0.05200974693731564,0.18961625282167044,0.19196428571428573,True
NEXT_SESSION_CLOSE_VS_OBSERVABLE_A2_CLOSE,NEXT_SESSION_CLOSE,OBSERVABLE_A2_CLOSE,10,408,409,0.9938775510204082,0.03467406380027738,0.028262788510238113,-0.006526173450678352,-0.0014662756598241566,0.10026455026455028,0.1317157712305026,-0.09338634857521538,-0.07657657657657657,0.18627450980392157,0.18581907090464547,True
