period,entry_proxy,horizon,event_count,unique_instruments,unique_dates,extension_mean,extension_median,forward_mean,forward_median,forward_trimmed_mean_10pct,forward_win_rate,forward_p05,forward_p25,forward_p75,forward_p95,mfe_mean,mfe_median,mfe_p25,mfe_p75,mae_mean,mae_median,mae_p25,mae_p75,outlier_driven,a2_event_count,reference_loss_rate_h10,reference_reclaim_rate_after_loss_h10,july_stress_segment
JULY,THEORETICAL_REFERENCE_FILL,1,69,67,19,0.0,0.0,0.014988423036166966,0.0035087719298245723,0.008959007120433533,0.5362318840579711,-0.08156916254477235,-0.03728813559322042,0.046875,0.1563709207089788,0.06790833678411094,0.04347826086956519,0.02564102564102555,0.1071428571428572,-0.01622696068357118,-0.015927189988623525,-0.04865771812080533,0.007211538461538325,False,70,0.9565217391304348,0.5303030303030303,True
JULY,THEORETICAL_REFERENCE_FILL,3,64,62,19,0.0,0.0,-0.014686819714966664,-0.010589592793865787,-0.019876051529919905,0.328125,-0.12832104047231965,-0.0761245077040005,0.025602409638554036,0.13582495285983665,0.08272649142683626,0.043617465546842316,0.027828336047514113,0.13147498419200127,-0.05829202719646363,-0.05163131540158278,-0.10885809691583631,-0.021693644808240625,False,70,0.9565217391304348,0.5303030303030303,True
JULY,THEORETICAL_REFERENCE_FILL,5,58,57,19,0.0,0.0,-0.042927525278705685,-0.0479346128658506,-0.046728348863694785,0.27586206896551724,-0.1810752733038471,-0.10136735234826763,0.005154204604678303,0.1546881496881496,0.09045706875359039,0.05974124809741255,0.030644126190637055,0.13965537976374998,-0.0926433748187462,-0.09103280461427543,-0.14694849073466415,-0.03660272392364089,False,70,0.9565217391304348,0.5303030303030303,True
JULY,THEORETICAL_REFERENCE_FILL,10,50,49,16,0.0,0.0,-0.09406958082382567,-0.09927153523948279,-0.1169064434392221,0.18,-0.34930822960508645,-0.25366737363025804,-0.00950028578427381,0.22549733818996914,0.11517925879925126,0.06491801577418022,0.03127538050987788,0.1502614619617777,-0.16427145235945803,-0.1316339512904398,-0.2791721993151164,-0.07373391448733907,False,70,0.9565217391304348,0.5303030303030303,True
JULY,OBSERVABLE_A2_CLOSE,1,69,67,19,0.03045246896459083,0.018626309662397977,-0.015336059287220668,-0.01935483870967747,-0.01805778872525677,0.36231884057971014,-0.09677402953961924,-0.06588579795021965,0.017229496898690577,0.09077398888719619,0.03584030786159744,0.02358490566037741,0.012658227848101333,0.06997742663656892,-0.04532865656555962,-0.0428994082840235,-0.08052708638360173,-0.017584994138335253,False,70,0.9565217391304348,0.5303030303030303,True
JULY,OBSERVABLE_A2_CLOSE,3,64,62,19,0.03143032003396383,0.01953025680142384,-0.04470785531773039,-0.04433191186922536,-0.04594226380563406,0.234375,-0.16015914137675796,-0.09611895161290324,0.0,0.06346234057912892,0.04894935129062948,0.02761662679425836,0.015237352788902647,0.07775498315730822,-0.08676945479169654,-0.08053517228239437,-0.12727934587813616,-0.045692873085507624,False,70,0.9565217391304348,0.5303030303030303,True
JULY,OBSERVABLE_A2_CLOSE,5,58,57,19,0.031052351877134034,0.018974990579991302,-0.07141789420395102,-0.08271144278606968,-0.07277104801876974,0.1896551724137931,-0.21459344660194174,-0.14184996321719845,-0.008072590738423008,0.07346384846384846,0.05691906699018778,0.0346732426264752,0.0171626533393911,0.09706314811948619,-0.11954786868125887,-0.11981753209041024,-0.16262411317379133,-0.05568979904040053,False,70,0.9565217391304348,0.5303030303030303,True
JULY,OBSERVABLE_A2_CLOSE,10,50,49,16,0.029996308457017406,0.01844557492252319,-0.11975353171872176,-0.11467507809150485,-0.1411405032978318,0.1,-0.36145642551892554,-0.2666047256981145,-0.03638092368731502,0.17617112934014334,0.08212483227004097,0.0346732426264752,0.019354838709677358,0.09972527472527482,-0.18808258249590823,-0.1642067588868264,-0.2979345555813414,-0.10156438624646719,False,70,0.9565217391304348,0.5303030303030303,True
JULY,NEXT_SESSION_OPEN,1,69,67,19,0.038312817415307954,0.026755852842809347,-0.02210690623811023,-0.024793388429751984,-0.023346619501424158,0.2898550724637681,-0.11057692307692309,-0.061202185792349706,0.004678362573099504,0.07430402930402925,0.028498554519703085,0.016431924882629012,0.002096436058700135,0.04761904761904767,-0.0518553642818653,-0.04081632653061229,-0.07868852459016396,-0.025862068965517127,False,70,0.9565217391304348,0.5303030303030303,True
JULY,NEXT_SESSION_OPEN,3,64,62,19,0.03997709503513065,0.027520745521601775,-0.05176592550627326,-0.0460870366530744,-0.05119345640517503,0.21875,-0.16922151731430077,-0.10064102564102562,-0.007303141574867389,0.062150787965616044,0.04083507970380966,0.019144845266434674,0.0043823944426353845,0.057084829058936026,-0.09327600835566505,-0.09488629771435197,-0.13045933162751025,-0.04892827042664177,False,70,0.9565217391304348,0.5303030303030303,True
