market,depth_band,event_count,reference_loss_event_count,reference_loss_rate_within_band,close_loss_event_count,reference_reclaim_event_count,reference_reclaim_rate_within_band,no_reclaim_event_count,median_max_adverse_penetration_pct,median_sessions_to_loss,median_sessions_to_reclaim,horizon_matured
ALL,NO_LOSS,114,0,0.0,0,0,,0,0.030044247787610612,,,True
ALL,0_TO_MINUS_1PCT,26,26,1.0,4,26,1.0,0,-0.004655529488600707,2.5,3.0,True
ALL,MINUS_1_TO_2PCT,36,36,1.0,18,35,0.9722222222222222,1,-0.014142928535732069,2.0,2,True
ALL,MINUS_2_TO_3PCT,19,19,1.0,14,19,1.0,0,-0.025191675794085433,2,3,True
ALL,MINUS_3_TO_5PCT,39,39,1.0,31,35,0.8974358974358975,4,-0.040760869565217406,2,3,True
ALL,BELOW_MINUS_5PCT,229,229,1.0,226,139,0.6069868995633187,90,-0.1271929824561403,1,2,True
TPE,NO_LOSS,71,0,0.0,0,0,,0,0.02579132473622514,,,True
TPE,0_TO_MINUS_1PCT,19,19,1.0,2,19,1.0,0,-0.005444646098003658,3,3,True
TPE,MINUS_1_TO_2PCT,23,23,1.0,14,23,1.0,0,-0.013368983957219305,2,2,True
TPE,MINUS_2_TO_3PCT,13,13,1.0,10,13,1.0,0,-0.02716049382716057,2,3,True
TPE,MINUS_3_TO_5PCT,25,25,1.0,20,22,0.88,3,-0.040760869565217406,2,3.5,True
TPE,BELOW_MINUS_5PCT,148,148,1.0,146,92,0.6216216216216216,56,-0.11457558036505405,1.0,2.0,True
TWO,NO_LOSS,43,0,0.0,0,0,,0,0.040935672514619936,,,True
TWO,0_TO_MINUS_1PCT,7,7,1.0,2,7,1.0,0,-0.004081632653061273,2,3,True
TWO,MINUS_1_TO_2PCT,13,13,1.0,4,12,0.9230769230769231,1,-0.01567398119122254,2,2.0,True
TWO,MINUS_2_TO_3PCT,6,6,1.0,4,6,1.0,0,-0.024568965517241415,3.5,3.5,True
TWO,MINUS_3_TO_5PCT,14,14,1.0,11,13,0.9285714285714286,1,-0.041445185549381425,1.5,3,True
TWO,BELOW_MINUS_5PCT,81,81,1.0,80,47,0.5802469135802469,34,-0.14264487369985135,1,2,True
