state,segment,start_date,end_date,horizon,N,EVALUABLE_N,mean,median,win_rate
A1_PRE_BREAKOUT,DEVELOPMENT_AVAILABLE,2026-05-12,2026-06-30,1,462,459,0.008830837586973377,0.002008032128514056,0.5228758169934641
A1_PRE_BREAKOUT,DEVELOPMENT_AVAILABLE,2026-05-12,2026-06-30,3,462,454,0.02112131932889293,0.007682738545958756,0.566079295154185
A1_PRE_BREAKOUT,DEVELOPMENT_AVAILABLE,2026-05-12,2026-06-30,5,462,447,0.03422188837189951,0.011764705882352941,0.5816554809843401
A1_PRE_BREAKOUT,DEVELOPMENT_AVAILABLE,2026-05-12,2026-06-30,10,462,428,0.07053603863044552,0.029665939172064205,0.6191588785046729
A1_PRE_BREAKOUT,VALIDATION,2026-07-01,2026-07-31,1,151,148,-0.004735839811190709,0.0,0.39864864864864863
A1_PRE_BREAKOUT,VALIDATION,2026-07-01,2026-07-31,3,151,142,-0.012386353763749169,-0.004593972718342267,0.38028169014084506
A1_PRE_BREAKOUT,VALIDATION,2026-07-01,2026-07-31,5,151,133,-0.027821703230706145,-0.007905138339920948,0.3458646616541353
A1_PRE_BREAKOUT,VALIDATION,2026-07-01,2026-07-31,10,151,108,-0.04335758162013942,-0.00666106984159289,0.4074074074074074
A1_PRE_BREAKOUT,HOLDOUT,2026-08-01,2026-08-13,1,87,74,0.012095199854542214,0.0005235602094240838,0.5
A1_PRE_BREAKOUT,HOLDOUT,2026-08-01,2026-08-13,3,87,53,0.012540499855053166,0.003937007874015748,0.5471698113207547
A1_PRE_BREAKOUT,HOLDOUT,2026-08-01,2026-08-13,5,87,32,0.03228289840551836,0.0046966327895504225,0.5625
A1_PRE_BREAKOUT,HOLDOUT,2026-08-01,2026-08-13,10,87,0,,,
A2_CONFIRMED_BREAKOUT,DEVELOPMENT_AVAILABLE,2026-05-12,2026-06-30,1,411,408,0.01976718388517432,0.012344570323293728,0.5808823529411765
A2_CONFIRMED_BREAKOUT,DEVELOPMENT_AVAILABLE,2026-05-12,2026-06-30,3,411,402,0.026607762774186035,0.010146940910630599,0.5497512437810945
A2_CONFIRMED_BREAKOUT,DEVELOPMENT_AVAILABLE,2026-05-12,2026-06-30,5,411,395,0.03964391232392793,0.02035928143712575,0.589873417721519
A2_CONFIRMED_BREAKOUT,DEVELOPMENT_AVAILABLE,2026-05-12,2026-06-30,10,411,376,0.061788751257527814,0.02028811524609844,0.5531914893617021
A2_CONFIRMED_BREAKOUT,VALIDATION,2026-07-01,2026-07-31,1,73,72,-0.016342216751208897,-0.018038623368216634,0.3472222222222222
A2_CONFIRMED_BREAKOUT,VALIDATION,2026-07-01,2026-07-31,3,73,67,-0.0414463464319758,-0.03773584905660377,0.2537313432835821
A2_CONFIRMED_BREAKOUT,VALIDATION,2026-07-01,2026-07-31,5,73,60,-0.06798936006962135,-0.0786170304546631,0.2
A2_CONFIRMED_BREAKOUT,VALIDATION,2026-07-01,2026-07-31,10,73,52,-0.11469185226243456,-0.10554096416165382,0.11538461538461539
A2_CONFIRMED_BREAKOUT,HOLDOUT,2026-08-01,2026-08-13,1,28,25,-0.006137575042204611,-0.011673151750972763,0.32
A2_CONFIRMED_BREAKOUT,HOLDOUT,2026-08-01,2026-08-13,3,28,19,0.021948066187887846,-0.0038461538461538464,0.42105263157894735
A2_CONFIRMED_BREAKOUT,HOLDOUT,2026-08-01,2026-08-13,5,28,13,0.0493210587299064,0.03977272727272727,0.7692307692307693
A2_CONFIRMED_BREAKOUT,HOLDOUT,2026-08-01,2026-08-13,10,28,0,,,
