date,available_instruments,ma60_calculable,temporal_eligible,method_a_eligible,below_ma60,insufficient_history,event_affected,partial_event_authority,continuity_unknown,data_gap
2026-02-02,507,0,0,0,0,507,0,0,507,0
2026-02-03,506,0,0,0,0,506,0,0,506,1
2026-02-04,507,0,0,0,0,507,0,0,507,0
2026-02-05,506,0,0,0,0,506,0,0,506,1
2026-02-06,507,0,0,0,0,507,0,0,507,0
2026-02-09,506,0,0,0,0,506,0,0,506,1
2026-02-10,507,0,0,0,0,507,0,0,507,0
2026-02-11,507,0,0,0,0,507,0,0,507,0
2026-02-23,507,0,0,0,0,507,0,0,507,0
2026-02-24,507,0,0,0,0,507,0,0,507,0
2026-02-25,507,0,0,0,0,507,0,0,507,0
2026-02-26,507,0,0,0,0,507,0,0,507,0
2026-03-02,507,0,0,0,0,507,0,0,507,0
2026-03-03,507,0,0,0,0,507,0,0,507,0
2026-03-04,507,0,0,0,0,507,0,0,507,0
2026-03-05,507,0,0,0,0,507,0,0,507,0
2026-03-06,505,0,0,0,0,505,0,0,505,2
2026-03-09,505,0,0,0,0,505,0,0,505,2
2026-03-10,507,0,0,0,0,507,0,0,507,0
2026-03-11,507,0,0,0,0,507,0,0,507,0
2026-03-12,507,0,0,0,0,507,0,0,507,0
2026-03-13,507,0,0,0,0,507,0,0,507,0
2026-03-16,507,0,0,0,0,507,0,0,507,0
2026-03-17,507,0,0,0,0,507,0,0,507,0
2026-03-18,507,0,0,0,0,507,0,0,507,0
2026-03-19,507,0,0,0,0,507,0,0,507,0
2026-03-20,507,0,0,0,0,507,0,0,507,0
2026-03-23,507,0,0,0,0,507,0,0,507,0
2026-03-24,507,0,0,0,0,507,0,0,507,0
2026-03-25,507,0,0,0,0,507,0,0,507,0
2026-03-26,507,0,0,0,0,507,0,0,507,0
2026-03-27,507,0,0,0,0,507,0,0,507,0
2026-03-30,507,0,0,0,0,507,0,0,507,0
2026-03-31,507,0,0,0,0,507,0,0,507,0
2026-04-01,507,0,0,0,0,507,0,0,507,0
2026-04-02,507,0,0,0,0,507,0,0,507,0
2026-04-07,507,0,0,0,0,507,0,0,507,0
2026-04-08,506,0,0,0,0,506,0,0,506,1
2026-04-09,506,0,0,0,0,506,0,0,506,1
2026-04-10,507,0,0,0,0,507,0,0,507,0
2026-04-13,507,0,0,0,0,507,0,0,507,0
2026-04-14,507,0,0,0,0,507,0,0,507,0
2026-04-15,507,0,0,0,0,507,0,0,507,0
2026-04-16,507,0,0,0,0,507,0,0,507,0
2026-04-17,507,0,0,0,0,507,0,0,507,0
2026-04-20,507,0,0,0,0,507,0,0,507,0
2026-04-21,507,0,0,0,0,507,0,0,507,0
2026-04-22,507,0,0,0,0,507,0,0,507,0
2026-04-23,507,0,0,0,0,507,0,0,507,0
2026-04-24,507,0,0,0,0,507,0,0,507,0
2026-04-27,507,0,0,0,0,507,0,0,507,0
2026-04-28,507,0,0,0,0,507,0,0,507,0
2026-04-29,507,0,0,0,0,507,0,0,507,0
2026-04-30,507,0,0,0,0,507,0,0,507,0
2026-05-04,507,0,0,0,0,507,0,0,507,0
2026-05-05,507,0,0,0,0,507,0,0,507,0
2026-05-06,507,0,0,0,0,507,0,0,507,0
2026-05-07,507,0,0,0,0,507,0,0,507,0
