segment,start_date,end_date,group,horizon,N,EVALUABLE_N,CENSORED_N,mean_return,median_return,win_rate
DEVELOPMENT_AVAILABLE,2026-05-12,2026-06-30,ALL_MA60_CALCULABLE,1,15022,14908,0,0.005440304577103923,0.0,0.49382881674268847
DEVELOPMENT_AVAILABLE,2026-05-12,2026-06-30,ALL_MA60_CALCULABLE,3,15022,14650,0,0.018615632802923974,0.00558659217877095,0.5331740614334471
DEVELOPMENT_AVAILABLE,2026-05-12,2026-06-30,ALL_MA60_CALCULABLE,5,15022,14363,0,0.032257168123998765,0.013235294117647059,0.561442595558031
DEVELOPMENT_AVAILABLE,2026-05-12,2026-06-30,ALL_MA60_CALCULABLE,10,15022,13447,0,0.05791694582470535,0.02526002971768202,0.5871198036736819
DEVELOPMENT_AVAILABLE,2026-05-12,2026-06-30,METHOD_A_ELIGIBLE,1,11856,11759,0,0.005834619897378524,0.0,0.4945148396972532
DEVELOPMENT_AVAILABLE,2026-05-12,2026-06-30,METHOD_A_ELIGIBLE,3,11856,11545,0,0.018947741090022514,0.00468384074941452,0.5239497618016458
DEVELOPMENT_AVAILABLE,2026-05-12,2026-06-30,METHOD_A_ELIGIBLE,5,11856,11307,0,0.03262338058603667,0.012531328320802004,0.5495710621738746
DEVELOPMENT_AVAILABLE,2026-05-12,2026-06-30,METHOD_A_ELIGIBLE,10,11856,10521,0,0.06012509417718392,0.025500910746812388,0.5781769793745841
DEVELOPMENT_AVAILABLE,2026-05-12,2026-06-30,CORE_V0_CANDIDATES,1,873,867,0,0.013977353492009115,0.004934210526315789,0.5501730103806228
DEVELOPMENT_AVAILABLE,2026-05-12,2026-06-30,CORE_V0_CANDIDATES,3,873,856,0,0.02369789674128525,0.008188340205839955,0.5584112149532711
DEVELOPMENT_AVAILABLE,2026-05-12,2026-06-30,CORE_V0_CANDIDATES,5,873,842,0,0.03676547443015512,0.01655020451889365,0.5855106888361045
DEVELOPMENT_AVAILABLE,2026-05-12,2026-06-30,CORE_V0_CANDIDATES,10,873,804,0,0.06644526742122032,0.02395219123505976,0.5883084577114428
DEVELOPMENT_AVAILABLE,2026-05-12,2026-06-30,A1_PRE_BREAKOUT,1,462,459,0,0.008830837586973377,0.002008032128514056,0.5228758169934641
