group,horizon,N,EVALUABLE_N,mean_return,median_return,win_rate,MFE,MAE
A1_PRE_BREAKOUT,1,700,681,0.006237143832012744,0.0,0.4933920704845815,,
A1_PRE_BREAKOUT,3,700,649,0.013089157524164601,0.002881844380403458,0.5238828967642527,,
A1_PRE_BREAKOUT,5,700,612,0.020637173727993056,0.003976158856636944,0.5294117647058824,,
A1_PRE_BREAKOUT,10,700,536,0.04758732410234259,0.011928476569910832,0.5764925373134329,,
METHOD_A_ELIGIBLE,1,15886,15595,0.002940682592923023,0.0,0.4721385059313883,,
METHOD_A_ELIGIBLE,3,15886,15026,0.008823432144951631,-0.0025189076696614386,0.48030081192599494,,
METHOD_A_ELIGIBLE,5,15886,14455,0.01574626974744684,0.0,0.4936700103770322,,
METHOD_A_ELIGIBLE,10,15886,13073,0.02970801665961019,0.004048582995951417,0.5085290292970244,,
ALL_MA60_CALCULABLE,1,23366,22861,0.002650442649072428,0.0,0.4756134902235248,,
ALL_MA60_CALCULABLE,3,23366,21853,0.00896450852459627,0.0,0.4944858829451334,,
ALL_MA60_CALCULABLE,5,23366,20846,0.01616932513778517,0.002577388069616049,0.5066199750551664,,
ALL_MA60_CALCULABLE,10,23366,18335,0.029284173838267865,0.005847953216374269,0.5170984455958549,,
