date,a1_signals,a2_signals,total_signals
2026-05-12,15,10,25
2026-05-13,13,10,23
2026-05-14,15,13,28
2026-05-15,4,10,14
2026-05-18,12,5,17
2026-05-19,4,7,11
2026-05-20,7,4,11
2026-05-21,22,15,37
2026-05-22,32,36,68
2026-05-25,36,37,73
2026-05-26,26,13,39
2026-05-27,14,7,21
2026-05-28,9,8,17
2026-05-29,17,10,27
2026-06-01,18,24,42
2026-06-02,19,11,30
2026-06-03,15,18,33
2026-06-04,19,15,34
2026-06-05,10,8,18
2026-06-08,5,5,10
2026-06-09,14,6,20
2026-06-10,6,11,17
2026-06-11,8,9,17
2026-06-12,10,9,19
2026-06-15,17,10,27
2026-06-16,15,8,23
2026-06-17,12,16,28
2026-06-18,17,14,31
2026-06-22,12,25,37
2026-06-23,7,10,17
2026-06-24,7,11,18
2026-06-25,8,5,13
2026-06-26,1,1,2
2026-06-29,3,4,7
2026-06-30,13,6,19
2026-07-01,7,9,16
2026-07-02,19,5,24
2026-07-03,17,17,34
2026-07-06,18,17,35
2026-07-07,4,2,6
2026-07-08,3,1,4
2026-07-09,7,3,10
2026-07-13,6,3,9
2026-07-14,1,2,3
2026-07-15,11,2,13
2026-07-16,7,3,10
2026-07-17,2,1,3
2026-07-20,4,0,4
2026-07-21,7,1,8
2026-07-22,7,2,9
2026-07-23,9,1,10
2026-07-24,7,1,8
2026-07-27,6,0,6
2026-07-28,2,0,2
2026-07-29,2,1,3
2026-07-30,2,1,3
2026-07-31,3,1,4
2026-08-03,7,0,7
2026-08-04,5,3,8
2026-08-05,8,5,13
2026-08-06,13,6,19
2026-08-07,10,2,12
2026-08-10,10,3,13
2026-08-11,10,3,13
2026-08-12,11,3,14
2026-08-13,13,3,16
