from_variant,to_variant,view,horizon,from_candidate_count,to_candidate_count,candidate_reduction_count,candidate_reduction_rate_vs_from,from_unique_instrument_count,to_unique_instrument_count,from_endpoint_mean,to_endpoint_mean,from_mfe_mean,to_mfe_mean,from_mae_mean,to_mae_mean,excluded_matured_count,positive_opportunity_sacrificed_mfe_ge_3_count,positive_opportunity_sacrificed_mfe_ge_5_count,positive_opportunity_sacrificed_mfe_ge_10_count,adverse_cases_removed_endpoint_le_0_count,adverse_cases_removed_mae_le_minus5_count,endpoint_mean_delta_to_minus_from,comparison_type,acceptance
V0_LEGACY5,V1_LEGACY5_MA20,RAW_ANCHOR,5,2471,2471,0,0.0,544,544,0.017213741885620498,0.017213741885620498,0.08786564420310276,0.08786564420310276,-0.04772058675728747,-0.04772058675728747,0,0,0,0,0,0,0.0,DESCRIPTIVE_ABLATION_ONLY,NO
V0_LEGACY5,V1_LEGACY5_MA20,RAW_ANCHOR,10,2471,2471,0,0.0,544,544,0.03159758644502241,0.03159758644502241,0.12875002498363755,0.12875002498363755,-0.06721167047785155,-0.06721167047785155,0,0,0,0,0,0,0.0,DESCRIPTIVE_ABLATION_ONLY,NO
V0_LEGACY5,V2_LEGACY5_MA60,RAW_ANCHOR,5,2471,2096,375,0.1517604208822339,544,529,0.017213741885620498,0.01836148916554453,0.08786564420310276,0.09217538830116781,-0.04772058675728747,-0.04993344616454711,373,236,173,73,185,100,0.001147747279924033,DESCRIPTIVE_ABLATION_ONLY,NO
V0_LEGACY5,V2_LEGACY5_MA60,RAW_ANCHOR,10,2471,2096,375,0.1517604208822339,544,529,0.03159758644502241,0.03532753618215683,0.12875002498363755,0.13672140156198173,-0.06721167047785155,-0.07018193112255207,372,278,216,104,187,155,0.0037299497371344192,DESCRIPTIVE_ABLATION_ONLY,NO
V0_LEGACY5,V3_LEGACY5_MA20_MA60,RAW_ANCHOR,5,2471,2096,375,0.1517604208822339,544,529,0.017213741885620498,0.01836148916554453,0.08786564420310276,0.09217538830116781,-0.04772058675728747,-0.04993344616454711,373,236,173,73,185,100,0.001147747279924033,DESCRIPTIVE_ABLATION_ONLY,NO
V0_LEGACY5,V3_LEGACY5_MA20_MA60,RAW_ANCHOR,10,2471,2096,375,0.1517604208822339,544,529,0.03159758644502241,0.03532753618215683,0.12875002498363755,0.13672140156198173,-0.06721167047785155,-0.07018193112255207,372,278,216,104,187,155,0.0037299497371344192,DESCRIPTIVE_ABLATION_ONLY,NO
V1_LEGACY5_MA20,V3_LEGACY5_MA20_MA60,RAW_ANCHOR,5,2471,2096,375,0.1517604208822339,544,529,0.017213741885620498,0.01836148916554453,0.08786564420310276,0.09217538830116781,-0.04772058675728747,-0.04993344616454711,373,236,173,73,185,100,0.001147747279924033,DESCRIPTIVE_ABLATION_ONLY,NO
V1_LEGACY5_MA20,V3_LEGACY5_MA20_MA60,RAW_ANCHOR,10,2471,2096,375,0.1517604208822339,544,529,0.03159758644502241,0.03532753618215683,0.12875002498363755,0.13672140156198173,-0.06721167047785155,-0.07018193112255207,372,278,216,104,187,155,0.0037299497371344192,DESCRIPTIVE_ABLATION_ONLY,NO
V2_LEGACY5_MA60,V3_LEGACY5_MA20_MA60,RAW_ANCHOR,5,2096,2096,0,0.0,529,529,0.01836148916554453,0.01836148916554453,0.09217538830116781,0.09217538830116781,-0.04993344616454711,-0.04993344616454711,0,0,0,0,0,0,0.0,DESCRIPTIVE_ABLATION_ONLY,NO
V2_LEGACY5_MA60,V3_LEGACY5_MA20_MA60,RAW_ANCHOR,10,2096,2096,0,0.0,529,529,0.03532753618215683,0.03532753618215683,0.13672140156198173,0.13672140156198173,-0.07018193112255207,-0.07018193112255207,0,0,0,0,0,0,0.0,DESCRIPTIVE_ABLATION_ONLY,NO
V0_LEGACY5,V1_LEGACY5_MA20,DISTINCT_EPISODE,5,2471,2471,0,0.0,544,544,0.017213741885620498,0.017213741885620498,0.08786564420310276,0.08786564420310276,-0.04772058675728747,-0.04772058675728747,0,0,0,0,0,0,0.0,DESCRIPTIVE_ABLATION_ONLY,NO
V0_LEGACY5,V1_LEGACY5_MA20,DISTINCT_EPISODE,10,2471,2471,0,0.0,544,544,0.03159758644502241,0.03159758644502241,0.12875002498363755,0.12875002498363755,-0.06721167047785155,-0.06721167047785155,0,0,0,0,0,0,0.0,DESCRIPTIVE_ABLATION_ONLY,NO
V0_LEGACY5,V2_LEGACY5_MA60,DISTINCT_EPISODE,5,2471,2096,375,0.1517604208822339,544,529,0.017213741885620498,0.01836148916554453,0.08786564420310276,0.09217538830116781,-0.04772058675728747,-0.04993344616454711,373,236,173,73,185,100,0.001147747279924033,DESCRIPTIVE_ABLATION_ONLY,NO
V0_LEGACY5,V2_LEGACY5_MA60,DISTINCT_EPISODE,10,2471,2096,375,0.1517604208822339,544,529,0.03159758644502241,0.03532753618215683,0.12875002498363755,0.13672140156198173,-0.06721167047785155,-0.07018193112255207,372,278,216,104,187,155,0.0037299497371344192,DESCRIPTIVE_ABLATION_ONLY,NO
V0_LEGACY5,V3_LEGACY5_MA20_MA60,DISTINCT_EPISODE,5,2471,2096,375,0.1517604208822339,544,529,0.017213741885620498,0.01836148916554453,0.08786564420310276,0.09217538830116781,-0.04772058675728747,-0.04993344616454711,373,236,173,73,185,100,0.001147747279924033,DESCRIPTIVE_ABLATION_ONLY,NO
V0_LEGACY5,V3_LEGACY5_MA20_MA60,DISTINCT_EPISODE,10,2471,2096,375,0.1517604208822339,544,529,0.03159758644502241,0.03532753618215683,0.12875002498363755,0.13672140156198173,-0.06721167047785155,-0.07018193112255207,372,278,216,104,187,155,0.0037299497371344192,DESCRIPTIVE_ABLATION_ONLY,NO
V1_LEGACY5_MA20,V3_LEGACY5_MA20_MA60,DISTINCT_EPISODE,5,2471,2096,375,0.1517604208822339,544,529,0.017213741885620498,0.01836148916554453,0.08786564420310276,0.09217538830116781,-0.04772058675728747,-0.04993344616454711,373,236,173,73,185,100,0.001147747279924033,DESCRIPTIVE_ABLATION_ONLY,NO
V1_LEGACY5_MA20,V3_LEGACY5_MA20_MA60,DISTINCT_EPISODE,10,2471,2096,375,0.1517604208822339,544,529,0.03159758644502241,0.03532753618215683,0.12875002498363755,0.13672140156198173,-0.06721167047785155,-0.07018193112255207,372,278,216,104,187,155,0.0037299497371344192,DESCRIPTIVE_ABLATION_ONLY,NO
V2_LEGACY5_MA60,V3_LEGACY5_MA20_MA60,DISTINCT_EPISODE,5,2096,2096,0,0.0,529,529,0.01836148916554453,0.01836148916554453,0.09217538830116781,0.09217538830116781,-0.04993344616454711,-0.04993344616454711,0,0,0,0,0,0,0.0,DESCRIPTIVE_ABLATION_ONLY,NO
V2_LEGACY5_MA60,V3_LEGACY5_MA20_MA60,DISTINCT_EPISODE,10,2096,2096,0,0.0,529,529,0.03532753618215683,0.03532753618215683,0.13672140156198173,0.13672140156198173,-0.07018193112255207,-0.07018193112255207,0,0,0,0,0,0,0.0,DESCRIPTIVE_ABLATION_ONLY,NO
