cohort,signal_type,sample_group,sample_period_scope,N,instrument_count,topic_count,prior_5_session_return_mean,prior_5_session_return_median,h5_endpoint_mean,h5_endpoint_median,h5_positive_rate,h10_endpoint_mean,h10_endpoint_median,h10_positive_rate,matching_status,control_definition,prior_return_feature_available,formal_matching_claim
ALL_TECHNICAL,A2,D-1_BEFORE_CONFIRMED_MAIN_RISE,"EARLY/MIDDLE/LATE; period is disclosed, not matched",8,8,8,0.11389918377087488,0.09809981684981683,0.13184129810975057,0.11596037424325811,0.875,0.1729423931830391,0.1088592046675878,0.875,NOT_AVAILABLE_EXACT_MATCHING_NOT_PERFORMED,D-1 signal joined to confirmed transition,YES,NO
ALL_TECHNICAL,LEGACY5,D-1_BEFORE_CONFIRMED_MAIN_RISE,"EARLY/MIDDLE/LATE; period is disclosed, not matched",5,5,3,0.03415907506418181,0.025104602510460206,0.03520618398382067,-0.01020408163265306,0.4,0.1816100923830173,0.1791907514450867,1.0,NOT_AVAILABLE_EXACT_MATCHING_NOT_PERFORMED,D-1 signal joined to confirmed transition,YES,NO
ALL_TECHNICAL,ALL_UNION,D-1_BEFORE_CONFIRMED_MAIN_RISE,"EARLY/MIDDLE/LATE; period is disclosed, not matched",13,13,8,0.08322991119137754,0.07320872274143309,0.09467394652285445,0.07974683544303796,0.6923076923076923,0.17627612364456918,0.15384615384615374,0.9230769230769231,NOT_AVAILABLE_EXACT_MATCHING_NOT_PERFORMED,D-1 signal joined to confirmed transition,YES,NO
ALL_TECHNICAL,A2,ORDINARY_NON_TRANSITION_DATE,"EARLY/MIDDLE/LATE; period is disclosed, not matched",596,268,66,0.14287374338015713,0.13310030540179418,0.02958737502347386,0.0019305019305020377,0.5043936731107206,0.05354720382943797,0.0142180094786728,0.5486725663716814,NOT_AVAILABLE_EXACT_MATCHING_NOT_PERFORMED,ordinary non-transition date with valid five-stage non-MAIN_RISE lifecycle context,YES,NO
ALL_TECHNICAL,LEGACY5,ORDINARY_NON_TRANSITION_DATE,"EARLY/MIDDLE/LATE; period is disclosed, not matched",286,169,57,0.08036220398198105,0.07269678894829568,0.027296772129552282,0.003875968992248062,0.5231316725978647,0.04079659261578242,0.016893130744640994,0.55,NOT_AVAILABLE_EXACT_MATCHING_NOT_PERFORMED,ordinary non-transition date with valid five-stage non-MAIN_RISE lifecycle context,YES,NO
ALL_TECHNICAL,ALL_UNION,ORDINARY_NON_TRANSITION_DATE,"EARLY/MIDDLE/LATE; period is disclosed, not matched",882,299,67,0.12260356167054445,0.11001209706112569,0.028830128655012728,0.003683241252302021,0.5105882352941177,0.049322149226096484,0.014367816091954033,0.5491124260355029,NOT_AVAILABLE_EXACT_MATCHING_NOT_PERFORMED,ordinary non-transition date with valid five-stage non-MAIN_RISE lifecycle context,YES,NO
A2,A2,D-1_BEFORE_CONFIRMED_MAIN_RISE,"EARLY/MIDDLE/LATE; period is disclosed, not matched",8,8,8,0.11389918377087488,0.09809981684981683,0.13184129810975057,0.11596037424325811,0.875,0.1729423931830391,0.1088592046675878,0.875,NOT_AVAILABLE_EXACT_MATCHING_NOT_PERFORMED,D-1 signal joined to confirmed transition,YES,NO
A2,LEGACY5,D-1_BEFORE_CONFIRMED_MAIN_RISE,"EARLY/MIDDLE/LATE; period is disclosed, not matched",0,0,0,,,,,,,,,NOT_AVAILABLE_EXACT_MATCHING_NOT_PERFORMED,D-1 signal joined to confirmed transition,NO,NO
A2,A2,ORDINARY_NON_TRANSITION_DATE,"EARLY/MIDDLE/LATE; period is disclosed, not matched",596,268,66,0.14287374338015713,0.13310030540179418,0.02958737502347386,0.0019305019305020377,0.5043936731107206,0.05354720382943797,0.0142180094786728,0.5486725663716814,NOT_AVAILABLE_EXACT_MATCHING_NOT_PERFORMED,ordinary non-transition date with valid five-stage non-MAIN_RISE lifecycle context,YES,NO
A2,LEGACY5,ORDINARY_NON_TRANSITION_DATE,"EARLY/MIDDLE/LATE; period is disclosed, not matched",0,0,0,,,,,,,,,NOT_AVAILABLE_EXACT_MATCHING_NOT_PERFORMED,ordinary non-transition date with valid five-stage non-MAIN_RISE lifecycle context,NO,NO
