cohort,event_semantics,observation_window,event_count,events_with_required_prior_row,signal_cohort_total,signal_cohort_in_l5_window,valid_relation_lifecycle_join_signal_count,matched_signal_count,matched_unique_signal_count,matched_unique_instrument_count,matched_unique_topic_count,matched_event_count,missing_prior_window_count,no_topic_match_count,ambiguous_topic_match_count,no_lifecycle_row_count,anti_leakage_status,source_class,adjustment_state
ALL_TECHNICAL,CANDIDATE_ONSET,D-3,80,65,7748,2480,1652,8,8,8,8,8,15,958,1857,3281,PASS_D0_SEPARATED,CURRENT_TAXONOMY_HISTORICAL_RECONSTRUCTION,UNKNOWN_RAW_ONLY
A2,CANDIDATE_ONSET,D-3,80,65,5277,1725,1139,4,4,4,4,4,15,684,1226,2228,PASS_D0_SEPARATED,CURRENT_TAXONOMY_HISTORICAL_RECONSTRUCTION,UNKNOWN_RAW_ONLY
LEGACY5,CANDIDATE_ONSET,D-3,80,65,2471,755,513,4,4,4,4,4,15,274,631,1053,PASS_D0_SEPARATED,CURRENT_TAXONOMY_HISTORICAL_RECONSTRUCTION,UNKNOWN_RAW_ONLY
BOTH_SAME_SESSION,CANDIDATE_ONSET,D-3,80,65,1120,316,208,0,0,0,0,0,15,130,308,474,PASS_D0_SEPARATED,CURRENT_TAXONOMY_HISTORICAL_RECONSTRUCTION,UNKNOWN_RAW_ONLY
BOTH_WITHIN_1_SENSITIVITY,CANDIDATE_ONSET,D-3,80,65,1584,499,350,1,1,1,1,1,15,182,406,646,PASS_D0_SEPARATED,CURRENT_TAXONOMY_HISTORICAL_RECONSTRUCTION,UNKNOWN_RAW_ONLY
ALL_TECHNICAL,CANDIDATE_ONSET,D-2,80,65,7748,2480,1652,10,10,9,8,8,15,958,1857,3281,PASS_D0_SEPARATED,CURRENT_TAXONOMY_HISTORICAL_RECONSTRUCTION,UNKNOWN_RAW_ONLY
A2,CANDIDATE_ONSET,D-2,80,65,5277,1725,1139,6,6,6,5,5,15,684,1226,2228,PASS_D0_SEPARATED,CURRENT_TAXONOMY_HISTORICAL_RECONSTRUCTION,UNKNOWN_RAW_ONLY
LEGACY5,CANDIDATE_ONSET,D-2,80,65,2471,755,513,4,4,4,4,4,15,274,631,1053,PASS_D0_SEPARATED,CURRENT_TAXONOMY_HISTORICAL_RECONSTRUCTION,UNKNOWN_RAW_ONLY
BOTH_SAME_SESSION,CANDIDATE_ONSET,D-2,80,65,1120,316,208,2,2,1,1,1,15,130,308,474,PASS_D0_SEPARATED,CURRENT_TAXONOMY_HISTORICAL_RECONSTRUCTION,UNKNOWN_RAW_ONLY
BOTH_WITHIN_1_SENSITIVITY,CANDIDATE_ONSET,D-2,80,65,1584,499,350,4,4,3,3,3,15,182,406,646,PASS_D0_SEPARATED,CURRENT_TAXONOMY_HISTORICAL_RECONSTRUCTION,UNKNOWN_RAW_ONLY
ALL_TECHNICAL,CANDIDATE_ONSET,D-1,80,67,7748,2480,1652,8,8,8,6,6,13,958,1857,3281,PASS_D0_SEPARATED,CURRENT_TAXONOMY_HISTORICAL_RECONSTRUCTION,UNKNOWN_RAW_ONLY
A2,CANDIDATE_ONSET,D-1,80,67,5277,1725,1139,6,6,6,6,6,13,684,1226,2228,PASS_D0_SEPARATED,CURRENT_TAXONOMY_HISTORICAL_RECONSTRUCTION,UNKNOWN_RAW_ONLY
LEGACY5,CANDIDATE_ONSET,D-1,80,67,2471,755,513,2,2,2,1,1,13,274,631,1053,PASS_D0_SEPARATED,CURRENT_TAXONOMY_HISTORICAL_RECONSTRUCTION,UNKNOWN_RAW_ONLY
BOTH_SAME_SESSION,CANDIDATE_ONSET,D-1,80,67,1120,316,208,0,0,0,0,0,13,130,308,474,PASS_D0_SEPARATED,CURRENT_TAXONOMY_HISTORICAL_RECONSTRUCTION,UNKNOWN_RAW_ONLY
