row_type,cohort,event_semantics,observation_window,horizon,event_count,matched_signal_count,trajectory_complete_event_count,features_used_through,uses_d0_evidence,trajectory_status,anti_leakage_status,N,outcome_n,matured_n,instrument_count,topic_count,date_count,pair_count,endpoint_mean,endpoint_median,endpoint_trimmed5_mean,positive_endpoint_rate,mfe_mean,mfe_median,mae_mean,mae_median,mae_le_minus5_rate,mfe_ge_5_rate,barrier_5_up_first_rate,barrier_5_down_first_rate,barrier_5_same_session_unknown_rate,barrier_10_up_first_rate,barrier_10_down_first_rate,barrier_10_same_session_unknown_rate,raw_positive_breadth_mean,raw_positive_breadth_median,delta_D-2_minus_D-3_positive_breadth_mean,delta_D-2_minus_D-3_positive_breadth_median,delta_D-1_minus_D-2_positive_breadth_mean,delta_D-1_minus_D-2_positive_breadth_median,delta_D0_minus_D-1_positive_breadth_mean,delta_D0_minus_D-1_positive_breadth_median,raw_strong_breadth_mean,raw_strong_breadth_median,delta_D-2_minus_D-3_strong_breadth_mean,delta_D-2_minus_D-3_strong_breadth_median,delta_D-1_minus_D-2_strong_breadth_mean,delta_D-1_minus_D-2_strong_breadth_median,delta_D0_minus_D-1_strong_breadth_mean,delta_D0_minus_D-1_strong_breadth_median,raw_weak_ratio_mean,raw_weak_ratio_median,delta_D-2_minus_D-3_weak_ratio_mean,delta_D-2_minus_D-3_weak_ratio_median,delta_D-1_minus_D-2_weak_ratio_mean,delta_D-1_minus_D-2_weak_ratio_median,delta_D0_minus_D-1_weak_ratio_mean,delta_D0_minus_D-1_weak_ratio_median,raw_average_change_pct_mean,raw_average_change_pct_median,delta_D-2_minus_D-3_average_change_pct_mean,delta_D-2_minus_D-3_average_change_pct_median,delta_D-1_minus_D-2_average_change_pct_mean,delta_D-1_minus_D-2_average_change_pct_median,delta_D0_minus_D-1_average_change_pct_mean,delta_D0_minus_D-1_average_change_pct_median,raw_leader_change_pct_mean,raw_leader_change_pct_median,delta_D-2_minus_D-3_leader_change_pct_mean,delta_D-2_minus_D-3_leader_change_pct_median,delta_D-1_minus_D-2_leader_change_pct_mean,delta_D-1_minus_D-2_leader_change_pct_median,delta_D0_minus_D-1_leader_change_pct_mean,delta_D0_minus_D-1_leader_change_pct_median
AGGREGATE,ALL_TECHNICAL,CANDIDATE_ONSET,D-3,5,8,8,8,D-3,NO,DESCRIPTIVE_RAW_VECTOR_ONLY,PASS_D0_SEPARATED,8,8,8,8,8,7,0,0.05892348881180459,0.06674632980539433,0.05892348881180459,0.875,0.11288931873345304,0.09913998699139986,-0.028133961445110083,-0.02566405185207625,0.375,1.0,0.75,0.25,0.0,0.75,0.25,0.0,0.554031375,0.552778,,,,,,,0.11022275,0.081169,,,,,,,0.023863625,0.0,,,,,,,0.9641875,0.85025,,,,,,,5.539115875,4.4660575,,,,,,
AGGREGATE,ALL_TECHNICAL,CANDIDATE_ONSET,D-3,10,8,8,8,D-3,NO,DESCRIPTIVE_RAW_VECTOR_ONLY,PASS_D0_SEPARATED,8,8,8,8,8,7,0,0.10038457798663325,0.06498502219602276,0.10038457798663325,0.75,0.17274217593442187,0.16594429152458806,-0.0283164431969349,-0.02639397885937552,0.375,1.0,0.75,0.25,0.0,0.75,0.25,0.0,0.554031375,0.552778,,,,,,,0.11022275,0.081169,,,,,,,0.023863625,0.0,,,,,,,0.9641875,0.85025,,,,,,,5.539115875,4.4660575,,,,,,
AGGREGATE,ALL_TECHNICAL,CANDIDATE_ONSET,D-2,5,8,10,8,D-2,NO,DESCRIPTIVE_RAW_VECTOR_ONLY,PASS_D0_SEPARATED,10,10,10,9,8,7,0,0.11563552169544358,0.13360726072607265,0.11563552169544358,0.8,0.19097911330870027,0.215373300158052,-0.013832739654054835,-0.020484171322160166,0.1,0.9,0.8333333333333334,0.16666666666666666,0.0,0.6666666666666666,0.16666666666666666,0.0,0.541378625,0.522222,-0.03539387500000002,0.0,,,,,0.23998987500000002,0.253846,0.05362637500000001,0.0454545,,,,,0.038157875,0.0,-0.031539,0.0,,,,,1.569975,2.08705,0.5258375,1.4326999999999999,,,,,9.046546375,9.6895805,2.60967175,2.3141315000000002,,,,
AGGREGATE,ALL_TECHNICAL,CANDIDATE_ONSET,D-2,10,8,10,8,D-2,NO,DESCRIPTIVE_RAW_VECTOR_ONLY,PASS_D0_SEPARATED,10,10,10,9,8,7,0,0.0966670612898514,0.12731014193386847,0.0966670612898514,0.8,0.2414232089423979,0.22497970682328222,-0.022043523967780306,-0.020484171322160166,0.2,0.9,0.8333333333333334,0.16666666666666666,0.0,0.6666666666666666,0.3333333333333333,0.0,0.541378625,0.522222,-0.03539387500000002,0.0,,,,,0.23998987500000002,0.253846,0.05362637500000001,0.0454545,,,,,0.038157875,0.0,-0.031539,0.0,,,,,1.569975,2.08705,0.5258375,1.4326999999999999,,,,,9.046546375,9.6895805,2.60967175,2.3141315000000002,,,,
AGGREGATE,ALL_TECHNICAL,CANDIDATE_ONSET,D-1,5,6,8,6,D-1,NO,DESCRIPTIVE_RAW_VECTOR_ONLY,PASS_D0_SEPARATED,8,8,8,8,6,5,0,0.034221319346203156,0.008883803001450086,0.034221319346203156,0.625,0.09630427549211591,0.07709298011789123,-0.031544396989053404,-0.028155879850795096,0.25,0.75,0.8333333333333334,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.0,0.5945978333333334,0.5694445,,,-0.028520666666666656,-0.08333349999999998,,,0.28084749999999997,0.333333,,,0.035403,0.0,,,0.019063333333333335,0.0,,,0.019063333333333335,0.0,,,1.9672833333333333,2.38405,,,0.28804999999999986,0.54585,,,8.2517075,9.460519999999999,,,0.10370233333333327,1.4445535,,
AGGREGATE,ALL_TECHNICAL,CANDIDATE_ONSET,D-1,10,6,8,6,D-1,NO,DESCRIPTIVE_RAW_VECTOR_ONLY,PASS_D0_SEPARATED,8,8,8,8,6,5,0,0.06876263197293817,0.048291316526610645,0.06876263197293817,0.75,0.1682303120777791,0.12933706816059756,-0.035220867577288685,-0.028155879850795096,0.375,1.0,0.8333333333333334,0.16666666666666666,0.0,0.3333333333333333,0.3333333333333333,0.0,0.5945978333333334,0.5694445,,,-0.028520666666666656,-0.08333349999999998,,,0.28084749999999997,0.333333,,,0.035403,0.0,,,0.019063333333333335,0.0,,,0.019063333333333335,0.0,,,1.9672833333333333,2.38405,,,0.28804999999999986,0.54585,,,8.2517075,9.460519999999999,,,0.10370233333333327,1.4445535,,
AGGREGATE,ALL_TECHNICAL,CANDIDATE_ONSET,D0,5,23,41,18,D0,YES,DESCRIPTIVE_RAW_VECTOR_ONLY,D0_SEPARATE_NOT_PREDICTIVE,41,41,41,39,23,11,0,0.000619467254062636,-0.008230452674897082,-0.0016113281780464207,0.43902439024390244,0.06614875775113675,0.047619047619047616,-0.050774581774107805,-0.050167224080267525,0.5121951219512195,0.4878048780487805,0.4,0.36666666666666664,0.0,0.1,0.5,0.0,0.9164644782608696,0.928571,,,,,0.1911078888888889,0.19375000000000003,0.4897510869565217,0.461538,,,,,0.40910583333333334,0.3875,0.006340565217391304,0.0,,,,,-0.029199777777777783,0.0,4.286313043478261,3.9288,,,,,3.0606277777777775,2.9067,9.187119000000001,9.897611,,,,,3.355845333333333,3.9491389999999993
AGGREGATE,ALL_TECHNICAL,CANDIDATE_ONSET,D0,10,23,41,18,D0,YES,DESCRIPTIVE_RAW_VECTOR_ONLY,D0_SEPARATE_NOT_PREDICTIVE,41,41,41,39,23,11,0,0.014193821510240047,-0.00796812749003984,-0.008540269862841657,0.3902439024390244,0.1056795427545578,0.05263157894736836,-0.076302944141434,-0.07268170426065163,0.6829268292682927,0.5365853658536586,0.4,0.5,0.0,0.16666666666666666,0.6666666666666666,0.0,0.9164644782608696,0.928571,,,,,0.1911078888888889,0.19375000000000003,0.4897510869565217,0.461538,,,,,0.40910583333333334,0.3875,0.006340565217391304,0.0,,,,,-0.029199777777777783,0.0,4.286313043478261,3.9288,,,,,3.0606277777777775,2.9067,9.187119000000001,9.897611,,,,,3.355845333333333,3.9491389999999993
AGGREGATE,ALL_TECHNICAL,CONFIRMED_TRANSITION,D-3,5,11,11,11,D-3,NO,DESCRIPTIVE_RAW_VECTOR_ONLY,PASS_D0_SEPARATED,11,11,11,11,11,9,0,0.0916820245193608,0.09958506224066377,0.0916820245193608,0.7272727272727273,0.145637572171693,0.11409395973154357,-0.04608955865565018,-0.03526970954356856,0.36363636363636365,0.6363636363636364,0.5,0.4,0.0,0.5,0.4,0.0,0.5700243636363637,0.555556,,,,,,,0.1360768181818182,0.142857,,,,,,,0.04107490909090909,0.0,,,,,,,0.9911545454545454,0.6561,,,,,,,6.807457727272728,7.73639,,,,,,
AGGREGATE,ALL_TECHNICAL,CONFIRMED_TRANSITION,D-3,10,11,11,11,D-3,NO,DESCRIPTIVE_RAW_VECTOR_ONLY,PASS_D0_SEPARATED,11,11,11,11,11,9,0,0.10573473460800953,0.03112033195020736,0.10573473460800953,0.5454545454545454,0.23218231643761592,0.16141732283464583,-0.06929235460285764,-0.06382978723404253,0.5454545454545454,0.6363636363636364,0.5,0.5,0.0,0.5,0.5,0.0,0.5700243636363637,0.555556,,,,,,,0.1360768181818182,0.142857,,,,,,,0.04107490909090909,0.0,,,,,,,0.9911545454545454,0.6561,,,,,,,6.807457727272728,7.73639,,,,,,
