cohort,event_semantics,pretransition_window,horizon,pre_N,pre_outcome_n,pre_endpoint_mean,pre_endpoint_median,pre_mae_mean,pre_mae_median,d0_N,d0_outcome_n,d0_endpoint_mean,d0_endpoint_median,d0_mae_mean,d0_mae_median,pre_minus_d0_mean,pre_minus_d0_median,pre_mae_minus_d0_mean,pre_mae_minus_d0_median,d0_conditioning_disclosure,anti_leakage_status
ALL_TECHNICAL,CANDIDATE_ONSET,D-3,5,8,8,0.05892348881180459,0.06674632980539433,-0.028133961445110083,-0.02566405185207625,41,41,0.000619467254062636,-0.008230452674897082,-0.050774581774107805,-0.050167224080267525,0.058304021557741954,0.07497678248029141,0.02264062032899772,0.024503172228191275,D0 uses same-day MAIN_RISE price evidence thresholds; not independent predictive lift,PASS_D0_SEPARATED
ALL_TECHNICAL,CANDIDATE_ONSET,D-3,10,8,8,0.10038457798663325,0.06498502219602276,-0.0283164431969349,-0.02639397885937552,41,41,0.014193821510240047,-0.00796812749003984,-0.076302944141434,-0.07268170426065163,0.08619075647639321,0.07295314968606259,0.047986500944499105,0.046287725401276104,D0 uses same-day MAIN_RISE price evidence thresholds; not independent predictive lift,PASS_D0_SEPARATED
ALL_TECHNICAL,CANDIDATE_ONSET,D-2,5,10,10,0.11563552169544358,0.13360726072607265,-0.013832739654054835,-0.020484171322160166,41,41,0.000619467254062636,-0.008230452674897082,-0.050774581774107805,-0.050167224080267525,0.11501605444138095,0.14183771340096973,0.03694184212005297,0.02968305275810736,D0 uses same-day MAIN_RISE price evidence thresholds; not independent predictive lift,PASS_D0_SEPARATED
ALL_TECHNICAL,CANDIDATE_ONSET,D-2,10,10,10,0.0966670612898514,0.12731014193386847,-0.022043523967780306,-0.020484171322160166,41,41,0.014193821510240047,-0.00796812749003984,-0.076302944141434,-0.07268170426065163,0.08247323977961135,0.1352782694239083,0.05425942017365369,0.052197532938491456,D0 uses same-day MAIN_RISE price evidence thresholds; not independent predictive lift,PASS_D0_SEPARATED
ALL_TECHNICAL,CANDIDATE_ONSET,D-1,5,8,8,0.034221319346203156,0.008883803001450086,-0.031544396989053404,-0.028155879850795096,41,41,0.000619467254062636,-0.008230452674897082,-0.050774581774107805,-0.050167224080267525,0.03360185209214052,0.017114255676347168,0.0192301847850544,0.02201134422947243,D0 uses same-day MAIN_RISE price evidence thresholds; not independent predictive lift,PASS_D0_SEPARATED
ALL_TECHNICAL,CANDIDATE_ONSET,D-1,10,8,8,0.06876263197293817,0.048291316526610645,-0.035220867577288685,-0.028155879850795096,41,41,0.014193821510240047,-0.00796812749003984,-0.076302944141434,-0.07268170426065163,0.05456881046269812,0.056259444016650485,0.041082076564145316,0.04452582440985653,D0 uses same-day MAIN_RISE price evidence thresholds; not independent predictive lift,PASS_D0_SEPARATED
ALL_TECHNICAL,CONFIRMED_TRANSITION,D-3,5,11,11,0.0916820245193608,0.09958506224066377,-0.04608955865565018,-0.03526970954356856,42,42,0.006604028157100846,-0.002652519893899204,-0.055047043724833156,-0.05652223443985466,0.08507799636225996,0.10223758213456298,0.008957485069182973,0.021252524896286096,D0 uses same-day MAIN_RISE price evidence thresholds; not independent predictive lift,PASS_D0_SEPARATED
ALL_TECHNICAL,CONFIRMED_TRANSITION,D-3,10,11,11,0.10573473460800953,0.03112033195020736,-0.06929235460285764,-0.06382978723404253,42,42,0.04524712788551083,-0.00466309405117965,-0.06761199717857248,-0.0726817042606516,0.0604876067224987,0.03578342600138701,-0.001680357424285156,0.008851917026609063,D0 uses same-day MAIN_RISE price evidence thresholds; not independent predictive lift,PASS_D0_SEPARATED
ALL_TECHNICAL,CONFIRMED_TRANSITION,D-2,5,6,5,0.06071372059882918,0.08932038834951461,-0.059596802726151824,-0.03200000000000003,42,42,0.006604028157100846,-0.002652519893899204,-0.055047043724833156,-0.05652223443985466,0.054109692441728335,0.09197290824341382,-0.004549759001318668,0.02452223443985463,D0 uses same-day MAIN_RISE price evidence thresholds; not independent predictive lift,PASS_D0_SEPARATED
ALL_TECHNICAL,CONFIRMED_TRANSITION,D-2,10,6,5,0.16000673055368148,0.05048543689320395,-0.06930613078706013,-0.03200000000000003,42,42,0.04524712788551083,-0.00466309405117965,-0.06761199717857248,-0.0726817042606516,0.11475960266817065,0.0551485309443836,-0.0016941336084876496,0.04068170426065157,D0 uses same-day MAIN_RISE price evidence thresholds; not independent predictive lift,PASS_D0_SEPARATED
ALL_TECHNICAL,CONFIRMED_TRANSITION,D-1,5,13,13,0.09467394652285445,0.07974683544303796,-0.012197349937198456,0.002902757619738683,42,42,0.006604028157100846,-0.002652519893899204,-0.055047043724833156,-0.05652223443985466,0.0880699183657536,0.08239935533693717,0.0428496937876347,0.05942499205959334,D0 uses same-day MAIN_RISE price evidence thresholds; not independent predictive lift,PASS_D0_SEPARATED
ALL_TECHNICAL,CONFIRMED_TRANSITION,D-1,10,13,13,0.17627612364456918,0.15384615384615374,-0.023842872087859904,0.0015748031496062992,42,42,0.04524712788551083,-0.00466309405117965,-0.06761199717857248,-0.0726817042606516,0.13102899575905835,0.1585092478973334,0.04376912509071258,0.0742565074102579,D0 uses same-day MAIN_RISE price evidence thresholds; not independent predictive lift,PASS_D0_SEPARATED
