cohort,source_signal,signal_id,origin_signal_id,pair_id,instrument_id,stock_code,market,signal_date,current_relation_candidate_count,current_join_status,primary_reason,signal_date_valid_relation_count,signal_date_valid_topic_count,signal_date_valid_topic_ids,signal_date_valid_topic_names,exposure_stage_set,exposure_main_rise_topic_ids,duplicate_topic_ids,current_taxonomy_candidate_topic_ids,current_taxonomy_candidate_topic_names,current_taxonomy_candidate_stage_set,current_taxonomy_candidate_main_rise_topic_ids,multiple_legitimate_topic_relations,multiple_topics_different_lifecycle_stages,multiple_topics_same_lifecycle_stage,multiple_main_rise_exposures,missing_no_topic_relation,invalid_or_unavailable_lifecycle_evidence,relation_data_quality_ambiguity,other_actual_cause,exposure_has_valid_five_stage,exposure_eligible_research_observation,current_unique_join_would_retain,event_dedup_key,exposure_detail_compact,current_taxonomy_candidate_detail_compact
A2,A2,cdba9ab796bd7bf8749a8936b45e809bc3a3d0fd46d7048207e2a52eb2dd1d33,cdba9ab796bd7bf8749a8936b45e809bc3a3d0fd46d7048207e2a52eb2dd1d33,,f52dbaf7-ab04-4378-aa3e-5ee5c0229182,3015,TPE,2024-11-13,2,AMBIGUOUS_TOPIC_MATCH,MULTIPLE_LEGITIMATE_TOPIC_RELATIONS,0,0,,,,,,26faa0dd-c3d6-4e33-bf5a-0e4ba9ccb931;558380c3-554b-420c-bfb9-925a3d2e1004,AI電力基建;BBU,,,True,False,False,False,False,True,False,False,False,NO,NO,A2|cdba9ab796bd7bf8749a8936b45e809bc3a3d0fd46d7048207e2a52eb2dd1d33,,26faa0dd-c3d6-4e33-bf5a-0e4ba9ccb931|AI電力基建|NO_LIFECYCLE_ROW|UNAVAILABLE_OR_INVALID|NOT_SIGNAL_DATE_VALID;558380c3-554b-420c-bfb9-925a3d2e1004|BBU|NO_LIFECYCLE_ROW|UNAVAILABLE_OR_INVALID|NOT_SIGNAL_DATE_VALID
A2,A2,abfe2471a38b0c46c46ed08703593615a12e6381dda32aa51049b06cd204258b,abfe2471a38b0c46c46ed08703593615a12e6381dda32aa51049b06cd204258b,,ee2c4035-6171-4be1-88b3-2c0bf5672a57,1504,TPE,2024-11-14,2,AMBIGUOUS_TOPIC_MATCH,MULTIPLE_LEGITIMATE_TOPIC_RELATIONS,0,0,,,,,,26faa0dd-c3d6-4e33-bf5a-0e4ba9ccb931;f1c09841-4f04-4aa8-9674-08b238604bf9,AI電力基建;重電,,,True,False,False,False,False,True,False,False,False,NO,NO,A2|abfe2471a38b0c46c46ed08703593615a12e6381dda32aa51049b06cd204258b,,26faa0dd-c3d6-4e33-bf5a-0e4ba9ccb931|AI電力基建|NO_LIFECYCLE_ROW|UNAVAILABLE_OR_INVALID|NOT_SIGNAL_DATE_VALID;f1c09841-4f04-4aa8-9674-08b238604bf9|重電|NO_LIFECYCLE_ROW|UNAVAILABLE_OR_INVALID|NOT_SIGNAL_DATE_VALID
A2,A2,32c1da0e2fa609c671648a63a299b744274137b897e0dd12729ef563b23c2f11,32c1da0e2fa609c671648a63a299b744274137b897e0dd12729ef563b23c2f11,,fee85b28-d0a5-452e-9c25-a46d65d9c19e,6175,TWO,2024-11-14,2,AMBIGUOUS_TOPIC_MATCH,MULTIPLE_LEGITIMATE_TOPIC_RELATIONS,0,0,,,,,,4553967f-a855-42dc-8170-b8706c2c20cf;8cd1db67-2825-4ce0-8d61-ae54ac157bb2,固態電容;鋁電容,,,True,False,False,False,False,True,False,False,False,NO,NO,A2|32c1da0e2fa609c671648a63a299b744274137b897e0dd12729ef563b23c2f11,,4553967f-a855-42dc-8170-b8706c2c20cf|固態電容|NO_LIFECYCLE_ROW|UNAVAILABLE_OR_INVALID|NOT_SIGNAL_DATE_VALID;8cd1db67-2825-4ce0-8d61-ae54ac157bb2|鋁電容|NO_LIFECYCLE_ROW|UNAVAILABLE_OR_INVALID|NOT_SIGNAL_DATE_VALID
A2,A2,a626ee367345a634159b876a177c77868126ca5f10d857f7f08a940db0e3680b,a626ee367345a634159b876a177c77868126ca5f10d857f7f08a940db0e3680b,,f9c116d4-86a9-4fd5-89f9-31dff21ec167,8104,TPE,2024-11-15,3,AMBIGUOUS_TOPIC_MATCH,MULTIPLE_LEGITIMATE_TOPIC_RELATIONS,0,0,,,,,,26faa0dd-c3d6-4e33-bf5a-0e4ba9ccb931;558380c3-554b-420c-bfb9-925a3d2e1004;f6419395-741d-4947-a548-4603a7b59b4f,AI電力基建;BBU;儲能,,,True,False,False,False,False,True,False,False,False,NO,NO,A2|a626ee367345a634159b876a177c77868126ca5f10d857f7f08a940db0e3680b,,26faa0dd-c3d6-4e33-bf5a-0e4ba9ccb931|AI電力基建|NO_LIFECYCLE_ROW|UNAVAILABLE_OR_INVALID|NOT_SIGNAL_DATE_VALID;558380c3-554b-420c-bfb9-925a3d2e1004|BBU|NO_LIFECYCLE_ROW|UNAVAILABLE_OR_INVALID|NOT_SIGNAL_DATE_VALID;f6419395-741d-4947-a548-4603a7b59b4f|儲能|NO_LIFECYCLE_ROW|UNAVAILABLE_OR_INVALID|NOT_SIGNAL_DATE_VALID
A2,A2,7072b92c677ff520718f61941a438927db48b9cbee488f25b7f47f2586c9ba05,7072b92c677ff520718f61941a438927db48b9cbee488f25b7f47f2586c9ba05,,712bf9cb-4eca-4c67-bf47-28690d891b0d,3211,TWO,2024-11-20,2,AMBIGUOUS_TOPIC_MATCH,MULTIPLE_LEGITIMATE_TOPIC_RELATIONS,0,0,,,,,,558380c3-554b-420c-bfb9-925a3d2e1004;f6419395-741d-4947-a548-4603a7b59b4f,BBU;儲能,,,True,False,False,False,False,True,False,False,False,NO,NO,A2|7072b92c677ff520718f61941a438927db48b9cbee488f25b7f47f2586c9ba05,,558380c3-554b-420c-bfb9-925a3d2e1004|BBU|NO_LIFECYCLE_ROW|UNAVAILABLE_OR_INVALID|NOT_SIGNAL_DATE_VALID;f6419395-741d-4947-a548-4603a7b59b4f|儲能|NO_LIFECYCLE_ROW|UNAVAILABLE_OR_INVALID|NOT_SIGNAL_DATE_VALID
A2,A2,89642671610d20970339537179003124e1aa5ffe49bf4ee473a17348da2a6d1e,89642671610d20970339537179003124e1aa5ffe49bf4ee473a17348da2a6d1e,,d5e2af0a-5f1d-496d-8b50-23b9cfb50981,8038,TWO,2024-11-20,3,AMBIGUOUS_TOPIC_MATCH,MULTIPLE_LEGITIMATE_TOPIC_RELATIONS,0,0,,,,,,26faa0dd-c3d6-4e33-bf5a-0e4ba9ccb931;558380c3-554b-420c-bfb9-925a3d2e1004;f6419395-741d-4947-a548-4603a7b59b4f,AI電力基建;BBU;儲能,,,True,False,False,False,False,True,False,False,False,NO,NO,A2|89642671610d20970339537179003124e1aa5ffe49bf4ee473a17348da2a6d1e,,26faa0dd-c3d6-4e33-bf5a-0e4ba9ccb931|AI電力基建|NO_LIFECYCLE_ROW|UNAVAILABLE_OR_INVALID|NOT_SIGNAL_DATE_VALID;558380c3-554b-420c-bfb9-925a3d2e1004|BBU|NO_LIFECYCLE_ROW|UNAVAILABLE_OR_INVALID|NOT_SIGNAL_DATE_VALID;f6419395-741d-4947-a548-4603a7b59b4f|儲能|NO_LIFECYCLE_ROW|UNAVAILABLE_OR_INVALID|NOT_SIGNAL_DATE_VALID
A2,A2,cc9d5dec4f24ed47477584f29a013a6b8986fa2eab845d73f4be9b1fab748dd6,cc9d5dec4f24ed47477584f29a013a6b8986fa2eab845d73f4be9b1fab748dd6,,3f3ebb32-9a86-4b6f-a6ef-43646f7fc2ad,4931,TWO,2024-11-21,3,AMBIGUOUS_TOPIC_MATCH,MULTIPLE_LEGITIMATE_TOPIC_RELATIONS,0,0,,,,,,26faa0dd-c3d6-4e33-bf5a-0e4ba9ccb931;558380c3-554b-420c-bfb9-925a3d2e1004;f6419395-741d-4947-a548-4603a7b59b4f,AI電力基建;BBU;儲能,,,True,False,False,False,False,True,False,False,False,NO,NO,A2|cc9d5dec4f24ed47477584f29a013a6b8986fa2eab845d73f4be9b1fab748dd6,,26faa0dd-c3d6-4e33-bf5a-0e4ba9ccb931|AI電力基建|NO_LIFECYCLE_ROW|UNAVAILABLE_OR_INVALID|NOT_SIGNAL_DATE_VALID;558380c3-554b-420c-bfb9-925a3d2e1004|BBU|NO_LIFECYCLE_ROW|UNAVAILABLE_OR_INVALID|NOT_SIGNAL_DATE_VALID;f6419395-741d-4947-a548-4603a7b59b4f|儲能|NO_LIFECYCLE_ROW|UNAVAILABLE_OR_INVALID|NOT_SIGNAL_DATE_VALID
A2,A2,a41359f0e4a30d5504d89d8d1806e8b486a15007e7cb2cd56655debc60166c11,a41359f0e4a30d5504d89d8d1806e8b486a15007e7cb2cd56655debc60166c11,,5bfff16d-d0e8-4c4e-9fe6-9fadd57524db,3597,TWO,2024-11-21,2,AMBIGUOUS_TOPIC_MATCH,MULTIPLE_LEGITIMATE_TOPIC_RELATIONS,0,0,,,,,,8132adbf-8bdb-4116-bd4b-23a9f36c95a8;f6419395-741d-4947-a548-4603a7b59b4f,一般連接器;儲能,,,True,False,False,False,False,True,False,False,False,NO,NO,A2|a41359f0e4a30d5504d89d8d1806e8b486a15007e7cb2cd56655debc60166c11,,8132adbf-8bdb-4116-bd4b-23a9f36c95a8|一般連接器|NO_LIFECYCLE_ROW|UNAVAILABLE_OR_INVALID|NOT_SIGNAL_DATE_VALID;f6419395-741d-4947-a548-4603a7b59b4f|儲能|NO_LIFECYCLE_ROW|UNAVAILABLE_OR_INVALID|NOT_SIGNAL_DATE_VALID
A2,A2,6e756968e11e10172db68bc0cf5a18c2d30a10b86b179750f163ab5b49fe86d5,6e756968e11e10172db68bc0cf5a18c2d30a10b86b179750f163ab5b49fe86d5,,1129492d-f689-49d6-bb29-89e969c004f8,5439,TWO,2024-11-22,2,AMBIGUOUS_TOPIC_MATCH,MULTIPLE_LEGITIMATE_TOPIC_RELATIONS,0,0,,,,,,bd5e198e-d85e-4d8d-a688-f32663d59941;f2ad60ed-20aa-4055-aff0-601eea1c7055,AI PCB;ASIC,,,True,False,False,False,False,True,False,False,False,NO,NO,A2|6e756968e11e10172db68bc0cf5a18c2d30a10b86b179750f163ab5b49fe86d5,,bd5e198e-d85e-4d8d-a688-f32663d59941|ASIC|NO_LIFECYCLE_ROW|UNAVAILABLE_OR_INVALID|NOT_SIGNAL_DATE_VALID;f2ad60ed-20aa-4055-aff0-601eea1c7055|AI PCB|NO_LIFECYCLE_ROW|UNAVAILABLE_OR_INVALID|NOT_SIGNAL_DATE_VALID
A2,A2,85583fd19c313e8ecab396b9e55f57382033052a5515c3ab0620fe72ca3c868f,85583fd19c313e8ecab396b9e55f57382033052a5515c3ab0620fe72ca3c868f,,7f68e890-13f9-48f1-ade1-7ddfd9307615,1815,TWO,2024-11-22,3,AMBIGUOUS_TOPIC_MATCH,MULTIPLE_LEGITIMATE_TOPIC_RELATIONS,0,0,,,,,,3ef50eff-334f-4079-abe4-3daeb5f53de2;9bef33e9-4853-4a6d-9ded-477f69a0caf5;f2ad60ed-20aa-4055-aff0-601eea1c7055,AI PCB;CCL;玻纖布,,,True,False,False,False,False,True,False,False,False,NO,NO,A2|85583fd19c313e8ecab396b9e55f57382033052a5515c3ab0620fe72ca3c868f,,3ef50eff-334f-4079-abe4-3daeb5f53de2|CCL|NO_LIFECYCLE_ROW|UNAVAILABLE_OR_INVALID|NOT_SIGNAL_DATE_VALID;9bef33e9-4853-4a6d-9ded-477f69a0caf5|玻纖布|NO_LIFECYCLE_ROW|UNAVAILABLE_OR_INVALID|NOT_SIGNAL_DATE_VALID;f2ad60ed-20aa-4055-aff0-601eea1c7055|AI PCB|NO_LIFECYCLE_ROW|UNAVAILABLE_OR_INVALID|NOT_SIGNAL_DATE_VALID
