surface,period,market,event_count,instrument_count,active_date_count,evidence_available,diagnostic_only
A1,2024_PARTIAL,TPE,564,168,36,True,True
A1,2024_PARTIAL,TWO,226,82,36,True,True
A1,2025,TPE,6305,364,237,True,True
A1,2025,TWO,3182,228,237,True,True
A1,2026_THROUGH_CANONICAL_END,TPE,2883,360,147,True,True
A1,2026_THROUGH_CANONICAL_END,TWO,1397,227,135,True,True
A2,2024_PARTIAL,TPE,154,124,33,True,True
A2,2024_PARTIAL,TWO,98,82,34,True,True
A2,2025,TPE,1748,362,225,True,True
A2,2025,TWO,1055,229,216,True,True
A2,2026_THROUGH_CANONICAL_END,TPE,1371,362,141,True,True
A2,2026_THROUGH_CANONICAL_END,TWO,851,224,126,True,True
A2_GT_2_TO_3PCT,2024_PARTIAL,TPE,25,24,15,True,True
A2_GT_2_TO_3PCT,2024_PARTIAL,TWO,15,15,9,True,True
A2_GT_2_TO_3PCT,2025,TPE,242,163,130,True,True
A2_GT_2_TO_3PCT,2025,TWO,149,113,96,True,True
A2_GT_2_TO_3PCT,2026_THROUGH_CANONICAL_END,TPE,170,128,83,True,True
A2_GT_2_TO_3PCT,2026_THROUGH_CANONICAL_END,TWO,111,87,68,True,True
A1_ORIGIN_A2,2024_PARTIAL,TPE,78,67,24,True,True
A1_ORIGIN_A2,2024_PARTIAL,TWO,42,36,24,True,True
A1_ORIGIN_A2,2025,TPE,1646,359,223,True,True
A1_ORIGIN_A2,2025,TWO,975,224,212,True,True
A1_ORIGIN_A2,2026_THROUGH_CANONICAL_END,TPE,1367,360,141,True,True
A1_ORIGIN_A2,2026_THROUGH_CANONICAL_END,TWO,849,224,126,True,True
DIRECT_ENTRY_A2,2024_PARTIAL,TPE,76,66,30,True,True
DIRECT_ENTRY_A2,2024_PARTIAL,TWO,56,51,30,True,True
DIRECT_ENTRY_A2,2025,TPE,102,86,51,True,True
DIRECT_ENTRY_A2,2025,TWO,80,56,48,True,True
DIRECT_ENTRY_A2,2026_THROUGH_CANONICAL_END,TPE,4,3,3,True,True
DIRECT_ENTRY_A2,2026_THROUGH_CANONICAL_END,TWO,2,2,2,True,True
