rank,feature_family,feature_family_label,feature_id,feature_definition,relative_day,relative_day_label,outcome_stratum,n_success,n_control,successful_median,control_median,absolute_median_difference,median_difference,mean_difference,standardized_mean_difference,distribution_overlap,market_stability_tpe_two,market_stability_detail,temporal_stability,outlier_dependence,outcome_strength_gradient,earliest_useful_lead_time,classification,classification_reason,human_interpretation,why_promising_not_robust,ranking_note
1,TREND_STRUCTURE,TREND_STRUCTURE,ma_alignment_bearish,Boolean state Close < MA5 < MA20 < MA60; a strict bearish moving-average ordering.,0,D0,T5_GE_3,6785,6785,0.0,0.0,0.0,0.0,0.1647752394988946,0.34518448314044226,0.8352247605011054,1.0,TPE/TWO pooled direction-consistency value from existing artifact; per-market breakdown is NOT_AVAILABLE_FROM_EXISTING_ARTIFACTS,1.0,1.2497697550193405,"h5:T3=0,T5=0,T10=0,mono=NONDECREASING; h10:T3=0,T5=0,T10=0,mono=NONDECREASING",D-20,ROBUST_DISCOVERY_SIGNAL,bounded_effect_and_cross_segment_consistency,Boolean state Close < MA5 < MA20 < MA60; a strict bearish moving-average ordering. Existing discovery evidence shows the successful group had a higher mean than matched controls at D0; this is descriptive and is not a trading rule.,,"Explicit rank was not persisted in the source artifact. This stable ordering reconstructs a review order from existing classification, absolute standardized mean difference, sample count, overlap, relative day, and source-key tie-breakers; no new search, fit, threshold, or feature was executed."
2,TREND_STRUCTURE,TREND_STRUCTURE,ma_alignment_bearish,Boolean state Close < MA5 < MA20 < MA60; a strict bearish moving-average ordering.,0,D0,T5_GE_5,6569,6569,0.0,0.0,0.0,0.0,0.13228801948546198,0.28336871317073387,0.867711980514538,1.0,TPE/TWO pooled direction-consistency value from existing artifact; per-market breakdown is NOT_AVAILABLE_FROM_EXISTING_ARTIFACTS,1.0,1.2495719992391099,"h5:T3=0,T5=0,T10=0,mono=NONDECREASING; h10:T3=0,T5=0,T10=0,mono=NONDECREASING",D-20,ROBUST_DISCOVERY_SIGNAL,bounded_effect_and_cross_segment_consistency,Boolean state Close < MA5 < MA20 < MA60; a strict bearish moving-average ordering. Existing discovery evidence shows the successful group had a higher mean than matched controls at D0; this is descriptive and is not a trading rule.,,"Explicit rank was not persisted in the source artifact. This stable ordering reconstructs a review order from existing classification, absolute standardized mean difference, sample count, overlap, relative day, and source-key tie-breakers; no new search, fit, threshold, or feature was executed."
3,TREND_STRUCTURE,TREND_STRUCTURE,ma_alignment_bearish,Boolean state Close < MA5 < MA20 < MA60; a strict bearish moving-average ordering.,-1,D-1,T5_GE_3,6785,6785,0.0,0.0,0.0,0.0,0.128960943257185,0.279161669103494,0.871039056742815,1.0,TPE/TWO pooled direction-consistency value from existing artifact; per-market breakdown is NOT_AVAILABLE_FROM_EXISTING_ARTIFACTS,1.0,1.2497697550193405,"h5:T3=0,T5=0,T10=0,mono=NONDECREASING; h10:T3=0,T5=0,T10=0,mono=NONDECREASING",D-20,ROBUST_DISCOVERY_SIGNAL,bounded_effect_and_cross_segment_consistency,Boolean state Close < MA5 < MA20 < MA60; a strict bearish moving-average ordering. Existing discovery evidence shows the successful group had a higher mean than matched controls at D-1; this is descriptive and is not a trading rule.,,"Explicit rank was not persisted in the source artifact. This stable ordering reconstructs a review order from existing classification, absolute standardized mean difference, sample count, overlap, relative day, and source-key tie-breakers; no new search, fit, threshold, or feature was executed."
4,TREND_STRUCTURE,TREND_STRUCTURE,ma_alignment_bearish,Boolean state Close < MA5 < MA20 < MA60; a strict bearish moving-average ordering.,0,D0,T10_GE_3,6306,6306,0.0,0.0,0.0,0.0,0.13003488740881697,0.2738372772991788,0.869965112591183,1.0,TPE/TWO pooled direction-consistency value from existing artifact; per-market breakdown is NOT_AVAILABLE_FROM_EXISTING_ARTIFACTS,1.0,1.2497027348394771,"h5:T3=0,T5=0,T10=0,mono=NONDECREASING; h10:T3=0,T5=0,T10=0,mono=NONDECREASING",D-20,ROBUST_DISCOVERY_SIGNAL,bounded_effect_and_cross_segment_consistency,Boolean state Close < MA5 < MA20 < MA60; a strict bearish moving-average ordering. Existing discovery evidence shows the successful group had a higher mean than matched controls at D0; this is descriptive and is not a trading rule.,,"Explicit rank was not persisted in the source artifact. This stable ordering reconstructs a review order from existing classification, absolute standardized mean difference, sample count, overlap, relative day, and source-key tie-breakers; no new search, fit, threshold, or feature was executed."
5,VOLUME_PARTICIPATION,VOLUME_PARTICIPATION,volume_contraction_state,Boolean state VOLUME_RATIO_20 < 1; current participation below its 20-session baseline.,-3,D-3,T5_GE_3,6785,6785,1.0,1.0,0.0,0.0,0.11156963890935889,0.24810421788609943,0.8884303610906411,1.0,TPE/TWO pooled direction-consistency value from existing artifact; per-market breakdown is NOT_AVAILABLE_FROM_EXISTING_ARTIFACTS,1.0,1.2497697550193405,"h5:T3=1,T5=1,T10=1,mono=NONDECREASING; h10:T3=1,T5=1,T10=1,mono=NONDECREASING",D-5,ROBUST_DISCOVERY_SIGNAL,bounded_effect_and_cross_segment_consistency,Boolean state VOLUME_RATIO_20 < 1; current participation below its 20-session baseline. Existing discovery evidence shows the successful group had a higher mean than matched controls at D-3; this is descriptive and is not a trading rule.,,"Explicit rank was not persisted in the source artifact. This stable ordering reconstructs a review order from existing classification, absolute standardized mean difference, sample count, overlap, relative day, and source-key tie-breakers; no new search, fit, threshold, or feature was executed."
6,TREND_STRUCTURE,TREND_STRUCTURE,ma_alignment_bearish,Boolean state Close < MA5 < MA20 < MA60; a strict bearish moving-average ordering.,-1,D-1,T5_GE_5,6569,6569,0.0,0.0,0.0,0.0,0.09955853250114172,0.22315946991026434,0.9004414674988582,1.0,TPE/TWO pooled direction-consistency value from existing artifact; per-market breakdown is NOT_AVAILABLE_FROM_EXISTING_ARTIFACTS,1.0,1.2495719992391103,"h5:T3=0,T5=0,T10=0,mono=NONDECREASING; h10:T3=0,T5=0,T10=0,mono=NONDECREASING",D-20,ROBUST_DISCOVERY_SIGNAL,bounded_effect_and_cross_segment_consistency,Boolean state Close < MA5 < MA20 < MA60; a strict bearish moving-average ordering. Existing discovery evidence shows the successful group had a higher mean than matched controls at D-1; this is descriptive and is not a trading rule.,,"Explicit rank was not persisted in the source artifact. This stable ordering reconstructs a review order from existing classification, absolute standardized mean difference, sample count, overlap, relative day, and source-key tie-breakers; no new search, fit, threshold, or feature was executed."
7,VOLUME_PARTICIPATION,VOLUME_PARTICIPATION,volume_contraction_state,Boolean state VOLUME_RATIO_20 < 1; current participation below its 20-session baseline.,-1,D-1,T5_GE_3,6785,6785,1.0,1.0,0.0,0.0,0.09771554900515844,0.22066235071609566,0.9022844509948416,1.0,TPE/TWO pooled direction-consistency value from existing artifact; per-market breakdown is NOT_AVAILABLE_FROM_EXISTING_ARTIFACTS,1.0,1.2497697550193398,"h5:T3=1,T5=1,T10=1,mono=NONDECREASING; h10:T3=1,T5=1,T10=1,mono=NONDECREASING",D-5,ROBUST_DISCOVERY_SIGNAL,bounded_effect_and_cross_segment_consistency,Boolean state VOLUME_RATIO_20 < 1; current participation below its 20-session baseline. Existing discovery evidence shows the successful group had a higher mean than matched controls at D-1; this is descriptive and is not a trading rule.,,"Explicit rank was not persisted in the source artifact. This stable ordering reconstructs a review order from existing classification, absolute standardized mean difference, sample count, overlap, relative day, and source-key tie-breakers; no new search, fit, threshold, or feature was executed."
8,VOLUME_PARTICIPATION,VOLUME_PARTICIPATION,volume_contraction_state,Boolean state VOLUME_RATIO_20 < 1; current participation below its 20-session baseline.,-1,D-1,T5_GE_5,6569,6569,1.0,1.0,0.0,0.0,0.09697061957680009,0.21771278377617562,0.9030293804231999,1.0,TPE/TWO pooled direction-consistency value from existing artifact; per-market breakdown is NOT_AVAILABLE_FROM_EXISTING_ARTIFACTS,1.0,1.249571999239111,"h5:T3=1,T5=1,T10=1,mono=NONDECREASING; h10:T3=1,T5=1,T10=1,mono=NONDECREASING",D-5,ROBUST_DISCOVERY_SIGNAL,bounded_effect_and_cross_segment_consistency,Boolean state VOLUME_RATIO_20 < 1; current participation below its 20-session baseline. Existing discovery evidence shows the successful group had a higher mean than matched controls at D-1; this is descriptive and is not a trading rule.,,"Explicit rank was not persisted in the source artifact. This stable ordering reconstructs a review order from existing classification, absolute standardized mean difference, sample count, overlap, relative day, and source-key tie-breakers; no new search, fit, threshold, or feature was executed."
9,TREND_STRUCTURE,TREND_STRUCTURE,ma_alignment_bearish,Boolean state Close < MA5 < MA20 < MA60; a strict bearish moving-average ordering.,0,D0,T10_GE_5,6083,6083,0.0,0.0,0.0,0.0,0.10175900049317771,0.21676066614545242,0.8982409995068223,1.0,TPE/TWO pooled direction-consistency value from existing artifact; per-market breakdown is NOT_AVAILABLE_FROM_EXISTING_ARTIFACTS,1.0,1.2498459009656873,"h5:T3=0,T5=0,T10=0,mono=NONDECREASING; h10:T3=0,T5=0,T10=0,mono=NONDECREASING",D-20,ROBUST_DISCOVERY_SIGNAL,bounded_effect_and_cross_segment_consistency,Boolean state Close < MA5 < MA20 < MA60; a strict bearish moving-average ordering. Existing discovery evidence shows the successful group had a higher mean than matched controls at D0; this is descriptive and is not a trading rule.,,"Explicit rank was not persisted in the source artifact. This stable ordering reconstructs a review order from existing classification, absolute standardized mean difference, sample count, overlap, relative day, and source-key tie-breakers; no new search, fit, threshold, or feature was executed."
10,VOLUME_PARTICIPATION,VOLUME_PARTICIPATION,volume_contraction_state,Boolean state VOLUME_RATIO_20 < 1; current participation below its 20-session baseline.,-3,D-3,T5_GE_5,6569,6569,1.0,1.0,0.0,0.0,0.09316486527629775,0.20763268259618683,0.9068351347237023,1.0,TPE/TWO pooled direction-consistency value from existing artifact; per-market breakdown is NOT_AVAILABLE_FROM_EXISTING_ARTIFACTS,1.0,1.24957199923911,"h5:T3=1,T5=1,T10=1,mono=NONDECREASING; h10:T3=1,T5=1,T10=1,mono=NONDECREASING",D-5,ROBUST_DISCOVERY_SIGNAL,bounded_effect_and_cross_segment_consistency,Boolean state VOLUME_RATIO_20 < 1; current participation below its 20-session baseline. Existing discovery evidence shows the successful group had a higher mean than matched controls at D-3; this is descriptive and is not a trading rule.,,"Explicit rank was not persisted in the source artifact. This stable ordering reconstructs a review order from existing classification, absolute standardized mean difference, sample count, overlap, relative day, and source-key tie-breakers; no new search, fit, threshold, or feature was executed."
