rank,feature_family,feature_family_label,feature_id,feature_definition,relative_day,relative_day_label,outcome_stratum,n_success,n_control,successful_median,control_median,absolute_median_difference,median_difference,mean_difference,standardized_mean_difference,distribution_overlap,market_stability_tpe_two,market_stability_detail,temporal_stability,outlier_dependence,outcome_strength_gradient,earliest_useful_lead_time,classification,classification_reason,human_interpretation,why_promising_not_robust,ranking_note
1,VOLUME_PARTICIPATION,VOLUME_PARTICIPATION,volume_contraction_state,Boolean state VOLUME_RATIO_20 < 1; current participation below its 20-session baseline.,-3,D-3,T10_GE_3,6306,6306,1.0,1.0,0.0,0.0,0.09086584205518555,0.19961315466874124,0.9091341579448144,1.0,TPE/TWO pooled direction-consistency value from existing artifact; per-market breakdown is NOT_AVAILABLE_FROM_EXISTING_ARTIFACTS,1.0,1.2497027348394765,"h5:T3=1,T5=1,T10=1,mono=NONDECREASING; h10:T3=1,T5=1,T10=1,mono=NONDECREASING",D-5,PROMISING_DISCOVERY_SIGNAL,bounded_effect_requires_confirmatory_research,Boolean state VOLUME_RATIO_20 < 1; current participation below its 20-session baseline. Existing discovery evidence shows the successful group had a higher mean than matched controls at D-3; this is descriptive and is not a trading rule.,existing classification reason: bounded_effect_requires_confirmatory_research; higher distribution overlap; weaker standardized effect size; confirmatory research remained out of scope,"Explicit rank was not persisted in the source artifact. This stable ordering reconstructs a review order from existing classification, absolute standardized mean difference, sample count, overlap, relative day, and source-key tie-breakers; no new search, fit, threshold, or feature was executed."
2,TREND_STRUCTURE,TREND_STRUCTURE,ma_alignment_bearish,Boolean state Close < MA5 < MA20 < MA60; a strict bearish moving-average ordering.,-1,D-1,T10_GE_3,6306,6306,0.0,0.0,0.0,0.0,0.08832857595940374,0.1933947279923474,0.9116714240405963,1.0,TPE/TWO pooled direction-consistency value from existing artifact; per-market breakdown is NOT_AVAILABLE_FROM_EXISTING_ARTIFACTS,1.0,1.2497027348394767,"h5:T3=0,T5=0,T10=0,mono=NONDECREASING; h10:T3=0,T5=0,T10=0,mono=NONDECREASING",D-20,PROMISING_DISCOVERY_SIGNAL,bounded_effect_requires_confirmatory_research,Boolean state Close < MA5 < MA20 < MA60; a strict bearish moving-average ordering. Existing discovery evidence shows the successful group had a higher mean than matched controls at D-1; this is descriptive and is not a trading rule.,existing classification reason: bounded_effect_requires_confirmatory_research; higher distribution overlap; weaker standardized effect size; confirmatory research remained out of scope,"Explicit rank was not persisted in the source artifact. This stable ordering reconstructs a review order from existing classification, absolute standardized mean difference, sample count, overlap, relative day, and source-key tie-breakers; no new search, fit, threshold, or feature was executed."
3,TREND_STRUCTURE,TREND_STRUCTURE,ma_alignment_bearish,Boolean state Close < MA5 < MA20 < MA60; a strict bearish moving-average ordering.,-3,D-3,T5_GE_3,6785,6785,0.0,0.0,0.0,0.0,0.08224023581429626,0.18636537546041892,0.9177597641857037,1.0,TPE/TWO pooled direction-consistency value from existing artifact; per-market breakdown is NOT_AVAILABLE_FROM_EXISTING_ARTIFACTS,1.0,1.2497697550193398,"h5:T3=0,T5=0,T10=0,mono=NONDECREASING; h10:T3=0,T5=0,T10=0,mono=NONDECREASING",D-20,PROMISING_DISCOVERY_SIGNAL,bounded_effect_requires_confirmatory_research,Boolean state Close < MA5 < MA20 < MA60; a strict bearish moving-average ordering. Existing discovery evidence shows the successful group had a higher mean than matched controls at D-3; this is descriptive and is not a trading rule.,existing classification reason: bounded_effect_requires_confirmatory_research; higher distribution overlap; weaker standardized effect size; confirmatory research remained out of scope,"Explicit rank was not persisted in the source artifact. This stable ordering reconstructs a review order from existing classification, absolute standardized mean difference, sample count, overlap, relative day, and source-key tie-breakers; no new search, fit, threshold, or feature was executed."
4,VOLATILITY_COMPRESSION,VOLATILITY_COMPRESSION,rolling_range_pct_20,(rolling 20-session high - rolling 20-session low) / current close.,0,D0,T5_GE_5,6569,6569,0.19230769230769232,0.1782178217821783,0.014089870525514026,0.014089870525514026,0.02800265178728939,0.18535789546811285,0.9369767087836808,1.0,TPE/TWO pooled direction-consistency value from existing artifact; per-market breakdown is NOT_AVAILABLE_FROM_EXISTING_ARTIFACTS,1.0,0.7696034456071429,"h5:T3=0.1837,T5=0.1923,T10=0.2287,mono=NONDECREASING; h10:T3=0.1874,T5=0.1949,T10=0.2235,mono=NONDECREASING",D-20,PROMISING_DISCOVERY_SIGNAL,bounded_effect_requires_confirmatory_research,(rolling 20-session high - rolling 20-session low) / current close. Existing discovery evidence shows the successful group had a higher mean than matched controls at D0; this is descriptive and is not a trading rule.,existing classification reason: bounded_effect_requires_confirmatory_research; higher distribution overlap; weaker standardized effect size; confirmatory research remained out of scope,"Explicit rank was not persisted in the source artifact. This stable ordering reconstructs a review order from existing classification, absolute standardized mean difference, sample count, overlap, relative day, and source-key tie-breakers; no new search, fit, threshold, or feature was executed."
5,VOLUME_PARTICIPATION,VOLUME_PARTICIPATION,volume_contraction_state,Boolean state VOLUME_RATIO_20 < 1; current participation below its 20-session baseline.,-3,D-3,T5_GE_10,4815,4815,1.0,1.0,0.0,0.0,0.0822429906542057,0.18098213722118375,0.9177570093457943,1.0,TPE/TWO pooled direction-consistency value from existing artifact; per-market breakdown is NOT_AVAILABLE_FROM_EXISTING_ARTIFACTS,1.0,1.249675577472098,"h5:T3=1,T5=1,T10=1,mono=NONDECREASING; h10:T3=1,T5=1,T10=1,mono=NONDECREASING",D-5,PROMISING_DISCOVERY_SIGNAL,bounded_effect_requires_confirmatory_research,Boolean state VOLUME_RATIO_20 < 1; current participation below its 20-session baseline. Existing discovery evidence shows the successful group had a higher mean than matched controls at D-3; this is descriptive and is not a trading rule.,existing classification reason: bounded_effect_requires_confirmatory_research; higher distribution overlap; weaker standardized effect size; confirmatory research remained out of scope,"Explicit rank was not persisted in the source artifact. This stable ordering reconstructs a review order from existing classification, absolute standardized mean difference, sample count, overlap, relative day, and source-key tie-breakers; no new search, fit, threshold, or feature was executed."
6,VOLATILITY_COMPRESSION,VOLATILITY_COMPRESSION,rolling_range_pct_20,(rolling 20-session high - rolling 20-session low) / current close.,0,D0,T5_GE_10,4815,4815,0.22871452420701174,0.21588089330024804,0.012833630906763704,0.012833630906763704,0.030772386861054768,0.17924278143824415,0.9424714434060228,1.0,TPE/TWO pooled direction-consistency value from existing artifact; per-market breakdown is NOT_AVAILABLE_FROM_EXISTING_ARTIFACTS,1.0,0.6919690876754426,"h5:T3=0.1837,T5=0.1923,T10=0.2287,mono=NONDECREASING; h10:T3=0.1874,T5=0.1949,T10=0.2235,mono=NONDECREASING",D-20,PROMISING_DISCOVERY_SIGNAL,bounded_effect_requires_confirmatory_research,(rolling 20-session high - rolling 20-session low) / current close. Existing discovery evidence shows the successful group had a higher mean than matched controls at D0; this is descriptive and is not a trading rule.,existing classification reason: bounded_effect_requires_confirmatory_research; higher distribution overlap; weaker standardized effect size; confirmatory research remained out of scope,"Explicit rank was not persisted in the source artifact. This stable ordering reconstructs a review order from existing classification, absolute standardized mean difference, sample count, overlap, relative day, and source-key tie-breakers; no new search, fit, threshold, or feature was executed."
7,VOLATILITY_COMPRESSION,VOLATILITY_COMPRESSION,rolling_range_pct_20,(rolling 20-session high - rolling 20-session low) / current close.,-10,D-10,T5_GE_10,4815,4815,0.2039691289966924,0.1826381059751973,0.021331023021495088,0.021331023021495088,0.02162930551365355,0.17765901596209413,0.9235721703011424,1.0,TPE/TWO pooled direction-consistency value from existing artifact; per-market breakdown is NOT_AVAILABLE_FROM_EXISTING_ARTIFACTS,1.0,1.0104563721571023,"h5:T3=0.1655,T5=0.176,T10=0.204,mono=NONDECREASING; h10:T3=0.1686,T5=0.1753,T10=0.1928,mono=NONDECREASING",D-20,PROMISING_DISCOVERY_SIGNAL,bounded_effect_requires_confirmatory_research,(rolling 20-session high - rolling 20-session low) / current close. Existing discovery evidence shows the successful group had a higher mean than matched controls at D-10; this is descriptive and is not a trading rule.,existing classification reason: bounded_effect_requires_confirmatory_research; higher distribution overlap; weaker standardized effect size; confirmatory research remained out of scope,"Explicit rank was not persisted in the source artifact. This stable ordering reconstructs a review order from existing classification, absolute standardized mean difference, sample count, overlap, relative day, and source-key tie-breakers; no new search, fit, threshold, or feature was executed."
8,VOLATILITY_COMPRESSION,VOLATILITY_COMPRESSION,realized_vol_20,Population standard deviation of daily close returns over the fixed 20-session window.,-20,D-20,T5_GE_10,4815,4815,0.028790867795656847,0.025591480973867667,0.0031993868217891804,0.0031993868217891804,0.002591946183689388,0.17690692254712972,0.9163032191069574,1.0,TPE/TWO pooled direction-consistency value from existing artifact; per-market breakdown is NOT_AVAILABLE_FROM_EXISTING_ARTIFACTS,1.0,1.1330909973530687,"h5:T3=0.02358,T5=0.02513,T10=0.02879,mono=NONDECREASING; h10:T3=0.02399,T5=0.02488,T10=0.02725,mono=NONDECREASING",D-20,PROMISING_DISCOVERY_SIGNAL,bounded_effect_requires_confirmatory_research,Population standard deviation of daily close returns over the fixed 20-session window. Existing discovery evidence shows the successful group had a higher mean than matched controls at D-20; this is descriptive and is not a trading rule.,existing classification reason: bounded_effect_requires_confirmatory_research; higher distribution overlap; weaker standardized effect size; confirmatory research remained out of scope,"Explicit rank was not persisted in the source artifact. This stable ordering reconstructs a review order from existing classification, absolute standardized mean difference, sample count, overlap, relative day, and source-key tie-breakers; no new search, fit, threshold, or feature was executed."
9,VOLUME_PARTICIPATION,VOLUME_PARTICIPATION,volume_contraction_state,Boolean state VOLUME_RATIO_20 < 1; current participation below its 20-session baseline.,-5,D-5,T5_GE_3,6785,6785,1.0,1.0,0.0,0.0,0.08017686072218122,0.1759211970399981,0.9198231392778187,1.0,TPE/TWO pooled direction-consistency value from existing artifact; per-market breakdown is NOT_AVAILABLE_FROM_EXISTING_ARTIFACTS,1.0,1.2497697550193427,"h5:T3=1,T5=1,T10=1,mono=NONDECREASING; h10:T3=1,T5=1,T10=1,mono=NONDECREASING",D-5,PROMISING_DISCOVERY_SIGNAL,bounded_effect_requires_confirmatory_research,Boolean state VOLUME_RATIO_20 < 1; current participation below its 20-session baseline. Existing discovery evidence shows the successful group had a higher mean than matched controls at D-5; this is descriptive and is not a trading rule.,existing classification reason: bounded_effect_requires_confirmatory_research; higher distribution overlap; weaker standardized effect size; confirmatory research remained out of scope,"Explicit rank was not persisted in the source artifact. This stable ordering reconstructs a review order from existing classification, absolute standardized mean difference, sample count, overlap, relative day, and source-key tie-breakers; no new search, fit, threshold, or feature was executed."
10,TREND_STRUCTURE,TREND_STRUCTURE,ma_alignment_bearish,Boolean state Close < MA5 < MA20 < MA60; a strict bearish moving-average ordering.,0,D0,T5_GE_10,4815,4815,0.0,0.0,0.0,0.0,0.07622014537902388,0.1723418799666267,0.9237798546209761,1.0,TPE/TWO pooled direction-consistency value from existing artifact; per-market breakdown is NOT_AVAILABLE_FROM_EXISTING_ARTIFACTS,1.0,1.2496755774720998,"h5:T3=0,T5=0,T10=0,mono=NONDECREASING; h10:T3=0,T5=0,T10=0,mono=NONDECREASING",D-20,PROMISING_DISCOVERY_SIGNAL,bounded_effect_requires_confirmatory_research,Boolean state Close < MA5 < MA20 < MA60; a strict bearish moving-average ordering. Existing discovery evidence shows the successful group had a higher mean than matched controls at D0; this is descriptive and is not a trading rule.,existing classification reason: bounded_effect_requires_confirmatory_research; higher distribution overlap; weaker standardized effect size; confirmatory research remained out of scope,"Explicit rank was not persisted in the source artifact. This stable ordering reconstructs a review order from existing classification, absolute standardized mean difference, sample count, overlap, relative day, and source-key tie-breakers; no new search, fit, threshold, or feature was executed."
