stratum,state_bucket,successful_episode_count,successful_rate,matched_control_count,control_rate,a1_definition_unchanged,a2_definition_unchanged,causality_claim
T5_GE_3,A1_TO_A2,905,0.13338246131171702,1356,0.19985261606484894,True,True,False
T5_GE_3,A2_WITHOUT_PRIOR_A1,475,0.07000736919675755,590,0.08695652173913043,True,True,False
T5_GE_3,A1_ONLY,1209,0.17818717759764185,1303,0.1920412675018423,True,True,False
T5_GE_3,NEITHER,4196,0.6184229918938836,3536,0.5211495946941783,True,True,False
T5_GE_5,A1_TO_A2,943,0.143553052214949,1346,0.20490181153904705,True,True,False
T5_GE_5,A2_WITHOUT_PRIOR_A1,515,0.07839853859034861,590,0.08981580149185568,True,True,False
T5_GE_5,A1_ONLY,1196,0.18206728573603287,1254,0.19089663571319834,True,True,False
T5_GE_5,NEITHER,3915,0.5959811234586695,3379,0.5143857512558989,True,True,False
T5_GE_10,A1_TO_A2,828,0.17196261682242991,1115,0.23156801661474558,True,True,False
T5_GE_10,A2_WITHOUT_PRIOR_A1,492,0.10218068535825545,561,0.11651090342679128,True,True,False
T5_GE_10,A1_ONLY,856,0.17777777777777778,818,0.16988577362409138,True,True,False
T5_GE_10,NEITHER,2639,0.5480789200415369,2321,0.48203530633437175,True,True,False
T10_GE_3,A1_TO_A2,963,0.1527117031398668,1218,0.19314938154138916,True,True,False
T10_GE_3,A2_WITHOUT_PRIOR_A1,491,0.07786235331430384,588,0.09324452901998097,True,True,False
T10_GE_3,A1_ONLY,1125,0.17840152235965748,1146,0.18173168411037108,True,True,False
T10_GE_3,NEITHER,3727,0.5910244211861719,3354,0.5318744053282588,True,True,False
T10_GE_5,A1_TO_A2,966,0.15880322209436135,1216,0.19990136445832649,True,True,False
T10_GE_5,A2_WITHOUT_PRIOR_A1,484,0.07956600361663653,591,0.09715600854841361,True,True,False
T10_GE_5,A1_ONLY,1104,0.1814893966792701,1111,0.18264014466546113,True,True,False
T10_GE_5,NEITHER,3529,0.5801413776097321,3165,0.5203024823277987,True,True,False
T10_GE_10,A1_TO_A2,813,0.17199069177067908,1008,0.2132430717156759,True,True,False
T10_GE_10,A2_WITHOUT_PRIOR_A1,452,0.0956209012058388,503,0.10640998519145335,True,True,False
T10_GE_10,A1_ONLY,863,0.18256822508990903,832,0.17601015443198645,True,True,False
T10_GE_10,NEITHER,2599,0.5498201819335731,2384,0.5043367886608843,True,True,False
