feature_family,classification,feature_count,market_consistency_median,temporal_consistency_median,robustness_label,production_use
TREND_STRUCTURE,ROBUST_DISCOVERY_SIGNAL,6,0.0,0.0,STABLE,NO
TREND_STRUCTURE,PROMISING_DISCOVERY_SIGNAL,11,0.0,0.0,MIXED,NO
TREND_STRUCTURE,REGIME_CONFOUNDED,227,0.0,0.0,REGIME_CONFOUNDED,NO
TREND_STRUCTURE,UNSTABLE,0,0.0,0.0,UNSTABLE,NO
TREND_STRUCTURE,NO_CLEAR_SIGNAL,116,0.0,0.0,NO_CLEAR_SIGNAL,NO
MOMENTUM,ROBUST_DISCOVERY_SIGNAL,0,0.0,0.0,STABLE,NO
MOMENTUM,PROMISING_DISCOVERY_SIGNAL,0,0.0,0.0,MIXED,NO
MOMENTUM,REGIME_CONFOUNDED,197,0.0,0.0,REGIME_CONFOUNDED,NO
MOMENTUM,UNSTABLE,0,0.0,0.0,UNSTABLE,NO
MOMENTUM,NO_CLEAR_SIGNAL,91,0.0,0.0,NO_CLEAR_SIGNAL,NO
VOLUME_PARTICIPATION,ROBUST_DISCOVERY_SIGNAL,4,0.5,0.5,STABLE,NO
VOLUME_PARTICIPATION,PROMISING_DISCOVERY_SIGNAL,12,0.5,0.5,MIXED,NO
VOLUME_PARTICIPATION,REGIME_CONFOUNDED,105,0.5,0.5,REGIME_CONFOUNDED,NO
VOLUME_PARTICIPATION,UNSTABLE,0,0.5,0.5,UNSTABLE,NO
VOLUME_PARTICIPATION,NO_CLEAR_SIGNAL,95,0.5,0.5,NO_CLEAR_SIGNAL,NO
VOLATILITY_COMPRESSION,ROBUST_DISCOVERY_SIGNAL,1,1.0,0.5,STABLE,NO
VOLATILITY_COMPRESSION,PROMISING_DISCOVERY_SIGNAL,65,1.0,0.5,MIXED,NO
VOLATILITY_COMPRESSION,REGIME_CONFOUNDED,98,1.0,0.5,REGIME_CONFOUNDED,NO
VOLATILITY_COMPRESSION,UNSTABLE,0,1.0,0.5,UNSTABLE,NO
VOLATILITY_COMPRESSION,NO_CLEAR_SIGNAL,88,1.0,0.5,NO_CLEAR_SIGNAL,NO
RELATIVE_STRENGTH,ROBUST_DISCOVERY_SIGNAL,0,,,STABLE,NO
RELATIVE_STRENGTH,PROMISING_DISCOVERY_SIGNAL,0,,,MIXED,NO
RELATIVE_STRENGTH,REGIME_CONFOUNDED,0,,,REGIME_CONFOUNDED,NO
RELATIVE_STRENGTH,UNSTABLE,0,,,UNSTABLE,NO
RELATIVE_STRENGTH,NO_CLEAR_SIGNAL,72,,,NO_CLEAR_SIGNAL,NO
A_STATE_CONTEXT,ROBUST_DISCOVERY_SIGNAL,0,0.0,0.0,STABLE,NO
A_STATE_CONTEXT,PROMISING_DISCOVERY_SIGNAL,0,0.0,0.0,MIXED,NO
A_STATE_CONTEXT,REGIME_CONFOUNDED,116,0.0,0.0,REGIME_CONFOUNDED,NO
A_STATE_CONTEXT,UNSTABLE,0,0.0,0.0,UNSTABLE,NO
A_STATE_CONTEXT,NO_CLEAR_SIGNAL,64,0.0,0.0,NO_CLEAR_SIGNAL,NO
