feature_family,feature_id,relative_day,horizon,t3_median,t5_median,t10_median,monotonicity,all_outcome_derived_values_evaluation_only
TREND_STRUCTURE,close_vs_ma5,-20,5,-0.002242152466367798,-0.0024937655860349226,-0.0022327658386827,MIXED,True
TREND_STRUCTURE,close_vs_ma5,-20,10,-0.0012549689525773189,-0.0015186028853454497,-0.0013054830287205525,MIXED,True
TREND_STRUCTURE,close_vs_ma5,-10,5,0.0,0.0003328894806924622,-0.0006056935190794405,MIXED,True
TREND_STRUCTURE,close_vs_ma5,-10,10,-0.0016826104148206047,-0.0016233766233766235,-0.0012642225031605293,NONDECREASING,True
TREND_STRUCTURE,close_vs_ma5,-5,5,-0.011324041811846666,-0.009933774834437109,-0.0073131094257855665,NONDECREASING,True
TREND_STRUCTURE,close_vs_ma5,-5,10,-0.006652016979098475,-0.00621118012422357,-0.005517241379310423,NONDECREASING,True
TREND_STRUCTURE,close_vs_ma5,-3,5,-0.010314341846758392,-0.009216589861751152,-0.007328447701532274,NONDECREASING,True
TREND_STRUCTURE,close_vs_ma5,-3,10,-0.006882989183874154,-0.006704742984852324,-0.005044843049327386,NONDECREASING,True
TREND_STRUCTURE,close_vs_ma5,-1,5,-0.013828238719068377,-0.013452914798206279,-0.013545347467608907,MIXED,True
TREND_STRUCTURE,close_vs_ma5,-1,10,-0.015773168090149784,-0.015405224380442138,-0.015405224380442138,NONDECREASING,True
TREND_STRUCTURE,close_vs_ma5,0,5,-0.023713420787083696,-0.022894521668029414,-0.021942110177404404,NONDECREASING,True
TREND_STRUCTURE,close_vs_ma5,0,10,-0.027889391167056053,-0.026570648125155208,-0.02561756633119848,NONDECREASING,True
TREND_STRUCTURE,close_vs_ma10,-20,5,-0.0017953321364452678,-0.0023160520220916188,-0.0019317450096587982,MIXED,True
TREND_STRUCTURE,close_vs_ma10,-20,10,-0.0013269571309358313,-0.0007320644216690653,-0.0004018485031143887,NONDECREASING,True
TREND_STRUCTURE,close_vs_ma10,-10,5,-0.0003661662394726478,0.0006169031462060106,0.0015608740894901738,NONDECREASING,True
TREND_STRUCTURE,close_vs_ma10,-10,10,-0.002642020732863224,-0.0028490028490028223,-0.0019063180827886789,MIXED,True
TREND_STRUCTURE,close_vs_ma10,-5,5,-0.017013232514177624,-0.014794889038332136,-0.012062033314187162,NONDECREASING,True
