stratum,feature_family,feature_id,relative_day,n_success,n_control,success_mean,control_mean,success_median,control_median,median_difference,mean_difference,standardized_mean_difference,distribution_overlap,trimmed_mean_difference,outlier_dependence,market_direction_consistency,temporal_direction_consistency,classification,classification_reason,outcome_derived_feature_used
T5_GE_3,TREND_STRUCTURE,close_vs_ma5,-20,6785,6785,0.0007971759141966043,0.0004108935415424179,-0.002242152466367798,-0.0019960079840318935,-0.0002461444823359045,0.00038628237265418637,0.012348866497945097,0.96418570375829,-6.300030384937482e-05,0.16309391344081578,0.5,0.5,NO_CLEAR_SIGNAL,effect_below_predeclared_discovery_floor,False
T5_GE_3,TREND_STRUCTURE,close_vs_ma5,-10,6785,6785,0.002935394796322953,0.003172269785679216,0.0,0.0,0.0,-0.0002368749893562629,-0.0072820881294633185,0.959322033898305,0.00020121943045723842,0.8494752063275111,0.5,0.5,NO_CLEAR_SIGNAL,effect_below_predeclared_discovery_floor,False
T5_GE_3,TREND_STRUCTURE,close_vs_ma5,-5,6785,6785,-0.01553873861032279,-0.0027222737321112743,-0.011324041811846666,-0.003898635477582763,-0.007425406334263904,-0.012816464878211517,-0.46418716403477933,0.8501105379513634,-0.009490641197721833,0.7405038197277228,0.0,0.0,REGIME_CONFOUNDED,market_or_temporal_direction_is_not_consistent,False
T5_GE_3,TREND_STRUCTURE,close_vs_ma5,-3,6785,6785,-0.014205076691223726,-0.006925806065261376,-0.010314341846758392,-0.005649717514124173,-0.004664624332634219,-0.0072792706259623505,-0.24313599862382715,0.8402358142962416,-0.005491247628092073,0.754367835770099,0.0,0.0,REGIME_CONFOUNDED,market_or_temporal_direction_is_not_consistent,False
T5_GE_3,TREND_STRUCTURE,close_vs_ma5,-1,6785,6785,-0.020845212459351146,-0.008317571507600019,-0.013828238719068377,-0.0064891474602819235,-0.007339091258786454,-0.012527640951751127,-0.38717457075169337,0.8324244657332347,-0.00985750335148881,0.7868603027061466,0.0,0.0,REGIME_CONFOUNDED,market_or_temporal_direction_is_not_consistent,False
T5_GE_3,TREND_STRUCTURE,close_vs_ma5,0,6785,6785,-0.03494014263538355,-0.016217258530331437,-0.023713420787083696,-0.011714589989350464,-0.011998830797733232,-0.018722884105052115,-0.5005434786586389,0.7870302137067057,-0.014025127263978792,0.7490901073405835,0.0,0.0,REGIME_CONFOUNDED,market_or_temporal_direction_is_not_consistent,False
T5_GE_3,TREND_STRUCTURE,close_vs_ma10,-20,6785,6785,0.004018980261563703,0.0027417891708218026,-0.0017953321364452678,-0.0028181226967266973,0.0010227905602814295,0.0012771910907419005,0.025916391049030808,0.9671333824613115,0.0007482263191119333,0.5858374087759258,1.0,1.0,NO_CLEAR_SIGNAL,effect_below_predeclared_discovery_floor,False
T5_GE_3,TREND_STRUCTURE,close_vs_ma10,-10,6785,6785,0.004548013830334273,0.0053381744133701985,-0.0003661662394726478,-0.0004052411184655023,3.907487899285452e-05,-0.0007901605830359258,-0.01572590013296901,0.9655121591746496,3.831342240117122e-05,0.04848814687005116,0.0,0.5,REGIME_CONFOUNDED,market_or_temporal_direction_is_not_consistent,False
T5_GE_3,TREND_STRUCTURE,close_vs_ma10,-5,6785,6785,-0.022138326169770243,-0.002356713821479891,-0.017013232514177624,-0.005969058350590925,-0.011044174163586698,-0.019781612348290352,-0.4763153811586505,0.8465733235077375,-0.013903009891863327,0.7028249086614474,0.0,0.0,REGIME_CONFOUNDED,market_or_temporal_direction_is_not_consistent,False
T5_GE_3,TREND_STRUCTURE,close_vs_ma10,-3,6785,6785,-0.02824934925832174,-0.00999860138093911,-0.02187720536344386,-0.009427121102248089,-0.01245008426119577,-0.01825074787738263,-0.41256704572778363,0.7885040530582165,-0.014327309175002509,0.7850258669540732,0.0,0.0,REGIME_CONFOUNDED,market_or_temporal_direction_is_not_consistent,False
T5_GE_3,TREND_STRUCTURE,close_vs_ma10,-1,6785,6785,-0.039434644971978045,-0.013890018337818609,-0.029173223580680262,-0.012180877690639027,-0.016992345890041234,-0.025544626634159434,-0.5257097198070655,0.7607958732498156,-0.020791268339554476,0.8139194452641343,0.0,0.0,REGIME_CONFOUNDED,market_or_temporal_direction_is_not_consistent,False
T5_GE_3,TREND_STRUCTURE,close_vs_ma10,0,6785,6785,-0.056109010976755934,-0.024151801308522004,-0.04039167686658507,-0.018971116048538704,-0.021420560818046365,-0.03195720966823393,-0.5803326264744049,0.7647752394988945,-0.025545022211351482,0.7993508343359439,0.0,0.0,REGIME_CONFOUNDED,market_or_temporal_direction_is_not_consistent,False
T5_GE_3,TREND_STRUCTURE,close_vs_ma20,-20,6785,6785,0.009831448533715094,0.007220153774857661,-0.002105263157894737,-0.002454590083456063,0.000349326925561326,0.0026112947588574336,0.0358168977941991,0.963890935887988,0.0018028863686595687,0.6904185605796634,1.0,1.0,NO_CLEAR_SIGNAL,effect_below_predeclared_discovery_floor,False
T5_GE_3,TREND_STRUCTURE,close_vs_ma20,-10,6785,6785,0.009089964021988113,0.009092911827208975,-0.002198802031996354,-0.0023752969121140634,0.0001764948801177093,-2.947805220861882e-06,-3.958906943286706e-05,0.9691967575534264,0.00016350808547129295,55.46773725554577,0.5,0.5,NO_CLEAR_SIGNAL,effect_below_predeclared_discovery_floor,False
T5_GE_3,TREND_STRUCTURE,close_vs_ma20,-5,6785,6785,-0.02311551296235721,0.0006732584130186199,-0.020047396400435506,-0.007470651013874096,-0.01257674538656141,-0.023788771375375828,-0.3807587476161302,0.8738393515106854,-0.0166115636969626,0.6982943101532987,0.0,0.0,REGIME_CONFOUNDED,market_or_temporal_direction_is_not_consistent,False
T5_GE_3,TREND_STRUCTURE,close_vs_ma20,-3,6785,6785,-0.03352053306148226,-0.007965504057405166,-0.028637770897832756,-0.012102448634956367,-0.01653532226287639,-0.025555029004077096,-0.40171455062763056,0.8443625644804715,-0.01923944875693305,0.7528635069779632,0.0,0.0,REGIME_CONFOUNDED,market_or_temporal_direction_is_not_consistent,False
T5_GE_3,TREND_STRUCTURE,close_vs_ma20,-1,6785,6785,-0.05073927936765509,-0.014164532795593108,-0.03997994736182494,-0.016129032258064516,-0.023850915103760424,-0.036574746572061986,-0.5418881890126989,0.8063375092114958,-0.029298391086128465,0.8010552042623955,0.0,0.0,REGIME_CONFOUNDED,market_or_temporal_direction_is_not_consistent,False
T5_GE_3,TREND_STRUCTURE,close_vs_ma20,0,6785,6785,-0.07175590331340431,-0.02651129327702924,-0.05495088930183167,-0.02382604672680995,-0.031124842575021718,-0.045244610036375074,-0.6129165357839426,0.7619749447310242,-0.03614600410365639,0.7989018818947997,0.0,0.0,REGIME_CONFOUNDED,market_or_temporal_direction_is_not_consistent,False
