cohort,both_semantics,lifecycle_stage,horizon,N,pair_count,instrument_count,source_observation_count,endpoint_median,mfe_median,mae_median,endpoint_mean,mfe_mean,mae_mean,barrier_5_up_first_rate,barrier_5_down_first_rate,barrier_10_up_first_rate,barrier_10_down_first_rate,sample_retention_vs_unconditional,decision_use
BOTH,BOTH_SAME_SESSION_PRIMARY,UNCONDITIONAL_ALL_BOTH,5,1120,560,330,1120,0.0046948356807512415,0.06827309236947787,-0.04050279329608941,0.025834302404106755,0.0974996128179712,-0.04517094383023781,0.5196428571428572,0.3,0.29642857142857143,0.39107142857142857,1.0,STRATEGY_REVIEW_INPUT_ONLY
BOTH,BOTH_SAME_SESSION_PRIMARY,VALID_FIVE_STAGE_BASELINE,5,188,94,78,188,0.016544117647058848,0.0994919541785817,-0.040492136163557735,0.04134231388192903,0.12682834638389276,-0.05318780630492187,0.5851063829787234,0.3191489361702128,0.3829787234042553,0.44680851063829785,0.16785714285714284,STRATEGY_REVIEW_INPUT_ONLY
BOTH,BOTH_SAME_SESSION_PRIMARY,SPROUTING,5,6,3,3,6,0.07082833133253305,0.07442977190876346,-0.053435114503816786,0.059971081072142364,0.07643873683673826,-0.04461872393854344,0.3333333333333333,0.3333333333333333,0.0,0.6666666666666666,0.005357142857142857,STRATEGY_REVIEW_INPUT_ONLY
BOTH,BOTH_SAME_SESSION_PRIMARY,FERMENTING,5,26,13,11,26,0.006791171477079828,0.06437768240343346,-0.04721030042918459,0.026829632717563,0.08135732865270871,-0.05836332421443784,0.5384615384615384,0.3076923076923077,0.15384615384615385,0.46153846153846156,0.023214285714285715,STRATEGY_REVIEW_INPUT_ONLY
BOTH,BOTH_SAME_SESSION_PRIMARY,MAIN_RISE,5,84,42,39,84,0.047097480832420595,0.12919463087248317,-0.02457002457002455,0.08336146703899462,0.16290155653834407,-0.03959610411014923,0.6428571428571429,0.2619047619047619,0.5,0.40476190476190477,0.075,STRATEGY_REVIEW_INPUT_ONLY
BOTH,BOTH_SAME_SESSION_PRIMARY,MATURE,5,28,14,12,28,-0.026589595375722544,0.09448818897637795,-0.06457242582897038,-0.018798136479642704,0.10268817969377171,-0.07985397964813468,0.6428571428571429,0.35714285714285715,0.2857142857142857,0.5,0.025,STRATEGY_REVIEW_INPUT_ONLY
BOTH,BOTH_SAME_SESSION_PRIMARY,DECLINING,5,44,22,19,44,0.015642458100558705,0.10570792302440818,-0.04199459876543209,0.0052898820050804795,0.10812450344142667,-0.06027809740160506,0.5,0.4090909090909091,0.4090909090909091,0.45454545454545453,0.039285714285714285,STRATEGY_REVIEW_INPUT_ONLY
BOTH_WITHIN_1_SESSION,EXISTING_BOUNDED_WINDOW_SENSITIVITY,NOT_RECONSTITUTED_FROM_PRIMARY_PANEL,5,SEE_JOINT_SOURCE_ARTIFACT,,,,,,,,,,,,,,,SENSITIVITY_DISCLOSURE_ONLY
BOTH,BOTH_SAME_SESSION_PRIMARY,UNCONDITIONAL_ALL_BOTH,10,1120,560,330,1120,0.01509433962264151,0.09706959706959695,-0.051181102362204724,0.0508413624404588,0.14578236721421647,-0.06268778487648503,0.5678571428571428,0.33214285714285713,0.3732142857142857,0.4607142857142857,1.0,STRATEGY_REVIEW_INPUT_ONLY
BOTH,BOTH_SAME_SESSION_PRIMARY,VALID_FIVE_STAGE_BASELINE,10,188,94,78,188,0.036222509702457974,0.1651460306441216,-0.05426356589147286,0.08468354975876352,0.20658356798457045,-0.07510403171202351,0.6170212765957447,0.3191489361702128,0.44680851063829785,0.4574468085106383,0.16785714285714284,STRATEGY_REVIEW_INPUT_ONLY
BOTH,BOTH_SAME_SESSION_PRIMARY,SPROUTING,10,6,3,3,6,0.018007202881152443,0.15267175572519087,-0.053435114503816786,0.013848032851817552,0.14811713018069353,-0.06725246879451054,0.3333333333333333,0.3333333333333333,0.0,0.6666666666666666,0.005357142857142857,STRATEGY_REVIEW_INPUT_ONLY
BOTH,BOTH_SAME_SESSION_PRIMARY,FERMENTING,10,26,13,11,26,0.1005586592178771,0.22346368715083798,-0.04721030042918459,0.13336074395477804,0.17664961528508163,-0.05836332421443784,0.6153846153846154,0.3076923076923077,0.38461538461538464,0.46153846153846156,0.023214285714285715,STRATEGY_REVIEW_INPUT_ONLY
BOTH,BOTH_SAME_SESSION_PRIMARY,MAIN_RISE,10,84,42,39,84,0.09282700421940948,0.1921259842519685,-0.03347280334728031,0.15506535310069142,0.2758288690338485,-0.05587725984916051,0.6428571428571429,0.2619047619047619,0.5476190476190477,0.40476190476190477,0.075,STRATEGY_REVIEW_INPUT_ONLY
BOTH,BOTH_SAME_SESSION_PRIMARY,MATURE,10,28,14,12,28,-0.04556962025316458,0.09448818897637795,-0.12143742255266418,-0.05774577995798892,0.11567927205195268,-0.12327539575914002,0.6428571428571429,0.35714285714285715,0.2857142857142857,0.5714285714285714,0.025,STRATEGY_REVIEW_INPUT_ONLY
BOTH,BOTH_SAME_SESSION_PRIMARY,DECLINING,10,44,22,19,44,0.0033975084937712093,0.1336353340883352,-0.0554089709762533,0.020494785092131478,0.15836042517978788,-0.09270187609445357,0.5909090909090909,0.4090909090909091,0.45454545454545453,0.45454545454545453,0.039285714285714285,STRATEGY_REVIEW_INPUT_ONLY
BOTH_WITHIN_1_SESSION,EXISTING_BOUNDED_WINDOW_SENSITIVITY,NOT_RECONSTITUTED_FROM_PRIMARY_PANEL,10,SEE_JOINT_SOURCE_ARTIFACT,,,,,,,,,,,,,,,SENSITIVITY_DISCLOSURE_ONLY
