cohort,lifecycle_stage,horizon,N,instrument_count,matured_count,endpoint_mean,endpoint_median,mfe_mean,mfe_median,mae_mean,mae_median,positive_endpoint_rate,barrier_5_before_minus5_up_first_rate,barrier_5_before_minus5_down_first_rate,barrier_5_before_minus5_same_session_unknown_rate,barrier_10_before_minus5_up_first_rate,barrier_10_before_minus5_down_first_rate,barrier_10_before_minus5_same_session_unknown_rate,baseline_N,conditional_minus_unconditional_endpoint_mean,conditional_minus_unconditional_endpoint_median,conditional_minus_unconditional_mfe_mean,conditional_minus_unconditional_mfe_median,conditional_minus_unconditional_mae_mean,conditional_minus_unconditional_mae_median,comparison_purpose,small_sample_flag
A2,SPROUTING,5,47,31,46,0.01188694530585807,0.0014504219409283148,0.0941367515361183,0.064415651620094,-0.057009280817880835,-0.05416066300826722,0.5,0.46808510638297873,0.3404255319148936,0.06382978723404255,0.2765957446808511,0.5106382978723404,0.0,1036,-0.025314847950925826,-0.010696123424205617,-0.031343771081718444,-0.02851402057528285,-0.0024062811156788377,-0.005771001586690916,CONDITIONAL_INFORMATION_VALUE_ONLY,False
A2,FERMENTING,5,122,64,119,0.03707458491388129,0.009803921568627638,0.10903664928922872,0.07458912768647297,-0.052159986366894444,-0.04363001745200701,0.5798319327731093,0.5537190082644629,0.2975206611570248,0.008264462809917356,0.32231404958677684,0.4297520661157025,0.0,1036,-0.0001272083429026058,-0.0023426237965062935,-0.016443873328608014,-0.018340544508903878,0.0024430133353075534,0.004759643969569294,CONDITIONAL_INFORMATION_VALUE_ONLY,False
A2,MAIN_RISE,5,434,225,399,0.046392639053599534,0.02657342657342676,0.13614116446176983,0.09896602658788778,-0.05275981325796789,-0.04739336492891,0.581453634085213,0.5957446808510638,0.30260047281323876,0.05200945626477541,0.40189125295508277,0.46335697399527187,0.0,1036,0.009190845796815637,0.01442688120829283,0.010660641843933089,0.006036354392510934,0.0018431864442341045,0.0009962964926663043,CONDITIONAL_INFORMATION_VALUE_ONLY,False
A2,MATURE,5,161,119,154,0.032966496644455764,-0.005350041484278922,0.12447492453806121,0.09444326461267027,-0.06123728606598911,-0.05183150183150187,0.4675324675324675,0.5569620253164557,0.3227848101265823,0.056962025316455694,0.34177215189873417,0.5,0.0,1036,-0.004235296612328132,-0.017496586849412854,-0.0010055980797755298,0.00151359241729343,-0.006634286363787115,-0.0034418404099255673,CONDITIONAL_INFORMATION_VALUE_ONLY,False
A2,DECLINING,5,272,135,256,0.030032687803335033,0.0054471131278360785,0.12274575857260053,0.09002046384720341,-0.05418808152566512,-0.045942779528713285,0.50390625,0.5241635687732342,0.3271375464684015,0.06319702602230483,0.3754646840148699,0.4721189591078067,0.0,1036,-0.007169105453448864,-0.006699432237297853,-0.0027347640452362043,-0.002909208348173431,0.0004149181765368756,0.0024468818928630176,CONDITIONAL_INFORMATION_VALUE_ONLY,False
LEGACY5,SPROUTING,5,16,13,16,0.09651443984242616,0.09116329458612712,0.1491709823091725,0.11164364040022201,-0.0397788122642789,-0.04561218115260887,0.6875,,,,,,,474,0.06065594891765645,0.08017428359711613,0.023839863722828203,0.018938473226969732,0.019388993193468484,0.0010804258512821796,CONDITIONAL_INFORMATION_VALUE_ONLY,True
LEGACY5,FERMENTING,5,58,34,58,0.034926561986370286,0.011858141858141859,0.10075815820077784,0.07336340821572632,-0.04943886851313755,-0.03882708090454977,0.5862068965517241,,,,,,,474,-0.0009319289383994261,0.0008691308691308689,-0.02457296038556646,-0.019341758957525962,0.009728936944609835,0.007865526099341283,CONDITIONAL_INFORMATION_VALUE_ONLY,False
LEGACY5,MAIN_RISE,5,185,121,183,0.04799263508645607,0.027989821882951654,0.1436827933825232,0.09977578475336323,-0.058105299575148234,-0.04038772213247173,0.5846994535519126,,,,,,,474,0.012134144161686358,0.017000810893940663,0.018351674796178913,0.007070617580110947,0.0010625058825991518,0.006304884871419322,CONDITIONAL_INFORMATION_VALUE_ONLY,False
LEGACY5,MATURE,5,70,51,66,0.015305768551022584,-0.017551553727133948,0.10934282885916835,0.0677766577867377,-0.06976945067701179,-0.06154958324748214,0.3484848484848485,,,,,,,474,-0.020552722373747126,-0.02854056471614494,-0.015988289727175947,-0.024928509386514572,-0.010601645219264405,-0.014856976243591086,CONDITIONAL_INFORMATION_VALUE_ONLY,False
LEGACY5,DECLINING,5,145,86,144,0.02349382419437645,0.008875639799763767,0.1165857332883615,0.09814175723266633,-0.061731918137796424,-0.04790877295249198,0.5625,,,,,,,474,-0.012364666730393263,-0.002113371189247223,-0.0087453852979828,0.005436590059414048,-0.0025641126800490383,-0.0012161659486009321,CONDITIONAL_INFORMATION_VALUE_ONLY,False
BOTH,SPROUTING,5,6,3,6,0.059971081072142364,0.07082833133253305,0.07643873683673826,0.07442977190876346,-0.04461872393854344,-0.053435114503816786,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.6666666666666666,0.0,188,0.018628767190213336,0.0542842136854742,-0.050389609547154504,-0.02506218226981824,0.008569082366378426,-0.012942978340259051,CONDITIONAL_INFORMATION_VALUE_ONLY,True
