cohort,lifecycle_stage,horizon,barrier_pair,N,instrument_count,matured_barrier_count,up_first_count,down_first_count,same_session_order_unknown_count,neither_by_h_count,not_matured_count,up_first_rate,down_first_rate,same_session_order_unknown_rate,definition
A2,SPROUTING,5,+5%_BEFORE_-5%,47,31,47,22,16,3,6,0,0.46808510638297873,0.3404255319148936,0.06382978723404255,first future daily High/Low barrier; same-session order remains unknown
A2,SPROUTING,5,+10%_BEFORE_-5%,47,31,47,13,24,0,10,0,0.2765957446808511,0.5106382978723404,0.0,first future daily High/Low barrier; same-session order remains unknown
A2,FERMENTING,5,+5%_BEFORE_-5%,122,64,121,67,36,1,17,1,0.5537190082644629,0.2975206611570248,0.008264462809917356,first future daily High/Low barrier; same-session order remains unknown
A2,FERMENTING,5,+10%_BEFORE_-5%,122,64,121,39,52,0,30,1,0.32231404958677684,0.4297520661157025,0.0,first future daily High/Low barrier; same-session order remains unknown
A2,MAIN_RISE,5,+5%_BEFORE_-5%,434,225,423,252,128,22,21,11,0.5957446808510638,0.30260047281323876,0.05200945626477541,first future daily High/Low barrier; same-session order remains unknown
A2,MAIN_RISE,5,+10%_BEFORE_-5%,434,225,423,170,196,0,57,11,0.40189125295508277,0.46335697399527187,0.0,first future daily High/Low barrier; same-session order remains unknown
A2,MATURE,5,+5%_BEFORE_-5%,161,119,158,88,51,9,10,3,0.5569620253164557,0.3227848101265823,0.056962025316455694,first future daily High/Low barrier; same-session order remains unknown
A2,MATURE,5,+10%_BEFORE_-5%,161,119,158,54,79,0,25,3,0.34177215189873417,0.5,0.0,first future daily High/Low barrier; same-session order remains unknown
A2,DECLINING,5,+5%_BEFORE_-5%,272,135,269,141,88,17,23,3,0.5241635687732342,0.3271375464684015,0.06319702602230483,first future daily High/Low barrier; same-session order remains unknown
A2,DECLINING,5,+10%_BEFORE_-5%,272,135,269,101,127,0,41,3,0.3754646840148699,0.4721189591078067,0.0,first future daily High/Low barrier; same-session order remains unknown
LEGACY5,SPROUTING,5,+5%_BEFORE_-5%,16,13,0,0,0,0,0,0,,,,first future daily High/Low barrier; same-session order remains unknown
LEGACY5,SPROUTING,5,+10%_BEFORE_-5%,16,13,0,0,0,0,0,0,,,,first future daily High/Low barrier; same-session order remains unknown
LEGACY5,FERMENTING,5,+5%_BEFORE_-5%,58,34,0,0,0,0,0,0,,,,first future daily High/Low barrier; same-session order remains unknown
LEGACY5,FERMENTING,5,+10%_BEFORE_-5%,58,34,0,0,0,0,0,0,,,,first future daily High/Low barrier; same-session order remains unknown
LEGACY5,MAIN_RISE,5,+5%_BEFORE_-5%,185,121,0,0,0,0,0,0,,,,first future daily High/Low barrier; same-session order remains unknown
LEGACY5,MAIN_RISE,5,+10%_BEFORE_-5%,185,121,0,0,0,0,0,0,,,,first future daily High/Low barrier; same-session order remains unknown
LEGACY5,MATURE,5,+5%_BEFORE_-5%,70,51,0,0,0,0,0,0,,,,first future daily High/Low barrier; same-session order remains unknown
LEGACY5,MATURE,5,+10%_BEFORE_-5%,70,51,0,0,0,0,0,0,,,,first future daily High/Low barrier; same-session order remains unknown
LEGACY5,DECLINING,5,+5%_BEFORE_-5%,145,86,0,0,0,0,0,0,,,,first future daily High/Low barrier; same-session order remains unknown
LEGACY5,DECLINING,5,+10%_BEFORE_-5%,145,86,0,0,0,0,0,0,,,,first future daily High/Low barrier; same-session order remains unknown
BOTH,SPROUTING,5,+5%_BEFORE_-5%,6,3,3,1,1,1,0,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,first future daily High/Low barrier; same-session order remains unknown
BOTH,SPROUTING,5,+10%_BEFORE_-5%,6,3,3,0,2,0,1,0,0.0,0.6666666666666666,0.0,first future daily High/Low barrier; same-session order remains unknown
BOTH,FERMENTING,5,+5%_BEFORE_-5%,26,11,13,7,4,0,2,0,0.5384615384615384,0.3076923076923077,0.0,first future daily High/Low barrier; same-session order remains unknown
BOTH,FERMENTING,5,+10%_BEFORE_-5%,26,11,13,2,6,0,5,0,0.15384615384615385,0.46153846153846156,0.0,first future daily High/Low barrier; same-session order remains unknown
BOTH,MAIN_RISE,5,+5%_BEFORE_-5%,84,39,42,27,11,4,0,0,0.6428571428571429,0.2619047619047619,0.09523809523809523,first future daily High/Low barrier; same-session order remains unknown
BOTH,MAIN_RISE,5,+10%_BEFORE_-5%,84,39,42,21,17,0,4,0,0.5,0.40476190476190477,0.0,first future daily High/Low barrier; same-session order remains unknown
BOTH,MATURE,5,+5%_BEFORE_-5%,28,12,14,9,5,0,0,0,0.6428571428571429,0.35714285714285715,0.0,first future daily High/Low barrier; same-session order remains unknown
BOTH,MATURE,5,+10%_BEFORE_-5%,28,12,14,4,7,0,3,0,0.2857142857142857,0.5,0.0,first future daily High/Low barrier; same-session order remains unknown
BOTH,DECLINING,5,+5%_BEFORE_-5%,44,19,22,11,9,0,2,0,0.5,0.4090909090909091,0.0,first future daily High/Low barrier; same-session order remains unknown
BOTH,DECLINING,5,+10%_BEFORE_-5%,44,19,22,9,10,0,3,0,0.4090909090909091,0.45454545454545453,0.0,first future daily High/Low barrier; same-session order remains unknown
A2,SPROUTING,10,+5%_BEFORE_-5%,47,31,47,23,18,3,3,0,0.48936170212765956,0.3829787234042553,0.06382978723404255,first future daily High/Low barrier; same-session order remains unknown
A2,SPROUTING,10,+10%_BEFORE_-5%,47,31,47,13,26,0,8,0,0.2765957446808511,0.5531914893617021,0.0,first future daily High/Low barrier; same-session order remains unknown
A2,FERMENTING,10,+5%_BEFORE_-5%,122,64,120,73,39,1,7,2,0.6083333333333333,0.325,0.008333333333333333,first future daily High/Low barrier; same-session order remains unknown
A2,FERMENTING,10,+10%_BEFORE_-5%,122,64,120,46,55,0,19,2,0.38333333333333336,0.4583333333333333,0.0,first future daily High/Low barrier; same-session order remains unknown
A2,MAIN_RISE,10,+5%_BEFORE_-5%,434,225,417,253,135,22,7,17,0.6067146282973621,0.3237410071942446,0.05275779376498801,first future daily High/Low barrier; same-session order remains unknown
A2,MAIN_RISE,10,+10%_BEFORE_-5%,434,225,417,185,216,0,16,17,0.44364508393285373,0.5179856115107914,0.0,first future daily High/Low barrier; same-session order remains unknown
A2,MATURE,10,+5%_BEFORE_-5%,161,119,157,91,52,9,5,4,0.5796178343949044,0.33121019108280253,0.05732484076433121,first future daily High/Low barrier; same-session order remains unknown
A2,MATURE,10,+10%_BEFORE_-5%,161,119,157,65,82,0,10,4,0.4140127388535032,0.5222929936305732,0.0,first future daily High/Low barrier; same-session order remains unknown
A2,DECLINING,10,+5%_BEFORE_-5%,272,135,267,145,96,18,8,5,0.5430711610486891,0.3595505617977528,0.06741573033707865,first future daily High/Low barrier; same-session order remains unknown
A2,DECLINING,10,+10%_BEFORE_-5%,272,135,267,114,139,0,14,5,0.42696629213483145,0.5205992509363296,0.0,first future daily High/Low barrier; same-session order remains unknown
LEGACY5,SPROUTING,10,+5%_BEFORE_-5%,16,13,0,0,0,0,0,0,,,,first future daily High/Low barrier; same-session order remains unknown
LEGACY5,SPROUTING,10,+10%_BEFORE_-5%,16,13,0,0,0,0,0,0,,,,first future daily High/Low barrier; same-session order remains unknown
LEGACY5,FERMENTING,10,+5%_BEFORE_-5%,58,34,0,0,0,0,0,0,,,,first future daily High/Low barrier; same-session order remains unknown
