cohort,selection_group,horizon,N,instrument_count,outcome_rows,endpoint_mean,endpoint_median,mfe_mean,mfe_median,mae_mean,mae_median,compare_to_valid_subset,overlap_is_allowed
A2,VALID_FIVE_STAGE,5,1036,343,1036,0.0372017932567839,0.012146545365133932,0.12548052261783674,0.09292967219537684,-0.054602999702202,-0.0483896614215763,DESCRIPTIVE_ONLY,"YES; groups are audit lenses, not mutually exclusive"
A2,VALID_FIVE_STAGE,10,1036,343,1036,0.061742721490992296,0.021852354571861854,0.18446302841577653,0.1328917547630536,-0.07673088058997198,-0.06544653263403266,DESCRIPTIVE_ONLY,"YES; groups are audit lenses, not mutually exclusive"
A2,PENDING,5,84,63,84,0.010915323337076132,-0.004237288135593209,0.0755875002028948,0.04237288135593231,-0.045754759862602516,-0.04597701149425293,DESCRIPTIVE_ONLY,"YES; groups are audit lenses, not mutually exclusive"
A2,PENDING,10,84,63,84,0.033946035626324825,0.005973715651135025,0.11409745093279992,0.06164383561643838,-0.06413629186520212,-0.05641748942172076,DESCRIPTIVE_ONLY,"YES; groups are audit lenses, not mutually exclusive"
A2,INSUFFICIENT_DATA,5,19,7,19,0.01590040083143387,-0.013113547763759503,0.11691546558200959,0.058230347815008354,-0.05598497223179434,-0.04978228228228232,DESCRIPTIVE_ONLY,"YES; groups are audit lenses, not mutually exclusive"
A2,INSUFFICIENT_DATA,10,19,7,19,0.03155242252863642,0.0157745008204232,0.15108708004265026,0.12067389989317467,-0.0825938055578695,-0.07582132449802403,DESCRIPTIVE_ONLY,"YES; groups are audit lenses, not mutually exclusive"
A2,FAIL_CLOSED,5,0,0,0,,,,,,,DESCRIPTIVE_ONLY,"YES; groups are audit lenses, not mutually exclusive"
A2,FAIL_CLOSED,10,0,0,0,,,,,,,DESCRIPTIVE_ONLY,"YES; groups are audit lenses, not mutually exclusive"
A2,STRENGTH_INCOMPLETE,5,4138,596,4138,0.014172116705859253,-0.00241837968561065,0.08026563112797235,0.051724137931034475,-0.04434307512168232,-0.037190082644628086,DESCRIPTIVE_ONLY,"YES; groups are audit lenses, not mutually exclusive"
A2,STRENGTH_INCOMPLETE,10,4138,596,4138,0.02541905144534151,-0.001122334455667784,0.11536412958464025,0.07163323782234965,-0.06090305383707665,-0.05066666666666664,DESCRIPTIVE_ONLY,"YES; groups are audit lenses, not mutually exclusive"
