cohort,scope,horizon,N,instrument_count,topic_count,date_count,endpoint_return_mean,endpoint_return_median,endpoint_return_trimmed5_mean,endpoint_return_winsorized5_mean,mfe_mean,mfe_median,mfe_trimmed5_mean,mfe_winsorized5_mean,mae_mean,mae_median,mae_trimmed5_mean,mae_winsorized5_mean,top1_instrument_share,top5_instrument_share,top1_topic_share,top1_date_share,early_count,middle_count,late_count,concentration_disclosure
A2,ALL_VALID_STAGES,5,1036,343,71,118,0.0372017932567839,0.012146545365133932,0.027324221836480662,0.0332861075462664,0.12548052261783674,0.09292967219537684,0.11384863911412206,0.1206253694883151,-0.054602999702202,-0.0483896614215763,-0.053579997526564324,-0.05428769867857396,0.006756756756756757,0.033783783783783786,0.07915057915057915,0.029922779922779922,482,455,99,DESCRIPTIVE_CONCENTRATION_AUDIT; NOT A FILTER
A2,SPROUTING,5,47,31,11,29,0.01188694530585807,0.0014504219409283148,0.007232517440972565,0.010563478714791652,0.0941367515361183,0.064415651620094,0.08485950096391645,0.08891139405770444,-0.057009280817880835,-0.05416066300826722,-0.055725868704288514,-0.05609812776528915,0.0851063829787234,0.2978723404255319,0.2127659574468085,0.0851063829787234,31,15,1,DESCRIPTIVE_CONCENTRATION_AUDIT; NOT A FILTER
A2,FERMENTING,5,122,64,29,65,0.03707458491388129,0.009803921568627638,0.02185350625887061,0.028870778724885197,0.10903664928922872,0.07458912768647297,0.0945256889809436,0.1031368091139869,-0.052159986366894444,-0.04363001745200701,-0.05150693952673059,-0.05245311241542444,0.04918032786885246,0.1885245901639344,0.1721311475409836,0.04918032786885246,70,46,6,DESCRIPTIVE_CONCENTRATION_AUDIT; NOT A FILTER
A2,MAIN_RISE,5,434,225,52,96,0.046392639053599534,0.02657342657342676,0.03807080525873402,0.0421889571792731,0.13614116446176983,0.09896602658788778,0.12660155306022006,0.130987476645232,-0.05275981325796789,-0.04739336492891,-0.051573798421690985,-0.05231852524280533,0.01152073732718894,0.0576036866359447,0.04838709677419355,0.0576036866359447,188,208,38,DESCRIPTIVE_CONCENTRATION_AUDIT; NOT A FILTER
A2,MATURE,5,161,119,36,66,0.032966496644455764,-0.005350041484278922,0.022147988565296872,0.028105313540744595,0.12447492453806121,0.09444326461267027,0.1137282127367146,0.12036796258085003,-0.06123728606598911,-0.05183150183150187,-0.0597514913831327,-0.06101482969839386,0.018633540372670808,0.09316770186335403,0.14906832298136646,0.049689440993788817,78,68,15,DESCRIPTIVE_CONCENTRATION_AUDIT; NOT A FILTER
A2,DECLINING,5,272,135,33,90,0.030032687803335033,0.0054471131278360785,0.021920886761044513,0.02755256849127955,0.12274575857260053,0.09002046384720341,0.11103698421230743,0.11863008453787667,-0.05418808152566512,-0.045942779528713285,-0.05307667047079272,-0.052682663579265356,0.022058823529411766,0.10294117647058823,0.2536764705882353,0.051470588235294115,115,118,39,DESCRIPTIVE_CONCENTRATION_AUDIT; NOT A FILTER
LEGACY5,ALL_VALID_STAGES,5,474,234,66,106,0.03585849092476971,0.01098901098901099,0.029990931258817792,0.0343362860908004,0.1253311185863443,0.09270516717325228,0.11598004142864088,0.12275448720053374,-0.059167805457747386,-0.04669260700389105,-0.056504245971464875,-0.058330348476325296,0.012658227848101266,0.05485232067510549,0.06329113924050633,0.029535864978902954,170,225,79,DESCRIPTIVE_CONCENTRATION_AUDIT; NOT A FILTER
LEGACY5,SPROUTING,5,16,13,8,15,0.09651443984242616,0.09116329458612712,0.09651443984242616,0.09975064509623051,0.1491709823091725,0.11164364040022201,0.1491709823091725,0.14584426710928017,-0.0397788122642789,-0.04561218115260887,-0.0397788122642789,-0.03914562352672076,0.125,0.5,0.3125,0.125,10,5,1,DESCRIPTIVE_CONCENTRATION_AUDIT; NOT A FILTER
LEGACY5,FERMENTING,5,58,34,20,44,0.034926561986370286,0.011858141858141859,0.03062499776092662,0.0354683286601101,0.10075815820077784,0.07336340821572632,0.09255588006711124,0.09707853518417563,-0.04943886851313755,-0.03882708090454977,-0.047106923110971435,-0.047508655387560265,0.08620689655172414,0.3448275862068966,0.13793103448275862,0.05172413793103448,32,21,5,DESCRIPTIVE_CONCENTRATION_AUDIT; NOT A FILTER
LEGACY5,MAIN_RISE,5,185,121,46,72,0.04799263508645607,0.027989821882951654,0.0432934975777301,0.04716948300147058,0.1436827933825232,0.09977578475336323,0.1349896814438986,0.14251679110602386,-0.058105299575148234,-0.04038772213247173,-0.05471946072422844,-0.05813895741632759,0.021621621621621623,0.0918918918918919,0.0972972972972973,0.05405405405405406,65,91,29,DESCRIPTIVE_CONCENTRATION_AUDIT; NOT A FILTER
LEGACY5,MATURE,5,70,51,22,43,0.015305768551022584,-0.017551553727133948,0.0074610082560936574,0.013570642405063726,0.10934282885916835,0.0677766577867377,0.10045098644230786,0.10851003505800248,-0.06976945067701179,-0.06154958324748214,-0.0685309112323649,-0.06981064463453479,0.05714285714285714,0.21428571428571427,0.11428571428571428,0.08571428571428572,18,36,16,DESCRIPTIVE_CONCENTRATION_AUDIT; NOT A FILTER
