cohort,scope,lifecycle_stage,feature,feature_role,analysis_type,bin,horizon,N,instrument_count,feature_mean,feature_median,endpoint_mean,endpoint_median,mfe_mean,mfe_median,mae_mean,mae_median,small_sample_flag,threshold_policy
A2,ALL_VALID_STAGES,ALL,positive_breadth,RAW_EVIDENCE_VECTOR,QUANTILE_BIN,Q1,5,281,193,0.3487027117437722,0.357143,0.03142885365923185,0.0019305019305020377,0.11838377145790542,0.09090909090909083,-0.058434912244362626,-0.05188679245283023,False,NO_ARBITRARY_THRESHOLD; DESCRIPTIVE_QUANTILES_ONLY
A2,ALL_VALID_STAGES,ALL,positive_breadth,RAW_EVIDENCE_VECTOR,QUANTILE_BIN,Q2,5,241,166,0.611635062240664,0.615385,0.036200972263780794,0.0043290043290042934,0.13055414489460923,0.09625668449197855,-0.05751952167855628,-0.05063291139240511,False,NO_ARBITRARY_THRESHOLD; DESCRIPTIVE_QUANTILES_ONLY
A2,ALL_VALID_STAGES,ALL,positive_breadth,RAW_EVIDENCE_VECTOR,QUANTILE_BIN,Q3,5,275,190,0.7849245672727272,0.785714,0.028478218938103775,0.009728896642513973,0.11584165747600358,0.086153754077266,-0.05927594888429144,-0.05034012299461815,False,NO_ARBITRARY_THRESHOLD; DESCRIPTIVE_QUANTILES_ONLY
A2,ALL_VALID_STAGES,ALL,positive_breadth,RAW_EVIDENCE_VECTOR,QUANTILE_BIN,Q4,5,239,167,0.9621956861924685,1.0,0.05515093483835157,0.02911731269940221,0.13967800478397743,0.10347566708815614,-0.04161373119006823,-0.040574424435833145,False,NO_ARBITRARY_THRESHOLD; DESCRIPTIVE_QUANTILES_ONLY
A2,ALL_VALID_STAGES,ALL,positive_breadth,RAW_EVIDENCE_VECTOR,QUANTILE_BIN,ALL_SMALL_SAMPLE,5,0,0,,,,,,,,,True,NO_ARBITRARY_THRESHOLD; DESCRIPTIVE_QUANTILES_ONLY
A2,ALL_VALID_STAGES,ALL,positive_breadth,RAW_EVIDENCE_VECTOR,CONTINUOUS_MONOTONICITY,ORDERED_Q1_TO_Q4,5,1036,343,0.6671897075289575,0.692308,,,,,,,False,NO_ARBITRARY_THRESHOLD; DESCRIPTIVE_QUANTILES_ONLY
A2,ALL_VALID_STAGES,ALL,strong_breadth,RAW_EVIDENCE_VECTOR,QUANTILE_BIN,Q1,5,261,169,0.07931922988505746,0.083333,0.02051020259458972,0.0037260494368874797,0.10053174753942724,0.07568578870612497,-0.05455218641815095,-0.045440516761719285,False,NO_ARBITRARY_THRESHOLD; DESCRIPTIVE_QUANTILES_ONLY
A2,ALL_VALID_STAGES,ALL,strong_breadth,RAW_EVIDENCE_VECTOR,QUANTILE_BIN,Q2,5,290,191,0.2238322,0.222222,0.03531885487322079,0.004870129870129913,0.12554012928907052,0.09170305676855905,-0.06072041045869066,-0.05312499999999998,False,NO_ARBITRARY_THRESHOLD; DESCRIPTIVE_QUANTILES_ONLY
A2,ALL_VALID_STAGES,ALL,strong_breadth,RAW_EVIDENCE_VECTOR,QUANTILE_BIN,Q3,5,226,157,0.36691435398230093,0.36,0.04697488958790371,0.02142884475567286,0.1397349393072348,0.10458786003789233,-0.05034960188231495,-0.045038031319910576,False,NO_ARBITRARY_THRESHOLD; DESCRIPTIVE_QUANTILES_ONLY
A2,ALL_VALID_STAGES,ALL,strong_breadth,RAW_EVIDENCE_VECTOR,QUANTILE_BIN,Q4,5,259,166,0.6567774671814672,0.611111,0.047470713772950444,0.022408963585434094,0.13791172972217386,0.0965346534653464,-0.05152716611472412,-0.046666666666666634,False,NO_ARBITRARY_THRESHOLD; DESCRIPTIVE_QUANTILES_ONLY
A2,ALL_VALID_STAGES,ALL,strong_breadth,RAW_EVIDENCE_VECTOR,QUANTILE_BIN,ALL_SMALL_SAMPLE,5,0,0,,,,,,,,,True,NO_ARBITRARY_THRESHOLD; DESCRIPTIVE_QUANTILES_ONLY
