cohort,scope,lifecycle_stage,feature,feature_role,analysis_type,bin,horizon,N,instrument_count,feature_mean,feature_median,endpoint_mean,endpoint_median,mfe_mean,mfe_median,mae_mean,mae_median,small_sample_flag,threshold_policy
A2,WITHIN_LIFECYCLE,MAIN_RISE,positive_breadth,RAW_EVIDENCE_VECTOR,QUANTILE_BIN,Q1,5,109,92,0.36657027522935776,0.357143,0.04336335899001027,0.012048192771084265,0.12963422523300744,0.0926640926640927,-0.057458588188282214,-0.06284153005464477,False,NO_ARBITRARY_THRESHOLD; DESCRIPTIVE_QUANTILES_ONLY
A2,WITHIN_LIFECYCLE,MAIN_RISE,positive_breadth,RAW_EVIDENCE_VECTOR,QUANTILE_BIN,Q2,5,108,98,0.6972596944444445,0.703704,0.030722836124970385,0.021378930720335254,0.1259031986775939,0.09939745450668758,-0.06399197539872692,-0.05551586968092559,False,NO_ARBITRARY_THRESHOLD; DESCRIPTIVE_QUANTILES_ONLY
A2,WITHIN_LIFECYCLE,MAIN_RISE,positive_breadth,RAW_EVIDENCE_VECTOR,QUANTILE_BIN,Q3,5,108,91,0.8710517222222223,0.857143,0.036840103488097714,0.022763724763911752,0.11793631909915381,0.08763465349699529,-0.05336275887729472,-0.04804347581362367,False,NO_ARBITRARY_THRESHOLD; DESCRIPTIVE_QUANTILES_ONLY
A2,WITHIN_LIFECYCLE,MAIN_RISE,positive_breadth,RAW_EVIDENCE_VECTOR,QUANTILE_BIN,Q4,5,109,79,0.989230623853211,1.0,0.07499724037802294,0.053330611689460405,0.17133442409882196,0.1506570198893289,-0.03622416715888174,-0.0302934994967734,False,NO_ARBITRARY_THRESHOLD; DESCRIPTIVE_QUANTILES_ONLY
A2,WITHIN_LIFECYCLE,MAIN_RISE,positive_breadth,RAW_EVIDENCE_VECTOR,QUANTILE_BIN,ALL_SMALL_SAMPLE,5,0,0,,,,,,,,,True,NO_ARBITRARY_THRESHOLD; DESCRIPTIVE_QUANTILES_ONLY
A2,WITHIN_LIFECYCLE,MAIN_RISE,positive_breadth,RAW_EVIDENCE_VECTOR,CONTINUOUS_MONOTONICITY,ORDERED_Q1_TO_Q4,5,434,225,0.7307832511520738,0.804762,,,,,,,False,NO_ARBITRARY_THRESHOLD; DESCRIPTIVE_QUANTILES_ONLY
A2,WITHIN_LIFECYCLE,MAIN_RISE,strong_breadth,RAW_EVIDENCE_VECTOR,QUANTILE_BIN,Q1,5,120,102,0.152367375,0.151923,0.0330083824022608,0.010729613733905685,0.11411609563135251,0.08391608391608396,-0.059628225767746686,-0.06584362139917699,False,NO_ARBITRARY_THRESHOLD; DESCRIPTIVE_QUANTILES_ONLY
A2,WITHIN_LIFECYCLE,MAIN_RISE,strong_breadth,RAW_EVIDENCE_VECTOR,QUANTILE_BIN,Q2,5,107,88,0.35399285046728973,0.35,0.04993841338051656,0.03333333333333344,0.14622965205264485,0.13359580052493436,-0.05052989036051324,-0.047130419331911866,False,NO_ARBITRARY_THRESHOLD; DESCRIPTIVE_QUANTILES_ONLY
A2,WITHIN_LIFECYCLE,MAIN_RISE,strong_breadth,RAW_EVIDENCE_VECTOR,QUANTILE_BIN,Q3,5,98,79,0.5158014183673469,0.5,0.043082959831832565,0.01986847311333162,0.1284065884710168,0.0920842909036994,-0.05655971418935884,-0.050109844125954595,False,NO_ARBITRARY_THRESHOLD; DESCRIPTIVE_QUANTILES_ONLY
A2,WITHIN_LIFECYCLE,MAIN_RISE,strong_breadth,RAW_EVIDENCE_VECTOR,QUANTILE_BIN,Q4,5,109,71,0.799544614678899,0.777778,0.05981392249672498,0.047648541450929116,0.15624911138744485,0.1331791023025357,-0.04432999407044864,-0.031746031746031744,False,NO_ARBITRARY_THRESHOLD; DESCRIPTIVE_QUANTILES_ONLY
A2,WITHIN_LIFECYCLE,MAIN_RISE,strong_breadth,RAW_EVIDENCE_VECTOR,QUANTILE_BIN,ALL_SMALL_SAMPLE,5,0,0,,,,,,,,,True,NO_ARBITRARY_THRESHOLD; DESCRIPTIVE_QUANTILES_ONLY
